#{"t_start": 1773408596.2432437, "env_id": "continuous-exit-v0"}
r,l,t
1.340935,5,4.880185
0.332805,2,4.946793
0.35361,2,5.021747
0.321221,2,5.093803
-6.912532,8,5.376707
-3.523276,15,5.92403
1.867226,6,6.127367
-6.551003,10,6.580571
0.374706,2,6.665154
1.105322,5,6.844438
1.738733,6,7.060098
3.88835,11,7.464305
0.359309,2,7.538793
0.325483,2,7.616872
0.353708,2,7.691035
0.770069,3,7.794304
0.352248,2,7.868961
0.336579,2,7.942356
0.354471,2,8.017425
0.358676,2,8.09409
0.711811,3,8.207695
0.313422,2,8.298486
1.48552,5,8.5381
2.872402,8,8.853788
4.005357,11,9.25775
-8.014229,5,9.420798
9.753299,23,10.255587
1.348086,5,10.435274
1.368474,5,10.612426
-7.503734,6,10.835976
0.369364,2,10.918385
0.756062,3,11.020613
-7.717893,6,11.24242
1.69544,6,11.470015
-8.078654,6,11.688679
4.207882,10,12.056935
0.319533,2,12.13134
0.326739,2,12.206355
3.95095,11,12.607305
-7.608365,6,12.828191
0.312292,2,12.894361
1.999782,6,13.102203
0.349313,2,13.17629
1.136637,5,13.347253
0.320692,2,13.413757
0.705915,3,13.526655
0.33725,2,13.594966
1.085761,4,13.743556
3.386357,10,14.11542
1.365464,5,14.302032
1.010537,4,14.444241
0.33725,2,14.520447
0.311285,2,14.589503
0.327574,2,14.655359
-7.67807,6,14.87589
-8.094301,5,15.046241
1.396513,5,15.224425
3.14951,10,15.605775
0.351461,2,15.681855
-7.315361,7,15.92409
-4.783366,12,16.413265
1.434207,5,16.631072
0.35641,2,16.709637
-6.297799,11,17.114073
-8.353467,4,17.281773
0.730991,3,17.421986
2.167204,7,17.705164
1.461837,6,17.911037
-8.092971,6,18.114298
0.321717,2,18.190612
-7.902454,5,18.349511
-8.026064,5,18.531326
-7.753838,6,18.754559
0.31851,2,18.827492
1.055927,4,18.976932
-7.711207,6,19.195197
0.317585,2,19.270004
-8.549651,4,19.418805
0.994229,4,19.56779
-7.981476,5,19.74837
-8.048638,5,19.941835
0.331502,2,20.01986
2.626874,8,20.3162
1.748341,6,20.531106
2.997848,9,20.839398
1.683293,6,21.065898
0.360313,2,21.141464
-7.999452,6,21.358974
-5.899676,11,21.747443
2.221549,7,22.017469
1.47416,5,22.183996
1.514236,5,22.358589
6.516346,16,22.918787
1.263817,5,23.106099
0.328381,2,23.187182
0.356223,2,23.256086
-7.935277,5,23.434109
1.646326,6,23.65224
-3.337661,18,24.283256
0.356743,2,24.343895
0.33725,2,24.412728
0.353033,2,24.485859
-6.835556,8,24.75851
-7.954149,5,24.922214
-7.802437,6,25.121389
3.005474,9,25.432764
-7.349935,6,25.623191
-7.924877,5,25.787277
0.363092,2,25.857498
-8.099542,5,26.056099
0.322514,2,26.149062
0.36629,2,26.256776
-8.048647,5,26.469746
0.334141,2,26.547686
2.448657,7,26.81623
1.170391,4,26.957174
0.317057,2,27.027539
1.467973,5,27.189025
2.170789,7,27.416905
0.311285,2,27.487848
1.847618,6,27.708337
-8.275657,5,27.868318
0.326499,2,27.940127
-8.322767,5,28.126136
2.226936,7,28.368333
-4.619433,13,28.820946
1.620725,6,29.037566
0.33699,2,29.108572
2.27213,7,29.338178
-7.356513,7,29.578476
2.758443,9,29.88784
0.330349,2,29.956712
2.364738,7,30.176156
3.571119,11,30.534082
2.266054,7,30.774477
1.112841,4,30.906589
0.353001,2,30.971653
2.763329,8,31.250462
0.726866,3,31.353641
-7.594665,6,31.562271
0.322777,2,31.631368
0.349838,2,31.701687
0.381398,2,31.769262
0.33725,2,31.842793
0.311285,2,31.915077
-8.409579,5,32.08374
1.076048,4,32.215415
0.311285,2,32.285104
3.495035,8,32.569311
4.550398,14,33.044901
0.341667,2,33.114509
1.136778,5,33.278361
0.708946,3,33.383554
3.531218,11,33.790038
0.334315,2,33.866939
-7.898577,6,34.092963
0.333967,2,34.161798
1.644967,6,34.380469
0.777928,3,34.482413
3.626719,10,34.934656
-6.925886,8,35.243263
-6.718557,7,35.485026
0.320724,2,35.561553
-6.429877,10,35.976322
0.336473,2,36.062307
-7.687163,6,36.301789
1.333753,5,36.486997
1.252958,5,36.656085
1.42085,5,36.832865
0.741686,4,36.977912
0.72436,3,37.082473
-7.823391,5,37.265596
0.71369,3,37.369106
-6.807338,9,37.689983
-8.158203,5,37.859835
-6.396284,10,38.228856
0.358109,2,38.298322
0.364781,2,38.37517
0.720899,3,38.468683
1.180163,5,38.642584
1.680936,6,38.872407
1.340055,5,39.065562
1.015732,4,39.214573
0.70645,3,39.32514
1.130151,5,39.520171
-4.157148,16,40.105115
5.886966,16,40.663201
1.330817,5,40.854034
0.347432,2,40.919789
1.074829,4,41.052463
1.131465,4,41.202758
1.743182,6,41.413422
2.94839,9,41.742089
0.336094,2,41.815878
1.81908,6,42.032974
0.316235,2,42.109215
1.06152,4,42.264193
0.324496,2,42.337968
5.258124,15,42.860956
1.542593,5,43.049638
1.260143,5,43.217965
0.355456,2,43.295784
1.975953,7,43.567486
-8.33856,5,43.789159
5.119459,16,44.3938
1.224333,5,44.582929
0.336701,2,44.658453
0.335,2,44.735983
0.319911,2,44.811802
1.223693,5,44.986048
5.796155,15,45.546462
0.320604,2,45.612291
0.321093,2,45.686411
-7.408694,6,45.953525
0.318889,2,46.036811
1.108681,4,46.183947
1.789372,6,46.399226
-7.843071,6,46.629963
2.503884,8,46.902766
0.331566,2,46.977078
0.311285,2,47.0428
0.682429,3,47.149253
-6.480781,8,47.43579
1.399304,5,47.619334
-8.014469,6,47.828383
2.942964,8,48.124337
0.350932,2,48.197584
2.907323,8,48.482225
-6.330229,8,48.754333
-3.989819,15,49.303048
0.330484,2,49.376252
2.609743,8,49.671651
0.347075,2,49.74599
0.311285,2,49.819893
0.732137,3,49.933872
0.311285,2,50.006845
1.125884,4,50.139271
-8.015681,5,50.328393
4.959809,13,50.769213
1.919956,6,50.996773
0.751406,3,51.098321
1.080624,4,51.238321
1.170981,4,51.35852
0.316669,2,51.431262
2.223161,7,51.662088
0.746479,3,51.774792
1.635783,6,52.008645
0.311285,2,52.074385
4.592587,13,52.660551
0.321892,2,52.744937
0.328197,2,52.826601
0.668035,3,52.957749
0.319042,2,53.035071
0.331951,2,53.113331
1.286298,5,53.288033
0.721794,3,53.39907
1.254893,5,53.558502
1.102783,4,53.68593
0.315466,2,53.748783
0.385325,2,53.822219
0.331617,2,53.883037
2.38244,8,54.157972
0.337044,2,54.216639
1.568798,5,54.388746
0.358151,2,54.456443
-8.130685,5,54.637833
-2.146333,19,55.289732
0.321172,2,55.362041
2.834618,8,55.721383
1.370675,5,55.924563
1.016588,4,56.075408
-6.314575,10,56.430874
0.36119,2,56.504678
4.116543,13,56.960522
0.373044,2,57.031203
3.456947,10,57.369479
1.730736,6,57.564646
1.174569,5,57.730407
-6.809401,9,58.034056
3.272355,9,58.314401
0.355921,2,58.385058
0.709089,3,58.479498
7.417127,19,59.120767
-8.349712,5,59.293924
-7.085329,8,59.558248
-7.60116,6,59.766174
0.311761,2,59.83434
-7.28967,6,60.043164
-6.266965,11,60.398775
3.192296,8,60.677031
1.791106,6,60.880239
-7.778063,6,61.108502
1.375814,5,61.324661
0.368019,2,61.419672
0.328974,2,61.505732
2.883728,9,61.829419
0.320852,2,61.903391
2.73205,8,62.180853
0.778468,3,62.289955
1.399064,5,62.482203
3.810007,10,62.843053
2.817945,8,63.130935
2.808601,8,63.396737
1.289425,5,63.587399
1.500285,5,63.770202
-8.208607,5,63.961307
1.682069,6,64.186683
1.47121,5,64.363165
1.68107,6,64.573504
0.319394,2,64.638809
0.320144,2,64.706151
-7.626558,7,64.970866
-5.331932,10,65.387175
0.765274,3,65.528192
0.311285,2,65.599367
2.933595,10,65.974012
-8.538854,4,66.116248
4.79778,13,66.571371
-5.581411,11,66.968515
-7.082429,8,67.254013
1.15314,5,67.431474
2.335384,8,67.736766
0.740719,4,67.869449
0.356574,2,67.944806
-6.546617,8,68.228911
1.361526,5,68.398803
1.431132,5,68.5766
2.536964,8,68.859494
1.059486,4,69.01108
1.387711,5,69.179385
1.719739,7,69.438023
1.064515,4,69.57758
0.358746,2,69.654709
0.355405,2,69.720987
1.372423,5,69.910674
2.905491,8,70.277158
-4.358553,15,70.82784
-7.722896,6,71.029449
2.227171,7,71.263398
1.486968,5,71.429383
1.792635,6,71.664195
0.38503,2,71.739209
-7.722255,6,71.970542
-4.339598,17,72.580082
1.897758,6,72.812114
1.072522,4,72.961562
1.135605,4,73.110794
1.018853,4,73.254021
0.750034,3,73.357474
-8.050407,5,73.550084
-7.168703,8,73.852109
2.037932,7,74.094628
2.394922,8,74.367192
1.382109,5,74.556783
1.053023,4,74.709807
-7.303205,7,74.965635
1.398942,5,75.151174
-8.364716,5,75.352849
-6.251445,10,75.787849
0.326546,2,75.85802
-4.662228,12,76.30609
0.311531,2,76.372184
3.361655,11,76.772759
0.343324,2,76.846316
1.231456,5,77.036693
-7.885881,6,77.266094
0.320931,2,77.341319
0.368432,2,77.41622
-8.131681,5,77.596238
0.318081,2,77.672646
0.318342,2,77.739204
-6.309957,8,78.006885
-6.982818,9,78.336429
-8.325575,5,78.5265
-7.687758,7,78.772005
-7.929959,5,78.965487
4.499119,12,88.03755
0.740742,4,88.179777
-5.25621,13,88.631927
0.321576,2,88.691481
0.373357,2,88.760032
0.366563,2,88.834426
1.868278,6,89.052257
1.022618,4,89.189487
0.373545,2,89.258136
2.891686,8,89.532035
-7.303156,6,89.723878
1.475217,5,89.898365
0.333728,2,89.967234
1.145981,4,90.107003
3.661743,9,90.406419
0.356209,2,90.475988
2.00466,6,90.678722
0.333032,2,90.754162
-7.595518,7,91.014732
-8.553759,4,91.165775
1.396146,5,91.353424
2.300757,8,91.644537
0.320022,2,91.720788
1.053803,4,91.865631
0.316896,2,91.941122
0.35704,2,92.018137
0.33725,2,92.094098
0.335129,2,92.168667
3.151724,9,92.512213
0.712172,3,92.616679
0.707789,3,92.738955
1.283725,5,92.925423
0.720024,3,93.036561
0.312251,2,93.112383
0.700843,3,93.226314
0.733857,3,93.346513
2.775473,9,93.689587
0.332928,2,93.76457
-4.114484,13,94.243804
-5.748561,11,94.650249
2.762427,9,95.050212
2.073519,6,95.274846
-7.367366,6,95.504484
0.311285,2,95.581054
1.091376,5,95.751588
1.331409,5,95.937678
0.314583,2,96.017818
1.896331,6,96.237606
-7.279307,7,96.483158
1.021881,4,96.646385
1.372574,5,96.878002
0.702306,3,97.015292
-7.505659,7,97.285794
0.72755,3,97.396222
0.355854,2,97.473883
-7.179054,7,97.725001
-7.559102,6,97.944263
0.327267,2,98.017052
2.228079,7,98.266636
0.347091,2,98.342667
0.33725,2,98.416751
