#{"t_start": 1771613608.1259916, "env_id": "merge-v0"}
r,l,t
3.784589,4,0.128309
4.540116,5,0.241153
6.113711,7,0.388887
5.346046,6,0.518502
5.605005,6,0.653998
9.913255,11,0.882519
12.264384,14,1.171053
12.262818,14,1.467251
5.397547,6,1.586506
3.48145,4,1.663404
13.765843,15,1.945618
11.877695,12,2.183344
12.858145,17,2.515885
11.249555,13,2.804473
4.405163,5,2.904257
7.894164,9,3.075554
9.679131,12,3.303215
7.024965,8,3.466463
5.047857,6,3.594303
10.375339,10,3.795145
5.297205,6,3.909723
10.46309,10,4.0951
2340.709607,3505,72.570676
10.780609,10,72.730415
15.348503,17,73.031357
12.011802,14,73.293323
4.314939,5,73.380671
11.472767,14,73.643493
4.389428,5,73.738396
7.884539,9,73.900507
14.348544,16,74.173851
3.49966,4,74.253298
4.192495,5,74.346428
5.001401,6,74.447304
7.023945,8,74.590741
14.449675,16,74.871232
21.651573,27,75.339302
5.427581,6,75.457997
230.426089,340,89.789208
2.623161,3,89.84244
15.382143,17,90.128521
130.23667,191,93.34181
3.584735,4,93.423014
214.45334,316,98.752232
7.07212,8,98.884708
17.089149,20,99.236943
13.262304,19,99.579912
66.393414,95,101.218408
25.768984,51,102.083475
20.633889,26,102.511678
90.881972,132,104.676625
120.660609,175,107.58755
55.785198,78,108.871238
17.657262,21,109.222362
3.423406,4,109.2931
18.226789,23,109.680918
19.062472,23,110.063561
3.530644,4,110.132076
432.685123,643,121.162857
7.903293,9,121.324847
4.190165,5,121.411853
9.450898,11,121.614518
148.940487,218,133.425496
715.746437,1068,150.565497
2697.625893,4041,232.18245
4.155327,5,232.269294
24990.327783,37480,1003.868439
3688.581292,5528,1123.015116
