#{"t_start": 1773408129.369037, "env_id": "continuous-merge-v0"}
r,l,t
14.746318,42,0.493816
15.006552,34,0.850774
9.563501,25,1.102009
12.879237,34,1.44847
14.839438,47,1.960239
21.057465,45,2.438876
14.202965,45,2.928806
15.613202,40,3.416237
14.877986,37,3.862861
7.381776,23,4.111765
11.807037,28,4.411952
18.795815,39,4.794052
14.569799,43,5.234618
10.125171,26,5.496061
11.737714,28,5.774103
11.581185,28,6.055867
15.08311,35,6.513214
15.762724,38,6.935908
6.118343,21,7.166301
18.072287,37,7.555246
11.274603,28,7.825392
20.74993,44,8.2913
13.016027,32,8.625492
18.812948,39,9.027517
10.48146,28,9.316979
15.722634,41,9.742982
10.49081,27,10.021983
15.083466,36,10.387833
11.150083,27,10.677139
11.833216,28,10.969923
19.919992,42,11.411153
10.255298,26,11.675979
6.224775,21,11.883771
5.735284,20,12.097116
14.943363,39,12.669412
19.302703,40,13.106341
22.73077,49,13.617106
14.886802,36,13.985786
19.69514,41,14.407614
8.225235,23,14.646386
19.958269,42,15.083353
6.435661,21,15.314542
13.170775,31,15.632519
15.771806,36,15.99766
16.250134,45,16.600312
18.443945,38,16.989618
15.348566,34,17.346658
6.123915,21,17.570929
5.791618,20,17.7829
6.406337,21,17.992733
6.540569,22,18.227111
14.593696,32,18.567925
10.635838,27,18.835032
19.886219,42,19.269907
8.623638,24,19.520247
6.485757,22,19.747624
18.854719,39,20.149404
11.74108,28,20.442907
12.576868,30,20.74726
10.980857,27,21.017023
6.332221,21,21.336171
12.526612,29,21.70442
18.446126,38,30.844436
10.267482,26,31.102842
12.716596,32,31.430835
6.027972,21,31.63714
9.513253,25,31.885438
6.555405,21,32.101372
15.55069,36,32.442641
15.384957,41,32.845224
21.064677,45,33.302265
15.961479,40,33.695297
15.414223,40,34.084495
5.496059,21,34.291448
4.968255,20,34.48374
16.186607,38,34.865061
5.908125,20,35.054133
14.373519,47,35.497475
15.623455,35,35.877276
14.575959,42,36.428726
19.532789,41,36.837671
12.033346,29,37.109328
10.880942,28,37.366537
15.320611,37,37.718992
6.494904,21,37.942584
15.247972,38,38.316915
12.327748,30,38.685028
15.721479,37,39.140463
14.955312,37,39.513461
5.37208,20,39.719252
11.402823,28,39.997384
20.304571,43,40.424414
4.795244,19,40.620399
9.395681,25,40.879117
15.401381,40,41.271474
21.1093,45,41.689612
9.561201,26,41.948534
19.133316,40,42.341254
