#{"t_start": 1770766716.6369655, "env_id": "merge-v0"}
r,l,t
5.272274,6,0.182999
24.344015,32,0.897345
5.44274,6,1.03655
4.696128,5,1.147828
3.574425,4,1.233357
13.072079,18,1.614891
14.025053,15,1.917492
10.652353,10,2.117332
9.126377,10,2.328254
6.27735,7,2.477277
7.834386,9,2.653995
7.969358,9,2.848673
10.605589,10,3.075404
7.005438,8,3.238778
4.180648,5,3.346342
12.07125,14,3.621993
4.481306,5,3.732992
6.19436,7,3.888361
14.543571,16,4.216443
9.859586,9,4.38935
10.575743,10,4.580028
3.474668,4,4.662751
23.122357,29,5.251194
13.117269,15,5.565171
10.73924,10,5.750617
3.525416,4,5.830186
5.397319,6,5.940126
3.754389,4,6.022501
38.533013,52,7.089106
4.590986,5,7.211377
11.390775,11,7.441417
2.591769,3,7.508257
10.572377,10,7.716544
5.470543,6,7.835746
10.836675,10,8.034949
7.102296,8,8.193946
4.54728,5,8.298656
2.537667,3,8.368406
14.825096,16,8.720765
7.316183,8,8.883666
3.708581,4,8.972718
15.194511,17,9.327715
4.586105,5,9.43317
12.897891,15,9.738909
6.218754,7,9.890697
5.289462,6,10.006479
10.692396,10,10.204191
4.710233,5,10.302481
17.767555,21,10.7313
6.491387,7,10.873646
3.50534,4,10.949993
3.668754,4,11.037702
4.386046,5,11.131833
11.431311,11,11.340857
8.995237,11,11.557987
5.449272,6,11.686927
7.736351,9,11.874757
4.221517,5,11.978796
13.829705,15,12.261225
3.429491,4,12.343869
5.068388,6,12.463482
4.689314,5,12.564722
12.642652,15,12.842164
11.432738,11,13.039427
4.45533,5,13.131557
24.446732,31,13.71176
3.591675,4,13.79429
16.350501,19,14.154212
3.415253,4,14.230433
2.576711,3,14.289368
7.677608,9,14.465018
5.186474,6,14.573186
14.522898,16,14.870765
13.302906,19,15.221904
9.941363,9,15.389713
6.197258,7,15.529305
10.66276,10,15.709815
3.403026,4,15.788375
3.517891,4,15.863283
6.318185,7,15.995376
3.396994,4,16.07987
10.754089,10,16.259738
11.408677,11,16.460438
3.44077,4,16.538769
5.571265,6,16.649867
6.614587,8,16.795703
10.485603,10,16.986167
7.69237,9,17.149324
6.205988,7,17.287521
2.595119,3,17.343266
8.172641,9,17.520914
4.646264,5,17.615053
8.162309,9,17.774302
7.038957,8,17.91335
13.848061,15,18.196501
10.849529,10,18.383864
7.891801,9,18.547042
3.499673,4,18.632155
6.119387,7,18.756902
13.5885,16,19.061186
3.753599,4,19.144914
12.243509,16,19.438128
3.568898,4,19.514808
7.272177,8,19.677617
7.248415,8,19.828486
17.740117,21,20.203482
63.504563,91,21.898004
10.63573,10,22.090888
3.474762,4,22.17259
7.102658,8,22.320683
6.169039,7,22.457471
8.157386,9,22.629546
6.152748,7,22.76906
7.912674,9,22.931135
9.969519,11,23.135456
7.852913,9,23.306654
4.428466,5,23.403335
6.309564,7,23.53539
5.510346,6,23.648913
5.47244,6,23.764323
9.055675,10,23.950866
3.427396,4,24.026925
12.643197,14,24.293146
3.474937,4,24.369465
10.66675,13,24.604666
11.502504,12,24.826355
6.270654,7,24.959881
11.327662,11,25.157007
15.192929,17,25.467122
4.661222,5,25.559253
10.75475,12,25.778255
9.941451,11,25.974739
13.848765,15,26.249827
6.363765,7,26.380497
5.459565,6,26.489533
11.50926,14,26.73925
10.581859,10,26.923531
13.694252,15,27.205683
3.59836,4,27.281055
8.378663,10,27.467235
4.198783,5,27.560472
4.597628,5,27.653252
5.353735,6,27.761755
11.332068,14,28.029683
6.188136,7,28.168196
10.833444,10,28.361371
3.40792,4,28.444598
3.436174,4,28.520317
4.356168,5,28.623336
2.625887,3,28.680573
12.283202,16,28.980765
10.442684,10,29.165263
11.938828,12,29.389473
4.228645,5,29.488716
4.282682,5,29.589794
5.790536,7,29.715745
3.55526,4,29.793834
17.792074,21,30.172086
5.033825,6,30.282792
8.155658,9,30.447821
3.400898,4,30.522525
3.424762,4,30.600234
6.12091,7,30.730879
2.622996,3,30.789912
11.055108,11,30.986584
15.136517,17,31.299523
4.342324,5,31.396854
3.36841,4,31.473989
4.241292,5,31.564312
3.377551,4,31.641992
3.42211,4,31.715342
6.211899,7,31.840219
5.3014,6,31.957846
6.332626,7,32.089924
39.744996,54,33.067906
20.488621,25,33.529759
4.244202,5,33.619807
7.273682,8,33.77877
11.546585,11,33.978288
11.198607,13,34.210107
7.982498,9,34.376619
5.382145,6,34.488041
6.543354,8,34.635868
4.423105,5,34.732221
4.516283,5,34.825403
15.777996,19,35.166378
6.899339,8,35.309664
27.867874,56,36.314646
3.546365,4,36.387988
4.18766,5,36.479469
3.362092,4,36.553946
3.608374,4,36.629184
7.115129,8,36.771933
320.39009,475,53.059868
10.940244,14,53.3068
9.108699,11,53.501178
13.770626,15,53.781184
18.300132,32,54.334486
6.136371,7,54.455515
4.168167,5,54.544072
12.049473,14,54.793684
7.895366,9,54.952455
12.923099,18,55.270252
4.132693,5,55.366359
54.024018,75,56.688774
3.445807,4,56.758713
9.80186,9,56.919569
270.422919,400,63.990853
3.415412,4,64.081687
18.668559,23,64.504673
17.335841,21,64.903922
3.46168,4,64.981081
6.155669,7,65.111915
4.671983,5,65.213437
4.698415,5,65.309391
5.484029,6,65.422085
4.588509,5,65.511769
6.208258,7,65.635147
15.476335,18,65.947973
18.395805,22,66.328638
6.171416,7,66.456702
9.394883,11,66.650002
5.20224,6,66.758669
5.011827,6,66.865389
28.418707,37,67.498842
10.548867,10,67.671567
10.896943,14,67.924375
14.968525,17,68.240211
4.556209,5,68.338707
10.493905,10,68.514086
3.391699,4,68.592036
3.453358,4,68.668741
10.239342,12,68.87984
20.447638,25,69.331573
7.044685,8,69.470159
5.483762,6,69.572878
7.047004,8,69.706089
3.756997,4,69.771355
156.761222,231,73.802264
5.461899,6,73.908013
127.074026,185,77.052132
26.545788,35,77.679846
7.795838,9,77.851468
4.51449,5,77.945609
6.212668,7,78.072011
10.586652,10,78.242682
13.081637,15,78.507225
4.353255,5,78.601201
3.539436,4,78.672378
4.361415,5,78.767361
44.53143,61,79.773788
4.414555,5,79.861586
3.337149,4,79.93024
21.330988,27,80.35317
3.432788,4,80.420402
21.768101,27,80.896209
306.434369,454,97.101611
82.512576,118,99.124608
16.33362,19,99.468604
39.728008,54,100.412534
55.438576,77,101.721078
5.502143,6,101.830122
55.712864,78,103.183647
2.692593,3,103.239793
2.580392,3,103.295736
4.214238,5,103.384633
7.326697,8,103.530552
96.790838,226,107.385559
13.680968,16,107.653011
12.577146,15,107.915712
11.627292,13,108.136236
7.645867,9,108.28682
134.438093,196,111.493199
7.31113,8,111.636187
106.939192,156,114.165212
13.255102,19,114.476245
4.149668,5,114.564635
5.398547,6,114.672977
37.699323,51,115.555092
28.054685,37,116.159553
161.597246,237,120.148476
3.366774,4,120.221615
5.305816,6,120.332975
4.549442,5,120.426682
3.379011,4,120.497932
14.131054,21,120.858645
70.831453,101,122.516635
15.067119,17,122.80601
49.664903,112,124.670549
61.14708,86,126.184998
184.336606,271,138.817956
228.160944,338,144.103514
711.796064,1062,160.992217
80.608116,115,162.878062
31093.006298,46634,1147.694678
3.380906,4,1147.768749
14078.970741,21113,1596.979451
9959.456041,25595,2144.189882
21.809451,27,2144.60562
