#{"t_start": 1771638416.4110205, "env_id": "highway-v0"}
r,l,t
5.110404,6,1.384583
67.416462,100,23.790794
73.835041,100,46.062215
6.87548,10,48.329427
9.740751,12,51.039974
77.699339,100,73.443868
21.659621,26,79.271764
9.987146,12,81.976913
71.462633,100,104.436559
16.44324,19,108.69803
13.426214,17,112.520012
80.789409,100,134.936172
74.139467,100,157.280554
22.728642,27,163.335089
9.585466,13,166.246229
9.10575,11,168.706741
8.046002,10,170.958069
20.472103,25,176.614554
75.09891,100,199.196184
24.261568,100,221.680245
6.837665,8,223.495879
7.037164,9,225.522032
4.092088,6,226.880046
81.08175,100,249.293241
69.491495,100,271.771809
6.294963,8,273.567796
80.083988,100,296.042436
64.590155,100,318.421871
69.470715,100,340.914886
11.787547,14,344.063594
10.773894,13,346.990286
4.666667,6,348.331644
71.566019,100,370.731236
77.10274,100,393.184011
5.921409,7,394.744302
9.73785,13,397.647021
3.654276,5,398.771906
70.126893,100,421.222923
2.968341,4,422.120388
15.004681,21,426.846457
5.98728,7,428.416887
6.14633,8,430.205139
7.110374,9,432.233923
19.145318,25,437.811721
6.053344,8,439.586154
11.037267,12,442.264075
5.853544,7,443.841031
44.943459,100,473.610718
6.716781,8,475.402618
76.857143,100,497.770876
67.689313,100,520.286299
35.510127,100,542.928394
58.5255,70,558.617852
72.343406,100,580.919063
69.220145,100,603.33321
27.035447,35,611.207777
72.915544,100,633.482462
16.898545,18,637.558493
78.247234,100,659.965067
3.605579,5,661.072817
4.933333,6,662.429743
75.731995,100,684.870171
9.088174,11,687.376721
82.766483,100,709.745694
75.209432,100,732.078432
72.72522,100,754.224493
14.152838,17,757.996817
7.292264,8,759.779355
21.678592,25,765.329669
35.002247,45,775.408985
70.487528,100,797.740214
82.02331,100,820.091952
3.017467,4,820.987059
67.530048,100,843.191337
5.757693,7,844.760683
40.846165,52,856.379201
31.073821,100,878.642434
4.7954,6,879.997378
30.415411,38,888.469591
80.497539,100,910.697812
5.479909,7,912.245428
8.890802,10,914.486984
76.80832,100,944.348154
75.311178,100,966.643328
72.596538,100,988.908369
67.522109,100,1011.288383
76.749298,100,1033.61841
80.404797,100,1055.999595
3.066667,4,1056.904143
80.714929,100,1079.560031
79.344211,100,1101.893336
79.016618,100,1124.164235
1.801175,3,1124.851793
73.611257,100,1147.174389
47.74812,59,1160.277962
76.67581,100,1182.522643
81.627918,100,1204.854278
69.61014,100,1227.286392
78.2339,100,1249.607891
74.201962,100,1272.007945
10.640967,12,1274.680119
81.436772,100,1297.060862
