#{"t_start": 1771645762.296672, "env_id": "highway-v0"}
r,l,t
7.839111,10,2.269729
61.346696,77,19.256068
4.751385,6,20.594235
43.646592,140,51.33725
57.222936,140,82.197235
5.876696,7,83.760362
4.876332,6,85.095938
20.239595,26,90.866227
3.632383,5,91.968324
3.000663,4,92.873622
30.577778,140,123.755336
5.547511,8,125.529613
6.606246,9,127.523708
24.149911,27,133.513595
41.445244,53,145.300187
11.23795,15,148.62891
9.881497,12,151.282446
13.066667,15,154.581205
15.387636,20,159.005124
78.654441,140,189.988747
12.705978,15,193.318958
106.229566,140,224.427774
120.20058,140,255.443138
101.641178,140,286.444572
56.068291,69,301.77226
110.815833,140,332.73197
54.583516,140,363.697162
1.197972,2,364.147392
106.720522,140,395.078503
22.394361,27,401.055565
99.714468,140,431.927706
3.244444,4,432.811726
57.615994,72,448.783602
16.204717,19,453.023914
36.969029,46,470.433142
60.054326,74,486.750211
16.927789,20,491.203691
1.782709,3,491.865442
100.597176,140,522.73632
105.857491,140,553.794359
8.781164,10,556.035398
100.952691,140,586.949165
106.105032,140,617.786467
106.993507,140,648.675794
100.327649,140,679.631553
109.847583,140,710.614738
112.486981,140,741.711899
7.003237,9,743.722522
102.605506,140,774.743936
108.805929,140,805.910598
26.432473,35,813.686686
3.911306,5,814.787541
6.789658,9,816.780815
108.455836,140,847.790468
113.537819,140,878.746722
8.542319,10,880.947488
99.512792,140,911.904408
104.818764,140,950.203975
96.286107,118,976.297476
104.340363,140,1007.356464
106.315203,140,1038.171628
103.15705,140,1068.986934
111.129087,140,1099.759214
119.491078,140,1130.686316
102.132793,140,1161.655199
103.953146,140,1192.611572
3.059502,4,1193.501215
112.37728,140,1224.397862
117.210392,140,1255.346704
3.566307,5,1256.476326
2.125034,3,1257.14587
103.011935,140,1288.025693
11.625911,14,1291.094673
100.733454,140,1322.117372
105.989522,140,1353.064964
103.497052,140,1391.366142
103.541489,140,1422.266428
97.112388,140,1453.359204
111.822323,140,1484.328892
107.620651,140,1515.240008
97.122058,140,1546.221466
106.596024,140,1577.172577
111.832288,140,1608.185564
109.397117,140,1639.267401
101.395989,140,1670.316401
106.1731,140,1701.249273
111.195577,140,1732.157779
111.490135,140,1763.206828
109.808427,140,1794.316306
3.218544,5,1795.4318
103.365823,140,1826.38291
105.710762,140,1864.766812
109.542085,140,1895.739889
102.391321,140,1926.714138
96.372474,140,1957.763493
110.675756,140,1988.543897
105.123694,140,2019.302527
106.515934,140,2050.250749
103.262951,140,2081.269648
2.06561,3,2081.939674
109.467402,140,2113.045693
112.791024,140,2144.131259
109.19183,140,2175.2195
111.716907,140,2206.286391
113.472095,140,2237.290634
104.960208,140,2268.43812
109.483352,140,2306.80918
108.13377,140,2337.826508
112.853408,140,2368.903177
104.431987,140,2399.751923
3.038735,4,2400.633785
109.281447,140,2431.734815
111.743338,140,2462.68292
108.276483,140,2493.551394
106.937535,140,2524.640643
109.410127,140,2555.653701
108.841856,140,2586.713658
105.758334,140,2617.664578
3.896283,5,2618.782129
107.350089,140,2649.70871
101.582301,140,2680.820472
113.054621,140,2711.784565
115.724745,140,2742.732181
108.07887,140,2781.150618
111.285393,140,2812.168238
110.657868,140,2843.125905
106.09071,140,2874.041795
118.096826,140,2904.885462
106.067579,140,2935.879101
104.327388,140,2966.96053
102.842447,140,2998.002454
115.612041,140,3029.084835
109.272172,140,3060.043036
93.409361,111,3084.547077
107.731467,140,3115.519004
109.000827,140,3146.471396
106.865437,140,3177.389349
105.476897,140,3208.469307
110.666102,140,3247.080711
109.753419,140,3278.15437
115.396444,140,3309.12688
114.033008,140,3340.103994
116.462981,140,3370.972755
104.156241,140,3401.901737
119.700996,140,3432.878905
44.204679,54,3444.919729
111.32822,140,3476.116339
104.683426,140,3507.091177
115.107411,140,3537.975162
104.419645,140,3568.883843
47.143817,60,3582.184831
112.765163,140,3613.194436
107.733023,140,3644.207456
1.86383,3,3644.873704
110.153511,140,3675.794682
108.34691,140,3713.983861
114.149841,140,3744.91419
107.464297,140,3775.864142
111.857067,140,3806.831802
109.930253,140,3837.772954
116.162989,140,3868.764147
113.450723,140,3899.846419
111.374993,140,3930.844204
115.813538,140,3961.760595
106.697561,140,3992.756557
94.935926,119,4019.203834
113.88955,140,4050.237463
115.272423,140,4081.233135
114.355872,140,4112.437092
104.29569,140,4150.807039
110.070136,140,4181.885508
113.109637,140,4212.968673
104.525426,140,4243.987286
107.138639,140,4275.112087
109.783947,140,4306.138308
112.885586,140,4337.184841
112.356004,140,4368.258875
108.355188,140,4399.234102
114.551449,140,4430.316844
110.771982,140,4461.439367
108.075038,140,4492.472234
101.391966,140,4523.482042
108.277383,140,4554.464614
104.953685,140,4585.454677
112.928052,140,4623.735222
103.529104,140,4654.776115
105.398966,140,4685.707576
112.41074,140,4716.791564
108.554194,140,4747.758226
105.304157,140,4778.752418
100.868995,140,4809.788481
106.894259,140,4840.803594
108.044751,140,4871.733195
114.605783,140,4902.725736
111.576597,140,4933.677492
108.511335,140,4964.688465
112.064481,140,4995.657959
110.449284,140,5026.540714
106.594002,140,5057.476705
111.407226,140,5095.932979
108.599695,140,5127.007476
104.714531,140,5157.951108
111.759828,140,5188.977505
115.344687,140,5219.821504
106.107509,140,5250.743924
115.248341,140,5281.797203
109.86817,140,5312.688097
113.888076,140,5343.681829
111.251201,140,5374.59512
107.442992,140,5405.495238
113.777232,140,5436.431252
113.690434,140,5467.460955
112.191652,140,5498.274223
111.2484,140,5536.560356
118.482294,140,5567.392297
117.325979,140,5598.284641
108.72158,140,5629.056785
107.99032,140,5659.803658
116.978216,140,5690.596375
112.071004,140,5721.317694
106.494735,140,5752.070698
116.601387,140,5782.765026
114.771661,140,5813.569314
111.641523,140,5844.311399
112.219732,140,5874.970831
120.845262,140,5905.887085
110.676676,140,5936.706656
110.808774,140,5967.518054
118.67592,140,6005.7278
114.157236,140,6036.383856
116.895905,140,6067.202938
115.704317,140,6098.149268
121.510737,140,6128.816118
115.633393,140,6159.351567
112.946644,140,6189.850619
111.003169,140,6220.417678
56.334375,64,6234.340162
112.955504,140,6264.873153
45.581519,54,6276.786821
119.148529,140,6307.38136
112.700414,140,6337.835622
113.932815,140,6368.106525
110.925924,140,6398.59734
111.052316,140,6428.98655
115.273098,140,6466.715624
106.141419,140,6496.88677
108.084112,140,6526.990512
109.20904,140,6556.990524
109.360035,140,6587.06156
122.535393,140,6617.18514
111.540636,140,6647.505613
117.887151,140,6677.657912
114.531051,140,6707.754504
103.757958,140,6737.794007
110.216837,140,6768.035405
113.050421,140,6798.122822
115.024,140,6828.378558
108.959862,140,6858.536767
115.221832,140,6896.306694
115.872771,140,6926.47945
87.757292,105,6949.215257
117.28759,140,6979.332703
111.742681,140,7009.452605
116.608226,140,7039.532331
115.126705,140,7069.649187
36.360359,44,7079.07933
112.933544,140,7109.139905
112.779051,140,7139.163145
115.524956,140,7169.201215
114.149693,140,7199.384817
115.558554,140,7229.92913
118.939645,140,7260.203176
110.897389,140,7290.222497
118.908697,140,7320.241824
108.533491,140,7357.860001
112.602546,136,7387.263656
111.298231,140,7417.498832
29.927105,37,7425.521094
112.08822,140,7455.833162
109.272771,140,7485.961962
110.546397,140,7516.126804
110.522147,140,7546.345008
113.121672,140,7576.58143
119.829074,140,7606.817818
109.423708,140,7636.827998
121.023216,140,7667.094994
116.120348,140,7697.184877
115.923395,140,7727.335533
118.908529,140,7757.366635
111.274875,140,7795.056192
110.500574,140,7825.183881
108.774007,140,7855.204561
110.923861,140,7885.378499
115.198634,140,7915.610394
114.258769,140,7945.605599
115.309304,140,7975.775058
43.318339,50,7986.607505
108.945003,140,8016.791071
114.599012,140,8046.951753
110.906544,140,8077.207035
108.610309,140,8107.365157
120.691744,140,8137.453394
119.002797,140,8167.669458
117.846601,140,8197.856333
112.828302,140,8235.524061
112.07671,140,8265.662431
113.98361,140,8295.706692
112.864029,140,8326.162281
111.609589,140,8356.242045
115.098647,140,8386.301566
117.307393,140,8416.460501
116.881164,140,8446.565073
114.257671,140,8476.657789
114.489393,140,8506.863682
113.014767,140,8537.169827
110.636697,140,8567.401147
120.97443,140,8597.571783
