#{"t_start": 1771604883.68863, "env_id": "highway-v0"}
r,l,t
8.182195,10,6.311701
11.984119,15,9.64875
7.785849,9,11.64616
71.167361,100,33.901828
8.144818,10,36.134793
28.084947,31,43.035246
13.071611,15,46.410508
4.875735,6,47.761524
19.505732,26,53.567831
77.62276,100,75.904914
34.785222,43,85.571122
74.973902,100,107.964744
54.988791,71,123.903399
10.727231,12,126.588315
76.976926,100,148.872525
15.759633,21,153.598258
9.693,11,156.05227
7.068385,9,158.056718
32.202811,37,166.238248
18.926732,21,170.961954
15.19288,18,175.006778
4.845698,6,176.355439
4.061972,5,177.502927
11.952124,14,180.621497
7.036769,10,182.858922
37.401474,47,193.359071
1.861661,3,194.026458
67.965319,100,216.333946
20.20043,27,222.386707
70.163653,100,244.800053
4.297591,6,246.146717
5.97668,8,247.963745
69.589907,100,270.293567
32.658796,43,279.991757
1.330884,2,280.440494
67.476358,100,302.881537
4.8,6,304.233433
8.744334,11,306.713238
11.780232,15,310.128281
9.227179,12,312.836117
32.435468,43,322.55404
12.43834,16,326.115927
50.975758,100,348.497769
33.442639,40,357.435387
1.333333,2,357.892117
3.210042,5,359.024587
11.090654,14,362.21353
55.23244,100,384.66901
17.112777,21,389.395458
78.81256,100,411.975178
14.972251,18,416.034403
8.76271,10,418.297072
13.955223,18,422.299386
10.301801,12,425.025661
18.090027,22,429.963866
47.901552,100,452.333866
21.668849,23,457.479143
4.576575,6,458.829708
13.723511,17,462.633729
16.563065,21,474.798807
59.103213,72,490.90981
72.878251,100,513.318673
14.948107,19,517.570952
26.719761,100,540.014633
30.01929,38,548.509808
8.656003,10,550.753478
1.076922,2,551.20838
69.701157,100,573.618514
9.107544,13,576.527
69.017123,100,598.899301
77.055989,100,621.226855
68.367298,100,643.563311
15.394828,20,648.045339
36.207263,100,670.356423
71.084543,100,692.64696
71.73769,100,715.033881
75.870036,100,737.383552
72.898902,100,759.823724
66.659063,88,779.317795
7.565736,9,781.345861
5.707604,8,783.111952
72.599477,100,805.434295
57.869853,73,821.618041
3.171622,4,822.515251
16.51509,21,827.228736
64.533161,86,846.419681
10.488299,14,849.514472
76.212358,100,871.623327
63.727187,76,888.514811
71.181054,100,910.791104
77.925593,100,940.606225
63.376014,79,958.165361
51.890022,61,971.726089
5.098222,7,973.279761
9.834883,13,976.185136
6.551012,8,977.975529
75.119612,100,1000.259096
5.076469,7,1001.827271
76.201041,100,1024.14611
79.339857,100,1046.491481
73.843709,100,1068.972119
76.993383,100,1092.569364
3.922342,5,1093.713817
77.262023,100,1116.696271
81.129369,100,1138.936813
74.763227,100,1161.164919
8.700753,12,1163.843679
78.926655,100,1186.057984
79.086687,100,1208.360182
69.328773,100,1230.732774
77.672843,100,1253.117298
80.707633,100,1275.383013
47.577524,57,1288.128504
76.379268,100,1310.882074
73.276533,100,1335.236348
3.332765,5,1336.392078
75.65483,91,1357.269632
66.416216,100,1379.633079
71.87298,100,1409.683895
81.433128,100,1432.022257
77.253301,100,1454.308665
75.323579,100,1476.6535
77.576169,100,1498.960863
77.683423,100,1521.145804
76.97715,100,1543.380706
74.647242,100,1565.660996
80.400657,100,1587.922135
77.430485,100,1610.196153
77.296307,100,1632.386733
75.095621,100,1654.64166
75.408856,100,1677.000055
77.102073,100,1699.186928
74.587762,100,1721.388107
75.514469,100,1743.716107
75.556628,100,1765.975501
72.433378,100,1788.371592
33.754619,41,1797.470756
73.437944,100,1819.74233
75.764033,100,1842.108519
75.086893,100,1872.345696
76.767552,100,1894.684595
77.801392,100,1916.915115
71.092152,100,1939.040899
77.590745,100,1961.275396
77.627101,100,1983.483375
3.926653,5,1984.587785
80.487679,100,2006.812064
77.845917,100,2029.170998
77.362582,100,2051.426566
79.909719,100,2073.825385
71.99386,100,2096.228843
74.388382,100,2118.442209
81.408632,100,2140.705558
76.924478,100,2163.056795
76.783254,100,2185.432726
77.124062,100,2207.731292
80.339159,100,2229.99632
77.107379,100,2252.233733
78.369275,100,2274.494758
76.279517,100,2296.760811
73.571782,100,2319.050501
75.129304,100,2349.330883
77.659323,100,2371.465094
75.240829,100,2393.704827
76.023841,100,2415.918342
77.94398,100,2438.193077
71.480081,100,2460.443789
77.717076,100,2482.761544
