#{"t_start": 1772478784.3388336, "env_id": "highway-v0"}
r,l,t
42.369034,56,38.058796
2.690908,4,40.611481
1.932942,3,42.524725
1.405007,3,44.445901
22.383089,30,65.261887
4.684681,7,70.167595
6.696315,8,75.839505
0.293556,1,76.546681
64.681622,86,138.331258
1.160699,2,139.74356
1.805858,3,141.839526
5.158232,7,146.5046
1.733333,3,148.435873
4.527131,6,152.401161
81.01203,120,229.478113
5.909189,7,233.970344
1.038442,2,235.251755
3.391736,6,238.845207
1.911742,3,240.724499
1.808707,3,242.629552
1.933333,3,244.523067
10.778429,15,254.10535
0.148069,1,254.726363
1.004373,2,256.014209
1.119181,2,257.295853
29.135641,39,282.073744
2.788103,4,284.603532
88.501544,120,361.689724
8.770425,12,369.489892
32.546824,45,399.497419
2.380765,4,401.955938
6.041428,9,407.787873
4.812747,7,412.354101
0.835079,2,413.632589
5.637795,7,418.116341
6.075304,9,423.876047
1.679162,3,425.820949
2.494095,4,428.381921
2.415514,4,430.940192
7.471688,11,437.963795
3.372374,5,441.112466
2.779424,4,443.624374
3.768192,6,447.387425
16.769192,22,461.240518
5.568639,7,465.59655
10.980523,15,475.044886
25.653076,36,497.885692
0.887914,2,499.164871
0.151958,1,499.791843
2.733337,4,502.356636
3.982447,6,506.228087
1.146426,2,507.627487
0.888543,2,509.092546
2.291074,4,511.816199
0.882372,2,513.167921
3.0,5,516.438056
1.035012,2,517.690857
7.630337,10,524.151842
4.108541,5,527.712095
4.568745,6,531.819341
6.286727,8,536.963892
43.3878,61,576.712783
2.566665,4,579.284745
0.719975,2,580.577314
1.634988,3,582.455582
1.6,3,584.333234
2.853148,4,586.841608
83.343851,120,662.151003
1.533333,3,664.030552
89.124941,120,739.282955
5.755556,7,743.732784
0.846433,2,745.005746
17.079625,25,760.802118
2.309312,4,763.305859
6.109407,8,768.384856
0.143097,1,769.013048
10.768689,14,777.800852
3.782314,5,780.976324
7.074269,10,787.242683
3.157,5,790.35372
3.367374,5,793.482691
4.143821,6,797.25488
0.263195,1,797.893827
3.805421,5,801.03043
0.785198,2,802.290258
8.641596,11,809.243325
9.181743,13,817.42944
1.894284,3,819.328291
1.122094,2,820.580545
5.013305,7,824.955438
16.040832,23,839.461382
4.030538,5,842.597892
3.878037,5,845.717592
19.975569,27,863.030669
0.105903,1,863.66834
13.040922,18,874.784675
5.554207,8,879.812751
0.721002,2,881.05582
3.507217,5,883.994094
1.615882,3,885.883907
0.075866,1,886.510702
4.494537,6,890.307844
6.687052,9,895.97107
3.289533,5,899.133499
4.8,6,902.925749
7.908756,10,909.219629
0.115602,1,909.849528
1.288889,2,911.115059
0.088512,1,911.745266
3.955556,5,914.873718
4.305259,6,918.628641
9.057906,13,926.737651
1.348401,3,928.601904
3.150394,4,931.119708
5.123001,6,934.889657
0.755556,2,936.135771
2.097402,3,938.048315
1.933333,3,939.941617
1.974218,3,941.809437
0.200508,1,942.440939
0.111495,1,943.074777
1.467643,3,944.969605
2.101111,3,946.860559
15.235327,21,960.070507
0.776,2,961.315236
2.653385,4,963.808583
4.036448,6,967.600404
0.13986,1,968.221435
8.826831,14,977.057307
6.389519,10,983.327246
86.793662,120,1058.401045
4.931945,6,1062.148622
88.777496,120,1137.45624
3.01424,4,1139.987011
0.871688,2,1141.244343
0.223037,1,1141.879284
14.229845,20,1154.50014
88.160291,120,1229.907161
7.189946,10,1236.203571
0.786859,2,1237.449651
0.119619,1,1238.09721
84.540821,120,1324.526355
0.214736,1,1325.177177
2.618004,4,1327.691079
40.703881,120,1402.96821
2.890169,5,1406.129177
1.626004,3,1408.004262
9.906019,11,1414.903445
1.648545,3,1416.790323
5.831177,9,1422.447386
2.673479,4,1424.943904
1.944905,3,1426.831097
8.891268,12,1434.39872
6.694607,9,1440.077989
3.737387,5,1443.201828
4.317589,6,1446.952126
3.636028,5,1450.051993
86.857886,120,1525.351552
0.056842,1,1525.984807
0.227259,1,1526.607143
92.525746,120,1601.693524
4.203851,6,1605.45616
94.12704,120,1681.506185
4.734571,7,1685.802171
7.73276,12,1693.301192
46.562509,120,1768.136981
0.867769,2,1769.381913
6.576267,8,1774.409506
1.694126,3,1776.298496
51.263239,120,1851.908145
7.88418,11,1858.821859
4.998585,7,1863.24262
0.840509,2,1864.516271
1.70637,3,1866.392452
