#{"t_start": 1771619417.6399455, "env_id": "highway-v0"}
r,l,t
3.068097,4,0.943654
13.005831,15,4.326626
3.985165,5,5.466686
13.969206,16,9.153542
71.191178,100,31.582909
16.476687,21,36.296953
6.543907,8,38.077057
8.8842,11,40.529281
8.518873,12,43.196163
2.924227,4,44.089373
28.8777,100,66.389608
4.187298,6,67.734528
4.555925,6,69.087239
15.900111,17,72.856261
64.921242,100,95.243733
12.570751,17,99.026033
6.722974,8,100.810068
68.765174,100,123.01714
6.433074,8,124.810176
73.917795,100,147.000386
16.461877,20,151.440412
69.887714,100,173.761038
47.084728,55,186.080801
69.134627,100,208.260817
77.138775,100,230.467195
7.533135,9,232.485819
16.940929,20,236.939222
6.704573,10,239.152812
51.19658,100,261.474771
30.442206,38,269.937501
5.888867,7,271.499215
71.130556,100,293.813265
16.438664,19,298.035219
20.467475,24,303.373619
11.114563,14,306.520573
46.369591,55,318.793363
13.021847,15,322.13294
42.98137,59,335.360833
8.855576,12,338.053066
5.405534,7,339.617062
72.980071,100,361.854902
6.305886,8,363.652167
20.666667,100,385.891233
72.256819,100,408.321263
3.844444,5,409.451895
4.780182,6,410.797397
18.848399,21,415.514359
11.655035,15,418.856164
66.827739,100,441.148249
9.017132,10,443.409566
21.061626,28,449.65753
81.784066,100,479.012788
23.222116,30,485.639731
24.469391,28,491.865353
74.942386,100,514.093106
72.316057,100,536.41372
74.342861,100,558.631868
7.328257,9,560.655478
16.171363,20,565.105135
47.891801,100,587.292548
73.64162,100,609.43186
74.439543,100,631.552486
28.332172,100,653.88714
25.572696,100,676.229586
68.391665,100,698.695872
74.265568,100,721.035645
81.616327,100,743.329936
79.78497,100,765.678077
79.432902,100,787.934214
3.636512,5,789.055427
5.326757,7,790.602006
29.297571,100,812.812922
77.161326,100,835.016255
70.758809,100,857.281846
9.642934,11,859.729519
74.187915,100,881.972443
69.148653,100,904.060024
13.812034,17,907.834224
71.117178,100,937.337927
70.954617,86,956.437651
77.291891,100,978.608638
79.457197,100,1000.769534
76.618277,100,1022.972843
4.044725,5,1024.077156
71.447346,100,1046.270368
72.529698,100,1068.540718
73.894729,100,1090.768254
83.020347,100,1112.975407
78.35599,100,1135.169436
72.889814,100,1157.360852
66.936266,100,1179.63392
2.636182,4,1180.533221
82.331555,100,1202.768438
76.138909,100,1225.079656
71.771116,100,1247.327028
73.867426,100,1269.621511
78.443505,100,1291.912813
78.545937,100,1314.231748
73.812515,100,1336.409857
5.333333,6,1337.743691
48.67742,100,1359.953919
80.356736,100,1382.325148
80.376108,100,1411.824523
81.564626,100,1434.104542
78.004597,100,1456.319081
76.228882,100,1478.637601
81.496515,100,1500.906902
77.297416,100,1523.105292
80.718012,100,1545.273422
75.654524,100,1567.456868
78.234028,100,1589.52862
79.679622,100,1611.974396
79.468096,100,1634.187528
77.298379,100,1656.466302
3.000105,4,1657.365933
75.570306,100,1679.600303
82.409136,100,1701.89939
74.8324,100,1724.023139
73.270415,100,1746.220956
77.528889,100,1768.422774
78.9941,100,1790.690146
79.508097,100,1812.924414
82.619479,100,1835.182608
76.557259,100,1864.749014
76.392328,100,1886.870883
74.791591,100,1909.085465
76.285628,100,1931.404162
79.904486,100,1953.636379
79.551615,100,1975.833404
76.133072,100,1998.045743
71.434235,100,2020.233244
78.554857,100,2042.547243
78.863357,100,2064.797861
81.203265,100,2087.023418
76.418001,100,2109.205834
70.686237,100,2131.370903
78.838111,100,2153.559892
72.49155,100,2175.802442
79.730327,100,2198.11659
77.502317,100,2220.351305
81.786044,100,2242.528182
77.822445,100,2264.762201
3.976255,5,2265.898035
73.177063,100,2288.059221
81.452141,100,2317.571434
76.345686,100,2339.886613
75.51274,100,2362.158239
2.855608,5,2363.276389
80.107911,100,2385.416728
75.163178,100,2407.59016
76.073649,100,2429.864226
79.002599,100,2452.070898
73.128191,100,2474.436082
78.211654,100,2496.694716
77.758835,100,2518.98503
75.942003,100,2541.204441
75.327946,100,2563.384828
73.560429,100,2585.621912
81.741717,100,2607.82905
78.177825,100,2630.07315
80.37509,100,2652.316046
78.842726,100,2674.381415
78.620711,100,2696.427876
81.861545,100,2718.526449
72.757757,100,2740.639915
75.86066,100,2762.89802
79.856106,100,2792.335315
80.725879,100,2814.451366
77.13735,100,2836.641474
74.770877,100,2858.850159
79.458908,100,2881.018104
76.021988,100,2903.207104
76.811118,100,2925.296585
4.069372,6,2926.614721
77.446111,100,2948.779014
78.097203,100,2970.952154
82.94444,100,2993.082812
77.347172,100,3015.274636
81.169262,100,3037.433838
78.667299,100,3059.507159
77.2174,100,3081.700088
75.899498,100,3103.738582
76.167344,100,3125.788562
76.551179,100,3147.883147
80.638547,100,3169.886453
75.550677,100,3191.906071
74.755252,100,3213.97495
79.260303,100,3243.441109
80.479787,100,3265.678457
73.330163,100,3287.973812
5.171142,7,3289.525642
80.594288,100,3311.444079
78.644811,100,3333.443618
79.607299,100,3355.400525
82.145075,100,3377.311112
78.958381,100,3399.258511
80.223423,100,3421.325971
79.436341,100,3443.27104
76.121258,100,3465.158396
82.494204,100,3487.282385
73.034135,100,3509.266966
74.983709,100,3531.324005
74.362118,100,3553.475883
60.547098,73,3569.39161
74.879943,100,3591.247913
80.283742,100,3613.10042
80.124044,100,3634.998546
81.897724,100,3657.021235
77.913093,100,3678.833593
73.586657,100,3707.973494
2.645261,4,3708.851744
80.296961,100,3730.782281
78.389886,100,3752.621246
77.709546,100,3774.327387
83.047204,100,3796.099176
82.037524,100,3817.837641
77.184937,100,3839.440779
77.408747,100,3860.916228
78.076718,100,3882.487628
80.622439,100,3904.058001
75.684784,100,3925.564163
82.780365,100,3947.219519
80.350279,100,3968.762493
78.004605,100,3990.443127
77.345109,100,4011.998369
80.350979,100,4033.522565
79.868408,100,4055.013891
76.824181,100,4076.547619
81.379634,100,4098.032032
76.660684,100,4119.512598
84.224792,100,4148.369932
79.888965,100,4170.161782
85.131527,100,4191.734098
80.673578,100,4213.408823
79.466246,100,4235.014069
77.777692,100,4256.658938
81.545897,100,4278.400773
79.766581,100,4299.905809
78.900045,100,4321.343643
81.855492,100,4342.806284
79.633228,100,4364.374379
81.466137,100,4385.887143
79.846774,100,4407.359519
78.428743,100,4428.798565
82.571227,100,4450.283981
78.976575,100,4471.821923
77.822265,100,4493.317282
81.127081,100,4514.845273
77.328881,100,4536.256133
79.83722,100,4557.728501
79.324568,100,4579.198694
84.719683,100,4607.809272
84.368344,100,4629.292625
75.67578,100,4651.654381
81.573975,100,4678.384804
80.096658,100,4706.115289
83.785036,100,4733.207184
80.854418,100,4760.392294
83.742836,100,4787.620428
80.824422,100,4814.914799
84.133321,100,4842.185544
83.198593,100,4869.457541
80.698467,100,4896.775213
81.875347,100,4924.193396
81.230919,100,4951.453043
80.68325,100,4978.881875
40.24778,50,4992.532163
80.437779,100,5019.673041
85.91515,100,5047.007805
80.863583,100,5074.201488
82.068814,100,5101.468857
84.22246,100,5128.627314
80.655535,100,5165.495195
82.655687,100,5192.689549
77.848604,100,5220.092366
81.872257,100,5247.342541
78.627318,100,5274.614502
80.198012,100,5301.827397
82.636582,100,5329.232177
82.705263,100,5356.316206
78.382153,100,5383.577198
77.777888,100,5410.866551
82.116759,100,5438.184734
84.427773,100,5465.310526
78.129819,100,5492.359297
82.398433,100,5519.324312
80.445529,100,5546.517723
81.478542,100,5573.721293
83.929911,100,5600.981408
82.972545,100,5628.021771
78.883068,100,5655.086906
78.182855,100,5682.220555
79.768422,100,5719.692477
81.338383,100,5747.096518
81.937446,100,5774.172457
82.524344,100,5801.211163
82.777809,100,5828.295029
78.011715,100,5855.516701
81.936818,100,5882.937348
81.4497,100,5910.114594
77.724601,100,5937.442189
84.028279,100,5964.601482
84.641801,100,5991.954677
81.10545,100,6019.199082
77.613884,100,6046.216835
79.234898,100,6073.507729
80.72602,100,6100.677099
82.55569,100,6127.968216
78.694104,100,6155.16445
81.640827,100,6182.411486
82.534243,100,6209.67868
85.363821,100,6237.080683
77.987937,100,6264.25283
80.812652,100,6301.62611
80.005274,100,6328.9032
42.936366,51,6342.778053
83.838809,100,6370.021292
83.388233,100,6397.381721
84.310844,100,6424.671353
85.739257,100,6451.923185
81.754109,100,6479.271298
81.919381,100,6506.581153
83.07095,100,6533.650806
83.21944,100,6560.861064
80.60898,100,6588.203789
85.516889,100,6615.560942
84.020063,100,6642.950872
81.751585,100,6670.37465
83.83731,100,6697.81966
82.157358,100,6725.075094
79.704036,100,6752.357873
83.550665,100,6779.70552
83.090994,100,6807.093887
79.992552,100,6834.36149
82.327594,100,6871.882133
86.164525,100,6899.182991
79.475227,100,6926.346603
80.326123,100,6953.618144
81.143522,100,6980.897998
73.021121,92,7005.979212
81.582285,100,7033.198539
83.428563,100,7060.713845
81.48427,100,7087.884547
82.257044,100,7115.259767
80.930236,100,7142.489152
84.463341,100,7169.7207
79.730803,100,7196.995566
83.165932,100,7224.340938
78.639596,100,7251.780078
77.782427,100,7279.226031
79.912563,100,7306.507989
78.29035,100,7333.783877
80.612313,100,7361.175769
82.931957,100,7388.513931
84.457389,100,7425.899512
84.566891,100,7453.158885
80.838601,100,7480.381307
85.322169,100,7507.734751
79.301204,100,7534.980784
82.531217,100,7562.194631
81.875449,100,7589.418094
80.080848,100,7616.915581
79.777404,100,7644.573087
77.86819,100,7671.881236
83.09694,100,7699.154264
79.071165,100,7726.287468
81.747106,100,7753.439394
76.463609,100,7780.688037
82.051874,100,7807.89778
79.372564,100,7835.19631
82.933011,100,7862.644091
83.351742,100,7889.776315
79.155442,100,7916.997318
84.351261,100,7944.334736
81.874434,100,7971.618183
86.546907,100,8009.127908
81.428185,100,8036.559332
81.147024,100,8063.977368
84.516687,100,8091.220733
80.572093,100,8118.616457
84.915226,100,8145.957954
83.711594,100,8173.427889
81.407068,100,8200.843359
83.276468,100,8228.129516
84.034898,100,8255.536718
83.851187,100,8282.948481
77.942177,100,8310.536666
81.653203,100,8337.987276
82.465801,100,8365.309411
79.758677,100,8392.683193
86.721018,100,8420.053164
79.22572,100,8447.528245
81.853437,100,8475.055822
84.407903,100,8502.462219
81.081421,100,8529.940301
83.622694,100,8567.474851
80.027912,100,8594.712347
83.874704,100,8622.012789
81.190743,100,8649.247699
84.178326,100,8676.697362
80.999903,100,8704.028582
80.047737,100,8731.457506
79.747647,100,8758.990638
82.217276,100,8786.342203
82.644765,100,8813.600346
83.533788,100,8841.030282
81.815805,100,8868.38337
84.088242,100,8895.743553
83.80458,100,8923.035723
79.795126,100,8950.351731
80.165571,100,8977.505186
82.621491,100,9004.770714
82.062108,100,9032.019413
78.760918,100,9059.357311
84.032774,100,9086.821955
85.339701,100,9114.12695
84.844539,100,9151.507975
80.517922,100,9178.844365
84.467634,100,9206.122156
87.199524,100,9233.458184
81.943818,100,9260.899595
86.698975,100,9288.303116
81.708703,100,9315.989017
81.411499,100,9343.128093
86.580725,100,9370.314418
85.845231,100,9397.608813
85.870645,100,9424.840806
84.113828,100,9452.089844
84.03879,100,9479.423302
85.650273,100,9506.71274
78.193379,100,9533.904745
79.026933,100,9561.395102
86.016012,100,9588.693371
86.737293,100,9615.893512
87.672716,100,9643.418757
86.73213,100,9670.734108
87.247926,100,9708.097418
83.460636,100,9735.642111
80.846551,100,9762.917071
82.805308,100,9790.345482
85.059278,100,9817.759139
87.030476,100,9845.257317
81.182966,100,9872.659749
79.920702,100,9900.427267
78.500171,100,9927.753604
85.862189,100,9955.028955
86.020442,100,9982.519875
79.158422,100,10010.071974
84.275787,100,10037.504778
84.302204,100,10064.884075
