#{"t_start": 1772453326.5236204, "env_id": "highway-v0"}
r,l,t
7.062628,160,126.280276
24.8,160,226.762297
12.96408,160,324.510452
5.023895,160,422.426432
8.911111,160,521.57836
10.4,160,619.29269
7.348919,160,717.105124
10.701319,160,814.673248
7.875787,160,911.956971
0.187813,1,912.583978
2.918253,160,1009.717981
2.733333,160,1107.358495
1.428224,160,1205.670753
5.8,160,1312.380436
1.016084,2,1313.622786
2.8,160,1411.251368
0.0,160,1509.517345
29.910317,160,1607.179764
5.6,160,1705.376727
0.0,160,1803.284687
26.644444,160,1900.95055
0.747173,4,1903.353548
8.692056,160,2000.97442
14.484255,160,2099.331532
0.733333,160,2197.420877
18.31882,160,2294.793847
4.844444,160,2392.559083
1.561932,3,2394.409785
23.335421,160,2491.77879
19.8898,160,2596.845615
28.255338,160,2694.756437
0.733333,160,2792.814785
1.622222,160,2890.525189
2.822222,160,2987.966002
3.577778,160,3086.033667
15.356703,160,3183.69199
17.04877,160,3281.371724
5.622222,160,3379.5649
2.8,160,3477.185085
4.130599,160,3574.862438
9.2,160,3672.63023
0.0,160,3770.019422
0.0,160,3874.865839
8.059074,160,3972.809668
14.867748,160,4070.296095
0.0,160,4168.573589
31.594862,160,4266.018085
5.577778,160,4363.445076
21.824187,160,4461.292478
26.666667,160,4559.873579
2.787855,160,4657.28914
24.148556,160,4754.082379
4.4,160,4852.61689
10.802687,160,4950.292551
16.870095,160,5047.938844
6.244444,160,5153.626862
17.977778,160,5251.343383
6.244444,160,5349.469588
0.203777,1,5350.084088
0.0,160,5447.376606
6.933333,160,5544.070747
14.822222,160,5641.019414
13.577778,160,5738.746275
5.711945,160,5836.337455
37.864818,160,5933.923119
6.977778,160,6031.131926
9.13461,160,6129.146194
16.422185,160,6227.562492
8.288889,160,6332.513251
25.020367,160,6430.302686
12.066077,160,6528.45615
9.618905,160,6626.218571
3.579683,160,6723.701009
12.171127,160,6820.65889
12.644444,160,6918.741511
6.22715,160,7017.134868
14.741238,160,7115.021662
8.822222,160,7213.919932
12.769241,160,7353.93298
3.072919,160,7508.677675
