#{"t_start": 1771809797.557238, "env_id": "highway-v0"}
r,l,t
15.066667,140,31.477033
2.181993,140,63.138837
0.0,140,94.47768
19.084299,140,126.082863
3.041492,140,157.462682
13.145995,140,188.705922
4.975292,140,220.187803
0.666667,140,251.637908
11.488889,140,283.220629
11.933333,140,314.773729
1.519714,140,346.490679
5.2,140,377.889536
1.377778,140,409.46756
2.755556,140,440.911343
16.351559,140,480.514005
0.0,140,511.953059
6.955556,140,543.412796
9.959897,140,574.998185
5.0159,140,606.443404
3.470815,140,638.086876
0.0,140,669.651543
14.51727,140,701.357242
7.953277,140,732.841089
10.933333,140,764.524941
9.155556,140,796.105247
4.990566,140,827.745994
11.332806,140,859.486655
7.239847,140,890.821889
9.392055,140,922.756711
4.422683,140,962.24965
3.533333,140,993.778728
6.06554,140,1025.460804
15.222222,140,1057.110585
26.631879,140,1088.919563
21.488889,140,1120.433125
22.168879,140,1152.137975
3.133333,140,1183.69872
29.188646,140,1215.457227
8.719499,140,1247.063136
1.333333,140,1278.356365
14.520214,140,1309.746511
4.888889,140,1341.218341
6.447462,140,1372.778349
13.955556,140,1412.406624
11.500239,140,1443.782318
0.0,140,1475.463821
8.547421,140,1506.993584
16.051094,140,1538.39613
2.066667,140,1570.02165
3.769014,140,1601.732253
0.666667,140,1633.083904
15.887028,140,1664.810967
7.454987,140,1696.390006
8.826225,140,1728.114761
32.614768,140,1759.938618
11.40197,140,1791.657868
2.155556,140,1823.288203
8.987943,140,1854.796832
16.133333,140,1894.370188
10.616084,140,1926.051032
14.369888,140,1957.531213
25.703253,140,1989.275943
0.0,140,2020.702454
4.142712,140,2052.289695
11.291123,140,2083.964278
0.711111,140,2115.754973
18.190257,140,2147.434506
20.525311,140,2179.0941
3.684026,140,2210.552727
0.0,140,2241.91186
23.864083,140,2273.61122
8.536864,140,2305.13698
13.593376,140,2336.855317
25.466667,140,2376.92224
22.971949,140,2408.567188
18.023196,140,2440.260607
20.644444,140,2471.559822
10.304486,140,2503.205171
4.155556,140,2534.986904
3.555556,140,2566.773548
22.172455,140,2598.325406
23.076665,140,2629.959496
10.377778,140,2661.430285
7.463217,140,2693.172542
6.202292,140,2724.81128
7.009181,140,2756.465495
31.022222,140,2788.041922
3.603559,140,2827.625304
10.905588,140,2859.341103
35.533333,140,2890.990475
32.444444,140,2922.513214
34.46212,140,2953.989405
34.133333,140,2985.697538
18.60097,140,3017.354753
19.222222,140,3048.994362
20.442498,140,3080.697374
13.881213,140,3112.269789
21.666667,140,3143.843201
11.593681,140,3175.417316
20.910254,140,3207.131397
18.163081,140,3238.716041
17.404272,140,3270.316453
13.607873,140,3310.243105
33.597023,140,3341.879777
32.455921,140,3373.776674
31.990164,140,3405.304168
4.311111,140,3436.887146
14.577778,140,3468.558274
36.267514,140,3500.171507
37.328565,140,3531.839608
38.311097,140,3563.25508
22.357654,140,3594.783258
16.260685,140,3626.418694
14.273399,140,3657.955218
2.8,140,3689.267317
26.710135,140,3720.670027
15.616033,140,3752.175515
27.664665,140,3791.304973
28.187811,140,3822.816173
45.541955,140,3854.19907
19.577778,140,3885.624498
23.465015,140,3916.901901
35.088889,140,3948.32241
23.138018,140,3979.805672
26.976828,140,4011.241071
39.2,140,4042.57981
36.044444,140,4073.845279
6.444444,140,4105.253139
31.844444,140,4136.517457
31.977151,140,4167.665256
17.848276,140,4198.862966
7.777778,140,4238.80733
42.030197,140,4270.218898
42.550901,140,4301.491985
49.001616,140,4332.75094
39.466667,140,4364.310568
41.33904,140,4395.417391
46.977778,140,4426.536797
47.851969,140,4457.727273
60.678732,140,4488.689996
44.01571,140,4519.521059
48.733186,140,4550.545151
45.8,140,4581.559217
44.468781,140,4612.362495
44.872213,140,4643.142518
50.036484,140,4673.848039
48.422222,140,4712.913704
44.326701,140,4743.931099
46.888889,140,4775.01485
43.59769,140,4805.98861
54.074028,140,4837.088061
38.866678,140,4867.983781
54.288889,140,4899.020022
37.644444,140,4930.094493
47.822222,140,4961.000907
17.728623,140,4991.773178
51.577778,140,5022.727525
50.820039,140,5053.799466
51.399001,140,5084.781641
60.355939,140,5115.685834
12.644444,140,5154.414769
51.266667,140,5185.559386
53.955356,140,5216.659827
58.822222,140,5247.766635
65.806842,140,5278.801859
57.17365,140,5310.154231
51.8,140,5340.986413
39.607222,140,5371.894118
56.347292,140,5402.576699
64.925373,140,5433.439999
30.67092,140,5464.276648
47.511111,140,5495.063825
57.333333,140,5525.756057
65.688889,140,5556.68895
57.222222,140,5587.579494
49.417868,140,5626.146116
59.184038,140,5657.122314
57.466667,140,5688.082806
56.260413,140,5718.898517
46.244444,140,5749.815601
32.755556,140,5780.646369
67.498813,140,5811.426719
46.977778,140,5842.539859
61.086079,140,5873.596014
60.8,140,5904.506907
52.39943,140,5935.420094
62.533333,140,5966.163265
57.666667,140,5997.017456
