#{"t_start": 1771617050.0551865, "env_id": "merge-v0"}
r,l,t
3.376927,4,0.12254
13.961845,15,0.464248
11.678999,14,0.777634
9.069877,10,0.990826
13.075236,14,1.292954
12.30567,14,1.578882
28.178926,57,2.686731
3.413423,4,2.773652
6.305959,7,2.924431
7.776701,9,3.10114
3.512291,4,3.182112
21.052614,26,3.69234
5.440402,6,3.818174
17.701691,21,4.227028
6.126184,7,4.354092
3.407668,4,4.433354
4.647098,5,4.529337
3.448433,4,4.602478
5.895778,7,4.733715
10.84264,10,4.925648
5.540651,6,5.041339
11.755782,12,5.267503
24.102091,32,5.84106
2.553842,3,5.901365
4.906016,6,6.019902
3.470869,4,6.097915
5.550433,6,6.213324
4.58179,5,6.313387
8.649642,10,6.496765
11.130608,11,6.708105
3.405794,4,6.791794
11.522398,14,7.05214
9.064877,11,7.262406
4.674754,5,7.364908
5.423347,6,7.487475
4.438604,5,7.588201
4.234178,5,7.68663
13.049393,15,7.974234
11.725457,13,8.237256
5.110287,6,8.355002
6.265882,7,8.507141
7.036896,8,8.656865
11.711371,13,8.910719
1501.112349,2246,54.111787
11.41988,11,54.294189
3.526425,4,54.363191
7.285202,8,54.496191
11.173979,13,54.708698
4.469955,5,54.792897
12.344667,16,55.060972
2.587284,3,55.11491
2.592554,3,55.169107
101.294888,146,57.555959
4.215797,5,57.639867
8.969616,10,57.807701
13.741265,20,58.128159
3.370029,4,58.196493
40.603888,56,59.105793
12.044723,13,59.334261
10.681356,10,59.520921
5.227528,6,59.638413
6.46906,8,59.785132
9.111359,11,59.980984
38.162253,83,61.393528
133.116238,327,66.828812
58.502209,82,68.123755
7.709985,9,68.274829
3.382898,4,68.344563
17.71612,21,68.679001
10.916448,10,68.841655
5.276453,6,68.935363
5.32787,6,69.030623
12.262603,14,69.249151
281.816987,417,76.402538
9.808259,11,76.597944
3.421068,4,76.672823
5.511925,6,76.78164
3.587019,4,76.85116
5.443924,6,76.962759
8.177139,9,77.130069
76.450277,110,86.573169
16.342009,19,86.898901
11.725965,12,87.105302
47.193609,106,88.852475
6.49513,7,88.979244
37.090521,50,89.845432
4.150635,5,89.94655
4.158429,5,90.039171
4.667969,5,90.126283
5.705876,7,90.255432
13.705902,15,90.517554
13.693379,15,90.786674
18.312808,22,91.184866
132.366172,193,94.501682
328.648066,487,102.871037
12.792503,14,103.117265
215.435813,318,108.254977
15.933374,18,108.556197
62.764892,89,109.982272
7.296112,8,110.116895
4.538281,5,110.202068
28.878113,38,110.822107
23.181699,30,111.323848
3.363555,4,111.389573
6.166305,7,111.509122
8.656359,10,111.69015
6.168468,7,111.820847
4.151959,5,111.910334
5.508145,6,112.019588
63.377656,89,113.548481
5.227296,6,113.653558
25.791614,33,114.262782
201.576576,298,119.396877
378.838785,564,136.382441
7946.189618,11915,372.571178
