#{"t_start": 1771637816.3955276, "env_id": "highway-v0"}
r,l,t
50.075584,60,13.405933
5.216364,7,14.978517
75.036326,90,35.02975
35.922808,41,44.110891
1.553781,3,44.79016
68.946911,100,67.073394
1.714744,3,67.756257
75.875607,100,90.057401
16.925328,21,94.772256
0.997951,2,95.236966
24.392909,30,101.912753
72.272607,100,124.223263
5.703427,7,125.814077
69.664954,100,148.230571
9.541961,11,150.726852
1.933333,3,151.404736
8.259767,10,153.644021
1.333333,2,154.095227
21.510053,28,160.31903
79.23503,100,182.656556
1.983476,3,183.343723
4.256733,5,184.452111
11.805945,14,187.583599
2.573521,4,188.487898
27.15842,30,195.222531
67.420528,100,217.741703
4.964811,7,219.340578
20.142258,26,225.229941
15.395046,18,229.272569
53.919135,100,251.618764
15.319689,20,256.114921
75.051544,100,278.627824
4.191425,5,279.746141
41.118949,52,291.4443
8.560526,10,293.683175
9.521471,12,296.379208
72.217935,100,318.877405
51.365877,100,341.267004
77.103623,96,362.836586
27.846535,35,370.684064
38.124296,46,381.028447
10.55628,12,383.746656
2.772571,4,384.65064
17.250607,19,388.933446
10.017581,12,391.665971
75.652963,100,414.012981
3.955556,5,415.152247
13.957647,19,419.428024
3.840387,5,420.54883
43.919181,100,443.005782
19.263859,24,448.412663
20.054615,27,454.460531
78.043949,100,483.696167
74.660258,100,506.104669
33.694587,43,515.776735
74.68481,100,538.198146
74.172687,100,560.638714
77.436081,100,582.998364
6.884184,8,584.76977
74.676961,100,607.307551
80.305216,100,629.437015
71.896258,100,651.620154
1.901359,3,652.289567
73.642634,100,674.554083
18.417378,23,679.627083
51.053319,100,701.719237
15.766417,19,705.945586
69.118809,100,728.217278
79.604718,100,750.384382
71.758872,100,772.590468
34.783938,100,794.721008
82.487963,100,816.851335
69.609653,100,838.969203
69.419734,100,861.030184
41.171596,54,873.075538
76.932452,100,895.43927
3.593799,5,896.571113
75.28844,100,918.892776
73.185213,100,948.129421
72.483649,100,970.497209
75.577911,100,992.986606
16.144175,22,997.93157
73.818079,100,1020.272803
71.922005,100,1042.585129
76.646397,100,1064.908849
14.094142,19,1069.109343
4.630279,6,1070.466752
81.795236,100,1092.596223
4.99681,6,1093.9306
73.294205,100,1116.047367
81.044979,100,1138.185179
2.969105,4,1139.091814
76.71902,100,1161.197883
44.802094,56,1173.640226
76.605714,100,1195.901706
72.015578,100,1218.115119
76.895926,100,1240.4182
75.963071,100,1262.771029
12.539976,17,1266.556977
82.753987,100,1288.941764
72.961054,100,1311.200727
2.009674,3,1311.863401
71.61418,100,1334.186206
76.385015,100,1356.534762
7.82191,10,1358.775143
79.368973,100,1381.095821
75.298037,100,1410.234452
79.064008,100,1432.499384
75.553346,100,1454.865337
31.595101,42,1464.227182
74.018467,100,1486.43317
77.276832,100,1508.797689
74.213587,100,1530.92411
79.044168,100,1552.979279
81.68821,100,1575.108736
70.553736,100,1597.433694
73.799479,100,1619.688138
73.007074,100,1642.001801
77.020522,100,1664.176191
75.247793,100,1686.51145
78.195289,100,1708.699378
56.466667,100,1730.885452
76.613795,100,1753.083812
6.141014,8,1754.861355
2.964666,4,1755.743163
81.408801,100,1777.909291
80.492755,100,1800.256277
70.750352,100,1822.544791
74.550628,100,1844.592477
80.81067,100,1873.862953
76.353697,100,1896.016619
78.622552,100,1918.045501
77.334345,100,1940.087045
80.442484,100,1962.238874
78.122945,100,1984.285853
68.466731,100,2006.217129
80.155548,100,2028.177401
76.557141,100,2050.284901
71.652242,100,2072.332045
67.677957,100,2094.429666
82.329204,100,2116.610768
71.025707,100,2138.571863
81.172825,100,2160.532142
71.155892,100,2182.662552
68.998635,100,2204.741881
76.918348,100,2226.724022
79.882262,100,2248.865775
79.921056,100,2270.905817
74.369513,100,2292.970589
84.73227,100,2322.206364
74.436329,100,2344.139454
77.68731,100,2366.03533
76.670007,100,2387.975931
78.50736,100,2409.701416
74.92826,100,2431.406496
78.888846,100,2453.288429
78.416347,100,2475.050906
73.152069,100,2496.766556
80.46436,100,2518.4293
76.850436,100,2540.179771
75.422146,100,2561.731835
75.722271,100,2583.306611
77.301972,100,2604.908887
77.505297,100,2626.562557
76.933078,100,2648.140717
73.206699,100,2669.673241
76.513081,100,2691.09733
72.248616,100,2712.612369
77.296376,100,2734.246052
74.650229,100,2755.888712
78.53849,100,2784.790195
77.856171,100,2806.352007
80.307614,100,2827.957321
77.025765,100,2849.538614
76.163313,100,2871.086847
74.928827,100,2892.669018
78.487014,100,2914.428074
77.614996,100,2936.089563
77.281849,100,2957.728438
71.60219,100,2979.347979
79.256639,100,3001.069353
79.311682,100,3022.785764
78.110822,100,3044.520393
75.853055,100,3066.123841
82.061868,100,3087.779944
77.271282,100,3109.452955
75.790813,100,3131.082634
72.211254,100,3152.705356
81.236813,100,3174.274671
79.95324,100,3195.863592
76.940864,100,3224.505832
76.036209,100,3246.038937
76.049364,100,3267.709364
83.172724,100,3289.329509
77.106839,100,3310.997848
79.482701,100,3332.653256
73.282011,100,3354.234486
75.850736,100,3376.097969
4.418972,6,3377.412344
79.929643,100,3399.052732
79.314381,100,3420.606036
81.773649,100,3442.141445
78.941481,100,3463.670218
74.166784,100,3485.310375
73.569501,100,3507.026148
79.335263,100,3528.637422
83.711987,100,3550.15099
78.003062,100,3571.95306
72.692044,100,3593.565253
76.432841,100,3615.195853
74.058131,100,3636.779254
76.862984,100,3665.533733
43.20148,54,3677.284235
69.31302,83,3695.29656
75.946135,100,3716.829162
78.29518,100,3738.473319
76.624677,100,3760.104229
74.60255,100,3781.711959
76.568088,100,3803.412264
80.693679,100,3825.108493
76.305997,100,3846.711803
6.040109,8,3848.445549
80.008149,100,3870.166036
81.716653,100,3891.903129
79.343285,100,3913.7131
82.932761,100,3935.501081
76.406141,100,3957.118289
77.701259,100,3978.702753
41.732883,55,3990.575025
76.61819,100,4012.168468
76.90582,100,4033.787976
82.89033,100,4055.395889
50.911986,66,4069.694493
75.516068,100,4091.376922
75.053948,100,4120.323309
75.855565,100,4142.177647
82.197837,100,4163.846269
79.874369,100,4185.607104
78.433243,100,4207.31584
76.615747,100,4229.018189
78.599798,100,4250.759641
77.263917,100,4272.401342
75.464575,100,4294.154793
74.901197,100,4315.872524
82.173447,100,4337.482609
82.125551,100,4359.168441
78.731618,100,4380.705448
81.005762,100,4402.401314
79.180458,100,4424.052727
81.247043,100,4445.682982
77.74662,100,4467.440075
75.445073,100,4489.119946
82.44931,100,4510.700361
82.152952,100,4532.346143
78.600121,100,4554.001421
76.358525,100,4582.831467
76.898576,100,4604.572709
83.607365,100,4626.267118
78.464239,100,4647.884572
76.476519,100,4669.51887
76.262478,100,4691.261543
81.20114,100,4712.911592
83.937629,100,4734.472452
81.139979,100,4756.210174
79.521349,100,4777.717731
80.816559,100,4799.461953
80.734994,100,4821.217061
77.851895,100,4842.923177
75.18923,100,4864.493788
74.386192,100,4886.190019
80.396945,100,4907.875341
81.000083,100,4929.494011
77.220828,100,4951.103473
75.782181,100,4972.659379
77.421004,100,4994.4085
75.430702,100,5023.35606
74.848208,100,5045.073432
75.579741,100,5066.645823
6.383089,10,5068.823803
82.556416,100,5090.514852
78.969385,100,5112.080117
76.866027,100,5133.83132
80.689218,100,5155.59822
79.533074,100,5177.210516
83.595347,100,5198.784022
79.367695,100,5220.453021
79.523591,100,5242.136984
80.222822,100,5263.918027
77.161227,100,5285.65352
77.582127,100,5307.241479
77.439164,100,5328.905357
82.469319,100,5350.51147
82.278514,100,5372.220575
81.598711,100,5393.935997
77.550303,100,5415.634074
76.316408,100,5437.432287
81.819531,100,5459.102806
78.306843,100,5488.14192
81.044131,100,5510.059827
83.717711,100,5531.776161
80.240931,100,5553.453667
78.417309,100,5575.097611
82.636706,100,5596.778695
82.786725,100,5618.496897
79.005049,100,5640.164875
79.990641,100,5661.839322
84.28528,100,5683.438764
84.796157,100,5705.109301
84.499848,100,5726.797751
78.551345,100,5748.52916
76.508363,100,5770.242849
78.254279,100,5791.903791
83.792109,100,5813.563576
84.203629,100,5835.452668
83.819353,100,5857.171744
83.230567,100,5878.857944
81.335022,100,5900.429311
80.2969,100,5929.366553
84.674425,100,5951.2826
80.337056,100,5973.14777
82.611217,100,5995.090975
80.178116,100,6017.032273
82.345722,100,6038.88189
79.984715,100,6060.770694
81.827192,100,6082.573118
78.736288,100,6104.518613
79.603892,100,6126.565619
81.353762,100,6148.59641
78.70595,100,6170.30528
83.518849,100,6191.951535
73.156929,90,6211.43453
82.856524,100,6233.175026
81.984339,100,6255.023703
79.18166,100,6276.705366
74.5069,100,6298.333277
81.019492,100,6320.112924
82.682119,100,6342.079504
79.975767,100,6363.678181
83.532207,100,6392.751736
83.227686,100,6414.424603
77.115169,100,6436.130809
79.184912,100,6457.756339
81.720713,100,6479.521684
76.109803,100,6501.201417
85.163946,100,6522.919371
73.708873,100,6544.632022
81.227228,100,6566.34417
84.333003,100,6588.216381
81.93208,100,6610.077053
76.850418,100,6631.966455
80.020075,100,6653.675822
5.76988,7,6655.17886
75.381239,100,6676.849002
75.70993,100,6698.590089
83.641544,100,6720.281514
84.85867,100,6742.069967
79.840968,100,6763.82458
82.745223,100,6785.754059
83.197272,100,6807.464547
80.240439,100,6836.549489
83.323934,100,6858.278534
81.295704,100,6880.06732
83.783992,100,6901.816473
78.113113,100,6923.622334
79.856434,100,6945.242398
85.069556,100,6966.894603
79.926456,100,6988.586025
78.896926,100,7010.291959
76.97165,100,7032.054513
80.227287,100,7053.933093
83.066832,100,7075.7408
78.950444,100,7097.486854
84.115381,100,7119.342597
80.849063,100,7141.213583
82.062889,100,7162.917869
81.644469,100,7184.58559
83.012227,100,7206.257059
78.055572,100,7227.976826
77.835418,100,7249.651196
82.670765,100,7271.30843
81.156676,100,7300.363791
82.786476,100,7322.132474
81.450125,100,7343.954295
77.679001,100,7365.689541
77.862284,100,7387.457606
84.029948,100,7409.200032
84.188374,100,7430.959496
77.44161,100,7452.737486
82.298592,100,7474.481192
76.704806,100,7496.254059
79.64341,100,7518.036975
81.245583,100,7539.746903
82.228735,100,7561.540303
77.819722,100,7583.250897
79.516191,100,7605.027067
86.422024,100,7626.7918
77.364994,100,7648.561271
82.379639,100,7670.310345
78.18857,100,7692.167255
84.307555,100,7714.052331
79.022155,100,7743.075205
79.82032,100,7764.879041
80.514654,100,7786.566458
81.058158,100,7808.353165
77.855688,100,7830.008368
79.508501,100,7851.651456
77.717168,100,7873.377884
81.106794,100,7895.150399
78.945334,100,7916.849626
75.556737,100,7938.613866
80.67772,100,7960.428696
83.43302,100,7982.211687
81.729076,100,8003.949476
82.66319,100,8025.830114
83.09344,100,8047.663952
77.401742,100,8069.34326
72.927955,93,8089.445456
86.971541,100,8111.165101
81.484276,100,8132.864312
84.38939,100,8154.564281
79.11196,100,8176.255564
81.120324,100,8205.328719
81.753086,100,8227.163712
84.270842,100,8248.7741
80.442396,100,8270.432417
84.766445,100,8292.129793
31.433063,39,8300.5692
78.241038,100,8322.291653
82.532312,100,8343.983997
79.548357,100,8365.62282
79.815192,100,8387.227567
77.477715,100,8408.886823
76.500626,100,8430.600203
80.826334,100,8452.259556
84.88231,100,8473.959779
80.868573,100,8495.662759
82.890728,100,8517.398727
84.667869,100,8539.099933
77.985036,100,8560.790166
77.29271,100,8582.505501
79.826362,100,8604.125698
81.217426,100,8625.798474
84.116241,100,8654.848422
79.548536,100,8676.784362
86.02387,100,8698.693834
84.106824,100,8720.684767
85.906792,100,8742.523659
80.03545,100,8764.451548
85.806766,100,8786.374242
82.282622,100,8808.299371
86.912366,100,8830.30949
83.690272,99,8852.047218
83.239225,100,8873.944759
82.947841,100,8895.84442
77.579402,100,8917.836578
77.582603,100,8939.871533
78.196132,100,8961.963146
83.224082,100,8984.013157
77.484007,100,9005.948593
83.908529,100,9027.977073
44.769031,53,9039.610458
81.979871,100,9061.726376
84.27668,100,9083.771093
82.909691,100,9113.090474
79.695241,100,9135.130775
80.022673,100,9157.167286
82.118618,100,9179.240826
86.819881,100,9201.350786
82.130471,100,9223.228206
82.200454,100,9245.18021
81.061639,100,9267.173955
79.246287,100,9289.125374
84.133901,100,9311.200297
84.038529,100,9333.157613
79.275412,100,9355.243294
82.102847,100,9377.301147
85.057976,100,9399.378305
79.134895,100,9421.577986
83.919507,100,9443.715951
81.924832,100,9465.716631
81.151326,100,9487.609986
82.436556,100,9509.487104
76.270166,89,9528.882566
78.330949,100,9558.076607
85.331964,100,9580.206106
79.379112,100,9602.088927
77.075875,100,9624.004407
79.151874,100,9645.820332
81.274768,100,9667.726634
82.628808,100,9689.728051
84.244908,100,9711.600029
83.669214,100,9733.627207
80.453034,100,9755.570642
79.406025,100,9777.66811
78.431501,100,9799.573122
85.632881,100,9821.64749
81.332469,100,9843.714861
80.668748,100,9865.832691
79.666264,100,9887.800952
85.322568,100,9909.77546
80.262729,100,9931.760322
81.506834,100,9953.763825
84.257198,100,9975.736291
77.002476,100,9997.686524
83.246366,100,10026.945856
80.961905,100,10049.011302
84.106779,100,10070.818038
82.490409,100,10092.613837
45.605579,56,10104.929378
79.535239,100,10126.963654
82.12101,100,10149.046396
82.171099,100,10171.008272
79.610655,100,10193.009595
57.717092,68,10208.080416
84.445152,100,10230.247001
81.454183,100,10252.15432
82.31884,100,10274.065948
82.617611,100,10295.760031
83.024347,100,10317.585371
83.619328,100,10339.375934
82.797795,100,10361.091458
80.488913,100,10382.882922
77.896137,100,10404.607299
77.930121,100,10426.230217
81.191525,100,10447.914431
83.243698,100,10476.691741
80.945064,100,10498.226554
84.764545,100,10519.981336
51.200856,60,10533.175522
84.83089,100,10554.918963
80.156424,100,10576.431029
86.590228,100,10598.026345
83.231318,100,10619.689724
36.60193,43,10629.000104
81.971031,97,10649.903291
88.208388,100,10671.491416
80.198249,100,10693.176714
82.172853,100,10715.036805
80.394476,100,10736.868285
85.600652,100,10758.438666
81.305074,100,10779.948537
78.351911,100,10801.558245
83.317438,100,10823.283665
85.957495,100,10845.154457
86.464157,100,10866.922589
81.818453,100,10888.549233
79.304448,100,10917.49858
86.01485,100,10939.222052
78.431087,100,10960.714563
84.905029,100,10982.255491
83.503879,100,11003.810674
85.231313,100,11025.4926
84.1011,100,11047.079835
84.828725,100,11068.805703
83.689486,100,11090.517298
81.106696,100,11112.172488
84.517543,100,11133.810123
80.673265,100,11155.511753
79.474887,100,11177.168389
81.402971,100,11198.777502
80.8684,100,11220.403958
85.11867,100,11242.064899
82.457232,100,11263.687227
86.130782,100,11285.606647
82.499522,100,11307.364922
84.224041,100,11329.041056
67.591879,79,11346.155151
83.383243,100,11374.991247
86.752021,100,11396.605832
51.432718,61,11409.787764
87.1671,100,11431.43345
80.523268,100,11453.090257
81.808356,100,11474.730374
82.893818,100,11496.457411
79.921702,100,11518.015946
85.7161,100,11539.743251
86.558782,100,11561.475232
81.001474,100,11583.168582
86.038168,100,11604.83834
83.460601,100,11626.467035
84.90663,100,11648.244545
82.522899,100,11669.839881
86.39805,100,11691.450736
79.704825,100,11713.114832
83.03981,100,11734.857513
81.165114,100,11756.474855
81.056022,100,11778.128789
38.699417,47,11788.321077
81.347725,100,11810.035938
83.553623,100,11838.86598
86.088659,100,11860.60218
85.650924,100,11882.243518
85.737771,100,11903.946142
82.436629,100,11925.634431
54.523271,63,11939.292486
80.272198,100,11960.879233
87.602453,100,11982.530901
83.017225,100,12004.194761
83.524396,100,12025.753578
80.664304,100,12047.409752
80.959643,100,12069.14582
81.427004,100,12090.678535
88.047171,100,12112.391905
81.800156,100,12134.068972
80.036835,100,12155.900189
85.64404,100,12177.629691
87.987452,100,12199.451983
84.347032,100,12221.073731
86.393528,100,12242.793664
84.543895,100,12271.710048
82.316498,100,12293.358949
79.222931,100,12314.988207
85.50155,100,12336.599803
80.156466,100,12358.195878
80.216745,100,12379.954005
85.611909,100,12401.742682
82.742157,100,12423.359523
85.85975,100,12445.068563
86.234456,100,12466.815934
84.969862,100,12488.466114
81.522145,100,12510.039271
83.706126,100,12531.639508
85.002493,100,12553.312505
78.936825,100,12574.970372
85.936673,100,12596.624227
85.529587,100,12618.264779
81.274537,100,12639.880549
85.70405,100,12661.53269
84.229416,100,12683.214022
83.003987,100,12704.91626
83.634957,100,12733.574136
85.832816,100,12755.258613
86.305084,100,12776.871372
83.461861,100,12798.757293
81.230006,100,12820.332424
87.635143,100,12841.970227
87.084331,100,12863.638516
81.544188,100,12885.407212
