#{"t_start": 1774677944.0034077, "env_id": "continuous-highway-v0"}
r,l,t
1.265658,15,11.602958
1.932488,17,12.13541
2.367347,17,12.540388
1.052936,15,12.833843
1.996926,15,13.124237
0.211093,13,13.377889
-0.010111,13,13.625729
1.430954,14,13.889973
2.240716,15,14.172573
1.622434,14,14.433182
1.663637,15,14.720783
1.40249,16,15.018301
1.321051,14,15.279861
2.090598,16,15.583223
1.71708,16,15.886235
2.835377,22,16.292783
2.362107,15,16.580229
1.460127,16,16.883192
2.887425,18,17.220008
-0.012712,12,17.454693
2.668754,18,17.791707
0.756667,14,18.061884
1.287138,15,18.348212
1.469391,15,18.642037
0.699571,14,18.910382
-0.404272,13,19.148511
0.765407,14,19.412653
1.918096,16,19.717758
-0.362484,12,19.955638
0.348849,14,20.224099
2.970177,16,20.52453
1.369902,15,20.810631
0.767451,15,21.098237
0.418531,14,21.359224
1.944834,15,21.636484
1.247071,14,21.897187
1.259772,16,22.201737
1.390926,14,22.45538
0.659666,13,22.693342
1.12241,15,22.971201
1.491245,14,23.240114
-0.376782,13,23.492966
3.147449,16,23.78922
0.422381,13,24.040491
1.256835,15,24.325379
2.9485,16,24.627068
2.707412,18,24.98409
3.307793,19,25.358233
2.52174,18,25.701742
1.865516,15,26.000438
1.11102,16,26.306098
1.581744,15,26.597595
0.982197,14,26.857039
2.204186,18,27.204484
1.985406,15,27.486376
2.732058,19,27.842014
3.085968,18,28.192198
-0.041245,12,28.421072
0.382544,14,28.691057
0.831188,13,28.943877
1.393606,14,29.214575
1.818089,15,29.502165
4.491434,21,29.911538
-0.432794,12,30.123715
3.540226,18,30.471726
0.816084,14,30.735458
0.790229,14,31.004525
1.064059,14,31.264923
0.617349,13,31.790084
2.685913,16,32.184033
2.281267,17,32.739033
0.966023,14,33.184766
1.995186,15,33.599875
1.276108,15,33.889175
1.655308,16,34.193237
0.963867,14,34.461543
1.282831,14,34.724351
0.99359,13,34.973932
2.423343,16,35.273489
1.444824,15,35.550409
2.517697,15,35.835252
2.273655,17,36.153663
1.022455,15,36.432116
2.775295,16,36.742276
2.648184,17,37.061341
0.544937,14,37.329509
1.083195,15,37.61444
1.783925,16,37.914933
1.844942,15,38.200545
2.626689,16,38.510235
2.607819,16,38.812464
2.564534,18,39.148228
1.667731,14,39.419209
2.345205,15,39.691321
1.918605,15,39.970076
1.156926,15,40.255964
0.775634,13,40.501369
0.464993,13,40.753093
-0.135941,13,41.004973
2.163693,15,41.381826
3.784207,18,41.95727
1.337429,14,42.300052
1.976959,18,42.890898
1.489893,16,43.429981
1.679813,15,43.866751
1.133203,15,44.32429
0.924662,13,44.619785
0.035059,12,44.854871
0.585267,15,45.14939
-0.079493,13,45.394119
2.27295,18,45.742602
0.718868,13,45.988064
2.997291,17,46.316525
2.294578,16,46.620706
-0.571181,11,46.831035
0.086004,13,47.082189
0.439907,14,47.351429
0.448356,14,47.61385
1.973366,16,47.910012
0.604189,12,48.144565
1.121316,14,48.405519
2.297387,16,48.709621
2.718882,16,49.012819
1.610074,16,49.316696
1.181575,14,49.578074
1.716001,16,49.88046
1.383225,14,50.150422
1.145874,16,50.454437
1.067636,14,50.718417
0.760106,14,50.980785
1.98648,16,51.284397
1.883812,17,51.598065
0.403362,14,51.867682
2.438096,17,52.188112
1.958834,16,52.492039
1.063743,14,56.873944
0.780897,14,57.309621
0.847008,14,57.736417
2.093775,17,58.264232
1.865682,15,58.737935
1.074402,16,59.048296
0.924199,14,59.307446
2.127321,16,59.609822
1.688459,16,59.911319
1.715959,16,60.214917
0.93213,15,60.500317
2.69282,17,60.82069
2.349319,17,61.133847
1.789942,16,61.435795
0.712222,13,61.679884
1.668561,16,61.98261
1.040866,13,62.226541
-0.400494,13,62.470068
0.854839,15,62.749753
3.513774,19,63.105534
0.541541,14,63.37407
1.130342,14,63.642754
2.722931,16,63.946589
1.686087,15,64.226329
0.87774,14,64.496131
2.386145,17,64.817753
0.288922,14,65.086798
1.712254,19,65.449268
1.732653,16,65.75294
0.360001,14,66.014499
1.348924,14,66.275925
1.164458,14,66.544036
1.332349,15,66.830632
1.531667,15,67.271925
1.482217,16,67.697253
1.482084,17,68.197747
2.051111,18,68.81043
0.391165,13,69.217756
0.469114,13,69.63334
2.836474,18,69.996341
0.184261,13,70.241497
2.09527,15,70.521264
1.683694,17,70.850902
0.92466,14,71.115091
1.168077,15,71.408272
1.156558,14,71.680104
1.678368,16,71.986202
1.933549,15,72.268295
0.290904,13,72.514653
1.331028,14,72.777721
2.606883,17,73.092901
1.105937,15,73.380358
0.997354,15,73.666248
0.365494,14,73.919796
2.193558,16,74.224922
0.142096,12,74.45511
1.312659,16,74.75177
1.205883,14,75.013384
-0.068868,15,75.298596
1.785213,15,75.582904
1.028584,14,75.851683
1.855335,16,76.153286
1.960135,15,76.438257
1.651725,15,76.72455
0.66652,14,76.993613
1.484271,15,77.279974
0.60931,14,77.542738
0.27673,13,77.906321
1.09814,15,78.359715
2.388638,17,78.743882
1.125591,16,79.248939
2.194405,16,79.748698
0.874338,15,80.225771
-0.107593,13,80.641806
1.658869,15,81.123698
1.063443,15,81.535102
1.927095,16,81.902536
0.369168,14,82.172328
1.921468,16,82.476196
-0.213689,14,82.744564
3.144289,18,83.081827
1.346648,16,83.37934
1.292348,15,83.659936
0.272489,13,83.911216
0.321933,14,84.172553
1.086869,14,84.443056
1.266834,15,84.731437
1.475074,17,85.053804
1.403998,15,85.340385
2.147629,17,85.652902
1.661646,15,85.933594
0.725168,15,86.222671
2.0917,17,86.545351
1.644575,16,86.857033
1.888497,18,87.188056
-0.576094,12,87.423748
2.730628,17,87.746427
2.10369,14,88.015827
1.911271,15,88.303675
1.070123,15,88.583718
1.67213,14,88.853559
1.725997,14,89.125213
2.379339,16,89.431208
1.64918,15,89.710356
1.080076,15,89.989443
0.90954,14,90.259858
1.959995,17,90.582877
0.843469,15,90.862845
2.733004,16,91.160006
1.366564,15,91.439887
2.421473,18,91.779634
0.792745,13,92.026202
-0.377635,12,92.253958
0.073956,13,92.500834
2.170406,17,92.823397
1.100589,17,93.152702
0.468855,13,93.395269
0.313548,14,93.655522
1.989763,17,93.982474
2.097438,16,94.278242
1.28271,14,94.539937
1.946476,15,94.825518
-0.585881,13,95.062985
2.406424,16,95.374424
1.289222,15,95.653269
-0.027268,14,95.998021
-0.078932,14,96.520553
1.071499,14,97.021472
1.472879,15,97.332525
1.074788,14,97.738997
3.076582,18,98.336194
1.436034,15,98.79105
0.242752,13,99.197659
1.553986,16,99.667711
1.194069,14,100.043068
-0.105754,13,100.41631
2.526723,17,105.033044
2.827711,16,105.338132
2.061817,18,105.676442
-0.017284,14,105.939036
0.209486,13,106.186266
2.909267,19,106.551595
0.973226,15,106.839367
1.624477,16,107.144342
1.474957,15,107.432095
1.326524,15,107.712965
0.962535,15,107.986819
0.451572,13,108.232229
2.065616,17,108.548812
1.947231,17,108.865805
1.48905,16,109.163465
2.369526,17,109.47754
1.333537,16,109.781639
0.404285,13,110.028345
1.146624,15,110.307588
2.528999,18,110.647194
1.161304,15,110.935686
0.275524,14,111.198211
1.170924,15,111.478782
2.583238,17,111.801192
0.982352,15,112.081985
1.616776,18,112.429558
1.139634,14,112.692861
-0.035322,14,112.956577
-0.046194,13,113.203221
2.95358,18,113.542291
1.455621,15,113.828987
0.303384,13,114.081396
1.311094,16,114.385204
1.352485,15,114.675181
1.541399,16,114.981699
0.826807,15,115.263875
0.910262,15,115.537732
1.155404,15,116.008836
-0.04796,12,116.336496
0.512914,15,116.720163
1.323699,16,117.220358
1.2349,16,117.703735
0.713931,14,118.105227
0.281571,14,118.557432
3.125663,18,119.068515
2.014267,17,119.426112
0.890972,16,119.720948
1.077791,15,120.014757
1.92265,18,120.352228
2.151077,16,120.647275
0.430925,14,120.908551
1.990848,16,121.212049
2.184134,20,121.584961
1.226958,14,121.847939
0.836653,15,122.135329
1.505412,14,122.404886
1.277764,14,122.66802
0.583114,16,122.966616
1.428923,15,123.239011
0.549504,14,123.493472
4.194638,21,123.899542
0.18767,14,124.170441
0.442673,14,124.440879
1.6987,16,124.738473
0.487916,14,125.008964
1.222301,15,125.289225
1.135189,15,125.578172
1.442982,16,125.876166
3.226865,20,126.25782
-0.321746,12,126.478673
3.242479,18,126.817509
1.231641,16,127.129883
1.008065,15,127.410974
3.395619,19,127.76933
1.030548,14,128.031637
1.208348,14,128.303885
0.909799,14,128.746383
0.68755,15,129.307028
0.358418,13,129.57202
1.488408,17,130.119545
0.352322,14,130.561706
0.921105,15,131.044598
-0.053053,14,131.463192
1.602946,17,131.935804
0.842407,14,132.35288
0.858535,14,132.665404
2.823221,20,133.040419
4.360066,23,133.474859
2.061358,16,133.779266
2.653277,17,134.101035
3.899616,26,134.585414
1.471029,16,134.891047
1.469772,16,135.197027
1.816644,16,135.497219
2.175419,19,135.860471
0.32349,13,136.099682
-0.364577,13,136.33716
2.23516,16,136.642011
2.453487,18,136.977731
-0.062691,12,137.204296
0.382715,14,137.47067
1.147798,14,137.738087
2.259657,18,138.075389
1.351277,15,138.346284
2.442515,17,138.657982
0.926697,15,138.935857
0.79634,14,139.204157
-0.491005,12,139.438549
1.804406,16,139.734543
2.363897,16,140.03791
4.032738,21,140.433663
-0.605295,12,140.660653
-0.359158,13,140.905102
1.417671,15,141.191746
1.107086,15,141.478907
0.486971,15,141.765092
4.05057,20,142.135909
1.359874,16,142.439341
1.86343,15,142.725703
2.530055,16,143.030273
0.584712,15,143.309906
1.509509,17,143.623571
0.603571,14,143.885427
3.671501,18,144.223852
0.940977,15,144.502605
0.164773,12,144.731782
0.841728,15,145.018941
2.954295,19,145.374434
0.59581,15,145.661657
1.591879,15,145.943251
1.092702,15,146.231278
1.354797,16,151.103494
1.942492,17,151.42447
2.6705,17,151.745487
1.864111,18,152.093015
1.050681,15,152.374476
3.092565,21,152.772755
1.332253,15,153.052304
1.393562,15,153.332706
2.669673,18,153.665698
1.113131,14,153.92976
1.443902,15,154.217246
2.451029,18,154.547356
0.1409,14,154.8169
2.988,19,155.167262
1.388515,15,155.44956
1.302486,16,155.756271
3.283577,19,156.114037
2.497668,17,156.428552
1.698221,19,156.793562
-0.657695,12,157.021682
2.993246,19,157.379296
2.364467,18,157.711778
1.664247,16,158.010221
1.824727,16,158.315855
0.666855,15,158.597023
2.138855,17,158.91302
3.487251,20,159.283761
0.282722,14,159.544429
2.674747,20,159.921945
2.180953,19,160.269763
2.388087,19,160.632627
1.856409,17,160.946932
1.975322,16,161.251206
1.519885,15,161.53016
3.388563,19,161.885967
1.321417,15,162.166143
2.855172,20,162.837794
1.896396,16,163.195081
1.375637,15,163.660353
0.822846,15,164.131653
1.641174,16,164.628712
1.479803,16,165.150661
2.383344,19,165.736852
1.353893,16,166.27073
-0.061777,13,166.714594
2.632903,19,167.289538
1.493063,17,167.605088
1.212009,14,167.863318
1.947047,18,168.188853
1.012933,14,168.436901
1.543777,15,168.73146
2.236108,19,169.099199
0.00688,13,169.345707
2.590073,17,169.668157
1.581315,16,169.965396
1.266688,15,170.253873
0.585417,15,170.546641
1.58441,15,170.826948
2.468061,17,171.14938
0.860192,14,171.397078
1.099669,15,171.676284
2.192497,17,171.991493
0.64143,14,172.255174
1.04761,14,172.527229
1.029706,17,172.850435
0.626343,13,173.10426
1.183073,16,173.410542
