#{"t_start": 1771638082.4339159, "env_id": "highway-v0"}
r,l,t
108.096953,140,31.036909
108.661347,140,61.820001
97.845169,140,92.786835
27.426499,35,100.499897
15.751328,19,104.713193
18.099456,25,110.184801
5.304708,7,111.725215
99.149075,140,142.555287
93.402901,140,173.388308
24.014242,32,180.420807
75.538367,95,201.421488
40.747092,52,212.895586
15.156278,18,216.859539
25.452152,30,223.505759
2.02942,3,224.161726
3.846113,5,225.263511
8.118911,10,227.486339
16.487992,18,231.452317
27.694818,35,239.131994
104.111972,140,270.198686
3.476938,5,271.327274
13.901902,16,274.854829
3.840019,5,275.954813
1.819271,3,276.620766
32.019782,140,307.531809
21.504535,26,313.237156
100.165157,140,344.136296
11.574643,13,347.044335
1.20428,2,347.497615
1.866667,3,348.157984
12.308747,16,351.670452
88.993661,113,376.593595
5.810047,7,378.145676
1.2,2,378.595651
15.287316,19,382.7782
37.800465,46,392.881742
34.499969,45,402.800628
106.353136,140,433.482465
49.678264,64,447.709547
7.277942,9,449.706038
102.702666,140,487.551617
114.062643,140,518.372156
102.022677,140,549.332928
7.717314,10,551.547157
1.938561,3,552.216569
2.685807,4,553.097383
94.547193,140,583.914121
96.761875,121,610.533122
104.712218,140,641.470874
109.379138,140,672.278215
26.953441,140,702.988661
23.772658,26,708.72874
111.547033,140,739.611162
106.989778,140,770.509616
2.0,3,771.177615
111.018941,140,802.09644
16.739,140,832.913636
2.773939,4,833.796617
4.902469,6,835.121317
109.02736,140,866.002708
99.525792,140,896.956382
3.750258,5,898.064619
107.002041,140,936.155313
105.055966,140,967.145534
3.066667,4,968.030532
4.926476,6,969.360267
102.782685,140,1000.088994
104.605657,140,1030.947456
111.58592,140,1061.679369
104.658195,140,1092.397505
112.030777,140,1123.27847
112.223472,140,1154.18829
104.619832,140,1185.429028
116.408176,140,1216.215188
101.697106,140,1247.159642
110.252121,137,1277.812998
102.002449,140,1308.796349
100.314597,140,1339.534197
113.722142,140,1377.222679
105.32336,140,1407.971605
106.828312,140,1438.667943
111.49916,140,1469.414987
111.932405,140,1500.344469
112.181443,140,1531.282832
114.593527,140,1562.170114
108.88791,140,1593.030104
53.984452,66,1607.714326
114.907234,140,1638.95861
56.652172,68,1653.951624
112.74711,140,1684.742702
102.280524,140,1715.658845
1.970771,3,1716.330394
111.957154,140,1747.23788
101.952634,140,1778.138899
105.376973,140,1808.856917
102.026155,140,1846.538015
107.914777,140,1877.604252
107.849053,140,1908.454768
96.760547,140,1939.290042
105.130833,140,1970.131737
109.373923,140,2001.12242
111.511061,140,2031.873013
112.618654,140,2062.811198
109.209935,140,2094.911661
107.63042,140,2125.902488
112.361089,140,2156.916994
110.274969,140,2187.883444
111.708017,140,2218.684196
106.665827,140,2249.529515
108.252877,140,2280.388834
108.832258,140,2318.594208
104.062897,140,2349.470335
112.747686,140,2380.406593
113.274405,140,2411.496394
100.223813,140,2442.393794
112.709291,140,2473.234515
113.785335,140,2504.081775
104.646061,140,2535.093017
110.18155,140,2565.96082
106.521143,140,2596.907903
108.198306,140,2627.599952
105.855145,140,2658.614811
108.270416,140,2689.933716
112.935476,140,2720.798675
109.180663,140,2759.030154
116.169652,140,2790.125232
86.961956,108,2813.879789
111.010274,140,2844.717974
112.93936,140,2875.623785
108.769288,140,2906.383792
11.416325,15,2909.690875
104.412704,140,2940.505139
57.152367,75,2956.975513
108.273489,140,2987.870236
112.630106,140,3018.917038
100.909141,140,3049.862751
115.688457,140,3080.7097
120.147457,140,3111.607476
102.796553,140,3142.457219
107.893878,140,3173.419267
113.669772,140,3204.253607
111.233423,140,3242.583046
106.112486,140,3273.493264
112.825099,140,3304.267794
111.044839,140,3335.427469
107.653636,140,3366.28967
114.533834,140,3397.372179
113.655639,140,3428.227821
103.981752,140,3459.350629
109.440476,140,3490.343557
115.327432,140,3521.144968
104.747266,140,3552.01558
113.013818,140,3582.926345
108.358384,140,3613.686725
114.25343,140,3644.584717
110.788693,140,3682.541213
106.76734,140,3713.29115
111.948812,140,3744.219545
114.962616,140,3774.986714
111.090631,140,3805.736952
109.803582,140,3836.603065
112.069368,140,3867.326245
105.771845,140,3898.048561
118.825687,140,3929.440767
114.360593,140,3960.480586
110.578329,140,3991.299577
109.157742,140,4022.292306
94.876287,140,4053.25367
104.049953,140,4084.088289
105.100227,140,4114.924215
111.802402,140,4152.830218
111.922101,140,4183.691966
106.878231,140,4214.724692
114.8345,140,4245.67594
