#{"t_start": 1774657903.1857235, "env_id": "continuous-highway-v0"}
r,l,t
1.948543,17,12.755495
1.487166,15,13.046156
1.260492,13,13.303554
1.948915,15,13.60645
0.04868,13,13.858996
1.967637,16,14.171656
-0.407538,13,14.417602
1.042727,15,14.714212
1.579931,17,15.056219
0.103791,13,15.30296
2.209625,15,15.739498
0.694664,13,16.211122
0.985474,14,16.561415
1.86464,16,17.039818
2.428377,17,17.558408
1.006097,13,17.92247
2.24875,17,18.381988
0.314122,15,18.797983
1.893714,15,19.251883
2.729013,16,19.736399
1.783742,15,20.184329
1.438767,16,20.554721
1.491591,15,20.840765
0.695524,13,21.099086
1.774117,19,21.459275
2.247797,16,21.76791
0.729946,14,22.045388
-0.137063,12,22.278295
1.096424,15,22.579602
1.531113,15,22.872068
0.69467,14,23.137203
0.47284,15,23.434945
1.607144,16,23.742025
1.329036,15,24.030268
2.419955,16,24.340921
1.31624,17,24.657537
2.107315,17,24.990192
1.254661,14,25.246756
1.512582,15,25.527943
1.970514,15,25.813564
1.679979,17,26.149509
0.611169,15,26.439651
1.693562,15,26.731989
1.021474,14,26.990504
0.710773,13,27.251062
1.104753,16,27.557531
1.814742,15,27.848828
1.424526,14,28.129512
0.344561,13,28.386847
0.205109,13,28.642283
0.641991,14,28.920472
1.676275,14,29.187974
0.076153,12,29.415909
2.084182,17,29.752804
1.716878,14,30.017633
0.822642,14,30.289636
3.531212,19,30.655339
0.505082,14,30.930083
1.236205,14,31.206821
1.32753,14,31.483267
0.423481,13,31.740207
-0.332701,12,32.101876
1.615947,15,32.605893
1.069418,13,32.936133
0.997778,15,33.355646
2.284763,17,33.88084
2.013937,15,34.291351
3.725264,20,34.875953
1.310272,15,35.352591
0.522006,13,35.72839
1.705226,15,36.227412
2.687216,16,36.652771
1.380132,15,36.944318
1.936048,16,37.249111
0.681827,15,37.543437
0.892596,15,37.836561
2.269584,16,38.142579
0.830325,13,38.40569
0.762122,13,38.665491
1.070936,14,38.927907
1.551558,15,39.227494
0.574618,14,39.493021
2.483046,16,39.812436
0.507932,13,40.060543
0.410964,12,40.290118
0.842927,13,40.5401
1.729472,14,40.822038
2.592369,17,41.146583
1.809486,15,41.433792
-0.220515,12,41.669852
2.797669,18,42.007164
1.284745,15,42.293089
2.93407,17,42.621732
1.045206,14,42.883587
1.928536,14,43.152178
0.054284,13,43.400659
1.182312,15,43.679944
0.422595,14,43.950122
0.375543,13,44.186494
1.295076,17,44.511482
1.577839,14,44.78288
1.226996,14,45.05218
1.694074,17,45.380144
0.387203,13,45.633651
-0.154973,13,45.88883
0.544273,15,46.172557
2.198354,16,46.490597
0.242446,14,46.759816
0.001218,13,47.001887
2.496612,16,47.315151
1.26048,14,47.588515
2.331286,16,47.899603
2.558198,16,48.214678
1.368306,16,48.520616
2.654588,18,48.924897
0.571329,14,49.413626
1.371055,15,49.849444
0.579011,13,50.184087
0.484002,15,50.646964
2.334036,17,51.128122
3.057632,17,51.622854
0.144908,14,52.044964
1.157081,16,52.512588
1.605337,15,52.986131
2.113569,17,53.337071
-0.077439,13,53.590253
1.492226,16,53.886586
0.806962,14,54.156114
-0.810806,12,54.385038
0.113925,12,54.60618
1.276565,15,54.894012
1.644053,15,55.172572
0.224601,13,55.410501
0.234245,13,55.662923
1.700526,14,55.924711
0.260426,13,56.17553
2.898381,18,56.513088
2.144656,16,56.815289
0.543246,13,60.736438
0.711585,14,61.005427
0.977406,14,61.266313
0.83739,14,61.525859
0.982908,15,61.811236
2.011955,15,62.093192
2.124193,15,62.500849
1.894924,14,62.956683
0.225411,13,63.314995
1.710254,16,63.728413
1.409882,17,64.200843
