#{"t_start": 1771604883.696059, "env_id": "highway-v0"}
r,l,t
37.946329,46,14.197324
38.744655,46,24.339803
56.642614,100,46.396979
28.216456,36,54.311395
71.495213,100,76.361219
5.739724,7,77.917422
3.97418,5,79.025968
11.604203,16,82.574255
2.021232,3,83.255484
1.85833,3,83.928446
1.929367,3,84.586125
4.731307,6,85.933077
20.989292,26,91.693493
11.195926,14,94.859514
77.665654,100,117.014054
9.504178,11,119.438921
72.07634,100,141.551505
8.882047,10,143.760609
4.260778,5,144.871633
4.064803,5,145.996047
6.427434,8,147.758012
7.241962,9,149.748786
1.333333,2,150.201288
12.515755,14,153.297959
71.180282,100,175.462352
67.586781,100,197.648
73.35455,100,219.732627
15.27488,17,223.470175
1.861674,3,224.136705
4.496166,6,225.460437
70.409325,92,245.82038
50.488889,100,267.867793
46.789565,100,289.895575
24.165446,30,296.588544
8.265236,10,298.818013
69.820389,100,321.12963
48.420673,100,343.197564
15.890641,20,347.614642
40.57771,52,359.073848
9.058461,11,361.518448
9.170574,10,363.734839
25.658351,32,370.900284
80.932692,100,393.103208
3.733333,5,394.212813
20.864417,23,399.301451
58.524574,74,415.72528
12.048378,16,419.254663
9.160743,11,421.666818
71.90994,100,443.798293
3.530302,5,444.900821
9.017584,11,447.331828
13.959022,15,450.642165
9.038141,11,453.102505
61.333333,100,482.64223
15.511504,18,486.628034
72.639235,100,508.636508
31.744445,38,517.071532
5.660295,7,518.618687
13.489979,19,522.800769
26.039244,35,530.562848
18.361563,21,535.24055
34.629182,44,545.028962
12.428415,14,548.158717
2.411838,4,549.047592
10.450224,15,552.392087
76.403019,100,574.458922
47.316039,100,596.649084
43.376339,100,618.90222
71.204063,100,640.977346
62.343115,100,663.08685
3.557592,5,664.189673
70.820315,100,686.191299
24.805254,31,692.994983
15.176956,18,696.944588
18.02661,24,702.243366
5.391046,7,703.794659
74.160561,100,725.942303
74.886433,100,747.982814
70.265206,100,770.11498
2.953966,4,771.016468
73.498486,100,793.174489
4.106992,6,794.512184
80.528567,100,816.682547
73.963517,100,838.939364
32.460126,100,861.102107
75.954814,100,883.401423
69.564985,100,905.518957
