#{"t_start": 1774695206.1231217, "env_id": "continuous-highway-v0"}
r,l,t
-1.026047,11,6.614133
-0.280996,13,7.003394
-0.146303,13,7.372889
-0.114007,14,8.085409
-0.861927,13,8.685062
-1.406311,12,9.271257
-2.15717,10,9.77573
-0.346423,12,10.3813
0.557885,14,10.942379
-1.630495,11,11.30653
-0.191179,12,11.735928
-0.17293,14,12.254607
0.068779,12,12.687061
0.279398,14,13.200617
-1.08241,12,13.646135
-1.028042,12,14.129928
-1.383382,11,14.521765
-0.45435,13,15.008076
-1.150107,12,15.407164
-1.207175,11,15.779601
-0.22721,13,16.270815
-0.869983,12,16.726806
-0.12214,14,17.243912
-1.278223,12,17.66268
-1.385735,10,18.00257
-1.242377,11,18.40082
-1.440644,12,18.83893
0.213625,13,19.302169
-0.749908,12,19.726245
-1.982935,10,20.070743
-0.685898,13,20.53144
-0.636265,13,20.887639
-0.265672,13,21.251418
-2.526026,10,21.529414
-1.794578,11,21.829249
-1.429564,11,22.140999
-0.29472,13,22.499089
-0.498448,13,22.868766
-1.32855,11,23.161607
-2.246514,10,23.436523
0.017634,13,23.805683
-0.239118,13,24.174542
-1.369758,11,24.480757
-1.028075,11,24.789759
-1.339257,12,25.118083
-1.047032,11,25.408787
-2.011392,11,25.710809
-0.402418,13,26.071757
-0.397252,12,26.409966
-1.030882,12,26.744121
-1.098268,12,27.069191
-0.454581,13,27.431919
-0.174627,12,27.916865
-0.337157,14,28.512358
-0.255854,13,29.083369
-0.231195,12,29.677971
-0.32565,12,30.335957
-1.497655,11,30.826344
-0.558073,12,31.348473
-0.169114,13,31.988252
-2.009008,10,32.347462
-0.506108,13,32.800534
-0.439171,12,33.221671
-1.960453,10,33.602485
-1.526439,11,34.01163
-0.045186,13,34.450707
0.111911,13,34.926692
-2.035976,10,35.268726
-1.936218,11,35.688578
-0.642431,13,36.143187
-1.730135,12,36.56639
-2.198706,10,36.917402
-1.892737,10,37.278565
-1.037516,11,37.776707
-1.23207,12,38.304553
-1.14751,11,38.775983
-1.400101,11,39.256902
-1.242155,11,39.776551
-1.422292,11,40.27064
-1.885873,10,40.657346
-0.398224,13,41.144558
-1.57884,10,41.506535
-0.661056,12,41.942201
-0.978854,13,42.418298
-0.253724,12,42.842739
-1.798002,11,43.263753
-0.717737,14,43.762924
-2.348539,9,44.092442
-0.737582,12,44.513814
-1.155403,13,44.988998
-0.801006,13,45.423252
-1.406318,11,45.802711
-1.464494,11,46.19677
-1.418387,11,46.602561
-0.432898,14,47.125732
-0.735157,13,47.712263
-1.686139,11,48.164317
0.521707,14,48.774504
-0.090243,12,49.310865
-1.985444,10,49.811221
-1.337723,12,50.203684
-1.96161,12,50.610668
-1.352913,10,50.968656
-1.138228,11,51.340758
-1.173792,11,51.764639
-0.367585,12,52.162292
-1.46166,10,52.528823
-0.223484,13,52.980209
-0.399831,13,53.448395
-1.712179,10,53.825561
-1.103641,11,54.213107
-0.412877,12,54.625643
-1.780194,10,54.985917
-1.585477,12,55.410464
-0.243276,13,55.854785
-1.264444,12,56.274372
-0.698755,12,56.667912
-1.305082,11,56.996322
-1.638448,11,57.312427
-0.970907,12,57.659847
-1.424617,11,57.97685
0.188176,13,58.35374
0.181863,13,58.71353
-1.369581,11,59.012505
-0.729044,13,59.367781
-1.168426,12,59.704563
-1.292297,11,60.010808
-1.641249,11,60.319554
-0.630568,12,60.652692
0.650806,16,61.094628
0.047579,13,61.449368
-0.090037,13,61.795574
-0.968778,11,62.093342
-0.306954,12,62.424827
-1.77999,11,62.726712
-1.941106,10,63.005374
-1.430957,12,63.336584
-0.218731,12,63.802185
-1.060892,11,64.260546
-1.672807,11,64.685148
-0.038193,14,65.227861
-0.020506,12,65.716481
-0.248432,14,66.123543
-1.460778,11,66.450067
-0.591646,13,66.880771
0.462978,14,67.363142
-0.733216,13,67.780989
-1.033531,13,68.221744
-1.104472,12,68.600599
-0.345348,12,68.974698
-1.056507,12,69.366391
0.169272,14,69.781736
-0.772625,11,70.113266
-2.074483,10,70.428383
-0.852686,12,70.851062
-0.699142,12,71.241357
0.20469,15,71.776745
-0.783613,12,72.095999
-0.285646,13,72.443074
-2.060298,10,72.710994
-0.901218,11,73.005182
-0.113565,13,73.358559
-0.287646,14,73.731412
-2.067215,10,74.012866
-0.262712,13,74.367749
-0.328916,13,74.724122
-1.978792,10,75.007496
-2.31446,10,75.280041
-1.244678,12,75.606685
-1.087929,12,75.938075
-1.040269,12,76.267701
-0.800761,11,81.177099
0.262071,14,81.76828
0.074159,13,82.316963
0.259207,14,82.851924
-1.391944,11,83.227288
-1.4708,11,83.548972
-1.4916,12,83.968268
-1.389011,11,84.300254
-0.602556,12,84.677171
-0.530733,13,85.071386
-1.014648,11,85.378823
-0.071022,14,85.845422
-2.198516,10,86.144266
-1.97072,11,86.509329
-1.362274,12,86.913545
-0.934146,11,87.326521
-1.090715,12,87.746042
-0.450356,13,88.219662
-1.072416,12,88.636928
-0.783704,12,89.046971
-0.890717,12,89.485753
-1.646313,11,89.894067
-0.759288,12,90.265671
-1.484889,10,90.587916
-0.871285,12,90.976701
-0.239656,13,91.405503
-0.643877,12,91.815865
-1.615857,12,92.204419
-0.581148,12,92.599232
-0.558324,12,92.994667
-1.084284,12,93.3632
0.533651,14,93.894316
-1.179223,12,94.372229
-1.549277,11,94.804894
-1.651371,11,95.254479
-2.815358,10,95.694345
-0.03798,13,96.069491
-1.211677,12,96.424029
-0.964924,12,96.793681
-1.282415,11,97.152199
-1.737343,12,97.538489
-2.176253,10,97.886714
-0.824312,12,98.275615
0.139674,13,98.715441
-0.617789,12,99.155528
-1.07212,12,99.571936
-0.858571,12,99.988507
-0.957894,13,100.373446
-1.607346,11,100.735982
-0.488516,12,101.16847
-1.121058,12,101.51989
-1.212317,12,101.845939
-1.465791,11,102.204453
-0.446531,12,102.708007
-0.841391,12,103.182468
-0.695335,13,103.715908
-1.293509,11,104.130653
-0.470832,13,104.629274
-0.302851,12,104.997606
-2.483277,10,105.267072
-0.532844,12,105.641279
-1.047657,11,105.979179
-1.497564,12,106.387767
-1.345942,12,106.803388
-2.414177,10,107.134741
-0.564927,13,107.593546
-0.970215,12,108.04764
-1.545362,11,108.427007
-0.380558,14,108.9732
0.588722,15,109.429855
-2.02079,10,109.693283
-1.353596,13,110.049152
-0.075493,14,110.430695
-0.632928,12,110.751105
-1.28699,10,111.019196
0.406902,13,111.385781
0.575885,15,111.801703
0.423131,13,112.164191
1.772016,16,112.618745
-0.326612,13,112.968603
-1.16307,11,113.271984
-0.625139,12,113.611672
-1.007083,12,113.958442
-1.851033,10,114.304655
-0.420167,13,114.732942
-0.896711,14,115.127408
-1.896258,11,115.429821
-0.370451,13,115.779324
-0.366776,14,116.160151
-0.546798,12,116.499814
0.357809,13,116.858341
-0.465272,12,117.183099
-1.558828,11,117.475646
-1.55401,11,117.776454
-1.048476,12,118.09771
0.025302,12,118.432151
-1.196967,12,118.741284
-1.144376,12,119.070353
-2.160236,11,119.371291
-0.35515,12,119.77857
-0.858033,12,120.394919
-0.360865,12,120.930675
-0.137669,13,121.513086
-1.08877,12,122.019413
-1.153963,12,122.554238
-1.096915,11,122.927065
-1.809792,10,123.183571
0.250642,15,123.70383
-0.693089,13,124.197429
-1.799622,10,124.613638
-0.28129,13,125.174255
-0.08027,14,125.763149
-1.565341,11,126.227739
-0.466176,12,126.717043
-1.528004,12,127.240234
-2.008514,10,127.601667
-0.839787,12,128.013565
-0.103062,12,128.442468
-0.453205,12,128.857086
-0.061149,14,129.358803
-1.430904,11,129.755087
0.549645,13,130.278362
-1.25591,11,130.667483
-0.842409,12,131.070294
-0.816917,12,131.486544
-0.594956,13,131.975006
-0.129043,12,132.412924
-1.110228,12,132.835079
-1.281417,12,133.255282
-0.363282,12,133.659899
-0.489735,12,134.053951
-0.129476,14,134.55717
-1.254843,11,134.933371
-0.259855,12,135.358084
-0.61658,12,135.761276
-1.573182,11,136.12247
-0.63594,12,136.483155
0.673515,14,136.969815
-0.630456,12,137.334621
-1.889582,11,137.707378
-0.577869,12,138.125512
0.644004,14,138.522801
-0.745377,14,138.90276
0.468658,14,139.297601
-1.791322,11,139.582869
-1.117194,12,139.899572
-2.100251,10,140.175499
-0.103348,14,140.556957
-1.770689,11,140.848442
0.06784,14,141.240326
0.302403,13,141.578893
-1.555628,11,141.884161
-0.307372,12,142.205081
-1.515294,10,142.473726
-1.61299,11,142.76852
-0.55616,12,143.089374
-0.460429,12,143.422748
-0.331781,13,143.780524
-0.402217,14,144.165098
-0.706338,12,144.491157
-1.225322,12,144.811604
-0.564269,13,145.177524
-0.920962,11,145.48181
-0.008458,12,145.800558
-1.126519,12,146.130568
-0.378135,14,146.520164
0.159022,13,146.873724
-0.398741,14,147.248386
-0.30286,13,147.605384
-1.65292,10,147.880825
-1.764476,10,152.185553
-1.255334,12,152.50595
0.099866,13,152.857928
0.099233,14,153.23274
-0.172304,14,153.596746
-0.826941,12,153.924726
-1.606592,11,154.213846
-1.831298,11,154.624341
-1.02761,12,155.122712
-0.391545,12,155.619875
0.200098,15,156.185084
-0.979932,13,156.650567
-0.778136,12,157.059189
-0.38077,12,157.529427
-0.467085,13,158.054657
-0.207356,14,158.601449
-2.078092,11,159.042586
-2.114264,10,159.47369
-1.083827,11,159.882351
-0.157088,14,160.352025
-0.112361,13,160.870398
-0.960764,13,161.43035
-0.219287,13,161.926295
-0.568131,12,162.447751
-0.668612,12,162.981382
0.049131,14,163.573824
-0.76965,13,164.062072
-0.283144,14,164.549963
-1.114362,12,164.992465
-1.30507,11,165.384993
0.64411,15,165.906085
-1.180332,11,166.313334
-0.103386,13,166.828815
-1.184008,13,167.370676
-1.219642,11,167.816806
-1.188785,11,168.230375
-1.014236,12,168.721649
-0.714257,13,169.29402
-0.713941,12,169.772763
-0.051269,13,170.261789
-1.252042,11,170.671775
-2.109569,11,171.078074
-0.804866,13,171.561831
-0.671166,13,172.047341
-0.805673,13,172.533725
-1.236285,11,172.919845
-0.764187,12,173.360725
-0.883731,12,173.791214
-0.940295,12,174.213061
-1.21319,12,174.64589
0.327673,13,175.087416
-1.322008,11,175.482146
-2.325209,10,175.848992
0.406505,15,176.371882
-1.018784,11,176.747656
-0.762138,12,177.154285
-1.278433,11,177.556325
-1.141001,11,177.941024
0.946619,15,178.471738
-1.074248,12,178.998932
0.27846,14,179.606128
-0.791518,13,180.143943
-0.968936,12,180.661699
-0.428053,12,181.119358
-1.310351,12,181.533766
-0.418108,13,181.981768
-0.687202,13,182.427394
-2.273454,10,182.794548
-1.2574,11,183.131663
-1.136101,12,183.547981
-1.442598,12,184.012655
0.236603,14,184.492757
0.22232,13,184.946509
-2.352332,10,185.307584
-0.795095,12,185.73671
-0.1143,13,186.184011
-0.731749,12,186.55364
-0.141741,13,186.954899
-1.292617,12,187.342924
-1.340133,12,187.701664
-0.686326,14,188.14035
-0.788651,12,188.533806
-0.604585,13,188.947244
-0.655982,13,189.308064
-1.303056,11,189.599158
-2.195108,11,189.903467
-1.832248,10,190.176152
-0.332833,12,190.491598
-0.600747,13,190.836053
-1.134014,12,191.149907
-0.305954,13,191.502724
0.354532,14,191.875571
0.064354,13,192.226544
-0.701833,14,192.612342
-0.297691,13,192.964524
1.372436,15,193.354167
-1.263417,12,193.680748
-0.736369,12,194.010428
-1.345362,11,194.315863
0.42728,14,194.691974
-1.837395,10,194.959804
-1.236066,11,195.264147
-0.7649,12,195.57987
0.135209,12,195.892556
-0.148545,13,196.260231
-1.352556,11,196.564912
-2.347797,11,196.860031
-0.297071,13,197.197371
-0.715962,14,197.559324
-2.49824,10,197.83425
-1.102352,13,198.190466
-0.280917,14,198.581919
-1.835967,10,198.847841
0.03036,13,199.207931
-0.929675,12,199.538422
-1.564355,11,199.848554
-2.12192,10,200.117184
-1.655968,11,200.425661
-0.648862,13,200.768319
-1.441846,12,201.09148
-1.531754,11,201.401879
-0.735116,13,201.761777
-0.927795,11,202.056921
-0.181004,13,202.412258
-0.085948,14,202.790884
-1.258304,11,203.095597
0.408037,14,203.477582
-0.825028,12,203.802021
-0.932468,12,204.129494
0.393842,15,204.536092
-0.683982,13,204.872293
-0.072952,13,205.224367
-1.305591,11,205.518779
-0.948836,12,205.848902
0.370448,14,206.223047
-0.371823,12,206.561721
0.003674,12,206.893186
-2.339255,10,207.160126
-0.477846,14,207.549589
-1.088447,12,208.051838
-0.534624,12,208.561316
-0.518092,12,209.000267
-1.132081,12,209.538233
-0.764295,13,210.061792
0.365706,15,210.508068
-0.591282,12,210.86091
0.045364,14,211.415282
-1.130266,12,211.94652
-0.792481,12,212.46092
-1.113668,12,212.998903
-2.260718,10,213.494581
-0.96092,11,214.078695
-0.744212,12,214.679265
0.139117,14,215.315095
-0.501493,13,215.900055
-1.837891,11,216.366799
-0.372435,12,216.809723
-1.643133,11,217.230306
0.235144,13,217.72148
-0.861254,12,218.183129
0.796782,14,218.689938
-1.64214,11,219.11426
0.224941,13,219.598463
-2.325321,10,219.976827
-1.732773,11,220.412756
0.728049,16,221.022073
-0.984568,14,226.414149
-0.90963,12,226.848436
0.886475,16,227.246197
-0.659478,12,227.569781
-0.13899,14,227.96627
-0.875112,12,228.289512
-1.564166,11,228.613762
0.201256,14,229.008142
-1.229114,12,229.354101
0.041593,15,229.771177
-1.424881,13,230.108128
-1.069041,13,230.477887
-0.539961,13,230.839719
-1.489415,11,231.138932
-0.627923,13,231.493988
-0.12218,15,231.901903
-0.459094,13,232.242123
-1.077412,13,232.586543
-1.103772,12,232.909089
0.43852,15,233.311502
-1.756376,10,233.574967
-1.266625,12,233.904869
-1.120645,11,234.208773
-1.278194,12,234.51943
-1.311467,11,234.818295
-0.220206,13,235.175066
-1.456976,11,235.478065
0.160754,13,235.836667
-0.392661,13,236.188127
-0.372353,13,236.538522
-0.610178,12,236.869863
-0.964657,12,237.209358
-0.306199,13,237.567513
-1.094694,12,237.954096
-1.448821,12,238.450869
-1.228085,13,239.004071
-0.458892,14,239.582702
0.218125,15,240.074659
-0.190472,14,240.431595
