#{"t_start": 1772518133.0471947, "env_id": "highway-v0"}
r,l,t
2.066667,3,7.068165
3.746793,5,10.311218
0.148069,1,10.961279
42.022222,120,89.084861
11.09374,15,98.850683
1.040756,2,100.178126
54.70077,69,145.239652
3.884155,5,148.391801
9.85971,13,156.655452
36.241495,46,185.92448
65.803215,87,240.897169
2.030416,4,243.440579
16.241433,21,256.781164
67.310844,120,333.078851
6.085362,9,338.812862
2.530269,4,341.384505
7.660651,12,348.975004
2.066879,3,350.851264
1.776982,3,352.746783
3.189457,4,355.324319
19.452376,26,371.905118
12.457101,17,382.77842
5.173548,8,387.914319
5.157069,8,392.982647
22.577699,30,413.656097
53.70956,69,457.376344
3.504074,5,460.590624
1.589031,3,462.5211
3.144807,5,465.714097
4.337585,7,470.169914
1.647429,3,472.089344
3.086328,5,475.284483
5.216608,7,479.734104
0.094546,1,480.372531
0.799996,2,481.629296
3.464014,5,484.817857
1.841113,3,486.728452
2.755556,4,489.288544
3.000163,4,491.852982
6.843042,10,498.264484
3.977091,5,501.421632
2.043319,3,503.320831
88.278725,120,579.669971
94.415879,120,656.103123
2.734637,4,658.565456
86.178493,110,727.875819
96.252214,120,804.305575
1.815438,3,806.232625
0.912163,2,807.487361
1.6149,3,809.406917
6.017791,8,814.476237
7.145957,9,820.240801
14.492153,21,833.620259
4.124603,5,836.843435
2.288967,4,839.395729
0.095415,1,840.016415
7.052461,9,845.749029
5.958877,9,851.450444
48.384458,120,927.838911
7.048815,8,933.25203
2.782494,4,935.792241
4.244008,6,939.552149
0.194392,1,940.170094
96.300747,120,1015.776263
4.883963,6,1019.636691
90.659393,120,1096.302341
0.095415,1,1096.933565
84.331249,120,1173.746233
0.732426,2,1175.057567
1.347577,3,1176.810038
4.068413,5,1179.781861
2.103586,4,1182.282473
5.546443,8,1187.371126
1.805735,3,1189.296465
2.805699,4,1191.804173
0.719282,2,1193.102959
7.210846,9,1198.811489
3.039603,4,1201.361921
0.789437,2,1202.631654
0.09623,1,1203.266728
1.921443,3,1205.158275
7.386524,11,1212.163509
0.908354,2,1213.430126
3.916994,5,1216.633677
8.267513,10,1223.022893
4.624519,6,1226.85987
6.413013,9,1232.58069
13.384871,19,1244.605087
7.070911,10,1250.944306
