#{"t_start": 1774653897.3816857, "env_id": "continuous-highway-v0"}
r,l,t
3.201711,17,20.138767
5.455433,24,20.578039
4.278339,19,20.915369
4.802659,19,21.292337
4.727832,18,21.661436
3.973671,18,21.984896
4.488143,18,22.26724
1.264174,14,22.506547
3.933495,20,22.84055
3.146477,17,23.122803
3.589831,17,23.444628
1.106031,15,23.696781
2.37428,17,23.959054
4.807763,21,24.272152
2.983263,16,24.483905
1.998857,15,24.701737
3.179285,17,24.991006
5.917094,25,25.37302
1.933836,15,25.742462
2.516896,16,26.07984
2.610239,16,26.39513
1.450184,14,26.746019
4.687438,20,27.180448
2.653469,17,27.55626
3.425092,18,27.947537
4.092118,19,28.364862
2.326077,17,28.61122
3.989554,19,28.948019
1.847929,15,29.215084
3.400657,17,29.48562
4.040195,18,29.908973
2.510461,16,30.158993
4.299458,18,30.496082
2.527382,17,30.767195
2.898961,19,31.065733
5.126795,20,31.395275
4.42253,19,31.702079
4.783581,22,32.107722
3.972041,18,32.44471
3.024729,18,32.74874
2.022764,16,33.009099
2.720266,16,33.317193
2.430283,15,33.574938
3.209064,16,33.829324
2.483204,16,34.129681
3.363456,17,34.402615
3.1353,16,34.643058
3.812731,16,34.943532
4.424908,20,35.265783
6.418668,25,35.680423
3.082269,17,35.968978
2.731481,16,36.249256
2.073535,15,36.556545
3.146416,18,37.009705
4.146525,19,37.372364
3.921172,20,37.724185
1.581479,16,38.096323
3.425224,17,38.470258
1.724247,14,38.820992
2.51236,16,39.204052
2.781817,16,39.602545
2.075345,15,39.968266
6.043194,22,40.465538
4.67158,22,40.955312
3.030814,16,41.334404
3.122155,17,41.715546
3.91469,18,42.138464
3.698344,17,42.455421
3.480369,18,42.752518
5.544931,21,43.099981
2.371939,16,43.399867
3.924039,20,43.813681
5.443872,22,44.183427
1.944201,14,44.438209
2.49824,16,44.686561
2.211425,17,45.013527
1.753556,14,45.240094
3.309523,17,45.588539
1.47221,14,45.821191
3.041048,16,46.043735
4.227176,19,46.375954
3.003728,17,46.72776
