#{"t_start": 1771619944.9931316, "env_id": "highway-v0"}
r,l,t
68.963503,100,22.301258
70.153796,100,44.592689
20.450415,26,50.375624
5.679466,7,51.925356
7.602022,11,54.374735
28.516608,31,61.313913
39.778459,49,72.246952
15.716567,19,76.459846
7.471759,9,78.478786
26.864687,34,86.119833
77.657845,100,108.436609
6.066667,7,109.988392
8.628139,10,112.207755
25.629231,31,119.125599
7.507406,9,121.087632
1.244444,2,121.532133
6.478707,8,123.314092
75.589339,100,145.558926
9.168011,12,148.241508
69.587042,100,170.554107
43.269494,100,192.886084
13.581711,15,196.247252
40.269388,47,206.692121
72.121585,100,228.904846
59.271092,100,251.121675
20.432553,23,256.251779
52.904258,100,278.569374
15.967299,21,283.259588
76.867689,100,305.66845
9.695324,12,308.375205
28.763374,34,315.984307
71.685632,100,338.395244
79.2086,100,360.671514
5.832683,7,362.250574
76.840002,100,384.501085
21.055405,28,390.742105
21.685729,24,396.094975
1.006149,2,396.553363
6.92622,8,398.334305
10.793414,12,401.05313
10.011443,11,403.517511
8.406993,11,405.992115
23.336479,30,412.720602
3.066667,4,413.620611
2.0,3,414.30308
4.62301,7,415.880493
77.737063,100,438.191361
2.0,3,438.880374
3.066667,4,439.78527
6.58116,8,441.601882
75.539842,100,470.623257
12.306647,14,473.735141
12.149675,14,476.854686
52.620488,100,499.114479
74.119842,100,521.567866
1.884709,3,522.24178
3.680453,5,523.356639
73.157936,100,545.662895
5.093461,7,547.229493
17.041465,22,552.123167
14.792177,18,556.14908
72.93777,100,578.359848
2.628905,4,579.248808
73.890139,100,601.464576
8.565575,10,603.683102
1.227127,2,604.132271
66.737456,100,626.354417
76.187691,100,648.687397
75.801609,100,670.988747
5.561611,8,672.777532
77.813726,100,695.06704
6.239966,8,696.855465
79.473099,100,719.100861
74.789696,100,741.437676
4.074739,5,742.564067
54.142544,69,757.915988
6.109634,8,759.700382
1.10196,2,760.160954
5.721198,8,761.966313
8.545094,11,764.447278
74.180139,100,786.762203
69.897968,100,809.057923
3.793423,5,810.174928
5.037884,6,811.524603
70.148267,100,833.756794
13.569076,17,837.56787
15.157485,16,841.140697
74.270031,100,863.442349
78.082584,100,885.690818
14.154188,17,889.467175
82.776729,100,911.682088
11.833491,14,914.789197
78.04276,100,943.947758
75.017854,100,966.121519
77.989073,100,988.801974
47.238687,58,1001.744009
70.913477,100,1024.062251
1.770453,3,1024.735228
74.086744,100,1047.013991
74.355353,100,1069.282615
78.575454,100,1091.572895
71.940411,94,1112.477499
75.076507,100,1134.756135
81.676056,100,1157.059053
60.710147,78,1174.485025
76.16024,100,1196.711295
53.821481,63,1210.762873
11.280059,16,1214.352113
84.177375,100,1236.635774
77.017191,100,1258.976014
66.59268,78,1276.228429
9.596049,11,1278.690287
71.425062,100,1300.950322
75.724903,100,1323.361373
43.111968,53,1335.216017
75.795664,100,1357.623383
84.25715,100,1379.895496
78.605854,100,1409.140099
73.291502,100,1431.703235
77.023091,100,1454.271932
75.218288,100,1476.553079
77.974486,100,1499.671684
77.420715,100,1521.884261
78.857394,100,1544.652345
79.292221,100,1566.937306
72.554759,100,1589.247166
7.912367,10,1591.490646
75.752966,100,1613.75392
71.225066,100,1635.994312
75.665952,100,1658.265007
78.472667,100,1680.457024
75.676614,100,1702.832002
68.523889,100,1725.108633
74.529863,100,1747.42948
78.680049,100,1769.694601
74.277639,100,1792.041002
76.991146,100,1814.458384
80.150026,100,1836.794018
77.463088,100,1866.057373
76.838035,100,1888.346779
80.01769,100,1910.570668
76.286667,100,1932.884583
75.818529,100,1955.744427
80.563011,100,1979.18866
71.945672,100,2001.525443
80.141421,100,2023.859869
78.670664,100,2046.022418
74.497904,100,2068.227708
79.147438,100,2090.404673
77.202486,100,2112.612775
74.345771,100,2134.915471
