#{"t_start": 1774709706.606692, "env_id": "continuous-exit-v0"}
r,l,t
1.365338,5,8.384615
-7.960115,6,8.624712
-8.330901,5,8.825447
-7.590041,6,9.051989
-5.557379,10,9.441088
2.56435,8,9.755872
0.353542,2,9.843992
0.33725,2,9.93254
1.129296,4,10.090181
2.035858,7,10.377557
0.336599,2,10.465274
-7.150451,7,10.744995
1.929962,6,10.968634
-7.528828,6,11.193618
0.357873,2,11.282393
1.465832,5,11.473908
0.362289,2,11.56318
0.323309,2,11.653137
0.359015,2,11.741962
1.021998,4,11.9095
0.33725,2,11.986287
0.311285,2,12.06186
0.752083,3,12.193161
2.756653,8,12.508418
0.769522,3,12.630916
0.344198,2,12.717369
-8.639385,4,12.880895
0.386004,2,12.968012
-6.603082,8,13.283892
0.379667,2,13.359741
2.046841,7,13.628807
1.058141,4,13.799808
1.39314,5,13.990716
0.672651,3,14.113867
3.531532,11,14.721487
-8.066438,5,15.043566
1.322925,5,15.397367
2.570005,7,15.810246
0.311285,2,15.889683
1.566403,5,16.110734
1.106339,4,16.381074
-8.261618,6,16.732037
0.363263,2,16.852453
0.362044,2,16.979138
0.729809,3,17.129305
4.484278,12,17.612042
0.349533,2,17.701164
0.69579,3,17.809476
-7.166582,7,18.086167
-8.59116,4,18.25519
-7.057757,9,18.629967
0.331962,2,18.719073
1.121642,4,18.881796
0.369657,2,18.968142
0.324084,2,19.05459
-8.293843,4,19.212204
3.308737,9,19.580285
0.311285,2,19.667334
0.745229,3,19.787938
0.311285,2,19.864356
1.924952,6,20.103297
0.66595,3,20.234992
-8.21042,5,20.424319
-7.888472,6,20.669877
1.004818,4,20.833935
0.359306,2,20.921572
8.38471,21,21.726455
1.413532,5,21.938227
1.104735,4,22.090935
0.331796,2,22.17897
0.33725,2,22.268056
0.366407,2,22.357139
0.356864,2,22.433662
-7.692569,6,22.742659
-8.394499,4,22.957033
0.727342,3,23.16998
2.515539,8,23.677314
-8.719684,4,23.841523
1.234857,5,24.058802
0.369854,2,24.180846
0.378019,2,24.261997
2.240832,7,24.530672
4.044704,11,24.965711
1.41164,5,25.175305
1.16646,4,25.338236
4.806391,11,25.776238
-8.71925,4,25.944632
-6.660608,8,26.394658
2.585237,8,26.935021
0.349859,2,27.030949
1.124111,4,27.195665
1.892557,7,27.56712
2.526901,7,27.824532
0.322622,2,27.902349
0.354184,2,27.97923
-6.57263,8,28.301961
-8.352445,4,28.46717
0.329929,2,28.543234
-6.738698,7,28.908063
-8.28876,5,29.228714
0.312336,2,29.358482
1.325886,5,29.680005
1.720001,6,30.052883
0.71898,3,30.203283
0.368512,2,30.282244
1.735325,6,30.549882
0.332573,2,30.66867
1.799879,6,30.998434
0.995736,5,31.310403
-7.11115,7,31.663559
0.71188,3,31.785197
-8.037157,5,31.968596
1.829972,6,32.202051
3.035566,9,32.541601
-7.587558,6,32.778141
0.703863,3,32.900049
0.332121,2,32.989008
0.311285,2,33.066794
-7.625037,6,33.310105
0.357802,2,33.397753
-7.921279,5,33.585509
0.353767,2,33.673176
6.062841,17,34.326859
1.317765,5,34.517061
1.110096,4,34.682152
2.052823,6,34.926002
-7.85467,6,35.160479
1.47611,5,35.349613
0.357878,2,35.438562
-8.080394,5,35.63793
0.33725,2,35.726278
1.045212,4,35.883402
7.293947,17,36.528835
4.184872,12,37.288376
2.103305,7,37.767473
0.328363,2,37.917991
1.030734,4,38.119612
3.50177,10,38.557737
5.836998,15,39.157511
0.320949,2,39.232877
3.199028,9,39.805522
-2.251266,20,40.901982
-7.992213,5,41.20385
1.383078,5,41.50336
4.45596,11,41.908212
0.329816,2,41.996218
0.389424,2,42.084438
-7.53645,7,42.365809
0.371988,2,42.454197
2.791765,9,42.795676
-6.352711,9,43.274401
1.170033,5,43.566215
1.37632,5,43.876096
3.180816,9,44.431277
-7.072736,6,44.690706
0.329323,2,44.768927
2.169526,7,45.178281
0.311285,2,45.297246
0.720413,3,45.481402
0.332667,2,45.61666
0.3218,2,45.742856
-8.482618,4,45.984143
0.365289,2,46.11034
0.32891,2,46.232872
2.761923,8,46.647603
3.245344,10,47.12153
-8.816306,4,47.278847
2.644314,8,47.596972
0.33705,2,47.689537
1.462267,5,47.865183
0.330039,2,47.943001
-8.133246,5,48.155088
1.40491,5,48.350219
1.306732,5,48.531606
0.736946,3,48.656071
0.332736,2,48.738293
1.350029,5,48.940601
-5.786906,10,49.362015
0.319223,2,49.452866
-7.735117,7,49.732334
2.489438,8,50.069828
1.885661,6,50.305754
0.311285,2,50.393073
1.973119,7,50.6709
0.34734,2,50.757779
-8.140115,5,50.960765
0.330548,2,51.039262
1.415552,5,51.260216
1.386153,5,51.44916
0.768101,3,51.582407
4.663575,12,52.053285
-8.039041,5,52.239457
3.791442,11,52.662778
-8.503295,4,52.820648
0.313214,2,52.910283
1.959551,6,53.14358
0.688012,3,53.253707
3.631132,11,53.703035
0.385676,2,53.780408
0.316442,2,53.869548
-8.217976,5,54.081546
1.072564,4,54.237113
0.311285,2,54.315329
