#{"t_start": 1772453326.5229652, "env_id": "highway-v0"}
r,l,t
8.577778,160,125.690064
1.444444,160,226.330107
0.0,160,324.325938
6.301964,160,422.673376
3.822218,160,522.486821
0.733333,160,620.064862
5.221045,160,717.835579
15.583322,160,815.374377
28.149675,160,912.865647
1.377778,160,1010.304836
17.994407,160,1108.020525
0.666667,160,1205.900053
3.615494,160,1311.164908
5.569639,160,1409.024412
6.955556,160,1506.687016
9.992493,160,1604.899191
23.8,160,1703.385098
4.825131,160,1802.021148
7.532999,160,1900.022335
3.86736,160,1998.120133
18.462996,160,2096.487044
8.038493,160,2193.391211
6.288889,160,2291.790009
4.244444,160,2389.519244
7.872522,160,2488.573387
19.155556,160,2593.65152
0.147753,1,2594.273711
7.111111,160,2691.825066
19.864842,160,2791.40443
6.400744,160,2889.460594
9.254757,160,2987.119891
0.0,3,2988.996188
12.244444,160,3086.969596
3.191562,160,3184.380675
0.0,160,3282.136332
2.088889,160,3380.377613
10.755556,160,3478.335564
0.733333,160,3575.901433
3.587861,160,3673.541117
10.466667,160,3771.324106
4.426147,160,3876.483706
9.230111,160,3974.850441
2.822222,160,4073.077102
5.861343,160,4170.730554
26.466667,160,4267.839365
5.071376,160,4365.548026
8.968311,160,4463.515002
15.017567,160,4561.090504
9.586379,160,4658.264286
3.678268,160,4755.624345
3.311111,160,4853.417335
9.776586,160,4951.120724
3.11921,6,4954.818287
20.512036,160,5052.840054
15.855277,160,5157.643844
9.133333,160,5255.524025
17.15039,160,5353.588211
16.8,160,5450.865938
29.93491,160,5548.852887
2.193935,160,5647.115171
0.946329,2,5648.338885
21.560935,160,5746.011351
21.511111,160,5844.207749
2.217282,160,5941.929904
13.933333,160,6039.916492
21.017073,160,6137.507624
26.547136,160,6236.062854
12.187741,160,6341.97073
21.360029,160,6439.594585
0.999576,2,6440.808983
0.0,3,6442.664979
8.495144,160,6539.949501
19.923987,160,6637.491291
4.936687,160,6735.139191
14.466667,160,6833.277833
3.511111,160,6931.742044
2.088889,160,7030.215435
0.711111,160,7128.589265
5.022222,160,7242.026106
