#{"t_start": 1771645769.9548168, "env_id": "highway-v0"}
r,l,t
14.377778,140,30.831769
2.182741,140,61.857633
0.0,140,92.764304
18.402302,140,123.724598
5.841061,140,154.83435
13.922349,140,185.658457
4.995417,140,216.539928
1.333333,140,247.324486
11.488889,140,278.157674
12.716875,140,308.986873
1.520845,140,340.030082
4.488827,140,370.943815
1.377778,140,401.799689
2.755556,140,432.627515
14.84204,140,470.237649
0.0,140,501.063794
5.577778,140,532.159262
15.820737,140,563.068689
17.446322,140,594.063772
12.0263,140,624.96764
0.0,140,655.75393
10.144501,140,686.659195
8.672002,140,717.378226
3.955556,140,748.171179
2.911111,140,778.79757
2.066667,140,809.484697
6.601197,140,840.286947
5.157847,140,870.705842
1.377778,140,901.53097
15.697994,140,939.257843
7.907018,140,969.85845
6.444444,140,1000.562107
23.131343,140,1031.109411
10.911111,140,1061.808591
15.222222,140,1092.543107
13.916685,140,1123.269788
2.163942,140,1153.966631
10.387333,140,1184.844013
7.5793,140,1215.489745
0.0,140,1246.013793
2.822222,140,1276.447174
11.379098,140,1306.99846
10.42399,140,1337.531192
7.044444,140,1375.16507
4.357192,140,1405.700478
7.878042,140,1436.354887
21.240474,140,1467.080074
7.623672,140,1497.520212
0.666667,140,1528.308903
18.775534,140,1558.979923
5.889185,140,1589.447234
2.111111,140,1620.1714
4.911111,140,1650.855108
6.115777,140,1681.531687
22.5985,140,1712.294437
5.555556,140,1742.964115
18.993602,140,1773.634801
9.254752,140,1804.596111
8.506265,140,1842.499684
16.111278,140,1873.179524
18.982303,140,1903.695378
7.279492,140,1934.492829
9.244444,140,1965.195777
1.4,140,1995.926419
11.986779,140,2026.53684
11.325506,140,2057.237462
31.723937,140,2087.844959
6.288889,140,2118.472645
8.638172,140,2148.95252
1.478449,140,2179.295213
11.203512,140,2209.838292
16.99493,140,2240.193084
7.067115,140,2270.694052
11.391781,140,2308.50106
2.088889,140,2339.02113
10.055906,140,2369.535828
9.977778,140,2399.901722
10.338645,140,2430.400017
20.339123,140,2460.985077
21.642798,140,2491.459575
32.616279,140,2521.983028
16.755556,140,2552.481491
12.711111,140,2583.050955
8.354571,140,2613.686971
7.345765,140,2644.346236
3.577778,140,2674.929744
18.777778,140,2705.509019
2.664583,140,2743.263978
19.151861,140,2773.873828
7.403271,140,2804.408028
23.896986,140,2834.965466
5.202605,140,2865.513585
13.333333,140,2896.217746
16.2,140,2926.943106
