#{"t_start": 1771618313.052824, "env_id": "merge-v0"}
r,l,t
2.579842,3,0.091517
11.236609,11,0.306546
4.681314,5,0.420354
6.346316,7,0.567573
3.566733,4,0.646986
7.719367,9,0.830997
7.72066,9,1.021619
2.599817,3,1.07702
12.113793,15,1.386652
7.024325,8,1.553222
3.528465,4,1.639259
4.402268,5,1.732171
3.735445,4,1.811679
4.354377,5,1.914047
5.217611,6,2.04006
5.236681,6,2.156866
15.740756,25,2.657907
4.259915,5,2.763015
4.929516,6,2.876586
6.47101,7,3.028432
10.644166,13,3.27216
7.32635,8,3.427846
6.924643,8,3.578579
14.455582,22,3.973969
13.028411,18,4.303649
4.343218,5,4.398173
10.78484,13,4.638578
4.633601,5,4.723946
4.66017,5,4.811393
18.472125,22,5.206984
3.366961,4,5.275379
12.854836,15,5.529871
4.621964,5,5.616391
6.224659,7,5.737268
4.615325,5,5.821781
3.511596,4,5.887045
3.459336,4,5.956883
7.80096,9,6.105073
14.536141,16,6.397136
4.257097,5,6.484622
6.312781,7,6.609442
4.439059,5,6.698041
9.084282,10,6.892935
10.501373,10,7.062551
10.904375,10,7.247038
3.538887,4,7.321791
7.308902,8,7.458809
17.708042,21,7.825291
7.092346,8,7.970535
8.588514,10,8.151762
3.339075,4,8.219268
3.389396,4,8.291711
4.522988,5,8.374739
2.674732,3,8.432443
13.527125,15,8.709055
3.712571,4,8.77908
4.142621,5,8.871711
6.974431,8,9.00041
13.502321,15,9.270432
9.044172,10,9.453362
8.745086,10,9.619681
3.388193,4,9.690094
12.192901,14,9.928856
3.725825,4,10.000328
4.196263,5,10.08161
3.554683,4,10.147967
4.700459,5,10.233031
3.420833,4,10.299594
12.177073,13,10.522885
10.457587,10,10.703717
23.77415,30,11.231457
3.535174,4,11.30827
5.534307,6,11.410316
14.627389,18,11.718064
10.58536,10,11.885657
7.886608,9,12.033644
8.99734,11,12.221768
3.615817,4,12.298718
13.398854,16,12.574702
4.563604,5,12.667781
24.902446,49,13.532159
10.673513,10,13.709068
10.855441,10,13.888146
6.245852,7,14.015634
24.299769,31,14.564219
