#{"t_start": 1769796860.8406239, "env_id": "highway-v0"}
r,l,t
11.640319,13,7.228751
7.421221,10,9.460091
29.512332,40,18.433306
24.933333,40,27.38726
0.942539,2,27.846493
6.291247,8,29.63239
2.891448,5,30.735629
28.72785,40,39.635335
9.415099,11,42.090479
28.911844,40,51.093736
31.372461,40,60.056633
15.571063,20,64.554054
12.294926,16,68.199763
27.356644,40,77.175386
23.315885,29,83.639801
1.989168,3,84.30692
7.757871,9,86.298242
1.956778,3,86.976836
8.123284,10,89.203737
29.89589,40,98.163694
1.954985,3,98.837303
4.066667,5,99.958021
14.100225,17,103.764031
2.584649,4,104.659684
31.46911,34,112.297933
27.889202,40,121.191363
29.607638,40,130.138909
12.762288,17,133.947619
13.365844,15,137.302109
27.955936,40,146.254768
8.161435,10,148.480257
30.167802,40,157.497059
29.681804,40,166.461383
6.238431,7,168.04458
14.166574,17,171.903297
27.201353,40,180.857242
7.283859,9,182.909312
15.64878,20,187.402059
3.333333,4,188.309804
5.996384,7,189.89865
21.781675,25,195.515196
11.360423,13,198.456632
21.063067,26,204.363613
14.539478,16,207.994267
29.38432,40,217.047723
24.598566,29,223.529468
13.886737,16,227.171604
27.582906,40,236.195914
4.555403,6,237.536669
32.076443,38,246.16739
7.186521,9,248.158703
26.870759,40,257.130381
4.614466,6,258.485726
7.830744,9,260.508357
30.998727,40,269.491564
10.795512,14,272.624992
10.582989,13,275.527703
31.692536,40,284.552185
28.84536,40,293.555518
28.536251,40,302.560008
18.21531,21,307.291843
20.963243,26,313.11728
28.411738,40,322.15905
4.249755,5,323.280475
10.046064,12,325.988536
5.654286,8,327.805736
29.367432,40,336.812366
21.472961,40,345.78174
32.028101,40,354.729221
31.367202,40,363.746769
4.782045,7,365.336214
31.613907,40,374.325096
4.719236,7,375.927363
8.215787,10,378.16833
26.794888,40,387.190402
16.789,18,391.2391
27.997389,40,400.203314
30.275854,40,409.239553
28.977569,40,418.236727
8.433625,10,420.515458
8.975592,11,423.000567
3.403237,5,424.154583
29.623608,40,433.118856
28.700242,40,442.076322
