#{"t_start": 1773510776.9462717, "env_id": "continuous-highway-v0"}
r,l,t
1.699668,15,5.471464
2.098217,17,5.881667
0.108778,13,6.181571
1.049719,14,6.478022
1.093164,16,6.828569
2.039403,16,7.181937
1.954981,17,7.561817
1.462305,14,7.893623
1.950661,15,8.229437
0.522094,14,8.542468
1.246735,15,8.88529
1.371474,15,9.220507
3.042829,18,9.586289
0.479147,13,9.867925
2.287277,17,10.259039
0.378631,13,10.555397
0.934565,15,10.873342
0.80153,15,11.210157
2.53652,18,11.594522
0.481114,14,11.911814
1.546737,16,12.264624
1.170398,15,12.590909
1.881236,15,12.932963
1.063815,14,13.245687
2.588979,17,13.625818
1.041558,16,13.993515
1.153736,14,14.308742
1.955466,16,14.66015
1.398563,14,14.980654
1.750333,18,15.387422
1.891194,16,15.752417
0.329674,15,16.073545
1.824203,16,16.43321
2.550906,17,16.797511
1.850776,16,17.159256
0.465586,12,17.427186
0.443363,14,17.749949
1.212712,14,18.067683
2.869075,17,18.449866
1.751983,16,18.816812
-0.518164,12,19.070957
1.084659,15,19.383485
1.646894,16,19.742734
3.340264,19,20.173526
0.871225,15,20.499851
0.919479,13,20.788595
0.175938,13,21.069176
0.186189,13,21.37249
0.345261,13,21.657078
1.056079,14,21.976461
1.699277,16,22.355663
1.144304,13,22.648473
1.589867,15,23.014664
0.026261,13,23.304658
0.344894,13,23.595191
0.1235,13,23.885712
3.020232,17,24.276228
1.130053,14,24.590838
0.712368,13,24.868943
0.101245,13,25.149914
1.757845,15,25.478645
3.998275,19,25.918229
1.75602,16,26.274204
0.728939,14,26.589257
1.606786,15,26.935473
0.09678,13,27.211732
1.481266,15,27.551282
1.72667,16,27.89969
1.736458,14,28.222107
1.286116,16,28.569584
2.582716,18,28.968184
-0.833765,12,29.225373
1.841141,16,29.593482
0.40306,14,29.880284
1.621906,15,30.220511
1.623408,15,30.564348
-0.212116,13,30.845084
2.719858,17,31.197025
1.439252,16,31.555529
2.082748,16,31.92075
1.070846,14,32.232715
3.721059,19,32.6395
1.824745,17,33.02182
0.635992,14,33.308737
1.861248,15,33.624849
0.851397,14,33.89801
0.338614,14,34.200105
0.350961,14,34.488604
0.288596,14,34.798473
0.756222,14,35.123702
-0.489285,13,35.400694
0.994355,14,35.715645
2.766653,17,36.083784
1.391928,14,36.353786
0.643616,13,36.640404
0.402317,14,36.97032
1.525312,15,37.29053
1.608911,15,37.636041
1.980937,15,37.954715
1.458992,15,38.294898
0.9898,16,38.627167
0.388187,13,38.889502
-0.415449,13,39.172421
1.420387,14,39.478776
1.513533,16,39.809993
2.567416,18,40.177999
2.467897,16,40.515213
2.413974,17,40.862436
-1.082606,12,41.114868
0.2562,14,41.408461
1.446964,14,41.696456
0.83625,14,41.993146
1.340655,15,42.298775
1.070914,15,42.617479
2.041846,15,42.915766
0.259107,13,43.185536
1.236225,14,43.465961
0.445179,14,43.748331
1.899833,18,44.119724
1.839,15,44.425087
0.719046,14,44.713057
1.504006,14,45.009355
3.040638,18,45.39022
0.968122,15,45.687768
-0.843674,12,45.925147
-0.448129,12,46.16263
2.230588,17,46.510586
2.312015,16,46.840745
2.338088,16,47.169777
0.492137,14,47.450498
0.38237,14,47.729967
0.991724,14,48.031898
0.247042,13,48.288124
2.017093,15,48.575133
1.627329,16,48.892836
1.895171,15,49.206357
0.870036,13,49.459347
0.493681,13,53.98481
-0.077476,12,54.242791
1.993651,16,54.555205
1.293269,14,54.841318
1.471219,15,55.158896
0.902248,16,55.487723
1.581297,15,55.790528
