#{"t_start": 1770819421.897483, "env_id": "highway-v0"}
r,l,t
68.388532,82,18.356275
40.111864,45,28.444057
6.66052,8,30.219142
6.844444,8,32.028631
94.784976,140,63.248425
103.139389,140,94.463816
20.763751,24,99.836299
4.01735,5,100.972184
110.38614,140,132.142796
5.739805,7,133.720395
105.677395,140,164.964588
5.870891,7,166.51199
5.836756,8,168.294446
85.41466,103,191.282859
70.552404,140,222.755236
13.538376,16,226.312801
101.90015,140,257.443815
6.038298,8,259.26471
1.99335,3,259.935328
104.923858,140,291.396357
5.878111,8,293.201292
5.982982,7,294.812818
9.822222,11,297.287681
95.408583,140,328.581726
11.250783,13,331.522989
104.651356,140,362.806641
7.550167,10,365.046604
14.435058,16,368.595199
97.153878,117,394.904122
3.235574,5,396.044699
45.164895,55,408.25328
36.055731,140,439.738343
64.630629,84,462.716499
28.58049,140,494.003226
108.359019,131,523.41459
10.793866,13,526.29707
110.554073,140,557.906484
97.024815,140,589.140625
100.565981,140,620.516082
5.032891,6,621.843653
51.706647,140,653.13533
107.804644,140,684.573801
115.316706,140,715.771961
107.951057,140,747.228347
25.595445,140,778.619628
48.824642,63,792.742067
42.211307,140,824.279238
101.987554,126,852.567504
6.414588,8,854.351482
1.861344,3,855.02158
3.653762,5,856.13876
7.147583,10,858.374274
23.701439,29,864.85514
1.762334,3,865.552165
80.557341,97,887.228958
4.480139,6,888.583483
68.3294,87,908.167078
28.727645,35,915.896874
23.747575,31,927.092171
113.33099,140,958.21977
1.153938,2,958.685024
112.27828,140,989.946574
16.051087,18,993.932152
12.939908,14,997.065473
107.353016,140,1028.369237
111.552464,140,1059.524325
69.403023,97,1081.222752
4.814183,6,1082.554514
8.270523,10,1084.788748
116.103164,140,1116.004379
112.358298,140,1147.409419
117.817242,138,1178.258814
3.333333,4,1179.161745
74.85571,92,1199.655647
116.547429,140,1230.913035
109.34225,140,1262.302204
2.505455,4,1263.201202
108.461819,140,1294.524277
102.226944,140,1325.740839
88.512328,114,1351.177258
111.006986,140,1382.499012
107.315956,140,1418.056709
113.808177,140,1449.213256
82.602089,98,1471.072245
113.116231,140,1502.433223
111.63324,140,1533.618058
56.661107,68,1548.742078
4.33528,6,1550.097543
42.435509,55,1562.406653
114.632988,140,1593.818601
110.415405,140,1624.815456
107.934459,140,1656.157437
115.868007,140,1687.459136
114.258387,140,1718.689037
1.893602,3,1719.364313
111.827343,140,1750.638244
104.805405,140,1781.799499
102.405038,140,1813.05457
114.200138,140,1844.461199
114.65377,140,1879.882847
104.669893,140,1911.130527
109.389673,140,1942.289097
113.760279,140,1973.70349
108.045058,140,2004.923916
106.434614,140,2036.14743
31.401779,44,2046.027646
2.639735,4,2046.9358
111.757345,140,2078.281784
117.410794,140,2109.651622
102.290756,140,2141.07099
114.798772,140,2172.447708
105.419936,140,2203.846522
100.527591,140,2234.995152
106.868702,140,2266.300393
104.138115,140,2297.547028
110.904565,140,2333.006893
61.960617,140,2364.549456
44.15541,60,2378.007246
105.673425,140,2409.185686
105.451532,140,2440.713796
2.755709,4,2441.610193
105.494234,140,2472.83463
110.61996,140,2504.183991
1.733333,3,2504.856148
105.889781,140,2536.097996
109.796798,140,2567.328055
116.097546,140,2598.840084
111.669343,140,2630.187276
109.82381,140,2661.469031
24.111111,140,2692.945118
115.263328,140,2724.293886
116.750341,140,2755.767574
1.735119,3,2756.431191
105.180493,140,2791.929692
112.520736,140,2823.111686
105.65027,140,2854.546274
100.479714,131,2883.728174
115.361333,140,2915.01948
111.561936,140,2946.104477
109.833797,140,2977.433556
106.359922,140,3008.744965
114.006991,140,3040.039528
106.040075,140,3071.260984
111.307057,140,3102.65401
30.210356,140,3133.699787
3.62212,5,3134.8244
112.001536,140,3166.246583
109.459524,140,3197.397555
112.754351,140,3228.719025
113.926796,140,3264.086328
113.312614,140,3295.138655
111.876018,140,3326.523814
115.099367,140,3357.860363
111.492831,140,3389.115662
115.328188,140,3420.406826
106.243783,140,3451.824378
109.384168,140,3483.085386
118.047568,140,3514.380116
108.167699,140,3545.537298
104.739817,140,3576.999286
105.356321,140,3608.228816
114.901445,140,3639.736917
113.474994,140,3671.054369
112.937839,140,3706.673421
104.675806,140,3738.026304
36.598987,49,3748.934017
108.670529,140,3780.335729
44.859204,56,3792.928682
107.258777,140,3824.078972
111.914883,140,3855.433166
105.034015,140,3886.716151
112.477143,140,3918.162938
114.379159,140,3949.435409
113.575074,140,3980.803315
110.043478,140,4012.168789
109.253682,140,4043.553016
104.565492,140,4074.694849
115.022668,140,4106.046538
112.798779,140,4137.314407
110.936595,140,4172.996689
107.605515,140,4204.39338
53.715448,71,4220.447061
113.464314,140,4251.826939
116.227978,140,4283.332842
