#{"t_start": 1773459005.488905, "env_id": "continuous-highway-v0"}
r,l,t
1.98218,15,5.870294
-0.414032,12,6.128233
2.489592,15,6.453188
2.788527,17,6.859713
2.09535,15,7.185049
1.901261,17,7.531796
0.523904,13,7.792744
1.611724,15,8.141041
-0.334243,12,8.401911
1.215545,15,8.730114
0.034762,13,9.025465
0.543211,13,9.344079
1.78402,16,9.705517
2.026267,15,10.069336
3.520405,19,10.503152
0.708648,13,10.793787
0.273326,13,11.09553
-0.139204,14,11.429875
1.593479,17,11.802512
0.96153,14,12.108724
1.938251,14,12.427327
1.391346,14,12.728394
0.809203,14,13.023344
2.867842,18,13.411244
0.647895,13,13.699377
1.475664,14,13.986891
1.200586,14,14.298378
0.988837,15,14.628822
2.55809,16,14.994293
1.198487,14,15.30672
2.655093,18,15.699383
2.067626,15,16.021364
2.159553,17,16.392443
1.617269,15,16.746336
1.176158,14,17.051451
0.350853,15,17.374518
0.087509,13,17.65967
2.728469,17,18.031376
1.881104,15,18.366003
0.909481,14,18.677123
1.921233,15,19.016421
3.448193,17,19.389781
3.242287,18,19.769765
0.685353,13,20.0666
0.947279,16,20.421341
2.443462,16,20.792335
2.453704,15,21.135863
1.281204,14,21.443893
0.932691,14,21.771322
1.029258,16,22.132355
1.111754,16,22.507393
2.175842,16,22.883518
1.112138,14,23.218048
0.275975,13,23.5411
2.221055,17,23.89941
1.727628,17,24.262097
0.799691,15,24.576747
-0.637905,11,24.811678
2.58313,16,25.158297
1.284249,14,25.482164
1.567052,15,25.802893
0.51295,13,26.085225
0.398306,13,26.383478
1.412271,14,26.703656
2.381934,17,27.073874
0.384671,13,27.365125
1.596446,15,27.690919
1.96264,15,28.024466
2.4861,17,28.369121
1.040999,14,28.675334
2.484587,16,29.025658
1.358889,15,29.343616
2.008208,16,29.669539
3.09812,17,30.020791
1.353267,15,30.338962
0.990031,15,30.66301
0.045584,12,30.922951
1.396888,15,31.235149
3.532869,18,31.611971
0.652673,14,31.89539
1.790703,17,32.251014
2.125227,15,32.566376
0.446445,13,32.826139
2.28139,17,33.200372
1.833468,17,33.544411
0.000694,12,33.806859
1.218331,15,34.115394
0.975536,14,34.405875
1.59852,15,34.726888
0.942261,14,35.031024
1.388813,17,35.381702
2.921985,17,35.724628
2.001783,16,36.043456
1.14885,15,36.344689
1.553886,15,36.647572
1.948466,15,36.964566
0.865335,14,37.24858
2.538825,17,37.594339
1.385392,14,37.902543
2.860611,15,38.204413
2.15979,16,38.529734
2.266635,16,38.863395
0.953081,15,39.180834
0.786578,14,39.481825
0.34666,13,39.757718
1.369194,15,40.074802
0.519804,15,40.390858
2.85934,17,40.742981
1.9081,17,41.103962
1.539556,15,41.413681
1.294899,15,41.722713
1.805711,16,42.049304
1.419466,14,42.349802
1.744963,17,42.717469
0.502037,14,43.002953
2.027475,16,43.337332
0.114589,14,43.637061
0.123465,14,43.929945
-0.014579,12,44.186011
0.802638,15,44.504383
1.80256,15,44.823347
1.04308,16,45.160046
2.39784,17,45.512892
1.519566,16,45.827561
1.098153,15,46.144562
3.233205,17,46.503418
3.187278,18,46.872188
2.031196,16,47.200107
2.852201,16,47.520769
1.626769,15,47.827034
1.422371,16,48.160642
0.87309,14,48.43987
0.810364,14,48.717824
