#{"t_start": 1771619423.541707, "env_id": "highway-v0"}
r,l,t
77.114732,100,28.427454
63.429176,81,51.430811
0.975745,2,52.018622
3.064879,5,53.441641
34.107411,38,64.287259
68.984311,100,92.720557
59.933333,100,121.091017
83.993171,100,149.602907
3.011888,4,150.734385
17.263422,22,156.970934
74.558504,100,185.360517
2.960543,4,186.49357
9.5997,11,189.642015
10.188464,13,193.306441
41.393421,51,207.745987
72.618681,100,236.208505
43.845426,100,264.705279
19.236483,24,271.574857
78.893372,100,300.122899
6.982456,8,302.38519
61.857456,78,324.539968
5.19206,7,326.548669
7.486742,9,329.135022
7.16351,9,331.719196
76.252332,100,360.252967
66.973152,100,388.660719
4.11811,5,390.071216
73.609107,100,418.583006
73.069487,87,443.335848
51.978458,100,471.757058
20.598633,25,478.992083
9.997474,11,482.21867
23.995973,28,490.386512
6.266269,8,492.729087
37.180767,100,521.148016
9.350027,11,524.285634
15.604427,18,529.409513
41.30155,100,557.896741
8.144893,11,561.057494
8.825381,10,563.942338
49.496912,62,581.546252
81.622396,100,615.280026
15.311111,17,620.124345
75.376918,100,648.598296
5.066667,6,650.323487
75.047203,100,678.705983
5.890169,8,681.005441
81.763028,100,709.430777
77.112756,100,737.796484
80.389431,100,766.216698
27.866667,100,794.663561
66.659051,89,819.992968
23.863559,31,828.805744
80.104086,100,857.228678
70.001315,87,882.097337
70.915045,100,910.608362
76.377895,100,939.09947
2.888889,4,940.259807
81.171851,99,968.362225
75.492479,100,996.816043
38.371656,46,1009.9094
66.840227,100,1038.391933
8.868632,10,1041.229163
51.344054,66,1060.049156
3.153467,4,1061.225138
76.563684,100,1089.709494
72.017465,100,1118.103259
8.308068,10,1120.931337
5.293298,7,1122.922661
78.054417,100,1151.203052
9.550706,11,1154.335968
2.974723,4,1155.469039
77.259516,100,1188.921902
77.458945,100,1217.544356
64.056252,78,1239.852777
76.533262,100,1268.353341
61.075498,73,1289.115104
85.011997,100,1317.616065
82.041916,100,1346.155865
19.229979,25,1353.271057
74.324976,100,1381.718564
68.993199,100,1410.369461
1.885806,3,1411.20088
79.341652,100,1439.571609
78.805892,100,1468.081878
73.259535,100,1496.6591
68.682935,100,1525.16262
82.391949,100,1553.768631
2.216844,3,1554.624039
81.512726,100,1583.086315
13.785368,18,1588.257622
76.8151,100,1616.923807
78.385556,100,1645.389008
76.601884,100,1673.91575
72.296977,100,1702.440392
78.884301,100,1730.889969
76.198448,100,1759.186254
79.513111,100,1792.747257
72.915856,100,1821.294528
1.736086,3,1822.157668
75.375954,100,1850.569538
75.301725,100,1879.152358
79.662405,100,1907.666991
53.534651,64,1925.851693
80.597566,100,1954.310153
52.952535,64,1972.592636
79.321786,100,2001.067582
81.066719,100,2029.471045
77.898177,100,2057.936557
76.854083,100,2086.326523
49.242541,59,2103.136162
78.093457,100,2131.556045
78.170017,100,2160.079426
79.631622,100,2188.733974
79.354051,100,2217.190123
80.292566,100,2245.55039
75.993711,100,2273.92487
82.089638,100,2302.356541
76.433181,100,2330.829116
78.855822,100,2364.363325
79.978271,100,2392.845072
75.337848,100,2421.252113
78.474391,100,2449.679212
76.737159,100,2478.061512
65.124087,87,2502.895923
78.56131,100,2531.551053
76.975915,100,2560.102825
79.767166,100,2588.51642
78.700614,100,2617.085248
79.378398,100,2645.704459
79.207717,100,2674.21154
77.044546,100,2702.985783
78.059945,100,2731.444126
74.846546,100,2760.011251
80.397584,100,2788.40264
2.832652,4,2789.531616
65.870002,79,2811.963145
77.612717,100,2840.352326
7.446911,10,2843.187683
80.993163,100,2871.868744
80.489875,97,2899.434593
3.916722,5,2900.851119
77.011718,100,2929.280545
76.623879,100,2962.682764
80.073678,100,2991.038348
72.317775,100,3019.555938
74.948251,100,3048.062983
77.408104,100,3076.498565
75.153155,100,3104.934228
74.156906,100,3133.558238
2.928587,5,3134.988212
76.509555,100,3163.346345
75.734178,100,3191.647167
79.331616,100,3219.959748
78.525929,100,3248.512711
79.646234,100,3276.821514
78.684322,100,3305.100298
78.927409,100,3333.652987
79.632336,100,3362.262922
76.954302,100,3390.435966
77.043901,100,3418.783675
76.551698,100,3447.27616
80.874187,100,3475.617286
80.724126,100,3504.07157
78.072613,100,3537.566128
79.629345,100,3565.689572
78.1117,100,3593.922255
81.507717,100,3622.360415
78.498111,100,3650.908626
75.895043,100,3679.307588
79.892299,100,3707.665668
75.549904,100,3736.202098
78.007616,100,3764.650915
76.721087,100,3793.25306
78.78255,100,3821.763342
76.344349,100,3850.075462
75.208711,100,3878.36273
80.886514,100,3907.209699
79.834663,100,3935.463455
80.477778,100,3963.772423
76.113991,100,3992.104782
81.888145,100,4020.393617
73.798063,100,4048.83853
73.869394,100,4077.085985
82.46191,100,4105.408854
78.466456,100,4138.80876
78.793455,100,4167.06459
74.412675,100,4195.351032
76.408588,100,4223.646196
77.90731,100,4252.057504
80.744811,100,4280.791252
82.655618,100,4309.116857
77.903055,100,4337.589979
80.671189,100,4365.92268
78.089433,100,4394.141994
78.422647,100,4422.604775
76.052518,100,4451.117322
79.526857,100,4479.71238
81.702233,100,4508.134999
80.625106,100,4536.502624
79.275755,100,4565.116068
72.627099,100,4593.401818
75.6542,100,4621.700701
79.326633,100,4649.938336
77.696923,100,4678.300899
82.231178,100,4711.63842
81.367586,100,4739.952355
79.698722,100,4768.360405
77.567005,100,4796.791976
40.744663,48,4810.423148
81.282948,100,4838.72968
78.347146,100,4867.190506
81.52498,100,4895.509165
75.546422,100,4923.991185
81.51535,100,4952.383303
81.051676,100,4980.866441
81.292953,100,5009.400614
78.648635,100,5038.214676
80.909694,100,5066.386069
82.856037,100,5094.686643
37.317818,47,5108.047252
78.106158,100,5136.481622
76.535293,100,5164.978192
78.399551,100,5193.388132
82.94865,100,5221.897061
1.642545,3,5222.747323
79.23152,100,5250.990856
75.108686,100,5279.266017
78.3253,100,5312.674552
77.820011,100,5341.023688
79.147621,100,5369.320255
77.539218,100,5397.775096
81.791192,100,5426.156559
81.433346,100,5454.63633
82.032961,100,5483.017068
77.037409,100,5511.373359
75.659612,100,5540.263975
80.603074,100,5568.515151
81.610431,100,5596.776359
78.152069,100,5625.050917
76.429902,100,5653.367371
77.708935,100,5681.889749
82.385952,100,5710.406263
79.536903,100,5738.970964
78.43239,100,5767.506044
77.701007,100,5796.092469
80.680619,100,5824.312259
79.037414,100,5852.514293
78.10518,100,5885.905039
80.324381,100,5914.408857
80.427355,100,5942.901054
76.700573,100,5971.407638
82.111082,100,5999.737796
84.571369,100,6028.122329
84.703524,100,6056.561614
81.421301,100,6084.859711
