#{"t_start": 1773454286.4645805, "env_id": "continuous-highway-v0"}
r,l,t
2.862198,18,6.926284
0.928231,14,7.244249
1.572954,14,7.542928
2.559465,16,7.879198
3.084992,17,8.249557
0.841832,15,8.56986
0.122233,13,8.876454
0.784664,14,9.169721
0.567834,14,9.484163
1.33565,15,9.819022
1.77125,16,10.147812
0.687262,13,10.430021
0.639036,14,10.763583
1.819584,14,11.075679
1.652116,15,11.417157
2.103178,16,11.768214
1.098982,16,12.108107
0.885274,15,12.442999
3.302376,18,12.965866
0.750534,13,13.26968
0.79775,14,13.572661
1.140189,15,13.898994
2.945944,17,14.274836
-0.369026,12,14.540911
1.2223,15,14.861375
2.015015,19,15.285049
0.79483,15,15.622313
2.024792,18,16.006334
0.325789,14,16.290171
0.670845,15,16.622463
2.554945,17,16.981309
2.96227,15,17.313775
0.931306,13,17.598866
0.839021,14,17.888244
2.27574,15,18.200378
1.035712,15,18.496768
0.213204,13,18.768547
0.556759,13,19.03875
-0.140637,13,19.305495
-0.141621,13,19.588848
1.091988,14,19.901397
2.498072,17,20.276037
2.501024,16,20.615447
0.734134,13,20.893846
2.700592,16,21.283909
0.905941,14,21.682718
0.966036,15,22.014888
1.22773,14,22.30885
2.191493,16,22.65051
3.005334,19,23.049624
0.33839,13,23.322746
0.848356,14,23.622177
0.357104,14,23.90752
3.12545,18,24.27257
0.565517,13,24.552809
1.686274,15,24.874105
0.069369,14,25.175677
-0.133446,13,25.461969
1.195094,15,25.764631
-0.058056,15,26.080509
0.695565,13,26.343867
2.045828,15,26.656811
1.862202,15,26.978225
-0.006979,13,27.248391
0.389041,12,27.515809
2.022949,16,27.84561
1.639097,15,28.169966
0.578278,14,28.470984
0.368083,13,28.744774
2.047136,17,29.109996
0.732786,14,29.407625
1.149331,13,29.6723
1.911634,16,30.116316
1.034292,14,30.418977
1.946362,15,30.734375
1.590629,15,31.043177
0.204148,12,31.298256
1.719085,14,31.599838
0.131967,13,31.862396
0.89118,14,32.157543
2.425225,16,32.500474
2.732467,18,32.889359
2.208135,16,33.226012
2.707244,16,33.548493
1.67465,15,33.856719
2.039671,16,34.176496
0.797789,14,34.448165
1.053061,14,34.746784
1.180872,15,35.058148
1.26241,17,35.398701
1.464886,14,35.687711
0.851942,14,35.97839
1.087643,14,36.260599
1.82552,17,36.611091
0.442526,13,36.868159
1.175366,15,37.180233
1.214399,14,37.478383
0.779896,14,37.775054
2.030778,16,38.118478
1.080957,15,38.46049
1.16587,17,38.899626
1.24364,14,39.211188
1.731837,14,39.512901
-0.004281,13,39.771559
1.312205,14,40.035517
2.312439,15,40.338405
0.512598,14,40.611401
2.625037,18,40.969085
0.523441,14,41.257641
-0.236037,13,41.530204
1.70959,16,41.855106
1.884777,15,42.167878
1.491424,15,42.478415
0.498145,14,42.774147
0.30502,13,43.043049
4.043842,19,43.412245
0.550954,13,43.681518
0.777727,15,43.984242
1.638253,17,44.329882
-0.492982,12,44.59159
0.843475,15,44.904454
2.11627,18,45.267389
1.358668,14,45.547291
1.299809,15,45.853568
0.128141,12,46.098814
1.572088,16,46.420671
1.667292,16,46.731517
1.416082,15,47.038543
2.337074,18,47.529956
1.381868,14,47.845756
2.149369,17,48.214441
0.194261,13,48.494784
2.827991,17,48.849961
1.086281,14,49.14804
1.40164,16,49.466218
1.1746,14,49.755107
0.79273,13,50.010977
1.508269,15,50.333205
-0.591414,12,54.961774
1.336324,16,55.278945
0.864631,16,55.610802
0.732602,14,56.023937
1.298612,14,56.323472
1.992661,17,56.652221
1.665784,14,56.934122
0.329557,13,57.198778
0.890183,14,57.472728
2.115481,17,57.805144
1.672819,16,58.120852
1.071417,15,58.418956
4.506198,21,58.827435
0.457862,13,59.091109
0.415595,12,59.332183
1.334588,15,59.631506
0.482713,14,59.913302
1.247073,14,60.204016
2.990562,19,60.585937
1.084442,14,60.86095
3.135218,17,61.186627
1.466809,15,61.471928
3.071754,17,61.820456
1.911285,17,62.177955
1.722263,17,62.526546
0.89536,14,62.82155
1.861655,16,63.134246
2.217123,15,63.440205
0.421127,14,63.744699
2.085079,17,64.097377
0.648565,14,64.471176
0.811427,14,64.823419
2.007958,15,65.133327
1.129544,15,65.458533
1.080366,15,65.778654
0.036403,13,66.045789
2.22651,17,66.394221
0.940939,16,66.725372
-0.593837,12,66.965616
1.026876,13,67.235771
0.907098,14,67.52378
1.202027,14,67.823914
2.872038,19,68.217606
1.058106,16,68.549266
1.26038,17,68.905669
0.96147,14,69.193695
1.288415,14,69.485141
0.798924,13,69.777733
1.418535,16,70.115359
0.772388,15,70.432224
1.01147,14,70.72168
1.448921,16,71.050149
2.046346,15,71.361134
1.066716,15,71.660776
0.947125,14,71.933807
