#{"t_start": 1772149329.0086443, "env_id": "highway-v0"}
r,l,t
2.789766,4,2.906649
4.961136,7,7.624175
0.666667,2,9.033062
82.724052,120,92.041879
11.024169,15,102.376439
1.893325,3,104.557841
43.570169,55,141.875228
6.167024,9,147.951735
19.656719,27,166.048762
6.716714,9,172.207119
4.350347,6,176.305486
0.933333,2,177.698757
2.590422,4,180.322264
4.859026,7,185.168487
2.072299,3,187.181885
2.685369,4,189.930059
1.153767,2,191.204595
1.998651,3,193.36983
1.288889,2,194.806109
3.128513,4,197.611756
1.666667,3,199.569846
5.986543,8,206.348036
2.92859,4,209.039347
2.778208,4,211.698496
24.140608,120,294.305762
1.875485,3,296.2938
4.065625,6,301.124856
0.977778,2,302.453952
69.421782,120,384.186615
2.706151,4,386.777915
3.337492,6,390.900223
5.438198,9,397.085183
33.65409,49,430.561793
0.8,2,432.087605
0.124654,1,432.773762
3.940291,6,437.169817
1.792019,3,439.408859
3.127858,5,442.880469
2.90542,4,445.561282
2.914049,4,448.171077
6.514578,9,454.086392
5.450622,8,460.22662
90.936924,120,541.701615
7.192011,9,547.826593
3.260743,5,551.236737
2.166897,3,553.25275
9.201447,12,561.188087
1.937921,3,563.229573
0.271704,1,564.038233
2.178616,4,566.76579
6.056707,8,572.288712
0.249481,1,573.010152
5.75636,8,578.704244
4.644419,6,582.784728
0.192514,1,583.444259
0.13296,1,584.294704
4.916961,6,588.585863
3.063222,4,591.409551
36.289141,120,672.755481
8.055704,10,679.750461
3.189796,5,682.969016
7.487226,11,690.793763
3.237289,5,694.191521
2.035566,3,696.141166
5.620331,7,700.775527
4.066667,5,704.34892
0.10634,1,705.024905
6.553624,9,711.126293
8.457284,13,720.250204
1.482744,3,722.202174
4.033107,5,725.671774
9.700783,15,736.151605
86.388955,120,819.050767
2.389249,4,821.884112
2.150309,3,823.935892
0.148069,1,824.596912
24.67857,31,846.063883
3.596168,5,849.498747
0.818139,2,850.891897
0.744353,2,852.297682
12.273978,17,863.743169
84.345353,120,946.171213
1.546353,3,948.219282
3.838591,5,951.596384
10.693545,13,961.045593
5.380758,7,965.634569
2.888889,4,968.399643
2.936092,4,971.369833
12.146954,17,983.520115
72.866247,98,1052.350539
3.248004,5,1055.613121
