#{"t_start": 1773418381.2790427, "env_id": "continuous-highway-v0"}
r,l,t
-0.738872,12,0.349853
-0.462412,12,0.678598
-0.352503,13,1.054521
0.266726,14,1.433949
-0.765102,14,1.800577
-1.0085,12,2.113438
-1.218789,12,2.47414
-1.911226,10,2.835314
-0.427525,12,3.204583
-1.299403,11,3.534789
-1.508926,11,3.827487
-0.917669,11,4.156217
-1.977263,10,4.44403
-0.243183,15,4.87465
0.395535,13,5.235579
0.511642,14,5.634216
-0.471318,13,6.000195
-1.616479,11,6.29957
-0.736878,13,6.749751
-0.107509,13,7.121931
0.237945,13,7.46645
-2.069325,10,7.749585
-0.521042,11,8.044859
-0.857194,11,8.328665
-0.562359,12,8.645199
-0.559761,12,8.958719
-0.122536,14,9.345809
-1.187405,12,9.663214
-0.199329,13,10.017569
-1.20317,11,10.308881
-0.143324,13,10.66833
-2.457229,9,10.92199
-2.014006,11,11.208785
-0.747419,12,11.566048
-0.524889,12,11.963534
-1.542276,11,12.272695
0.006865,14,12.640595
-0.774157,12,12.987741
-1.085904,12,13.331148
-0.318161,12,13.634869
-2.346712,10,13.901504
-0.567465,12,14.226012
-0.309354,13,14.567791
0.357997,12,14.906998
0.093747,14,15.288494
-0.600939,12,15.632908
-0.527549,12,15.951535
-1.293949,12,16.291826
-1.904552,10,16.633507
-1.064152,11,16.964763
-0.455768,13,17.337281
-1.821449,10,17.62394
-1.659259,11,17.930986
-1.32871,12,18.278623
-2.855941,9,18.520242
0.243898,13,18.849979
-0.690247,12,19.157206
-0.420526,12,19.475955
-0.475543,12,19.799518
-0.009496,12,20.137802
-1.773211,12,20.456765
-2.223834,11,20.798939
-0.205967,13,21.204933
-0.735899,13,21.553652
-0.382001,12,21.873706
-0.070861,12,22.196234
-0.071264,14,22.584539
0.160977,14,22.950368
-1.679456,10,23.209807
-1.696088,10,23.469811
-0.872964,13,23.812918
-1.742177,11,24.12077
-1.255439,12,24.431315
-1.729784,11,24.754312
-0.605991,13,25.105124
-0.984086,12,25.406666
-0.810447,13,25.737094
0.08242,12,26.040133
0.457923,14,26.426889
-0.670113,12,26.840827
-1.73693,11,27.149959
-0.251666,12,27.462016
-2.025254,10,27.746906
-1.335507,12,28.054463
-1.516477,11,28.337849
-0.274144,13,28.679235
-1.586853,11,28.960376
-0.516316,13,29.304038
-0.908043,11,29.577374
-1.086914,11,29.870479
-1.133615,12,30.307614
-0.266713,13,30.66517
-1.660277,10,30.92649
-0.693191,12,31.24061
-0.893748,11,31.530559
-0.34471,12,31.8327
0.15777,13,32.164295
-0.84806,11,32.446576
-0.391219,12,32.748344
-0.953938,11,33.036827
-1.171208,11,33.316628
-0.701948,12,33.619196
-0.652877,12,33.93521
-0.667891,12,34.243865
0.179665,13,34.591779
0.539133,15,34.969234
-1.504817,11,35.249716
0.089514,13,35.578193
-1.785491,11,35.858944
-1.905983,10,36.120791
-1.488931,12,36.550718
-1.894952,10,36.820573
-0.459059,13,37.166731
-0.944163,12,37.482572
-1.042039,12,37.799168
-1.197711,11,38.077008
-0.912467,11,38.363017
-0.941531,12,38.677542
0.322472,14,39.090295
-1.500603,11,39.455987
-1.900431,12,39.768769
-1.949778,10,40.017834
-0.040997,14,40.368723
-0.278417,13,40.706062
-0.464218,12,41.021709
-1.09013,11,41.307824
-1.268732,12,41.608896
