#{"t_start": 1772136858.6602583, "env_id": "highway-v0"}
r,l,t
6.095421,8,4.322979
0.200033,1,4.935706
0.794883,2,5.943378
107.422392,160,87.011302
10.798562,14,94.035904
17.537531,23,105.653452
120.059019,160,185.740052
2.361283,4,187.744556
1.098426,2,188.735417
1.933333,3,190.242574
1.779421,3,191.750359
0.161333,1,192.246531
1.979241,3,193.746062
2.698867,4,195.767127
3.73634,5,198.241184
3.658265,5,200.749743
107.105634,160,280.620883
15.308517,21,291.124648
0.266667,1,291.628069
2.96669,4,293.628951
5.41974,7,297.140755
3.040972,4,299.14575
12.341874,17,307.630791
28.440974,38,326.598746
0.169726,1,327.102346
4.627813,6,330.102697
4.487649,6,333.093238
1.758302,3,334.584
10.730204,13,341.157196
0.870745,2,342.147951
1.071156,2,343.152464
4.680527,6,346.174269
0.044444,1,346.668968
4.735371,7,350.17171
2.315776,3,351.672368
4.964557,7,355.168967
1.018922,2,356.156393
0.933333,2,357.156481
114.902693,160,436.906195
22.565305,32,452.859499
41.240535,160,532.697771
3.424864,6,535.708302
111.67783,160,616.040553
2.678308,4,618.029893
5.405078,7,621.524765
4.924696,6,624.523474
4.077065,6,627.50276
2.882184,4,629.498647
5.763693,7,633.011792
4.111831,6,636.020278
3.617089,5,638.503966
2.152948,3,640.009645
1.02722,2,641.019989
0.136096,1,641.521296
1.288889,2,642.523139
1.814723,3,644.041257
2.652392,4,646.066933
2.271253,4,648.094773
0.185796,1,648.596082
47.117592,65,681.083727
64.714775,160,760.730044
0.884288,2,761.720729
0.883855,2,762.736011
0.881231,2,763.724565
2.853472,4,765.713971
9.477454,12,771.698606
3.82157,6,774.731177
6.675213,8,778.722509
21.83285,30,793.762963
11.717025,17,802.286568
1.330884,2,803.282147
5.884653,9,807.808009
2.977778,4,809.823523
3.038765,4,811.825841
3.003571,4,813.853061
0.0,1,814.348736
4.170597,7,817.86167
0.148543,1,818.36127
2.623802,4,820.346687
5.893869,7,823.8638
3.345026,5,826.350803
10.149909,15,833.855955
20.522124,27,847.347823
3.358148,5,849.85678
1.175356,2,850.846704
5.868176,7,854.36646
1.915517,3,855.875514
6.260113,8,859.886784
60.257992,160,940.335111
3.049372,5,942.844719
1.563488,3,944.340542
5.685127,8,948.376742
8.264442,10,953.382168
1.103966,2,954.377479
0.859621,2,955.368519
3.955647,6,958.392037
2.258212,4,960.400486
1.176272,2,961.399567
5.551845,8,965.407829
12.038133,19,974.876089
2.661492,4,976.882914
0.143922,1,977.379258
2.730224,4,979.400925
0.069329,1,979.906169
5.085832,7,983.458073
2.522088,4,985.462987
0.949069,2,986.461751
18.63998,27,1000.029467
11.703929,13,1006.557948
2.066667,3,1008.059371
1.983932,3,1009.551805
8.539978,12,1015.539368
1.714065,3,1017.044003
5.706841,7,1020.579386
0.083701,1,1021.078066
0.266667,1,1021.574931
2.527141,4,1023.574439
12.317054,18,1037.633839
23.243017,34,1055.156224
6.717975,10,1060.158252
124.274335,160,1139.761621
2.707528,4,1141.779912
3.859632,5,1144.279465
24.761764,37,1162.620236
35.906352,49,1186.971938
0.059941,1,1187.469965
0.814318,2,1188.468405
4.77029,7,1191.993585
1.565893,3,1193.488145
1.096492,2,1194.497483
2.8334,4,1196.495001
18.87959,26,1209.445157
8.7194,12,1215.423344
0.253236,1,1215.941643
50.874648,160,1295.663811
2.666667,5,1298.171146
114.514685,160,1378.376166
1.415569,3,1379.8875
15.891035,21,1390.416196
118.384338,160,1470.247398
5.623737,7,1473.741539
0.88598,2,1474.737969
1.121422,2,1475.742902
19.924137,27,1489.199692
38.934608,51,1514.80573
3.930092,6,1517.791113
0.095415,1,1518.304995
9.017293,13,1524.779559
24.106012,32,1540.698526
4.639288,6,1543.726868
2.813481,4,1545.735373
128.983276,160,1625.673617
1.878788,3,1627.198717
78.808192,98,1676.106158
0.116468,1,1676.647499
0.088399,1,1677.151745
8.304875,11,1682.604056
49.001874,62,1713.968149
63.012283,82,1755.015754
95.380237,160,1835.384898
12.148628,18,1844.382406
4.901087,7,1847.829597
0.897977,2,1848.81263
2.00121,3,1850.301047
23.623492,160,1929.64206
1.608245,3,1931.109999
97.219674,120,1990.666946
47.644444,160,2074.397365
131.583352,160,2154.606667
0.066852,1,2155.086652
38.033352,52,2181.053163
111.417438,160,2260.468695
122.531892,160,2340.106884
42.302834,58,2368.993483
4.351565,6,2371.961742
0.666667,2,2372.937972
0.854632,2,2373.924145
3.706972,6,2376.888485
32.355201,42,2397.465207
119.145002,160,2476.540242
3.930193,5,2479.022814
1.022222,2,2480.012368
3.023936,4,2482.009633
123.68479,160,2561.178668
124.16089,160,2639.870077
17.820075,25,2652.275158
0.811279,2,2653.271127
0.172708,1,2653.765241
120.133521,160,2732.941161
79.335139,102,2782.695536
72.247852,95,2829.093843
5.347712,7,2832.493886
96.231315,123,2893.204954
4.271554,6,2896.119644
4.940698,7,2899.517012
117.355114,147,2970.838742
