#{"t_start": 1773421283.4610786, "env_id": "continuous-highway-v0"}
r,l,t
0.308823,13,0.387887
-0.697571,13,0.751124
-0.708478,14,1.132611
-0.658436,12,1.446107
-1.012593,11,1.756706
-1.375128,11,2.067181
-1.409231,11,2.36371
-0.475418,12,2.692509
-1.411788,11,3.00132
-1.964352,11,3.314813
0.083812,13,3.679737
-0.966038,12,4.002204
-0.69006,12,4.317376
0.087664,14,4.702363
-1.206896,12,5.027699
-1.71961,10,5.307331
-0.420975,12,5.636624
-1.917122,11,5.940598
-1.789832,11,6.23436
0.058518,14,6.617819
-0.110288,13,6.973124
-0.467925,12,7.298601
-0.053617,12,7.629429
-1.344004,10,7.903982
-0.800212,12,8.228935
-2.544936,9,8.465671
-0.553394,14,8.83919
-0.796386,13,9.192922
-0.422796,13,9.56144
-1.788554,10,9.832971
-0.095172,14,10.216048
-1.266993,11,10.518406
-1.067386,13,10.902012
-0.27876,13,11.272019
-0.432481,13,11.64666
-0.902078,12,11.971823
-0.948188,12,12.291426
0.719914,15,12.71943
-1.188669,12,13.038151
-1.57014,12,13.374393
-0.689437,11,13.680871
-0.033335,15,14.088751
-1.011295,12,14.411583
-2.608964,9,14.682115
-0.668522,12,15.030169
-1.487043,11,15.356519
-1.010548,12,15.698602
-1.212127,12,16.034894
-1.103031,12,16.367305
-2.135977,10,16.661169
-0.238843,12,16.987798
-0.369415,12,17.32354
-0.679033,13,17.695711
0.040084,13,18.063045
-0.116015,13,18.42351
-1.433854,12,18.756318
0.802268,15,19.180677
0.143198,14,19.568194
-1.775275,10,19.838527
0.162961,12,20.168901
-1.214814,11,20.474883
-0.661634,13,20.833844
-1.347076,11,21.128707
-1.613927,11,21.442373
-0.192636,13,21.800014
-0.983311,12,22.13399
-0.778694,11,22.449164
-0.764645,12,22.780355
-0.779979,12,23.114817
-1.999266,10,23.395647
-1.247116,10,23.680298
-0.900785,12,24.027985
-0.347843,12,24.348937
-0.485947,14,24.737699
-0.956383,12,25.080375
0.19991,13,25.443331
-1.69301,11,25.747466
-0.369444,12,26.089328
-1.015966,11,26.415359
-1.291445,12,26.751354
-0.255162,13,27.128209
-1.853602,10,27.408235
-0.622346,12,27.757283
-0.706423,12,28.066696
-1.263813,11,28.361387
-2.192862,10,28.660709
-1.025998,11,28.96708
0.083388,14,29.357591
-1.656458,11,29.668777
-2.620789,9,29.912524
0.208658,14,30.305568
-1.114088,11,30.628953
-1.229621,12,30.990742
-0.913443,13,31.351666
-2.498582,10,31.62488
-0.801594,11,31.927126
-1.787329,10,32.212261
0.044242,13,32.583292
-0.559347,12,32.923508
-1.342709,12,33.268683
-0.51331,12,33.601866
-0.907563,13,33.952508
0.075679,12,34.285522
-0.791135,12,34.604318
-1.642685,11,34.919446
-1.255991,12,35.250551
-0.238737,12,35.581669
-1.673934,11,35.908754
-0.531515,12,36.243036
-0.398127,13,36.608772
-1.322232,12,36.944446
-2.040468,10,37.2148
