#{"t_start": 1773153577.1109607, "env_id": "highway-v0"}
r,l,t
12.246905,16,14.712538
10.860331,12,22.02253
58.782,120,94.712253
4.574722,7,98.975828
4.88284,7,103.232912
4.633659,7,107.501285
27.660583,37,130.051788
4.916867,7,134.323716
2.976567,5,137.342845
0.914532,2,138.555016
7.943717,11,145.159778
60.674772,74,189.966528
2.023058,3,191.802356
0.249481,1,192.407374
1.066667,2,193.617414
16.083597,22,207.127757
46.351192,120,279.872388
2.396135,4,282.309755
85.333333,120,355.197299
7.691994,12,362.574968
2.998705,5,365.610456
0.836881,2,366.792803
45.186403,58,402.119459
60.791478,120,474.688111
6.891281,10,480.621892
1.744915,3,482.425894
1.959593,3,484.196017
7.241693,11,490.77532
1.579529,3,492.576123
0.145003,1,493.170825
24.578408,33,512.813165
2.413655,4,515.173761
47.097803,64,553.115376
69.887723,120,622.943071
1.018056,2,624.072438
0.068976,1,624.634594
0.844444,2,625.743034
1.803401,3,627.442151
89.140813,120,693.871962
0.947122,2,694.92475
89.682862,120,756.79168
0.948721,2,757.808006
4.760263,6,760.874869
12.11609,17,769.467407
0.907152,2,770.477552
3.100867,5,772.996977
78.124354,108,828.024188
7.161105,10,833.136825
3.97053,5,835.713907
83.71784,120,897.329634
0.914533,2,898.338632
1.867636,3,899.854502
10.86938,15,907.431324
22.902704,33,923.97327
0.13496,1,924.47853
7.929691,10,929.518806
27.710574,37,948.194754
5.084429,7,951.730051
3.175419,4,953.745963
5.245526,7,957.270213
2.721488,4,959.299632
2.549829,4,961.325625
18.149422,24,973.396265
1.829993,3,974.897989
0.942259,2,975.897213
4.510544,7,979.403555
3.00189,4,981.402174
6.969867,9,985.916868
0.184088,1,986.422318
1.619275,3,987.925704
1.846474,3,989.429764
39.534767,52,1015.24221
7.119287,10,1020.277262
2.097401,3,1021.780434
0.807185,2,1022.789665
3.017325,4,1024.799868
6.054395,8,1028.822963
8.776825,11,1034.326964
52.711401,69,1068.890758
11.815808,17,1077.437981
6.966296,10,1082.493073
2.2,3,1083.999262
80.431958,120,1144.351713
0.134436,1,1144.861122
84.539242,120,1209.873281
58.941268,74,1247.094592
21.26537,30,1262.013399
4.71209,7,1265.499178
9.653655,12,1271.490812
7.253497,11,1276.970633
81.503961,120,1337.053176
4.920946,6,1340.089858
3.079187,4,1342.113194
2.570174,4,1344.124534
1.920266,3,1345.635533
54.953892,68,1379.916042
0.040913,1,1380.423376
3.985946,6,1383.479758
0.192514,1,1383.978033
9.748605,12,1390.003027
3.5899,5,1392.504447
26.866667,120,1453.040626
65.96795,85,1495.656067
19.273058,28,1509.761085
54.541702,74,1547.070002
60.481238,120,1607.850109
83.540319,120,1668.203342
5.759677,7,1671.716389
2.825456,4,1673.71001
90.82435,120,1733.508913
17.488219,26,1746.486069
70.16397,89,1791.601621
49.153624,65,1824.162773
44.244389,120,1884.15586
5.852743,8,1888.166228
27.526419,40,1908.192684
2.764697,4,1910.205145
7.917219,11,1915.732894
79.425416,120,1975.726861
16.152967,23,1987.242545
3.719894,5,1989.727556
55.979605,71,2025.086165
4.201123,6,2028.079241
9.267151,13,2034.573596
83.702542,120,2094.907485
3.791456,6,2097.924109
56.518545,120,2157.898038
10.820456,17,2166.369773
7.635341,9,2170.87108
7.497548,11,2176.376983
0.271704,1,2176.88733
3.817796,5,2179.398461
5.759819,7,2187.245396
57.667988,74,2224.083495
71.861059,89,2268.54338
91.387023,120,2328.862635
3.120468,5,2331.416461
2.463763,4,2333.450942
0.136695,1,2333.9602
74.614241,98,2383.344362
6.121842,10,2388.371613
3.437149,5,2390.912493
0.666667,2,2391.944278
6.180551,8,2396.020297
85.740989,120,2456.912702
2.547878,4,2458.934421
1.725581,3,2460.443498
42.383803,56,2488.976937
1.022883,2,2489.995354
0.214635,1,2490.497773
0.20737,1,2491.018459
5.21666,7,2494.584742
0.755556,2,2495.600398
1.207937,2,2496.617013
96.119998,120,2557.116534
3.968494,6,2560.154559
0.311111,1,2560.666996
2.189671,4,2562.701963
0.116719,1,2563.218183
88.211844,120,2623.995326
3.374028,5,2626.505504
0.108501,1,2626.999583
97.786526,120,2686.801475
0.666667,2,2687.806735
2.340931,4,2689.790485
85.36583,120,2749.607775
0.761416,2,2750.606374
2.328346,4,2752.594521
37.27531,49,2777.261429
93.038205,120,2837.331998
4.35031,6,2840.32822
94.18235,120,2900.279941
3.032089,5,2902.794711
77.509322,94,2949.768862
89.268178,120,3010.323193
