#{"t_start": 1773412798.2825782, "env_id": "continuous-highway-v0"}
r,l,t
-0.858179,11,0.30804
-1.821034,11,0.620732
-2.135825,10,0.897513
-0.599447,13,1.238389
0.152495,13,1.59536
-0.332669,14,1.95537
-1.026127,11,2.254024
-0.38389,13,2.606319
-0.691502,12,2.959227
-0.339586,14,3.461673
-0.408155,12,3.817796
-0.968356,13,4.177572
-1.043436,12,4.494153
0.367111,14,4.890626
-0.167211,13,5.257483
-1.551225,12,5.584771
-0.837228,12,5.916428
-1.561976,12,6.237678
-0.423669,13,6.580783
-1.26418,12,6.896178
-1.545344,11,7.170864
-1.289364,11,7.469235
-3.016372,9,7.70109
-0.711746,13,8.050817
-0.927429,12,8.368686
-0.126773,12,8.766566
-0.566865,12,9.134933
-2.077311,10,9.413012
-1.484962,10,9.682121
-0.019152,14,10.044455
-0.984382,11,10.346552
-0.598799,13,10.678924
-0.377243,13,11.031322
-1.519091,11,11.334414
-1.07162,11,11.631604
-1.645443,11,11.947689
0.216253,15,12.493395
-1.593476,11,12.814363
-1.897479,10,13.095465
-0.827857,11,13.376787
-1.380825,11,13.668798
-1.059922,12,13.982196
-1.465934,11,14.271173
-0.387778,12,14.573918
-0.568118,12,14.893162
-0.286992,12,15.224939
-0.852066,12,15.557965
-0.363187,12,15.89825
-0.056765,13,16.233858
0.493924,14,16.595268
1.097836,15,16.985781
-1.673103,11,17.276043
-1.439863,11,17.57664
-1.265264,11,17.880092
-2.37438,10,18.149514
-0.404577,14,18.49945
-0.697763,14,18.891226
-1.34818,11,19.261987
-1.913495,11,19.572826
-1.071142,13,19.946223
-0.984189,13,20.318529
-0.402951,12,20.632064
-1.132665,12,21.000862
-0.788626,11,21.379178
-2.192226,10,21.647602
0.685929,15,22.062037
-1.492074,12,22.372368
0.145708,13,22.713387
-0.056853,14,23.079884
-0.991249,11,23.353603
-1.376914,11,23.681206
-0.737705,12,24.012347
-1.297655,12,24.362984
-1.515532,10,24.634921
-2.031228,9,24.864251
0.305277,15,25.265668
-1.596947,11,25.533388
-0.270934,12,25.840727
-0.524409,12,26.148091
-0.307925,13,26.493504
-1.398301,12,26.814014
-1.925321,10,27.067853
-0.797154,12,27.385869
-0.409033,13,27.719518
-0.580651,12,28.040219
-1.13483,11,28.331417
-0.949889,11,28.612849
-1.039597,12,28.927271
-1.443696,11,29.237514
-0.818302,12,29.620312
-0.109842,14,30.130427
-1.562284,11,30.481064
-0.989568,12,30.802368
-2.454152,10,31.062424
-1.840308,11,31.344787
-1.962381,10,31.589245
-1.951084,10,31.837053
-2.702719,9,32.068141
-1.424597,11,32.357698
-0.457328,13,32.694887
-1.942474,10,32.968183
-1.700354,11,33.261255
-0.391236,12,33.574496
