#{"t_start": 1774643975.7156622, "env_id": "continuous-highway-v0"}
r,l,t
2.396953,16,14.030685
3.776439,19,14.240921
2.263438,16,14.426086
2.149018,15,14.588823
3.093845,18,14.785418
2.610222,17,14.975111
4.644021,21,15.204022
3.254625,17,15.486661
2.948254,15,15.899685
1.088667,13,16.160676
2.43767,15,16.330615
2.457912,15,16.535893
4.333262,18,16.839956
2.796579,15,17.269805
2.63093,17,17.641211
4.359205,20,18.044302
1.632453,14,18.271156
2.157988,16,18.526119
2.811106,16,18.787112
3.931347,18,19.070187
4.971058,23,19.439385
2.727597,17,19.711836
3.668134,18,19.993662
3.551305,17,20.265545
3.590293,20,20.647753
4.948301,20,21.015082
3.093792,17,21.279088
4.048279,19,21.526838
4.289226,18,21.773024
4.456633,19,22.023489
3.503885,18,22.414368
2.489795,16,22.977486
4.046446,17,23.262775
1.547875,15,23.650809
3.931568,16,24.031782
3.64175,16,24.292583
4.006328,18,24.56335
1.518425,14,24.754962
1.100046,15,25.001773
1.101831,14,25.214131
2.745134,18,25.475733
1.014104,14,25.6338
3.234938,18,25.829945
4.047283,21,26.054266
3.122948,16,26.232408
1.682808,16,26.403239
2.923201,17,26.589539
2.529062,15,26.745805
4.220276,18,26.937166
1.043151,15,27.104164
3.52299,18,27.299876
2.502183,18,27.492155
1.740866,16,27.671954
2.649372,16,27.851134
2.978398,16,28.028248
3.729586,17,28.209202
3.118767,18,28.406229
1.381605,15,28.668406
6.253693,27,29.347445
1.884159,14,29.511308
4.350491,18,29.714035
2.130075,15,30.018225
3.215759,17,30.442752
1.629667,14,30.736801
2.886785,16,31.074412
2.484863,16,31.321463
4.376158,18,31.62672
3.310586,16,31.865973
4.115772,19,32.216793
3.420229,19,32.576962
2.706668,16,32.919167
1.802866,16,33.368628
1.75263,15,33.761986
2.55192,16,34.140854
3.679354,19,34.658876
2.890845,15,34.974938
3.656154,18,35.339028
5.325377,20,35.720972
3.077235,17,36.043476
1.367511,13,36.237567
3.613501,18,36.578929
