#{"t_start": 1770780776.230758, "env_id": "highway-v0"}
r,l,t
59.508341,100,24.369473
13.40337,17,28.407385
11.578022,14,31.744302
8.694261,11,34.371205
1.866667,3,35.096278
80.016731,100,58.810411
9.501482,11,61.450647
7.963465,9,63.609129
44.034771,100,87.442562
14.893115,19,91.986972
6.994715,8,93.876166
73.434846,100,117.70402
7.695217,9,119.849038
76.556021,100,143.613957
24.340478,31,150.929983
21.842091,30,158.027371
48.583684,100,181.628175
68.748405,100,205.426208
10.603024,14,208.744259
66.046659,89,230.052917
81.042496,100,253.844206
17.075026,20,258.718971
13.489928,17,262.786384
7.47263,9,264.927186
28.221641,35,273.263852
21.299618,24,278.980642
72.758911,100,302.80137
3.665074,5,303.985044
13.893779,15,307.563485
70.695854,100,331.234035
60.497739,74,348.814401
67.406145,100,372.575391
77.508777,100,396.323259
15.771804,20,401.161021
6.527071,8,403.09628
15.703752,20,407.903915
74.188865,100,431.696508
71.632467,100,455.514827
12.680883,15,459.069028
76.759014,100,482.895999
10.561831,12,485.776735
4.106826,5,486.960601
58.819831,72,507.963579
3.067256,4,508.915282
2.0,3,509.626393
3.368194,5,510.805829
75.651248,100,534.553257
7.435066,10,536.916198
67.162193,100,560.536574
56.463585,69,576.853632
74.662293,100,600.649357
52.887846,64,615.657668
73.380608,100,639.512778
16.133333,100,663.29074
80.519562,100,686.981294
2.586723,4,687.930238
23.924612,32,695.505017
36.907322,100,719.196149
2.220309,3,719.918307
67.624019,100,743.74757
15.09385,18,748.191648
69.434636,100,772.120112
62.693133,83,791.773613
6.007382,7,793.45841
61.481147,78,811.952868
73.644265,100,835.663949
3.947264,5,836.865333
10.975732,13,839.972315
47.431559,58,854.003481
4.182283,6,855.448061
74.379626,89,876.139991
13.669882,18,880.324608
12.501266,16,884.139567
11.98786,14,887.387868
46.900168,60,901.564684
23.942637,100,925.495626
6.063131,8,927.378912
1.097804,2,927.865348
7.289854,10,930.270907
73.281817,100,953.767478
82.00322,100,977.122808
77.702667,100,1004.864478
46.493155,57,1018.330443
75.367281,100,1041.926723
73.782015,100,1065.31667
69.933724,91,1087.097817
74.63875,100,1110.39494
76.290445,100,1134.46614
81.33521,100,1158.065543
78.811854,100,1181.715982
78.426097,100,1205.222973
69.273322,100,1229.443671
81.054756,100,1253.291486
76.357251,100,1277.492851
53.053198,66,1293.071234
