#{"t_start": 1772184982.3810105, "env_id": "highway-v0"}
r,l,t
13.755556,160,96.497252
15.896496,160,192.704814
0.666667,160,289.262103
7.868376,160,386.1911
18.177778,160,482.810143
0.733333,160,579.826556
6.334934,160,677.188906
8.647573,160,773.649576
13.463484,160,870.040293
0.711111,160,966.817309
7.555556,160,1063.992353
21.048649,160,1161.065557
5.680315,160,1262.171167
0.817782,2,1263.393662
11.354643,160,1360.157775
0.889076,2,1361.374204
7.488889,160,1458.888328
19.803612,160,1556.151647
3.576079,160,1653.576797
11.81554,160,1751.236346
3.664946,160,1848.645238
7.29063,160,1946.093385
2.088889,160,2042.875754
8.955556,160,2139.685292
0.0,160,2236.840507
23.177778,160,2333.165734
20.190777,160,2430.182495
2.873963,160,2531.423854
6.217722,160,2628.360908
2.8,160,2725.410575
0.848673,2,2726.630454
3.466667,160,2823.492243
15.693828,160,2920.183077
3.577778,160,3017.475991
5.060502,160,3114.322186
0.733333,160,3210.990259
4.413486,160,3308.326784
9.066667,160,3405.741524
3.422222,160,3502.668773
0.0,160,3600.009922
1.377778,160,3696.468171
5.205078,160,3797.700732
6.933333,160,3894.569196
5.022222,160,3991.908778
7.565689,160,4088.803944
9.269324,160,4186.234276
14.833212,160,4283.521178
8.555556,160,4380.915158
6.022079,160,4477.747726
10.04398,160,4574.080191
0.0,160,4670.536927
1.355556,160,4767.023949
11.777778,160,4863.983733
2.044444,160,4960.728222
13.218299,160,5062.847005
3.533333,160,5160.010777
0.135907,1,5160.609359
7.757948,160,5257.26529
12.488889,160,5353.957819
17.377778,160,5450.537559
1.435573,160,5546.435785
7.69295,160,5643.147091
5.666667,160,5740.35588
8.049631,160,5837.879531
10.833678,160,5934.625957
2.280721,160,6030.330245
17.235328,160,6126.624249
0.711111,160,6227.462595
11.862205,160,6324.624084
3.521402,160,6421.175066
6.317748,160,6517.700162
4.288889,160,6614.002185
0.0,160,6709.903102
11.354904,160,6805.5869
1.606972,160,6902.204514
8.376706,160,6998.333577
6.394705,160,7093.832238
10.391324,160,7188.554121
1.355556,160,7283.638868
9.0,160,7379.357881
9.733569,160,7479.149094
9.012403,160,7574.526712
0.733333,160,7670.784701
10.444444,160,7766.837441
4.955556,160,7861.867002
9.222222,160,7957.310244
0.975024,160,8053.021886
26.965179,160,8148.365965
10.511111,160,8243.521751
14.377778,160,8339.385099
7.533333,160,8434.897879
8.548525,160,8529.90253
0.0,160,8626.366641
0.788944,160,8726.336389
12.221558,160,8822.339737
12.017323,160,8917.495132
6.182541,160,9013.131503
7.066667,160,9108.468317
0.733333,160,9203.993988
10.545541,160,9299.98719
1.466667,160,9395.596019
4.959372,160,9490.916891
3.711111,160,9587.174695
12.718561,160,9682.760521
4.222222,160,9777.999491
11.111111,160,9874.4314
5.63475,160,9974.020361
15.466667,160,10069.670829
2.066667,160,10165.055739
9.755556,160,10260.15054
4.16331,160,10355.49607
16.422222,160,10451.146286
28.524783,160,10547.15547
4.333333,160,10643.369071
0.711111,160,10738.671015
28.471315,160,10834.191633
2.755556,160,10929.404214
11.723371,160,11025.193098
22.644444,160,11121.225417
13.511111,160,11221.620892
5.488889,160,11317.127568
18.2,160,11412.850693
0.666667,160,11507.564517
3.782164,160,11603.199142
0.0,160,11698.744239
8.554707,160,11794.116453
4.437289,160,11889.544237
23.488889,160,11984.919246
10.577778,160,12080.25812
11.939525,160,12175.686855
11.653549,160,12271.564792
6.914447,160,12371.252706
18.36665,160,12466.893123
11.743803,160,12562.310014
5.622222,160,12657.918126
1.53568,160,12753.335316
5.622222,160,12848.885841
11.6,160,12944.290964
4.888889,160,13039.569996
10.979806,160,13135.265954
4.266667,160,13230.66571
7.666667,160,13337.793251
16.92831,160,13455.106035
24.098258,160,13573.925416
4.177778,160,13698.86308
15.192448,160,13824.229071
15.487903,160,13940.980041
8.490532,160,14055.764296
4.333333,160,14168.882232
30.625404,160,14283.141575
9.781109,160,14397.521198
9.900779,160,14511.91151
15.923753,160,14624.75536
2.0,160,14738.61042
20.044444,160,14854.392567
18.022222,160,14967.297317
0.0,160,15082.348604
17.133333,160,15201.056785
8.244444,160,15314.416119
4.311111,160,15428.120219
27.100742,160,15540.758931
23.969208,160,15653.831534
7.022222,160,15767.854369
0.022222,2,15769.102947
10.827567,160,15883.826977
17.270336,160,15998.136048
8.288889,160,16113.502594
15.743125,160,16229.115228
0.0,160,16342.935982
2.822222,160,16456.280885
14.577778,160,16569.960532
17.546761,160,16688.215347
9.511191,160,16801.550299
8.811774,160,16914.488626
23.570525,160,17029.996303
21.243999,160,17142.973115
8.466667,160,17256.573483
2.8,160,17370.663703
39.322608,160,17483.379148
7.088889,160,17596.763712
9.834072,160,17711.063562
5.222222,160,17824.409527
2.111111,160,17936.77632
28.688889,160,18049.436624
21.586225,160,18167.368094
13.404012,160,18281.032066
10.822222,160,18394.328335
5.555556,160,18508.171453
2.733333,160,18621.485217
13.266667,160,18735.504211
16.355556,160,18847.982893
15.422222,160,18960.813896
17.722358,160,19074.335731
