#{"t_start": 1773424253.12323, "env_id": "continuous-exit-v0"}
r,l,t
2.546449,7,0.325166
-7.937513,7,0.604992
0.991771,4,0.782543
1.659184,6,1.042124
1.663549,6,1.284631
0.327883,2,1.37332
-7.439959,6,1.631267
2.873119,8,1.981639
1.758672,6,2.246839
2.248899,7,2.535811
1.450437,5,2.746019
0.70196,3,2.876493
3.347988,10,3.313767
-7.965618,5,3.538885
-6.02492,9,3.917223
-7.811775,6,4.171809
-5.816502,10,4.593562
0.311285,2,4.680594
1.337278,5,4.899326
0.333705,2,4.978775
0.348738,2,5.066569
-8.001608,5,5.268562
7.997357,21,6.14871
0.368229,2,6.237753
0.734866,3,6.370003
0.707737,3,6.501678
0.334523,2,6.590852
0.364132,2,6.679018
-6.264009,8,7.026637
1.116942,4,7.204459
-4.073599,13,7.763515
1.136741,4,7.929763
-7.644485,6,8.187962
0.380836,2,8.274873
0.319078,2,8.364408
-6.31387,9,8.748014
1.054175,4,8.916908
-7.811302,6,9.184499
3.805559,9,9.574002
-6.957857,7,9.882741
3.475584,9,10.279617
-7.96789,5,10.49181
-8.020406,5,10.714568
0.358452,2,10.80217
2.382601,8,11.151919
-8.167503,6,11.417392
0.741986,3,11.541103
0.344223,2,11.619097
1.581327,5,11.820927
1.629185,6,12.078233
0.3506,2,12.165306
0.322618,2,12.254092
1.009472,4,12.419416
-7.346632,7,12.715406
-7.929969,5,12.928094
-7.886338,6,13.177454
0.747264,3,13.309604
0.762617,3,13.432361
1.478537,5,13.656842
-8.041216,5,13.880169
2.004303,6,14.135811
1.085087,4,14.313834
-8.575513,4,14.480773
2.207768,7,14.817059
-8.582786,4,15.073164
0.322458,2,15.173952
-7.794501,6,15.441612
0.719444,3,15.56873
1.36806,5,15.793112
0.712001,3,15.930037
3.42046,9,16.347494
1.797653,6,16.614333
0.311285,2,16.694313
0.33725,2,16.77439
1.799993,6,17.051144
-8.048261,5,17.2622
0.33725,2,17.350204
3.188436,11,17.814224
1.033984,5,18.038455
0.33725,2,18.126802
1.325047,5,18.340429
2.408956,7,18.656565
0.320245,2,18.744392
1.444256,5,18.95695
-6.456359,8,19.294071
0.376971,2,19.382053
5.119521,13,20.075252
0.73258,3,20.213825
-8.183666,5,20.429414
1.348038,5,20.646932
-8.575022,4,20.827532
1.182595,4,21.000354
1.148573,4,21.181732
0.663083,3,21.315649
4.068318,10,21.739472
-8.509622,4,21.919926
0.33183,2,21.99779
0.311415,2,22.085599
0.358557,2,22.174026
-8.228302,5,22.385564
0.661623,3,22.496752
1.470114,5,22.717839
0.329662,2,22.806304
0.322588,2,22.88422
1.066158,4,23.05038
0.32895,2,23.138123
0.332216,2,23.225388
0.365242,2,23.317618
0.320614,2,23.406192
-8.141139,5,23.606098
1.928285,6,23.877098
-6.958679,8,24.228528
0.329534,2,24.317778
0.723139,3,24.449837
-3.529165,18,25.221428
-7.006941,7,25.481567
-7.610601,6,25.74226
0.344797,2,25.820102
-7.717786,6,26.089252
0.336194,2,26.177243
0.325136,2,26.264876
1.120028,5,26.475805
0.371585,2,26.564018
-6.561471,8,26.922186
5.230944,15,27.543707
1.097258,5,27.748671
0.311285,2,27.837722
0.388666,2,27.926224
0.316142,2,28.013635
2.317291,7,28.312984
-8.729208,4,28.488263
-6.016992,12,29.017264
1.037873,4,29.183356
1.251937,5,29.393451
1.817453,6,29.641083
0.352772,2,29.730478
6.321498,15,30.361433
4.360091,12,30.888053
2.339617,7,31.180487
4.06751,12,31.672533
1.086033,4,31.850644
-8.293267,4,32.007361
-7.516908,6,32.275869
1.683828,6,32.541038
1.62058,6,32.807921
1.106856,4,32.974697
0.319941,2,33.062554
2.113043,7,33.355978
-8.138522,5,33.578363
0.715427,3,33.708667
0.321731,2,33.796033
7.245193,22,34.728239
0.730747,3,34.859988
0.356276,2,34.938649
1.766294,6,35.206295
1.184177,4,35.383384
1.417006,5,35.605943
-7.655727,6,35.8727
-6.433621,9,36.260732
2.446682,7,36.570987
0.316104,2,36.659577
0.319184,2,36.746629
2.483591,8,37.087352
0.351137,2,37.175929
2.735019,8,37.512689
3.479908,10,37.908844
0.330505,2,37.998142
1.307537,5,38.212472
0.311285,2,38.289397
-7.603688,7,38.60039
1.086387,4,38.780089
-7.781103,5,39.001151
0.999016,5,39.200225
0.153702,23,40.14345
2.356322,7,40.444151
0.733007,3,40.579579
0.382471,2,40.668529
1.82951,7,40.952014
3.024396,9,41.346691
0.346706,2,41.433662
0.337349,2,41.512567
2.016858,6,41.761947
0.33725,2,41.850508
1.079869,5,42.063144
-6.643553,9,42.445317
2.219427,6,42.690638
-7.373019,7,42.994678
0.32434,2,43.086226
1.060672,4,43.264017
0.755874,3,43.39785
1.245333,5,43.619582
0.735802,3,43.741749
-7.265435,7,44.032723
-7.633443,6,44.292559
1.2029,5,44.496276
-6.254577,8,44.84175
0.351336,2,44.929943
5.452381,15,45.572971
1.985767,6,45.82888
2.228988,7,46.12202
4.835183,13,46.68649
5.127866,13,47.253768
3.424124,9,47.653351
0.371351,2,47.746771
1.018726,4,47.914139
-6.945284,7,48.197827
4.255501,12,48.702896
0.388002,2,48.791722
1.23925,5,48.994724
0.722198,3,49.117575
1.115003,4,49.28557
0.374621,25,50.353135
0.335302,2,50.445084
-8.138525,5,50.650473
1.802729,6,50.897893
0.368617,2,50.986503
1.401004,5,51.202112
0.334255,2,51.293458
0.336652,2,51.381462
1.987424,6,51.63851
3.088738,8,51.985919
-4.888748,12,52.492897
-6.545347,9,52.882533
1.837958,7,53.193364
-8.138523,6,53.464726
3.202463,8,53.811237
-7.951416,5,54.022343
-7.159348,7,54.340734
1.386057,5,54.556088
0.71676,3,54.686708
2.51006,7,54.989264
0.360763,2,55.066936
1.66484,6,55.336948
1.841938,6,55.591543
0.707795,3,55.723133
2.095168,7,56.018747
-8.128571,5,56.232182
0.355516,2,56.321388
0.328025,2,56.41103
-7.504795,7,56.707996
0.316753,2,56.797069
1.089049,4,56.955603
-6.587982,8,57.296824
0.315741,2,57.374436
-8.006187,5,57.568904
-6.100129,10,57.99861
-8.580137,4,58.167501
-8.175566,5,58.392215
1.158204,5,58.615882
0.378424,2,58.704805
2.449789,8,59.046937
0.353479,2,59.135813
0.322492,2,59.227207
0.311285,2,59.314838
-8.003605,6,59.56136
0.355659,2,59.638715
1.783877,6,59.907612
1.229024,5,60.129679
-6.71223,8,60.4842
1.007462,4,60.650504
-7.973945,5,60.851788
-2.083629,18,61.614784
0.364968,2,61.701813
0.334019,2,61.781379
1.148018,4,61.952343
1.248126,5,62.161919
-2.685438,20,63.00503
1.965565,6,63.262562
0.35547,2,63.350955
1.840731,6,63.630718
5.361187,14,64.221102
1.362875,5,64.425863
1.384572,5,64.640314
0.322402,2,64.719089
-8.545148,4,64.900616
-4.973826,10,65.316611
2.218559,7,65.6301
0.346948,2,65.719618
1.540809,5,65.930287
0.765623,3,66.064022
0.348275,2,66.142054
0.353425,2,66.220146
0.337543,2,66.309636
-7.803354,6,66.558114
0.337179,2,66.647443
3.040892,9,67.038504
5.466907,13,67.61695
0.334618,2,67.705657
0.332566,2,67.793118
0.353802,2,67.870369
-5.339162,10,68.297993
2.507898,8,68.629591
-5.737814,9,69.019231
0.715019,3,69.1531
1.768664,6,69.407154
0.362132,2,69.49443
-5.576636,11,69.968328
3.481789,10,70.391162
-7.87229,6,70.647677
0.353414,2,70.734616
1.173287,5,70.956005
3.535382,10,71.376178
0.311285,2,71.464324
1.251714,5,71.689627
-5.922576,10,72.116398
0.731554,3,72.237884
1.63306,6,72.479405
0.715202,3,72.602321
1.09099,4,72.766823
-2.167596,21,73.662058
-8.092131,5,73.867004
0.311285,2,73.956824
-6.171907,10,74.382262
-6.837494,8,74.730464
0.377577,2,74.817751
0.737886,3,74.954985
-8.016553,5,75.165137
3.20287,8,75.483824
0.705457,3,75.617389
0.738359,3,75.753886
2.7776,8,76.094632
0.766138,3,76.217343
2.207447,7,76.510435
0.695167,3,76.644205
0.332494,2,76.735492
3.030471,10,77.17199
1.998962,6,77.431077
5.496911,15,78.072719
0.718649,3,78.195745
0.325473,2,78.285349
0.365461,2,78.362601
-8.626609,4,78.531848
-8.132309,5,78.732929
0.366097,2,78.822443
0.385483,2,78.910304
1.922002,6,79.181283
0.765811,3,79.313185
0.367241,2,79.391759
1.494171,5,79.606936
-8.031892,6,79.866189
-8.556886,4,80.024645
1.045082,4,80.191713
1.877391,6,80.452696
0.382778,2,80.530665
4.256561,11,81.002892
0.321763,2,81.080913
2.366415,8,81.408954
4.111305,12,81.914967
0.660361,3,82.048411
1.888332,6,82.295624
1.27311,5,82.499093
0.324072,2,82.587816
2.022595,6,82.858251
0.365306,2,82.949301
0.339987,2,83.028101
0.311285,2,83.116046
0.387879,2,83.204258
0.693984,3,83.33778
0.710898,3,83.472351
4.636763,12,83.988835
2.232038,7,84.268622
1.318857,5,84.482385
0.734452,3,84.605008
-5.951508,10,85.035108
0.34066,2,85.122089
0.353344,2,85.211596
4.277614,11,85.68254
0.331681,2,85.771067
0.33725,2,85.859501
0.319708,2,85.946607
3.652261,12,86.469075
2.696931,8,86.796975
1.174218,4,86.963945
0.737015,3,87.097405
4.906629,15,87.748888
0.313766,2,87.826284
0.311285,2,87.914927
1.224508,5,92.477045
-8.526874,4,92.648455
0.316939,2,92.736986
0.700774,3,92.857542
2.948164,9,93.242344
1.782302,6,93.490003
0.349966,2,93.577362
0.323182,2,93.667469
0.715272,3,93.801016
1.097116,4,93.968448
0.366373,2,94.059293
0.343105,2,94.148064
0.369994,2,94.236234
-8.084238,5,94.450334
0.331276,2,94.537636
4.370923,13,95.079127
0.33725,2,95.167691
0.944078,5,95.381699
2.294823,7,95.684891
0.33725,2,95.773141
1.89332,6,96.02195
0.353264,2,96.100455
3.859447,11,96.583411
3.111725,9,96.97207
1.866231,6,97.230741
0.338965,2,97.319273
2.467004,7,97.611512
0.334335,2,97.699952
0.315495,2,97.780249
0.311285,2,97.869731
0.345685,2,97.957037
1.137299,4,98.125753
0.355011,2,98.215013
-7.681379,7,98.504579
1.042684,4,98.683011
4.923437,12,99.188871
-7.391964,7,99.492924
0.328302,2,99.580905
1.401662,5,99.804913
0.32624,2,99.882089
0.33725,2,99.971003
0.702455,3,100.104198
3.011326,9,100.496933
1.159396,4,100.67635
0.311285,2,100.765901
0.371066,2,100.854784
0.33725,2,100.942107
1.746516,6,101.198196
0.365556,2,101.276025
0.379226,2,101.365312
0.713197,3,101.49858
0.384849,2,101.586825
2.010427,6,101.856491
0.684297,3,101.990131
0.348095,2,102.068684
1.739321,6,102.330012
0.755598,3,102.451764
0.311886,2,102.541545
3.33204,11,103.003788
1.073219,4,103.182039
0.326432,2,103.270872
0.341214,2,103.359461
1.120706,4,103.517707
0.724076,3,103.652295
0.688247,3,103.784117
1.752502,6,104.042806
1.808085,6,104.30898
0.745523,3,104.432441
1.020082,4,104.610744
1.021772,4,104.777622
0.315297,2,104.865664
2.89604,9,105.256182
0.314081,2,105.345874
1.044931,4,105.503522
-7.658178,6,105.768597
-7.438258,7,106.083185
0.713668,3,106.216424
1.924581,6,106.481372
0.336493,2,106.570139
1.863895,6,106.828793
1.113214,4,107.007986
0.355674,2,107.084789
0.313196,2,107.161965
3.365508,10,107.602937
5.012254,14,108.184991
0.311285,2,108.275065
-7.828467,6,108.533817
1.043299,5,108.750926
1.128111,4,108.928885
1.331942,5,109.151056
0.318938,2,109.241629
-8.501989,5,109.445406
1.083855,4,109.624405
0.311419,2,109.701948
0.383737,2,109.780514
2.076497,7,110.093286
1.874281,6,110.35924
2.720636,8,110.696498
4.613538,13,111.259472
-7.110613,7,111.561122
0.711103,4,111.737257
1.079363,4,111.908223
0.345794,2,111.99971
0.348096,2,112.089488
0.347172,2,112.177346
0.330022,2,112.267239
5.144422,14,112.869493
1.456159,5,113.095554
0.353148,2,113.174868
0.356445,2,113.254508
0.368903,2,113.34364
1.175047,5,113.557462
0.311285,2,113.637242
0.33725,2,113.716413
-7.687781,6,113.977239
1.856358,6,114.243504
1.821242,6,114.503499
0.359634,2,114.591306
0.317524,2,114.680652
4.757412,13,115.230422
1.133044,4,115.397859
2.671608,7,115.702374
-8.019913,5,115.925027
1.527526,5,116.128333
0.35529,2,116.218447
1.124087,4,116.397857
-8.594007,4,116.564467
0.373153,2,116.642368
0.352929,2,116.72215
0.35754,2,116.811925
0.328062,2,116.899829
2.463784,8,117.247647
0.31924,2,117.336492
2.377309,7,117.637342
0.757286,3,117.762802
1.673311,6,118.028962
1.07954,4,118.206124
0.318245,2,118.297115
1.496345,5,118.519177
0.368019,2,118.60764
0.321197,2,118.698657
2.631896,8,119.041374
0.361256,2,119.130207
-8.246385,5,119.344978
1.701783,6,119.613597
-7.492411,7,119.915727
0.351131,2,120.004745
0.329112,2,120.093698
1.717892,6,120.349667
-8.140306,5,120.56109
0.719259,3,120.685462
0.33725,2,120.773622
2.980262,9,121.15637
-5.896792,10,121.585123
0.311285,2,121.672755
-4.588492,15,122.318889
0.317531,2,122.40583
-6.750992,8,122.741266
