#{"t_start": 1773155673.4289262, "env_id": "highway-v0"}
r,l,t
5.377778,160,103.209812
5.622222,160,201.472327
4.933333,160,300.325323
0.0,160,399.292782
6.639683,160,498.682964
1.629966,160,598.098169
3.066667,160,696.579695
3.377778,160,795.052895
27.627134,160,893.019046
4.244444,160,991.150593
9.985164,160,1090.426991
20.402931,160,1189.283929
4.339496,160,1293.086813
6.355556,160,1392.096301
10.176992,160,1491.630625
4.866667,160,1590.805838
9.317103,160,1690.320035
8.308611,160,1789.953083
12.443289,160,1889.479688
5.3208,160,1989.412565
11.888889,160,2087.619336
7.133333,160,2185.466999
4.401449,160,2283.884906
4.911111,160,2382.038189
4.888889,160,2480.554948
4.98227,160,2584.343225
0.817278,2,2585.578082
23.933947,160,2683.904781
7.836869,160,2782.589457
19.155556,160,2881.858078
8.584231,160,2981.12977
10.450336,160,3080.427608
7.882179,160,3179.039603
12.022222,160,3277.772369
4.407673,160,3376.785267
11.851082,160,3476.012013
0.022222,2,3477.262598
21.968756,160,3575.841428
2.377778,160,3674.865352
5.6,160,3773.294717
3.657532,160,3875.956499
0.688889,160,3974.942067
4.888889,160,4073.43036
0.703602,160,4172.294448
2.711111,160,4271.077032
12.774429,160,4369.605012
0.666667,2,4370.844011
13.033126,160,4469.412648
7.884722,160,4567.618825
15.512121,160,4666.336232
9.433924,160,4765.953918
3.444444,160,4864.787452
16.650412,160,4963.588456
13.555556,160,5062.650944
12.976221,160,5165.610396
4.684237,160,5264.068586
4.266667,160,5362.765853
12.777778,160,5461.127087
11.627544,160,5559.771886
3.563198,160,5658.874903
47.671912,160,5757.689666
20.244444,160,5856.144487
1.355556,160,5954.919818
6.377778,160,6054.146526
16.977778,160,6153.031218
4.244444,160,6251.488077
11.044444,160,6355.1435
22.37816,160,6454.706898
0.688889,160,6553.183405
0.688889,160,6651.752537
0.0,160,6750.920687
13.111111,160,6850.176407
3.540248,160,6949.409343
5.666667,160,7048.581353
11.335242,160,7146.536652
6.199205,160,7246.03372
10.299441,160,7345.035684
3.422222,160,7443.592489
15.759363,160,7541.293345
1.453019,160,7645.394743
6.480098,160,7744.419583
15.710721,160,7842.729094
2.066667,160,7941.977615
5.002647,160,8040.690766
7.101372,160,8138.633979
0.0,160,8237.12701
6.409827,160,8335.70187
1.444444,160,8433.898095
7.255444,160,8533.329307
15.933333,160,8632.153368
6.4,160,8730.088775
27.666667,160,8829.566951
3.533333,160,8932.09281
26.147686,160,9030.33315
6.444444,160,9129.361509
25.03833,160,9227.820045
24.412577,160,9327.098808
11.666667,160,9425.672187
22.644444,160,9524.856074
17.533333,160,9623.173779
16.230884,160,9721.725355
7.785759,160,9820.580585
25.376836,160,9919.324457
6.283542,160,10017.473918
21.079917,160,10115.688386
0.0,160,10218.282192
16.577778,160,10316.363396
8.716512,160,10415.307185
12.037243,160,10513.82811
9.6,160,10612.365771
1.594141,160,10710.382319
11.073804,160,10808.011351
12.511111,160,10906.267999
14.155556,160,11004.411969
27.110713,160,11102.650186
12.926606,160,11200.991474
16.496031,160,11298.984182
23.022222,160,11398.264153
20.548155,160,11500.454511
13.445017,160,11598.379621
5.866667,160,11697.210564
13.311111,160,11794.695845
18.8681,160,11891.99225
12.414185,160,11989.643608
23.400274,160,12086.144716
1.377778,160,12183.625439
11.266667,160,12280.935635
12.245978,160,12378.610693
17.920194,160,12476.135768
12.977778,160,12573.842587
9.888889,160,12676.286182
21.291987,160,12773.2971
13.474699,160,12870.940397
13.911111,160,12968.437083
6.525443,160,13065.73947
17.066667,160,13164.739643
5.10802,160,13262.483622
12.098928,160,13360.182011
7.933333,160,13457.897835
26.484546,160,13555.567406
19.666667,160,13653.756075
13.990856,160,13751.211713
9.427688,160,13850.479649
8.588997,160,13953.054305
24.69151,160,14049.774589
9.974124,160,14147.151099
8.671498,160,14244.459213
37.523515,160,14341.822602
22.743501,160,14438.959777
19.422222,160,14538.056303
20.503576,160,14635.599972
22.444444,160,14732.930213
6.213914,160,14830.349057
33.890187,160,14927.890571
32.194632,160,15025.61971
13.539321,160,15122.635188
27.835615,160,15224.942981
5.488889,160,15322.732799
0.111541,1,15323.350129
14.711111,160,15420.311042
29.866667,160,15517.803659
2.961249,160,15615.160297
31.945769,160,15712.674731
36.345198,160,15809.640624
16.955556,160,15906.690015
13.431948,160,16004.03725
11.6,160,16101.612552
0.78568,2,16102.821731
15.244444,160,16200.372746
26.851689,160,16298.62747
20.155931,160,16396.686549
8.488889,160,16498.995134
30.263757,160,16597.514458
24.466667,160,16695.573239
14.111111,160,16793.674307
16.131461,160,16891.812803
14.755556,160,16989.482108
26.294548,160,17086.759715
31.289796,160,17184.434611
26.89763,160,17281.948235
31.955367,160,17379.831639
16.066667,160,17477.23804
5.555556,160,17574.56816
39.577778,160,17672.261299
3.466667,160,17774.189192
25.374883,160,17871.367123
14.577778,160,17969.15625
20.952911,160,18066.702577
15.004485,160,18164.40084
21.974135,160,18262.018587
26.077464,160,18359.979569
23.678598,160,18458.528804
13.488889,160,18556.008917
26.491064,160,18653.75663
33.765293,160,18751.393375
26.932603,160,18848.903932
47.017021,160,18950.262248
25.19642,160,19047.31467
18.265523,160,19144.892659
15.622222,160,19242.444736
36.882373,160,19339.677151
24.172307,160,19438.141537
2.177778,160,19535.246798
31.892359,160,19632.4364
16.418564,160,19729.632839
36.720118,160,19827.141749
16.896348,160,19924.917835
27.998239,160,20022.80745
29.506008,160,20119.971326
21.875327,160,20221.74882
11.2,160,20319.333466
34.786446,160,20416.798876
18.987613,160,20514.731973
9.067453,160,20612.959745
28.202458,160,20710.151264
38.720243,160,20807.150442
