#{"t_start": 1773461675.346491, "env_id": "continuous-exit-v0"}
r,l,t
1.827281,6,5.147885
0.690049,3,5.29465
4.265892,12,5.874964
0.378855,2,5.970184
2.157164,7,6.276364
0.327225,2,6.365656
1.122445,4,6.561759
2.34505,7,6.862596
0.355649,2,6.956576
-8.082358,5,7.185525
0.33725,2,7.2697
-7.869945,5,7.509025
-7.923207,6,7.79986
-7.980427,5,8.049802
1.034642,4,8.231696
1.941449,6,8.508889
-6.357786,8,8.876575
0.686929,3,9.029418
0.372942,2,9.120852
-7.882792,6,9.390037
-8.240249,5,9.620387
3.203523,9,10.034132
0.311285,2,10.129306
0.320293,2,10.227927
1.840864,6,10.517014
0.734642,3,10.65203
3.277913,9,11.040545
-7.20551,7,11.324947
4.776207,13,11.900894
1.020513,4,12.083774
-7.058913,7,12.394923
2.811658,8,12.73865
1.05864,5,12.958366
-8.18881,5,13.186295
0.749093,3,13.322426
3.427823,10,13.761657
0.329489,2,13.852701
-8.12707,5,14.092441
0.349523,2,14.182562
2.146041,8,14.531298
1.171009,4,14.70996
1.048903,4,14.898313
2.408629,7,15.176203
-8.690933,4,15.350875
0.356951,2,15.440703
0.33725,2,15.530317
0.373152,2,15.613773
-7.638648,6,15.889221
3.734315,10,16.303242
0.731044,3,16.440788
2.544403,8,16.765821
5.355213,14,17.384401
0.351039,2,17.47313
1.346727,5,17.70427
2.662287,7,18.012756
-8.535729,4,18.184471
-7.758219,6,18.448877
-8.470535,4,18.632313
2.349207,6,18.896452
1.03655,4,19.056847
0.326408,2,19.146971
1.484491,5,19.374205
1.508563,5,19.615158
1.368624,5,19.869386
1.392989,5,20.128434
0.710759,3,20.26205
0.742893,3,20.400703
0.341316,2,20.492003
3.67624,11,20.952883
0.759333,3,21.087813
0.370695,2,21.177092
-4.278057,13,21.74713
0.72398,3,21.875378
1.788997,6,22.138196
0.74779,3,22.273802
0.740967,3,22.411026
-7.670863,6,22.684396
1.788281,6,22.957983
0.356653,2,23.048292
-8.445445,5,23.268587
-7.560304,7,23.571739
-7.284219,7,23.878907
1.482286,5,24.108038
0.35285,2,24.200036
2.199459,7,24.510751
0.363217,2,24.601594
-8.279115,5,24.821558
2.291584,8,25.175352
0.999567,4,25.346634
0.324301,2,25.438021
-8.005348,6,25.6886
1.804839,6,25.964033
-8.263917,5,26.170013
3.099845,10,26.599833
0.343883,2,26.690646
2.258492,7,26.979778
0.734912,3,27.105852
0.311285,2,27.185836
0.378801,2,27.266925
1.112361,4,27.447273
4.106521,12,27.967586
0.311658,2,28.058203
0.327546,2,28.149641
0.331315,2,28.240961
0.311791,2,28.333082
1.854512,6,28.597674
2.588455,8,28.943229
-8.085439,6,29.189759
0.651704,3,29.324695
0.371819,2,29.407049
6.772405,17,30.17487
4.163435,11,30.631867
-5.467095,10,31.068638
0.311285,2,31.161135
0.33725,2,31.253099
1.346737,5,31.470257
6.790171,18,32.237576
2.52127,8,32.59182
-8.182898,5,32.821454
0.328641,2,32.900975
-6.828177,8,33.256752
0.351475,2,33.336061
0.342491,2,33.426482
0.342529,2,33.51753
1.480904,5,33.734851
0.327559,2,33.816538
-8.749195,4,33.999986
0.311285,2,34.090786
-8.375887,5,34.307254
4.252038,12,34.84554
1.062952,4,35.018465
0.370051,2,35.098213
0.350189,2,35.189696
0.367961,2,35.280541
1.837672,7,35.593354
