#{"t_start": 1771616309.975576, "env_id": "highway-v0"}
r,l,t
18.348038,140,37.085014
14.049824,140,68.754977
1.383764,140,100.574643
6.407206,140,132.34392
15.893666,140,164.312387
7.762402,140,196.011822
10.549697,140,227.938927
7.777778,140,259.908374
2.822222,140,291.783714
15.848956,140,323.628202
4.177778,140,355.634131
2.300347,140,387.614611
1.422222,140,419.175837
1.791611,140,451.042847
8.623116,140,487.01326
7.711111,140,518.58912
22.09344,140,550.137937
2.044444,140,581.841111
16.091139,140,613.924651
1.610579,140,645.850007
2.884613,140,677.676933
9.187695,140,709.581168
4.888257,140,741.33278
22.785202,140,773.206026
0.711111,140,804.828192
1.416197,140,836.861532
11.266667,140,868.860316
10.533333,140,900.582974
0.711111,140,932.380495
11.866667,140,968.466769
1.377778,140,1000.460765
3.577778,140,1031.820207
2.311111,140,1063.110884
1.422222,140,1094.587517
6.444469,140,1125.984745
1.866667,140,1158.03668
5.022222,140,1189.771675
4.422222,140,1221.88033
6.288889,140,1253.878261
5.711111,140,1285.274433
2.133333,140,1316.286011
19.286019,140,1347.628411
3.553187,140,1378.825227
8.020974,140,1414.384417
6.311111,140,1445.825501
4.755556,140,1477.29903
16.084762,140,1508.95526
10.911111,140,1540.560243
14.133546,140,1572.723323
0.0,140,1604.978301
3.644444,140,1636.953814
9.822222,140,1668.924044
19.136287,140,1700.833699
8.32718,140,1732.784395
2.844444,140,1764.64693
2.777778,140,1796.501505
12.127652,140,1828.345179
0.666667,140,1859.974777
0.666667,140,1896.231543
10.466667,140,1928.407999
2.311111,140,1960.206973
6.977778,140,1992.101013
15.198255,140,2023.941927
27.708233,140,2055.830269
2.8,140,2087.76659
11.428906,140,2119.777466
12.680349,140,2151.648593
6.606616,140,2183.721231
2.133333,140,2215.464294
21.616903,140,2247.0423
5.255877,140,2278.741501
2.867196,140,2310.275468
2.733333,140,2341.743312
2.784671,140,2377.618365
12.856085,140,2409.052777
5.133324,140,2440.696657
25.830463,140,2472.105858
6.955556,140,2504.118993
19.111111,140,2536.112092
8.909322,140,2567.898727
9.2,140,2599.915127
8.904245,140,2631.791552
9.735233,140,2663.283067
5.652766,140,2694.873596
9.044444,140,2726.523834
4.986059,140,2758.367393
3.622222,140,2790.032546
12.333333,140,2826.171555
10.339458,140,2858.002121
0.711111,140,2889.8788
2.111111,140,2921.455757
9.308174,140,2953.230121
16.583157,140,2985.144798
23.55166,140,3017.537963
6.655485,140,3049.33489
6.769221,140,3081.127333
0.0,140,3112.868682
2.933221,140,3144.525921
5.622222,140,3176.035575
21.547899,140,3207.874095
7.2,140,3239.658342
6.911111,140,3271.427206
3.0,140,3307.575169
3.589945,140,3339.519021
7.377778,140,3371.420961
8.4,140,3403.201539
5.111111,140,3435.025731
6.303773,140,3466.791917
10.488889,140,3498.99811
0.933333,140,3531.04888
31.453929,140,3563.131991
12.622044,140,3594.957736
4.673124,140,3626.611024
0.0,140,3658.130963
1.007126,3,3658.815197
5.232476,140,3690.462623
12.369034,140,3722.299469
4.355511,140,3754.153683
4.111111,140,3790.471424
10.506982,140,3822.17175
12.728178,140,3854.128886
2.777778,140,3885.852571
6.390717,140,3918.017445
1.466667,140,3950.1487
10.244444,140,3982.208491
4.955556,140,4014.182554
15.599683,140,4045.693712
7.951663,140,4077.401062
11.023016,140,4108.916205
2.8,140,4140.525031
14.917538,140,4172.348913
12.287322,140,4204.383412
0.0,140,4240.36279
1.444444,140,4271.987176
22.426437,140,4303.773352
0.0,140,4335.47732
6.266667,140,4367.556125
0.0,140,4399.576054
0.733333,140,4431.568701
13.977778,140,4463.536416
12.198399,140,4495.640323
18.726226,140,4527.394615
1.688889,140,4559.146451
7.813542,140,4590.78568
7.409733,140,4622.624614
15.883839,140,4654.540077
0.711111,140,4686.335646
19.734004,140,4722.700898
5.6,140,4754.779872
12.314203,140,4786.678299
0.0,140,4818.405044
2.866667,140,4850.355101
8.222222,140,4882.697455
17.244444,140,4914.60944
2.755556,140,4946.546319
9.111111,140,4978.530193
2.157307,140,5010.281303
2.922292,140,5042.125465
4.333333,140,5073.87172
2.866667,140,5105.43228
3.040147,140,5137.263765
18.470334,140,5173.522854
6.977778,140,5205.19618
5.577778,140,5236.918785
9.132045,140,5268.661142
6.333333,140,5300.56745
12.422222,140,5332.354724
2.133333,140,5364.170278
6.527503,140,5396.014586
12.894291,140,5427.776351
10.555556,140,5459.573523
8.2,140,5491.214234
22.564038,140,5522.964174
15.177778,140,5554.655043
8.730909,140,5586.333677
7.733333,140,5618.019315
14.644444,140,5654.383291
24.022222,140,5686.369284
5.444444,140,5718.189217
2.044444,140,5749.708649
10.859927,140,5781.55123
20.288889,140,5813.29055
8.361887,140,5845.249944
5.758388,140,5877.330961
2.111111,140,5909.142313
5.088889,140,5940.798869
28.666093,140,5972.530863
7.978238,140,6003.964865
9.4,140,6035.453412
2.777778,140,6067.23969
10.222222,140,6099.194819
10.038787,140,6135.251122
13.552112,140,6166.691343
24.993814,140,6198.104356
1.444444,140,6229.20014
27.577778,140,6260.780327
30.320626,140,6292.322643
9.178278,140,6323.699661
4.393929,140,6354.946358
22.126024,140,6386.252067
11.570475,140,6417.370386
28.790339,140,6448.489653
2.022222,140,6479.6873
16.133333,140,6510.770505
10.699707,140,6541.987161
12.888889,140,6577.687401
10.548334,140,6608.876504
23.612829,140,6640.094661
12.755556,140,6671.335584
17.016642,140,6702.445057
9.24492,140,6733.622611
15.974976,140,6764.712437
3.577778,140,6795.861647
