#{"t_start": 1773411760.8915503, "env_id": "continuous-exit-v0"}
r,l,t
0.333959,2,0.098185
-7.724528,6,0.307057
0.327589,2,0.378321
-7.330435,6,0.582744
-8.16408,5,0.762461
1.52983,5,0.945656
4.111215,12,1.364437
0.723354,3,1.477247
0.650467,3,1.589942
2.886737,8,1.875659
0.330911,2,1.948708
0.324344,2,2.021259
0.347528,2,2.094059
3.760564,9,2.418224
0.338449,2,2.492478
0.702537,3,2.593394
0.741373,3,2.696437
0.660951,3,2.807047
-5.925923,9,3.148046
-4.698109,14,3.629709
1.706193,6,3.85008
2.283721,7,4.099418
-7.517509,7,4.339671
0.369345,2,4.414322
0.321419,2,4.475869
0.375129,2,4.547813
1.041808,4,4.684481
-5.610281,10,5.031783
1.078488,4,5.158962
-7.683839,6,5.378521
1.421189,5,5.627928
0.323777,2,5.718343
-6.350445,9,6.055813
1.721881,6,6.281892
1.086504,4,6.434967
-7.87078,6,6.643101
0.732435,3,6.748898
0.365392,2,6.821422
4.738076,13,7.28195
0.340294,2,7.344977
0.327564,2,7.41133
0.385799,2,7.486399
0.316693,2,7.560148
1.397337,5,7.741193
-8.181255,5,7.91736
2.897057,8,8.17494
0.333648,2,8.263729
-8.062151,5,8.469475
0.318574,2,8.560783
-6.372248,9,8.890732
0.387365,2,8.960296
-8.462566,4,9.113246
0.340783,2,9.185838
2.270913,7,9.425534
0.70594,3,9.525815
0.311285,2,9.598193
1.15638,4,9.735363
-7.104399,7,9.972493
0.322621,2,10.044398
0.33725,2,10.118057
0.311285,2,10.189674
0.311437,2,10.25185
1.380208,5,10.436704
0.33725,2,10.508211
-3.195869,16,11.074734
1.527097,6,11.275164
4.018738,11,11.633581
3.710732,9,11.94009
-6.413806,10,12.293227
0.75566,3,12.395444
0.335779,2,12.462431
0.669963,3,12.567623
-7.99544,5,12.747713
1.792411,6,12.971915
3.044532,9,13.293554
3.189289,9,13.628264
1.096027,4,13.764268
-7.939531,5,13.937619
-8.154942,5,14.1083
-4.716974,13,14.656725
0.33725,2,14.730791
-7.26912,8,15.020023
-8.20399,5,15.183082
0.350795,2,15.259719
-8.162554,5,15.437247
1.443755,5,15.617867
-7.286539,7,15.869044
1.153527,4,16.001949
-6.014001,9,16.315845
1.037016,4,16.453176
-8.619161,4,16.581001
2.025328,6,16.801608
1.034476,4,16.9491
-7.979805,5,17.131165
0.693967,3,17.230381
1.083671,4,17.357235
-6.823502,7,17.607298
2.638042,8,17.865489
-7.859779,5,18.041584
0.318632,2,18.113497
-7.746011,6,18.354127
0.714077,3,18.504146
1.840979,6,18.753487
0.734359,3,18.873263
-7.882106,5,19.065746
0.323012,2,19.139751
-7.481995,7,19.380913
-4.77999,14,19.872291
0.33725,2,19.942685
0.33725,2,20.016686
0.326491,2,20.090401
2.377039,7,20.348803
1.164983,4,20.491765
0.362339,2,20.567173
-8.181514,6,20.7697
-8.121498,5,20.943346
0.749057,3,21.055472
3.427906,10,21.385385
0.329462,2,21.458305
-5.78758,9,21.762366
1.166817,5,21.938472
2.489675,7,22.176788
1.911579,6,22.388279
0.781917,3,22.490969
1.387645,5,22.675114
0.330883,2,22.749898
0.32749,2,22.824285
0.334821,2,22.885391
-7.600663,6,23.154153
-6.337565,9,23.528942
0.730815,3,23.634458
2.545959,8,23.907832
4.942469,13,24.345119
1.093204,4,24.492801
0.311285,2,24.566029
-5.998599,10,24.91028
-7.845306,6,25.110709
2.102381,6,25.332626
-8.4633,4,25.477512
-3.612446,17,26.069474
0.331001,2,26.141987
1.368859,5,26.316323
1.392688,5,26.490031
0.710748,3,26.597261
0.742721,3,26.702558
0.341187,2,26.766971
-7.093797,8,27.058657
1.112402,4,27.194316
0.720802,3,27.30363
0.315912,2,27.366109
1.220869,5,27.541192
0.386058,2,27.612159
0.706564,3,27.714385
-6.19809,10,28.056407
4.277092,11,28.452812
-8.527533,4,28.607037
0.728165,3,28.745879
2.734615,10,29.169317
-7.595391,7,29.441592
-6.291653,9,29.754016
1.333994,5,29.939554
1.39554,5,30.110749
0.363056,2,30.182215
-7.885617,6,30.396694
1.04663,5,30.570297
0.350817,2,30.644826
0.999802,4,30.790114
0.324281,2,30.861857
1.931845,7,31.119452
0.686662,3,31.217438
0.339284,2,31.281932
-8.264287,5,31.436517
-7.30058,8,31.716102
0.359303,2,31.800027
0.343727,2,31.888918
2.263449,7,32.162571
0.73496,3,32.276889
0.311285,2,32.355735
0.378721,2,32.429879
1.112011,4,32.582802
4.030688,12,32.984508
0.311683,2,33.056608
0.327562,2,33.131459
0.331303,2,33.20513
0.311775,2,33.278326
-8.054425,5,33.460341
-7.028929,7,33.702315
0.7032,3,33.813177
1.428092,5,33.985052
0.651765,3,34.096078
0.371864,2,34.158795
6.769139,17,34.761212
4.162289,11,35.118109
-5.465501,10,35.464196
0.311285,2,35.537434
0.33725,2,35.608694
-8.653446,4,35.744371
1.957086,6,35.945847
1.039382,4,36.092015
2.972491,9,36.409789
2.520331,8,36.680316
-8.181794,5,36.864995
0.328628,2,36.92746
-7.198211,7,37.174491
1.416398,5,37.356669
0.342449,2,37.430864
1.480419,5,37.597625
0.327524,2,37.670059
-8.74933,4,37.807075
0.311285,2,37.879828
1.606962,6,38.089762
2.644763,8,38.363351
1.442209,5,38.549721
1.527137,5,38.739265
0.730076,3,38.871854
1.838067,7,39.17381
0.33725,2,39.251908
-7.026124,8,39.539085
3.805102,11,39.898625
2.423298,8,40.178309
-7.195248,7,40.409193
2.761258,9,40.736218
4.461795,11,41.16088
1.282923,5,41.329436
0.711295,3,41.441558
-6.991824,8,41.685871
-6.323796,8,41.959144
2.785399,8,42.23317
0.324282,2,42.295877
3.519793,10,42.624974
-4.77957,11,42.998125
0.342462,2,43.06839
-7.477226,7,43.299295
0.327883,2,43.369507
1.888977,6,43.571911
0.325266,2,43.641551
0.998063,4,43.781049
4.917497,13,44.247543
1.083625,5,44.414017
-8.386609,4,44.556603
0.682916,3,44.664662
1.739321,6,44.872666
1.462917,5,45.047049
0.983783,5,45.22399
0.362269,2,45.29915
0.33046,2,45.372082
0.693507,3,45.473134
3.113331,10,45.803277
0.336639,2,45.875975
1.787471,6,46.082881
1.543403,6,46.302632
0.737306,3,46.410251
1.151084,5,46.588132
0.349174,2,46.663599
2.186945,7,46.911006
0.334837,2,46.972514
2.090263,7,47.21962
0.365657,2,47.292326
-5.175716,11,47.694353
0.384653,2,47.76702
1.308165,5,47.941483
-5.933009,10,48.284938
0.67518,3,48.397187
0.369439,2,48.472027
-6.374295,9,48.788518
1.93743,6,49.040997
1.368768,5,49.257254
2.417247,7,49.544177
2.387793,7,49.863356
1.08575,5,50.046303
-7.990547,5,50.224176
-7.790434,6,50.426437
-7.62728,6,50.623249
0.72784,3,50.726198
1.288406,5,50.889962
0.322654,2,50.961418
0.336674,2,51.030768
0.341696,2,51.087879
0.342505,2,51.146011
1.121368,4,51.273706
-7.494067,7,51.512312
1.651757,6,51.687575
1.020294,4,51.814777
0.386623,2,51.881354
-8.261185,5,52.042189
0.744076,3,52.145775
0.314604,2,52.21224
0.340277,2,52.279856
0.335649,2,52.346756
3.565552,10,52.67832
-6.645799,8,52.923382
0.346823,2,52.980422
1.944304,6,53.174965
1.814538,6,53.351425
2.064058,7,53.580357
3.674481,9,53.877949
1.274222,5,54.049665
0.376926,2,54.118064
0.332707,2,54.184435
2.298367,7,54.396998
0.370118,2,54.465167
0.34675,2,54.534192
0.318966,2,54.603085
-3.702724,13,55.02789
0.344595,2,55.086253
0.333411,2,55.155495
0.375535,2,55.214604
1.054067,4,55.341387
1.035536,4,55.470442
4.849809,11,55.845882
-6.918686,9,56.135332
2.014584,7,56.363756
0.716964,3,56.454327
3.33407,9,56.744606
-7.680576,6,56.943033
-7.575314,7,57.162278
3.138526,9,57.460699
-7.526222,6,57.646401
-7.997869,5,57.801795
0.367412,2,57.860066
0.746114,3,57.962889
0.772531,3,58.054757
-8.1493,5,58.246181
0.315195,2,58.336841
2.784303,8,58.664561
0.677296,3,58.793513
0.34498,2,58.879344
1.130306,4,59.055902
0.33725,2,59.121974
1.9178,6,59.355603
4.352454,12,59.763968
5.648357,15,60.272875
0.327346,2,60.345684
-5.1302,11,60.746357
1.784937,7,60.988639
1.149023,4,61.135406
0.360635,2,61.208468
-7.867395,6,61.425902
2.291632,7,61.671623
1.950781,7,61.92195
1.67319,6,62.119977
3.337648,9,62.44083
1.895603,6,62.649578
0.711029,3,62.759901
0.33725,2,62.832975
1.071037,5,63.013353
2.783988,9,63.317703
3.114254,10,63.674027
-3.802142,12,64.088713
1.298871,5,64.261993
1.822103,6,64.463257
0.342704,2,64.535958
-6.647657,8,64.804505
1.981692,6,65.024579
-6.028251,10,65.375222
0.984053,5,65.555122
-8.114083,5,65.718812
2.319684,7,65.965422
0.333097,2,66.028419
-8.127684,5,66.202314
0.338529,2,66.264227
0.311285,2,66.32929
-7.81228,6,66.528233
0.330551,2,66.601245
0.673339,3,66.709801
0.312146,2,66.783108
1.3686,5,66.957176
1.751741,6,67.219527
0.34745,2,67.3037
0.365109,2,67.380602
1.229521,5,67.568013
0.33725,2,67.643696
-6.707245,8,67.9286
0.335839,2,68.002097
-8.035907,6,68.210999
-7.721703,6,68.420485
-7.717711,6,68.62391
0.33046,2,68.702166
1.259679,5,68.919898
1.072367,5,69.139235
2.173995,7,69.392633
0.330852,2,69.468765
0.696192,3,69.573702
0.371642,2,69.646255
0.352206,2,69.719272
-6.682656,9,70.025834
0.352497,2,70.098812
1.11102,4,70.229038
3.201697,9,70.544076
2.553904,8,70.826159
1.431504,6,71.038061
1.43071,6,71.237591
0.73249,3,71.346923
1.465744,5,71.511683
-7.959223,5,71.686727
1.383921,5,71.870092
0.33725,2,71.941885
0.311285,2,72.004653
-6.866707,8,72.288081
6.16522,18,77.278604
1.41,5,77.450565
1.097466,5,77.633058
1.225056,5,77.812036
-7.973094,6,78.024074
1.398947,5,78.194787
1.996242,7,78.441581
0.385507,2,78.512437
0.354501,2,78.574985
1.162529,5,78.790101
1.40952,5,78.987785
0.343584,2,79.066154
0.321205,2,79.133882
2.036345,8,79.441329
2.112858,7,79.678853
1.179939,5,79.863844
3.669517,9,80.186615
0.33725,2,80.259064
1.452238,5,80.441099
-8.256727,5,80.617364
0.311285,2,80.693705
-7.830155,5,80.866829
2.872439,9,81.189295
0.76912,3,81.28892
0.731445,3,81.399035
0.356371,2,81.471444
0.681222,3,81.570716
0.319537,2,81.643456
0.331899,2,81.715442
2.144915,7,81.963459
4.478974,13,82.429305
5.700524,16,83.00244
0.746226,3,83.102106
1.297833,5,83.285179
1.32596,5,83.469167
0.31952,2,83.541099
0.337598,2,83.613028
2.554614,8,83.896585
2.167111,7,84.152324
-7.755732,5,84.32428
-6.97603,7,84.619836
-7.031716,7,84.890133
3.87036,10,85.257306
0.322865,2,85.320326
-7.22213,8,85.595763
5.240045,15,86.14671
2.967929,9,86.467289
0.928616,5,86.629009
0.362095,2,86.701952
0.337657,2,86.776816
1.857733,6,86.974397
0.337341,2,87.047624
0.323872,2,87.111235
1.847714,6,87.331868
-6.965192,7,87.585916
0.770756,3,87.693634
2.591122,7,87.938706
2.197027,7,88.19572
0.314178,2,88.268308
0.327401,2,88.341497
0.33006,2,88.405443
0.740855,3,88.514107
0.736662,3,88.61337
0.311285,2,88.689068
0.33725,2,88.768427
0.325842,2,88.856158
1.141592,5,89.08536
1.645663,6,89.339203
0.33725,2,89.423402
0.33725,2,89.498618
3.089338,10,89.855298
0.368476,2,89.928231
0.721337,3,90.027802
2.216209,7,90.276396
0.321457,2,90.340178
4.143576,12,90.755394
5.716478,15,91.284041
0.330438,2,91.356983
0.744948,3,91.455896
-4.953163,13,91.919096
-5.987234,9,92.249928
0.33725,2,92.322798
1.127897,5,92.488834
1.634302,6,92.709948
0.764854,3,92.818525
1.280904,5,93.002097
-6.825449,7,93.294374
0.33725,2,93.396291
0.33725,2,93.472434
1.985302,6,93.681798
0.745885,4,93.831908
0.71641,3,93.930492
2.912636,8,94.217359
1.08606,4,94.364439
0.327531,2,94.427268
0.717266,3,94.526226
0.71879,3,94.637076
1.631681,6,94.833437
1.234934,5,95.007679
2.451451,8,95.291597
1.47445,6,95.505876
0.344561,2,95.579955
0.346362,2,95.653101
0.355845,2,95.724869
0.351906,2,95.798438
-7.354342,6,95.999784
0.335994,2,96.072232
-8.078844,6,96.293993
0.322994,2,96.355889
1.369865,5,96.528439
-6.905385,9,96.828551
0.760916,3,96.936763
4.166909,12,97.34699
0.364217,2,97.411016
0.9791,5,97.597906
0.322844,2,97.662405
0.331414,2,97.734965
0.345571,2,97.80875
-8.659906,4,97.944595
2.206987,7,98.192736
0.667506,3,98.301551
0.326538,2,98.374226
1.810564,6,98.596445
0.709346,3,98.697412
2.079688,7,98.988701
0.35617,2,99.063396
0.321459,2,99.155758
4.33413,10,99.522011
0.316408,2,99.594512
0.325909,2,99.668169
0.32392,2,99.740594
0.326449,2,99.813121
0.325082,2,99.884743
0.688134,3,99.990043
0.724095,3,100.090729
0.358086,2,100.159585
-7.125413,8,100.422868
1.330708,5,100.603437
1.074177,4,100.739842
1.235154,5,100.922164
0.362951,2,100.994339
-5.232874,11,101.371566
0.370016,2,101.434938
2.572995,7,101.69085
0.364745,2,101.776717
0.761089,3,101.908955
0.374358,2,101.998879
0.329513,2,102.091826
0.358687,2,102.170008
0.763688,3,102.273755
0.31624,2,102.349209
0.347783,2,102.424113
2.441667,8,102.715319
1.136188,4,102.862519
0.695346,3,102.975618
3.01624,9,103.283041
1.458033,5,103.507223
0.743677,3,103.619289
1.371916,5,103.804788
0.33725,2,103.868499
0.729847,3,103.978014
-3.981869,13,104.492624
2.043004,6,104.692912
-7.57471,6,104.915205
-8.004283,5,105.088415
-5.515613,12,105.512064
-8.131888,5,105.675967
-8.203922,5,105.858418
