#{"t_start": 1771611780.2909205, "env_id": "merge-v0"}
r,l,t
4.209771,5,4.66539
3.333432,4,4.77451
3.468173,4,4.897088
10.667785,10,5.193684
11.702098,12,5.512383
3.574966,4,5.624343
4.414374,5,5.76085
7.302407,8,5.979796
5.239983,6,6.153514
10.638573,10,6.441904
7.724458,9,6.689638
20.476977,25,7.388411
5.498917,6,7.570391
6.259601,7,7.757156
4.590079,5,7.877083
4.19733,5,8.031847
13.283413,16,8.436655
11.462827,11,8.714499
7.360364,8,8.956153
7.714475,9,9.193092
12.288251,14,9.572122
4.572989,5,9.697834
6.948117,8,9.922832
219.242177,323,18.461303
5.07238,6,18.609715
3.516532,4,18.725531
7.954606,9,18.962636
8.978341,11,19.257837
5.450214,6,19.425739
4.37309,5,19.540027
4.645145,5,19.66446
10.463419,10,19.957136
4.543535,5,20.103117
11.637534,12,20.438184
7.942307,9,20.693427
15.242325,17,21.218438
3.570146,4,21.330838
2.579022,3,21.421969
12.688122,16,21.845282
10.667725,10,22.097711
5.271313,6,22.280202
10.745018,10,22.580851
4.339267,5,22.736963
17.292413,21,23.294377
7.077279,8,23.486636
10.64561,10,23.730028
4.6685,5,23.867058
9.908108,11,24.164627
8.391137,10,24.401852
7.02891,8,24.620376
6.167588,7,24.815011
7.932735,9,25.033102
5.749378,7,25.230391
5.354669,6,25.396942
3.506204,4,25.504224
3.764113,4,25.589002
3.500746,4,25.716947
4.651844,5,25.846686
6.255942,7,26.04427
4.182527,5,26.170456
10.547324,10,26.442736
10.863144,10,26.721557
8.590548,10,26.977086
3.578567,4,27.078848
10.788865,12,27.377159
7.058587,8,27.602634
10.528763,10,27.851946
3.474118,4,27.958491
5.087833,6,28.124773
36.55813,49,29.480688
4.970256,6,29.634151
2.615038,3,29.701446
6.478061,8,29.92537
11.76388,12,30.216215
6.298885,7,30.423157
3.470655,4,30.532516
4.475347,5,30.672224
21.014982,26,31.356889
5.561788,6,31.53325
39.277468,54,32.972455
4.632447,5,33.106667
7.266741,8,33.311416
5.28032,6,33.473574
10.880253,10,33.738349
12.193408,14,34.085173
3.476859,4,34.187942
3.426296,4,34.297547
8.348025,10,34.596689
6.173829,7,34.77605
3.419842,4,34.881614
3.459597,4,35.005178
7.323144,8,35.246676
7.940588,9,35.527779
3.396761,4,35.636933
10.529546,10,35.932888
11.674457,14,36.323954
11.554104,12,36.648098
4.382199,5,36.776477
10.65097,10,37.060211
10.981654,11,37.355505
654.509612,976,68.809174
7.251904,8,69.027632
6.354839,8,69.240799
233.548355,345,77.708835
15.126637,17,78.18036
6.537072,7,78.380657
38.52349,52,79.694935
21.923501,28,80.40528
4.371798,5,80.570241
3.333534,4,80.657016
114.440182,166,85.032155
12.918358,18,85.497882
4.629448,5,85.642664
2.570512,3,85.722684
6.300021,7,85.901613
4.166101,5,86.022659
4.572111,5,86.156326
20.409079,25,86.819909
4.546666,5,86.925033
5.326144,6,87.069926
13.540853,19,87.584256
4.475238,5,87.751612
6.262476,7,87.944788
4.411832,5,88.081475
11.392083,14,88.442283
10.507706,10,88.701848
4.623532,5,88.855054
4.156893,5,89.003991
14.49266,16,89.44105
4.280434,5,89.574135
5.460411,6,89.739418
5.293957,6,89.90236
4.522876,5,90.032842
3.492592,4,90.155948
16.550463,19,90.641586
2.602993,3,90.726568
4.625923,5,90.844401
4.522,5,90.981765
3.564306,4,91.075687
9.812883,9,91.330684
14.569707,16,91.775847
12.936455,15,92.172036
14.65204,18,92.651234
11.863681,15,93.066626
4.585179,5,93.199592
3.557102,4,93.298042
6.649125,8,93.505521
4.631034,5,93.637644
19.04716,23,94.214326
8.664394,10,94.483415
3.447519,4,94.590147
6.148255,7,94.773418
5.219671,6,94.936934
8.162575,9,95.187569
7.270778,8,95.411141
6.954517,8,95.609067
13.703524,20,96.098089
8.118503,9,96.323472
4.188937,5,96.452484
3.531034,4,96.560098
11.992979,14,96.877469
12.648565,17,97.308066
6.131851,7,97.472183
4.668181,5,97.595465
11.790806,12,97.906553
13.783119,15,98.269752
3.467946,4,98.362668
3.423441,4,98.458964
6.228581,7,98.656697
5.393073,6,98.823382
205.779383,303,106.785825
14.078263,15,107.177972
3.536833,4,107.296411
5.735269,7,107.468003
4.605629,5,107.595689
10.857212,10,107.837758
37.138086,50,109.144891
15.270912,24,109.797449
3.426269,4,109.920833
10.541406,10,110.191678
3.400237,4,110.301267
5.50713,6,110.463542
3.36268,4,110.562474
5.402061,6,110.725643
4.206205,5,110.858494
3.488934,4,110.948572
14.452576,16,111.395898
4.413639,5,111.531096
4.381573,5,111.688048
4.224655,5,111.816313
141.614775,208,117.219588
14.787006,23,117.802427
87.138953,125,126.561396
158.323265,232,132.061954
119.421637,174,136.108177
3.462836,4,136.240713
145.36684,212,141.45563
5.570001,6,141.626419
90.129584,130,144.783997
12.554866,14,145.169262
13.920945,20,145.639678
16.306254,19,146.090015
45.275523,63,147.592281
74.428992,106,150.19903
96.652868,140,153.515486
4.107843,5,153.63046
6.16708,7,153.799733
5.034761,6,153.927876
110.882847,160,157.779014
12.556413,17,158.20648
144.907781,213,163.52687
90.121768,131,166.847794
49.804441,69,168.505801
5.519061,6,168.658167
31.857973,42,169.776804
7.065951,8,169.968872
14.571267,16,170.385786
51.181721,71,172.198301
151.875896,222,183.605593
14.362606,16,184.012921
215.695122,318,191.636002
128.652412,187,196.289609
135.272803,197,201.307788
5.024067,6,201.466363
4.266466,5,201.588779
58.838704,83,203.557859
86.370999,125,206.640112
63.722968,90,208.821168
587.228905,875,236.495009
3.471473,4,236.596676
7.574535,9,236.807519
372.280889,554,250.779526
717.856161,1072,276.221992
5757.705209,8631,520.891792
123.079513,179,525.240485
315.624617,468,536.626534
109.319458,159,540.501623
113.552377,166,544.646202
63.800444,90,547.070493
142.438783,208,552.01132
73.603933,106,554.678207
141.018968,206,559.969419
171.430026,253,566.569225
247.873928,367,581.410914
10629.923473,15939,1014.562106
870.99833,1301,1052.991596
328.589698,488,1064.85539
7305.724446,10953,1360.552841
554.988154,827,1381.057507
