#{"t_start": 1773402002.1778436, "env_id": "continuous-merge-v0"}
r,l,t
15.294177,36,114.471296
15.025484,37,114.971895
11.803428,30,115.402844
12.197449,30,115.823058
16.065153,40,116.340916
41.058666,69,117.318462
15.104279,39,117.905417
15.949431,36,118.37827
14.948333,34,118.961588
7.286659,23,119.301279
11.801346,28,119.735151
18.41951,38,120.304935
15.347066,36,120.779253
10.641557,27,121.232104
13.502236,35,121.904696
12.654517,32,122.416587
15.032226,34,122.965358
15.912092,37,123.663565
5.963986,21,124.046794
18.422179,38,124.723645
11.771624,29,125.119349
25.749496,56,125.930019
12.503856,29,126.416303
17.990555,37,127.030442
9.220244,25,127.419206
14.792566,46,128.154769
10.515944,27,128.481854
14.912921,35,128.932103
11.633727,28,129.349662
11.36086,27,129.731324
22.203848,48,130.454509
11.509876,29,132.649532
6.152502,21,135.83227
5.584379,20,137.159422
15.221417,34,137.758867
19.114762,40,138.390099
18.029207,37,138.931953
15.079154,34,139.435688
17.990563,37,139.964849
8.78278,24,140.344628
19.848636,42,140.976108
6.392073,22,141.323707
12.691933,29,141.756828
15.509752,35,142.332987
10.969435,27,142.697839
20.75765,44,143.434197
15.299885,38,144.023782
5.615824,20,144.429506
6.092648,21,144.782885
7.013545,23,145.253807
6.573011,21,145.613794
15.460392,35,146.244104
10.635669,27,146.679418
20.418985,43,147.422815
8.63312,24,147.81087
5.796633,20,148.161053
18.814409,39,148.850579
12.706201,33,149.382877
12.625364,31,149.875438
15.075985,39,150.520453
6.021393,21,150.853457
12.079662,28,151.327814
20.278849,43,157.82542
9.832117,25,158.203804
12.754189,31,158.61205
5.666673,20,158.874743
10.956161,28,159.252361
6.653386,22,159.559872
15.647146,35,160.032413
11.965385,29,160.397289
19.250984,40,160.913975
16.072973,40,161.420014
14.908922,42,161.945987
5.348987,20,162.205328
4.937844,20,162.457329
27.890098,69,163.306549
6.307093,21,163.589116
15.601088,37,164.050254
15.540016,35,164.48856
15.079906,37,169.685057
19.093209,40,171.205554
11.698156,28,171.580184
9.603609,25,171.90481
14.938941,42,172.445817
6.385534,21,172.733358
15.341819,35,173.211154
11.59902,28,173.555992
15.63682,40,174.10004
15.115456,34,174.535564
5.537298,20,174.784119
11.891089,29,175.151074
19.331529,40,175.697833
4.957364,19,175.927082
9.31858,25,176.241068
14.848646,43,176.777006
24.369791,53,177.431177
10.58656,28,177.766329
19.142755,40,178.272961
11.907259,29,178.625043
19.52051,41,179.127008
18.765488,39,179.585478
6.846284,22,179.885071
18.43719,38,180.372047
19.153342,40,180.827741
16.032754,37,181.285898
9.886044,25,181.595639
19.999417,42,182.088207
15.721215,37,182.527303
4.904445,19,182.764663
15.433814,34,185.989865
4.328835,18,188.536164
18.506744,38,189.001459
9.619526,25,189.305849
19.908791,42,189.803514
13.104976,30,190.172879
18.053759,37,190.721138
10.27074,26,191.062737
18.411523,38,191.531214
15.725422,42,192.036865
18.427285,38,192.487556
18.537135,38,192.955061
15.171233,36,193.414351
12.977373,30,193.766881
15.998765,42,194.275886
18.864598,39,201.392788
12.429514,29,206.175765
14.816088,40,206.727935
15.625843,35,207.169931
11.235523,28,207.494386
5.702037,20,207.752989
6.045665,22,208.001444
9.905558,26,208.32047
16.553288,38,208.796252
10.722414,27,209.145491
7.75998,25,209.44922
5.581968,20,209.680619
6.665446,23,209.950813
21.595274,46,210.52525
13.787441,48,211.110795
21.057086,45,211.653147
6.675997,22,211.933255
21.002428,45,212.487065
19.082774,40,212.99488
6.570731,21,213.263043
13.944231,49,213.949543
7.054866,22,214.242256
10.374352,26,214.56973
18.84293,39,215.070685
6.268647,21,215.305836
8.353324,26,215.636602
19.542959,41,216.143835
15.087708,35,216.570878
14.311981,45,217.130114
4.88009,19,217.358906
19.943138,42,217.876668
19.581059,41,218.389032
4.742098,19,218.619524
19.489688,41,222.012211
14.247816,46,225.386513
16.622975,41,225.950037
11.939376,28,226.306135
18.862188,39,226.739949
18.524284,38,227.128428
19.905126,42,227.536213
6.91886,23,227.750264
40.745745,69,228.416015
22.109119,47,228.863666
20.300044,43,229.261065
22.22953,48,229.714314
15.047836,36,230.070961
5.743315,20,230.265181
5.885489,21,230.456649
19.096991,40,230.832529
15.250639,34,231.149204
9.011489,25,231.394637
11.842844,28,231.657322
15.941727,41,232.03675
14.701908,37,232.395564
6.133423,21,232.606811
18.92418,39,232.968743
22.276514,48,233.43837
20.385264,43,233.841831
15.737239,37,234.290042
12.523399,31,239.086839
13.005042,33,239.397477
14.644298,36,239.747195
10.504902,58,240.322224
20.090096,42,240.698598
15.393521,41,241.083343
16.085825,38,241.441599
7.597139,24,241.662216
19.889463,42,242.030969
16.095517,39,242.394827
15.192912,34,242.726182
14.093011,38,243.069108
14.77538,38,243.411932
14.628381,41,243.793201
29.419617,65,244.482069
23.489492,51,244.973369
14.745827,45,245.36881
15.773022,36,245.714747
20.666301,44,246.121711
13.412982,35,246.434917
19.335606,40,246.7993
16.800823,67,247.408377
9.241423,26,247.644217
18.824372,39,247.988248
23.157394,50,248.454725
40.224728,70,249.079604
6.985087,23,249.30145
12.909705,36,249.626707
8.129799,23,249.839528
21.464805,46,250.268797
36.857786,81,251.032048
5.503017,20,251.218578
21.028228,45,251.629647
14.455633,69,252.270302
14.78041,42,252.650724
12.209076,31,252.953707
23.535522,51,253.43052
15.505026,36,253.900415
40.131312,70,254.573828
24.800618,54,255.079137
14.345091,42,255.47416
15.182844,37,255.808644
12.52066,58,256.339517
9.716766,26,256.590405
15.008466,35,256.921335
21.02989,45,257.329074
11.072268,55,257.802039
6.077046,21,258.001091
36.833046,81,263.26394
8.677595,24,263.617923
5.589,21,263.851583
13.289455,48,264.305333
14.219699,37,264.65317
21.987943,47,265.118293
41.00264,69,265.858468
21.527707,46,266.307747
14.745393,38,266.687353
5.61276,21,266.903054
5.660429,21,267.122404
20.228063,71,267.81944
11.777096,53,268.323649
15.026844,38,268.678451
35.747387,85,269.478167
15.089969,39,269.842169
40.008072,71,270.468092
13.528511,48,270.892303
14.650132,44,271.362921
5.729503,22,271.571268
18.835451,39,271.938247
36.752213,83,272.708594
6.057553,22,272.909231
39.320114,73,273.631455
18.17731,78,274.582932
26.966479,59,275.147512
11.229509,54,275.820161
11.579872,33,276.141016
14.683126,39,276.508205
6.191428,23,276.735509
10.57011,72,277.465729
34.836243,88,278.325346
9.355612,59,278.910741
10.871065,58,279.475682
25.555626,56,280.043439
8.961979,73,280.74657
16.207705,39,281.122844
38.771472,76,281.849342
6.188481,23,282.08881
40.170088,70,282.812764
-4.350237,83,288.246048
34.655259,88,288.994846
40.797296,70,289.60554
39.435121,73,290.241655
32.136993,97,291.076455
10.685004,29,291.329762
34.825508,88,292.101393
6.149425,75,292.730438
13.311711,50,293.179616
36.301383,83,293.90746
6.010993,23,294.209905
15.620183,43,294.734934
37.224977,80,295.482373
27.264078,69,296.076454
40.154128,70,296.684926
16.161716,46,297.093362
28.929454,108,298.008201
-9.423684,87,298.760615
15.874219,53,299.231662
13.528921,47,299.637815
35.566568,85,300.372614
-1.285068,81,301.080406
17.542996,51,301.544607
10.414656,27,301.782382
-1.605522,81,302.501623
26.196964,72,303.233238
35.834276,84,303.965851
38.088193,78,304.797377
39.11668,74,305.473275
38.178682,77,310.521137
40.987393,69,311.153367
36.342367,84,312.083163
33.509086,92,312.917517
14.093068,37,313.238852
8.793285,28,313.477682
26.516909,126,314.787625
14.942681,40,315.128892
37.618096,80,315.844672
8.278475,32,316.123606
35.310264,86,316.885408
34.291601,90,317.668676
6.312085,22,317.858772
-18.741373,94,318.686919
23.874853,52,319.137341
37.967428,79,319.814547
7.736831,30,320.094613
37.971876,78,320.930863
19.733814,73,321.57772
20.267113,71,322.181422
35.971101,85,322.916157
39.116538,73,323.577686
8.27258,28,323.945826
38.282938,77,324.64009
14.273152,37,324.97331
37.238639,80,325.666253
30.5152,102,326.564489
30.87769,102,327.417949
30.404691,110,328.369924
15.388199,43,328.746407
11.315466,33,329.030848
2.741966,78,334.297058
36.505567,83,335.022714
37.641731,80,335.726399
13.120926,48,336.14326
19.23383,75,336.798168
37.062667,81,337.495635
36.798222,82,338.252155
2.302294,78,339.089515
40.347602,69,339.685899
32.154925,97,340.532914
7.075238,24,340.750769
-5.374608,84,341.476368
38.317195,76,342.128719
27.429388,116,343.22535
16.416858,39,343.673935
37.817381,79,344.366886
33.351094,94,345.184106
35.261328,86,345.920089
36.873369,82,346.638626
13.078118,70,347.402922
26.548824,123,348.488551
37.224534,81,349.195282
14.116651,69,349.785822
33.726221,91,350.576455
-7.887087,86,351.319151
15.151766,46,351.714733
-10.823977,88,357.081779
7.973024,31,357.343121
33.498102,92,358.144017
19.392774,74,358.780973
7.55942,28,359.02154
32.940341,95,359.834329
27.326127,70,360.445199
20.275432,71,361.064115
15.542869,45,361.447788
33.168628,94,362.262193
15.606409,68,363.03944
0.828448,79,363.740411
19.292149,74,364.376241
6.562042,24,364.590149
38.19871,77,365.417292
-21.209168,96,366.242487
27.25334,69,366.846292
20.408678,73,367.453626
16.837553,42,367.815028
35.308424,87,368.563508
6.570221,24,368.785265
18.400138,77,369.436202
27.025504,70,370.037691
15.179818,43,370.421079
-29.12327,102,371.303281
27.594042,69,371.885904
32.991604,94,372.909673
7.446736,36,373.229951
6.871713,26,373.468628
18.812511,77,374.279592
35.110836,87,375.024827
34.158674,91,380.211809
15.156804,39,380.574606
2.71943,78,381.253874
37.226766,81,381.986255
35.616733,86,383.027593
13.934622,48,383.466134
39.693011,72,384.076471
30.091928,105,384.994471
31.178009,102,385.886339
31.794215,98,386.745016
35.09722,87,387.497513
37.627923,80,388.191982
31.263395,102,389.083135
26.802632,71,389.707227
11.749618,71,390.335733
34.787152,89,391.113084
33.166026,94,392.246354
40.391695,69,392.943336
13.61165,47,393.356656
11.408019,71,393.975233
33.491069,93,394.788093
37.096906,82,395.50655
26.552472,71,396.121688
35.682195,85,396.885344
12.929672,70,397.528889
35.946169,85,402.837782
37.798989,79,403.52951
16.988567,45,403.925749
10.43249,72,404.558106
36.871636,82,405.268822
38.8243,76,405.929024
20.928021,71,406.547218
13.065373,70,407.159531
11.300986,71,407.786646
8.000869,26,408.012963
33.198429,94,408.825914
37.447619,80,409.701342
37.23088,81,410.417078
39.208876,74,411.068048
37.236298,81,411.929702
36.436015,83,412.724638
18.101336,53,413.207906
18.532349,78,413.902338
27.048781,69,414.499115
11.797497,71,415.126366
37.62525,79,415.829525
36.112889,84,416.562155
34.492251,89,417.343164
37.235274,79,418.169415
8.659188,29,418.448159
32.131088,98,419.340934
7.111816,28,419.567351
36.905239,81,420.27643
32.406986,97,421.115028
40.236692,70,426.242611
37.949048,78,427.019234
38.096729,79,427.861536
6.817192,25,428.093645
11.837154,57,428.60088
27.702881,68,429.205147
35.454155,86,429.972486
12.915121,70,430.617849
27.021282,69,431.260648
39.968323,72,432.039103
5.631678,23,432.246348
