#{"t_start": 1773510776.9465723, "env_id": "continuous-highway-v0"}
r,l,t
1.084335,15,5.48936
3.182623,16,5.861176
1.182286,14,6.170882
1.051646,15,6.507732
2.7303,17,6.85739
0.48398,13,7.150516
-0.206933,12,7.421046
1.175993,14,7.733428
0.586447,14,8.05414
0.981927,15,8.421379
1.08609,14,8.721941
1.665937,15,9.053592
2.487816,17,9.401166
0.87152,14,9.736245
1.335252,15,10.076592
2.235875,16,10.432526
1.61649,16,10.770132
0.879707,14,11.087197
0.886734,14,11.39167
1.563065,14,11.69323
1.998174,17,12.06675
2.434035,15,12.371852
0.339828,12,12.620572
0.50132,14,12.930215
0.388931,13,13.219719
1.611326,18,13.621687
1.444911,14,13.927557
1.992807,15,14.256846
1.558783,14,14.565329
3.509258,22,15.035962
0.140989,14,15.339241
1.929056,15,15.658935
1.300698,13,15.936297
1.490834,16,16.300706
1.196689,14,16.600457
1.470058,14,16.897001
1.993462,15,17.236431
2.680765,17,17.600722
2.010788,15,17.922705
0.116403,12,18.18725
0.366579,15,18.508447
1.610181,14,18.823981
0.598147,15,19.164941
1.210307,15,19.467436
1.527728,14,19.759524
2.232656,17,20.103514
-0.34354,12,20.347266
3.476484,20,20.788529
1.40949,16,21.126187
0.99962,14,21.436665
2.683172,16,21.77982
1.551779,16,22.11851
0.268574,13,22.390644
2.51753,19,22.787808
-0.176398,13,23.069483
0.216963,12,23.33331
2.113692,16,23.713273
1.273775,16,24.058449
0.170753,14,24.36081
1.332565,15,24.683929
1.298158,15,25.019032
0.561374,14,25.323448
2.187186,16,25.673066
1.628368,15,26.004018
1.338061,15,26.326254
1.007072,14,26.628722
0.775704,14,26.946227
2.327081,16,27.301657
0.483803,12,27.563078
2.583494,17,27.93184
1.329488,15,28.257883
1.616394,15,28.568018
-0.614947,12,28.808519
0.678218,14,29.103117
0.418591,13,29.392152
0.26648,13,29.661124
1.505028,16,30.01422
2.762299,16,30.38238
1.821147,15,30.705649
2.414451,16,31.052528
2.405405,18,31.457894
2.094296,18,31.890138
1.728037,18,32.273134
0.807758,14,32.576245
2.219614,17,32.95551
1.383794,15,33.309199
1.383588,15,33.632712
1.497393,16,33.985646
1.153487,15,34.318573
3.49424,17,34.693706
1.895806,16,35.042985
4.434944,20,35.469182
0.937448,16,35.855989
2.88023,18,36.238602
0.239788,13,36.535622
1.487308,16,36.889808
0.934904,14,37.204867
0.721916,14,37.516234
0.684024,15,37.83884
1.76824,15,38.169136
1.503039,14,38.478326
1.879079,16,38.806044
2.484302,17,39.185348
1.511331,16,39.530271
1.372966,15,39.841677
-0.040152,14,40.137025
0.716545,14,40.429644
-0.375388,12,40.687376
1.449774,16,41.022245
2.448014,15,41.338798
1.386738,16,41.667649
2.638457,18,42.058881
3.545521,19,42.447211
-0.655864,11,42.670943
0.028571,13,42.945767
2.307909,16,43.279856
2.90493,16,43.607032
1.619201,14,43.913253
1.27572,15,44.231297
1.002906,14,44.531314
1.738293,17,44.884356
0.102434,12,45.141668
1.37397,14,45.426043
0.215615,13,45.707509
0.284017,13,45.967744
2.708053,18,46.329952
2.974221,19,46.714603
2.026906,15,47.015245
0.950267,15,47.32433
1.579315,15,47.641116
0.340087,13,47.908818
-0.265063,13,48.181776
2.300243,16,48.52879
1.701529,16,48.867362
1.161007,15,49.183725
1.076221,16,57.363368
0.229627,14,57.65808
2.309309,17,58.010879
2.453776,16,58.360593
2.029697,15,58.675062
0.678531,13,58.952579
2.484283,19,59.338783
1.13462,16,59.670934
1.85293,14,59.956914
1.695193,15,60.265437
2.259179,17,60.622026
1.314371,14,60.904078
0.033519,13,61.188408
2.334771,18,61.570014
2.181132,15,61.890215
0.991415,15,62.21244
3.777034,19,62.591832
2.739156,18,62.984146
2.046424,18,63.352925
1.045153,14,63.659546
1.357499,16,63.984994
1.891707,17,64.343994
1.812739,15,64.651677
1.394506,15,64.958718
1.660953,15,65.259186
2.846758,17,65.62497
-0.091463,13,65.900183
1.112724,15,66.216744
2.86048,17,66.576226
0.721423,14,66.873631
2.56696,17,67.220424
2.072073,16,67.555476
0.721571,13,67.82202
1.920849,15,68.12583
1.524744,16,68.464589
2.661072,17,68.829167
3.384991,18,69.216084
2.285368,17,69.574593
2.468085,17,69.926889
1.910856,15,70.235929
1.130879,14,70.534237
1.042915,14,70.825951
2.141541,14,71.119848
2.070103,16,71.455065
0.488584,14,71.739508
1.310226,15,72.04254
0.406755,14,72.319707
2.172484,16,72.645964
1.907511,16,72.98071
1.585972,16,73.308549
1.510042,17,73.660482
3.21151,18,74.037575
1.904705,16,74.371865
2.375918,17,74.732317
1.39183,15,75.057211
0.4021,13,75.338308
2.531154,15,75.654587
0.17731,13,75.927406
1.652842,17,76.262468
2.154745,17,76.613005
0.15092,13,76.886745
1.384714,14,77.177603
0.746401,14,77.475207
1.552303,16,77.80738
1.907637,15,78.123748
0.810644,13,78.39598
0.975206,14,78.677047
1.440062,14,78.966951
-0.257423,13,79.239255
0.362042,13,79.504797
1.585102,15,79.820299
0.020873,12,80.082392
-0.42362,12,80.337941
1.019194,15,80.645651
1.29468,14,80.936877
0.567765,14,81.230696
1.44732,16,81.555691
3.043069,19,81.942477
1.723167,17,82.299682
3.078921,19,82.693254
3.559881,18,83.061405
0.228566,13,83.326624
1.217959,14,83.609551
0.944567,16,83.950637
-0.197427,12,84.206815
3.362319,17,84.56565
1.248842,16,84.908022
1.792471,15,85.209021
0.571038,13,85.475754
1.484348,17,85.834777
1.854216,16,86.154356
0.230779,13,86.427538
0.813653,14,86.711111
0.260199,13,86.977602
2.422502,17,87.323579
2.086215,16,87.650544
1.241753,14,87.942192
0.91376,16,88.277514
