#{"t_start": 1773512747.1681638, "env_id": "continuous-highway-v0"}
r,l,t
2.265209,17,4.729635
1.742196,15,5.090708
0.066318,13,5.404042
1.090538,15,5.75947
1.854027,18,6.189831
1.401328,14,6.520285
2.014654,16,6.903064
1.221465,14,7.236982
2.621811,18,7.67824
0.781418,15,8.063845
1.209302,15,8.429937
1.627703,16,8.824847
2.779551,17,9.249214
0.305791,13,9.556889
1.614482,14,9.904166
0.126485,13,10.242776
0.694958,14,10.594697
0.431758,13,10.918998
1.807934,15,11.292576
0.696299,14,11.628424
1.828291,17,12.012324
1.353664,16,12.379451
1.319195,13,12.678048
1.109833,14,13.003322
2.072543,15,13.346626
0.877111,15,13.672312
1.069289,14,13.993785
2.321759,17,14.356516
1.795704,16,14.707406
0.818729,13,15.007818
2.397171,17,15.391236
-0.03971,13,15.681121
1.548327,15,16.031416
2.634386,17,16.400803
1.503671,14,16.699599
1.396797,15,17.03085
0.70906,16,17.383815
1.200151,14,17.678127
2.347609,15,17.996078
1.375095,15,18.324114
-0.146593,13,18.596505
1.037198,15,18.921921
1.438228,15,19.240527
3.028612,17,19.611283
0.992701,15,19.919701
1.341076,15,20.245589
0.263396,13,20.535076
0.203868,13,20.807447
-0.210149,12,21.053462
1.238138,14,21.360226
1.71694,16,21.713406
1.415293,15,22.031456
1.286452,14,22.340599
0.323547,13,22.631807
0.440351,13,22.917708
0.424246,15,23.265923
2.303713,14,23.578562
1.095127,15,23.898388
1.572412,16,24.251462
0.04483,13,24.547852
1.510446,14,24.856784
3.641183,18,25.262112
1.722707,14,25.569104
0.724345,14,25.876208
1.493257,14,26.209522
0.636191,14,26.534323
0.854711,13,26.841386
1.057636,14,27.161505
1.489932,14,27.470816
1.265825,15,27.814271
2.729296,19,28.256244
-0.837237,12,28.520451
1.955991,16,28.873982
0.363739,13,29.165524
1.676357,16,29.526933
1.607375,15,29.849365
-0.231244,13,30.138036
2.170451,16,30.472171
1.061729,14,30.778417
1.894505,15,31.103926
1.02865,14,31.41645
3.570523,19,31.819817
1.50745,14,32.137086
0.667595,14,32.4584
2.369863,16,32.81019
0.778521,14,33.116161
0.349337,13,33.416924
-0.11627,12,33.679643
0.295741,14,33.992723
1.165111,15,34.346438
-0.93298,11,34.59063
0.360945,12,34.867125
2.857301,17,35.248978
1.926032,15,35.57621
0.953746,14,35.893779
0.481245,14,36.205274
1.846007,16,36.552103
1.641164,15,36.886762
2.295026,17,37.266912
1.391373,14,37.600002
0.031804,12,37.870903
0.060053,13,38.158359
-0.199254,13,38.453926
1.728031,15,38.79932
1.070198,14,39.106756
1.771635,15,39.438425
2.102565,15,39.778212
1.817255,15,40.108275
-1.217766,11,40.372819
0.679185,16,40.750953
1.579495,15,41.101071
1.026438,15,41.442111
1.195549,15,41.788403
1.313769,16,42.132859
1.737397,14,42.450624
0.196258,13,42.73317
1.357434,15,43.057346
0.612427,14,43.362397
1.535681,16,43.717731
2.059578,16,44.08903
0.367336,13,44.373356
0.979792,13,44.664857
2.466032,15,45.009844
0.476123,13,45.298843
-0.989028,12,45.567641
-0.560231,12,45.832149
1.304944,14,46.137754
2.855633,18,46.514003
3.090594,19,46.94686
0.926699,16,47.298468
0.296938,13,47.586086
0.76731,14,47.905298
0.207521,13,48.213255
2.187966,16,48.576015
1.596674,16,48.936856
1.190052,14,49.248768
1.69709,15,49.582606
0.291967,13,49.863062
0.500427,14,50.176927
1.249554,14,50.490773
1.110866,14,58.639165
1.086069,14,58.972901
0.538856,14,59.299053
1.628743,16,59.675973
0.183101,14,59.995209
2.871024,19,60.440242
1.564556,15,60.785793
-0.643802,12,61.079756
1.299854,14,61.413666
2.0548,17,61.808977
2.098291,16,62.174897
1.103205,15,62.530433
0.505882,13,62.83712
1.278985,14,63.160085
0.053835,15,63.512598
2.272218,16,63.885168
0.845109,15,64.230193
0.316236,13,64.535888
3.080093,21,64.987816
0.896214,14,65.284989
2.03467,17,65.658796
2.18552,15,65.987655
1.539278,18,66.388358
1.089505,15,66.717558
2.572102,17,67.084362
1.620058,16,67.431509
-0.112243,13,67.708645
0.624361,14,68.01944
1.164453,13,68.297263
0.309152,14,68.591947
3.125333,18,68.976131
1.460249,16,69.337145
2.028981,15,69.666474
2.461531,15,70.009101
0.808253,14,70.319654
0.697869,14,70.634356
0.687927,15,70.985574
1.615612,15,71.337308
1.624391,16,71.698757
1.196848,16,72.065476
-0.430735,12,72.330731
1.561695,15,72.678237
0.168526,13,72.986688
2.400874,16,73.356113
2.178394,17,73.751121
2.070672,15,74.105611
2.406287,16,74.464278
0.996619,15,74.811371
1.798357,17,75.214801
0.221061,14,75.536738
1.624436,16,75.898185
2.447603,17,76.293523
2.662115,18,76.704609
1.466059,14,77.030206
1.407545,15,77.371494
1.260202,14,77.692471
0.183765,13,77.989214
1.282326,14,78.292694
1.2513,14,78.612802
0.945888,13,78.910126
1.866856,15,79.237864
1.41178,15,79.567209
2.327063,17,79.942309
2.567982,16,80.309363
0.516054,13,80.652414
-0.034106,13,80.988551
2.462536,17,81.365987
0.882261,14,81.683329
0.112242,13,81.982898
1.002921,14,82.286471
0.867481,14,82.597577
1.483707,14,82.924463
0.179057,14,83.258024
0.914355,13,83.564229
1.057418,16,83.937736
2.150465,17,84.351947
2.26726,18,84.797673
1.618213,15,85.149194
1.231521,14,85.463317
1.198796,15,85.80978
0.274805,13,86.147482
-0.157335,13,86.450478
2.613399,18,86.843687
1.985775,15,87.169368
1.979809,16,87.508445
0.043205,13,87.785427
1.561058,16,88.12711
2.378273,18,88.509655
2.245692,21,88.94321
-0.33145,14,89.261435
0.127614,13,89.550045
3.047526,17,89.90453
2.190257,18,90.292108
1.31009,15,90.618595
0.062156,13,90.88779
1.985802,17,91.241986
1.269088,15,91.562317
-0.451664,11,91.797099
0.701751,15,92.102989
3.446187,18,92.493256
0.707514,14,92.804028
1.657982,17,93.160784
1.084136,14,93.45533
2.23923,16,93.786189
1.88251,15,94.106193
2.402866,16,94.444724
1.796718,17,94.816003
2.546593,16,95.155203
2.405864,17,95.51189
2.349461,16,95.845425
1.598123,17,96.202562
2.71139,16,96.554921
1.278069,15,96.868802
1.673725,17,97.232244
1.064883,15,97.543731
1.519899,15,97.869593
2.83095,17,98.215192
0.675494,15,98.519128
0.154424,12,98.77757
0.102213,13,99.053551
0.082385,13,99.322243
1.131309,14,99.623139
1.098428,14,99.915815
1.319419,15,100.226306
2.438515,17,100.587236
2.287538,18,100.974298
0.85217,14,101.273689
2.554804,20,101.689319
1.071417,15,101.99313
1.69322,16,102.33791
1.947276,16,102.666564
-0.688466,13,102.934092
2.199703,18,103.298734
1.76632,15,103.610621
2.17689,16,111.598272
1.094262,14,111.902808
0.435128,14,112.21521
2.435478,17,112.615276
1.742396,15,112.936543
0.373833,15,113.262489
1.595829,15,113.579231
1.532261,18,113.96611
1.410365,15,114.289355
-0.002426,13,114.551411
1.358609,15,114.863698
1.098101,15,115.190475
1.437478,14,115.492979
1.199186,16,115.830289
1.320742,17,116.186327
0.877811,16,116.51757
1.135996,15,116.839097
0.865371,14,117.134793
0.82043,16,117.479734
2.001312,16,117.80416
-0.178736,14,118.091402
2.511854,17,118.446975
2.611327,18,118.830026
1.029332,16,119.170106
0.888036,15,119.493116
1.025553,14,119.781957
2.021633,16,120.112927
1.570422,16,120.459276
-0.1788,14,120.7637
0.513714,13,121.056881
2.192785,17,121.406177
1.787801,15,121.727368
0.629281,14,122.023839
2.530951,18,122.397751
1.480722,16,122.7238
1.257838,16,123.073065
2.860856,16,123.412697
0.659631,15,123.735738
0.945404,16,124.082276
1.426812,14,124.37092
3.054263,20,124.787465
2.327847,17,125.134258
1.413685,16,125.470126
1.80531,16,125.801534
0.067273,13,126.070454
3.034432,20,126.476812
0.815657,14,126.763179
1.553736,16,127.097754
0.494493,14,127.399814
1.402813,15,127.710904
2.690583,18,128.074424
1.896815,17,128.434483
0.601665,13,128.710227
2.866954,18,129.081131
0.319074,15,129.385268
2.22223,16,129.730194
4.273905,22,130.204718
1.994276,16,130.542544
-0.292037,12,130.786825
4.028175,21,131.23562
1.66515,16,131.564318
2.098156,16,131.909998
1.972638,16,132.240666
1.625575,16,132.586214
0.451135,14,132.866784
0.926397,14,133.161266
3.084053,17,133.509627
2.238679,19,133.922674
1.763182,15,134.241739
1.271091,16,134.566606
1.36984,15,134.889181
1.04448,15,135.211171
1.509741,15,135.525912
0.747338,14,135.822189
0.669398,14,136.101411
1.136383,14,136.395754
2.351938,19,136.804388
3.276422,20,137.224125
2.955597,18,137.599111
1.245965,15,137.91221
2.180706,17,138.261287
1.786183,16,138.594296
2.40562,17,138.937276
2.234329,15,139.237153
0.03485,13,139.508183
1.02107,15,139.822977
2.023349,16,140.163278
0.997078,16,140.497127
3.095751,18,140.863925
2.587403,19,141.256483
2.001808,15,141.569071
2.073541,16,141.901005
1.686688,17,142.250532
1.704841,18,142.618992
2.509836,19,143.028081
1.855161,17,143.390748
1.01514,14,143.68633
0.614255,16,144.022305
2.604056,19,144.409214
1.428829,16,144.729892
0.735328,13,144.99
0.24824,15,145.285419
1.943865,17,145.646938
1.144599,15,145.958408
-0.552204,13,146.234178
2.153124,19,146.631942
1.8983,18,147.009885
0.640959,14,147.287446
0.253901,13,147.556646
1.249574,15,147.876893
0.632539,14,148.170588
2.495849,16,148.506584
0.604411,15,148.826035
1.818171,16,149.155411
1.941262,17,149.521759
0.554499,14,149.805962
1.870012,15,150.11299
1.984816,18,150.483858
2.70211,18,150.865166
2.094561,17,151.218726
0.787111,14,151.517505
2.706328,17,151.863399
1.557613,16,152.201273
3.884196,19,152.595084
0.764484,14,152.894594
