#{"t_start": 1773506903.2468226, "env_id": "continuous-highway-v0"}
r,l,t
1.01461,14,10.428092
0.742501,13,10.741781
1.91774,15,11.091713
0.835436,14,11.434384
2.588434,17,11.847155
-0.012096,12,12.131189
0.509249,14,12.495863
1.405831,14,12.840256
2.779217,16,13.235925
1.608922,14,13.594109
1.758592,14,13.970148
1.231979,15,14.336091
1.071623,14,14.670375
2.171392,16,15.065826
2.016005,16,15.443367
1.396668,15,15.807812
2.129803,14,16.143437
0.726527,13,16.450644
2.644487,16,16.84703
0.268867,14,17.174623
2.003263,15,17.543758
0.564788,13,17.858371
0.997461,14,18.193921
1.704631,17,18.615576
0.994849,15,18.977905
-0.687029,12,19.284526
0.712237,14,19.638965
1.39661,14,19.997071
0.027356,14,20.337308
0.1855,13,20.642267
3.474759,18,21.08821
1.690443,16,21.484165
0.652986,14,21.825466
0.02849,13,22.140946
1.909626,16,22.530512
1.479827,16,22.91167
0.668595,13,23.238906
2.356252,18,23.69504
2.269906,19,24.151906
1.299215,15,24.538315
1.794046,15,24.906524
0.345592,15,25.275532
3.328074,17,25.684759
0.207993,13,26.002506
1.825193,17,26.435225
2.596022,15,26.782168
2.066311,16,27.169369
2.892755,17,27.581115
2.214567,17,27.992355
2.374174,16,28.386323
-0.024811,12,28.680811
1.323186,15,29.036942
0.915291,14,29.365132
2.425272,20,29.850786
2.525003,16,30.233276
2.353315,17,30.646798
2.917989,17,31.054771
0.422623,14,31.374789
0.446193,14,31.708006
0.910639,14,32.045231
1.406558,14,32.377037
2.121824,16,32.760439
4.608144,22,33.286254
-0.435732,12,33.573821
3.523294,19,34.02777
0.996207,15,34.378619
1.087369,15,34.747038
0.867078,14,35.095788
0.187821,12,35.443878
2.537685,16,35.816513
1.944171,15,36.148059
1.373112,16,36.517713
2.068319,15,36.857606
0.935045,13,37.185975
1.379974,15,37.492065
0.80809,14,37.789036
1.497628,16,38.132164
1.664428,16,38.488732
2.07807,15,38.824258
1.966016,18,39.213498
3.111681,17,39.578088
1.643563,15,39.896199
1.358663,16,40.249212
3.376894,18,40.645962
2.27357,16,41.004817
0.844202,15,41.336778
1.125053,15,41.677093
1.450599,14,41.984833
2.297523,16,42.330465
3.140044,17,42.69542
2.705647,16,43.040749
2.248829,16,43.394014
2.382688,17,43.758952
2.770081,17,44.132514
1.65442,14,44.426851
0.930305,14,44.734881
0.824918,14,45.051538
0.772683,14,45.353024
-0.109425,13,45.635457
2.26007,15,45.97143
4.228064,19,46.384784
1.950202,15,46.720556
0.690748,13,47.001628
1.178557,14,47.296877
1.89699,14,47.582431
0.661559,14,47.865223
1.285345,14,48.167305
0.374171,13,48.45286
