#{"t_start": 1773515781.6867893, "env_id": "continuous-highway-v0"}
r,l,t
-1.150229,11,10.337857
-0.62166,12,10.712107
-0.077676,13,11.118056
-0.12724,12,11.466927
-1.489612,11,11.795082
-1.169168,13,12.175035
-1.319306,11,12.502624
-1.330779,12,12.861171
-0.072044,12,13.208681
-1.520805,10,13.506096
-1.163328,11,13.840519
-0.344537,13,14.227344
-1.823378,10,14.534712
-0.229304,13,14.92298
0.185899,14,15.331297
0.272166,12,15.692052
-0.890469,12,16.047868
-1.256096,11,16.369703
-1.179112,12,16.736908
-0.421361,13,17.13248
0.178691,13,17.520523
-1.764165,11,17.862011
-0.510871,13,18.245846
-0.735576,12,18.600881
-0.396665,12,18.968383
-0.824843,12,19.323623
-0.264916,13,19.704884
-0.979084,12,20.064256
-0.633275,13,20.4426
-1.080052,11,20.774664
0.323533,14,21.186864
-1.763782,11,21.524687
-2.006621,10,21.82814
-0.788939,12,22.195836
-0.456014,13,22.575712
-1.590161,11,22.911334
-0.387181,12,23.282566
-0.262299,14,23.700327
-1.70865,10,24.005292
0.002147,13,24.401477
-1.803053,11,24.727693
-0.539203,13,25.13249
-0.481197,12,25.508935
0.36129,12,25.881989
-0.427693,12,26.252226
-0.599672,12,26.623423
-0.339491,12,26.989985
-1.812668,10,27.288936
-1.819153,11,27.604431
-0.813445,13,27.976364
-0.643342,12,28.334443
-2.010466,10,28.613063
-2.201573,10,28.879668
-1.569325,10,29.158927
-2.225458,10,29.440732
0.312449,14,29.821821
-0.255028,13,30.201576
-0.26871,13,30.572614
-0.510665,12,30.90525
0.279331,14,31.29127
-2.125608,10,31.583837
-2.29559,10,31.87569
-0.469951,12,32.237638
-0.51212,13,32.614768
-0.034396,14,33.025035
-0.254554,13,33.41313
-0.371368,13,33.798656
-0.124309,13,34.170049
-1.472804,11,34.504285
-0.978393,12,34.856109
-0.917333,11,35.174092
-2.088171,10,35.476518
-1.594395,10,35.781667
-1.749324,11,36.07784
-0.374036,12,36.42915
-1.363227,11,36.732132
-1.175414,11,37.063924
0.254873,14,37.487648
0.513328,13,37.872452
-0.257767,12,38.236742
-1.851803,11,38.584018
-0.285582,12,38.941797
-1.902281,10,39.252304
-1.269943,12,39.606554
-1.430227,11,39.939897
-0.290679,12,40.296654
-1.394713,12,40.656806
-0.837135,12,41.014538
-0.64503,13,41.404109
-1.050084,12,41.758734
-1.069234,12,42.124059
-0.321317,12,42.497454
-1.882753,10,42.800836
-0.912742,12,43.17225
-1.166822,12,43.553164
-0.287156,12,43.924933
-0.128727,13,44.324413
-0.675023,12,44.687623
-0.082462,13,45.077146
-1.057535,11,45.41549
-1.060255,12,45.796561
-1.132537,11,46.137405
-1.107258,11,46.476505
-0.664731,12,46.827549
0.451152,14,47.243737
0.18012,13,47.626148
-1.557977,11,47.950341
0.025287,13,48.331748
-1.535016,11,48.64084
-1.54697,11,48.976403
-1.56924,11,49.286321
-1.963738,11,49.608271
-0.854692,11,49.93899
-1.135236,11,50.264697
-1.203007,12,50.633126
-0.59045,13,51.022486
-0.999232,12,51.387633
-1.369199,11,51.729804
0.373117,13,52.120777
-1.457926,11,52.467138
-2.053769,11,52.794553
-1.878015,11,53.135343
0.217541,12,53.495887
-0.917479,11,53.827548
-0.190073,14,54.262496
