#{"t_start": 1774647533.7094405, "env_id": "continuous-highway-v0"}
r,l,t
2.966131,18,8.121202
3.94979,19,8.339403
1.91909,15,8.494585
1.680626,14,8.65343
2.635472,16,8.992362
2.19925,16,9.311244
4.563991,20,9.53977
3.517025,18,9.840289
3.951986,19,10.170421
1.88395,15,10.451388
3.190037,19,10.820308
3.43394,19,11.150553
3.844958,17,11.493416
3.765569,18,11.817258
2.76613,18,12.117271
3.855594,18,12.350271
1.903927,15,12.518323
1.779272,15,12.690781
2.945466,17,12.891126
3.826091,17,13.084058
3.691562,18,13.281207
2.843489,18,13.484216
4.410976,20,13.722556
3.1645,16,13.906958
3.141997,18,14.109517
4.419329,18,14.308823
2.792778,16,14.488459
3.473911,17,14.678923
4.586139,18,14.889591
4.051451,18,15.082044
3.946062,19,15.28579
2.113732,15,15.459623
5.892439,23,15.708914
1.402373,15,15.870772
5.762938,23,16.125268
4.661201,19,16.337156
3.598813,17,16.517706
1.853301,16,16.701144
1.806364,17,16.889049
1.439951,16,17.07452
1.595202,14,17.233713
1.097449,14,17.388834
3.204007,18,17.594243
2.294997,14,17.744958
3.278016,18,17.943032
1.204396,14,18.368265
2.026095,14,18.592767
3.830373,21,18.820315
3.930812,16,19.040263
1.059613,15,19.306893
3.08699,17,19.577624
1.972913,15,19.827131
1.796416,16,20.05036
2.868434,16,20.271887
2.826423,16,20.546337
4.26729,20,20.832021
1.729249,14,21.039173
1.586883,15,21.203042
3.999329,19,21.399942
2.49527,16,21.569054
5.170397,21,21.803057
2.429677,17,21.982311
4.193668,21,22.206001
1.954358,16,22.38105
3.467942,18,22.568244
2.220253,16,22.730158
3.856333,16,22.905692
4.603085,20,23.118485
3.43794,17,23.303003
2.638834,16,23.465736
2.812572,16,23.640506
2.032796,17,23.823406
2.642957,18,24.017143
3.082392,18,24.204383
3.522704,19,24.407926
4.279383,20,24.621242
3.408702,17,24.799736
5.351526,21,25.021818
2.522642,15,25.176379
1.656495,15,25.342418
3.381679,17,25.5267
2.559572,20,25.73995
4.20465,19,25.943149
1.248666,14,26.099129
4.173725,19,26.303098
3.100469,18,26.497302
3.851135,18,26.685548
3.474689,18,26.87375
3.534574,17,27.058455
2.37935,16,27.234221
4.110371,20,27.447562
2.485011,15,27.613594
3.268222,18,27.808317
3.390654,18,28.002994
3.996462,18,28.197029
4.707762,22,28.435829
2.98829,16,28.605597
2.588296,17,28.790193
2.773638,17,29.002226
4.895612,19,29.441115
2.897729,17,29.787102
3.741427,17,30.120674
4.033001,19,30.477973
5.50431,20,30.862325
2.943918,16,31.18754
6.480488,22,31.566978
3.828264,17,31.858277
4.891021,20,32.235183
2.959507,17,32.515
4.243748,19,32.88267
1.355703,14,33.122422
1.92282,16,33.401921
1.899165,15,33.656745
4.003776,18,33.949169
4.659614,19,34.300768
2.409232,16,34.567834
2.805014,17,34.863378
2.492807,16,35.149373
3.551946,19,39.521036
4.263862,19,39.726582
3.001765,17,39.905882
5.017348,21,40.13572
4.396513,20,40.349692
0.692463,14,40.494806
0.332856,13,40.630204
4.90964,20,40.844525
2.919176,17,41.025162
3.935422,19,41.217112
5.005374,21,41.440564
4.797505,19,41.646442
2.618302,15,41.807444
0.702339,14,41.964245
3.041431,16,42.134233
7.628833,27,42.42694
3.457737,19,42.631831
5.342177,21,42.861981
5.051098,22,43.096224
4.01893,20,43.309334
3.003754,19,43.51258
3.568121,17,43.691225
3.173353,15,43.857024
1.796421,15,44.022666
2.737046,17,44.207838
3.912379,20,44.419102
2.940465,18,44.613228
3.658705,17,44.797807
2.358497,16,44.973359
3.768534,18,45.167172
2.975073,21,45.383754
3.119777,18,45.578447
5.028254,22,45.809683
3.320649,16,45.973059
2.755626,16,46.149264
3.452004,18,46.34348
3.135362,17,46.527755
3.908868,19,46.738122
4.049391,19,46.935832
1.720509,14,47.079802
4.140758,18,47.274309
1.652629,15,47.439732
2.658079,16,47.614452
4.501685,19,47.818718
1.727669,15,47.984963
4.77658,22,48.218376
0.490332,13,48.359826
4.605958,20,48.56789
3.323741,17,48.74828
3.293521,18,48.944005
1.585035,16,49.120466
2.698397,17,49.305243
2.956166,16,49.474556
2.683794,16,49.644079
2.94261,16,49.81637
1.537506,14,49.968144
2.448188,16,50.14929
2.988613,18,50.34339
4.074727,20,50.55744
2.139572,16,50.733562
3.048591,17,50.918932
4.441284,18,51.1137
3.898231,22,51.346477
2.067059,15,51.500072
2.491645,16,51.675159
2.053358,16,51.858148
3.231506,18,52.317741
2.357164,16,52.583266
2.737966,17,52.834554
1.743155,15,53.126086
2.080775,16,53.414204
1.35889,15,53.767405
2.061974,17,54.229208
5.404724,22,54.616221
3.686621,19,54.972817
2.758592,18,55.278731
3.818486,18,55.604488
2.224011,15,55.90214
2.479609,15,56.18981
1.509109,15,56.453402
2.368498,17,56.726977
2.01728,16,56.980562
3.647187,19,57.327503
2.766832,17,57.598899
4.831593,22,57.954808
2.105049,15,58.161731
3.244251,19,58.367754
2.270945,16,58.538413
1.670728,17,58.718596
5.872843,23,58.969453
3.764896,18,59.159419
3.924756,18,59.354734
4.402652,20,59.570205
1.406971,15,59.724771
4.484257,19,59.923811
4.156391,18,60.113163
1.906506,16,60.277674
2.393394,17,60.464149
5.066405,20,60.679726
2.406111,16,60.851461
3.138949,19,61.050504
4.82275,20,61.259402
1.626807,14,61.405357
3.723027,18,61.601964
6.020098,25,61.876483
1.236483,15,62.0439
4.275304,19,62.250176
3.11875,18,62.440549
2.122076,17,62.627104
3.557912,18,62.823056
2.799533,17,63.003207
4.327646,19,63.208807
4.243225,18,63.403535
2.131624,15,63.564339
2.67286,16,63.728186
3.633959,18,63.923204
4.472652,19,67.757045
3.510434,18,68.107673
3.361027,20,68.448424
5.56645,26,68.787715
3.185753,20,69.169845
3.888508,18,69.492658
2.425227,19,69.790577
4.605141,19,70.125228
1.948934,16,70.404919
4.05818,20,70.763281
4.594668,19,71.108098
0.556468,13,71.341253
2.100765,17,71.748065
4.837734,22,72.259027
2.528127,16,72.535925
4.547253,20,72.844108
3.458012,17,73.147821
4.189167,21,73.501718
5.285592,23,73.87953
3.9738,17,74.129334
2.190164,18,74.461638
3.987799,21,74.742331
4.63071,19,75.040472
2.744722,18,75.362521
4.725979,20,75.571748
3.469355,18,75.767674
5.480516,23,76.016622
4.396411,21,76.235575
4.420398,22,76.468811
3.48647,18,76.65832
4.091057,20,76.873698
2.784597,17,77.047931
