#{"t_start": 1773513354.5266948, "env_id": "continuous-exit-v0"}
r,l,t
0.742316,3,5.354765
5.332627,15,6.181509
-8.119631,5,6.46011
0.684317,3,6.621339
0.33725,2,6.740294
2.533577,8,7.1597
1.938332,6,7.478895
0.312369,2,7.590261
-5.896701,9,8.091827
0.345596,2,8.199343
1.787661,6,8.52672
1.865919,6,8.84011
-5.794128,10,9.381756
0.320041,2,9.482751
1.720431,6,9.817968
0.362677,2,9.926907
1.347517,5,10.199243
1.034426,5,10.463166
-8.548868,4,10.67681
0.313816,2,10.786959
1.284783,5,11.052612
0.682406,3,11.205133
0.321339,2,11.314966
6.031265,14,12.092542
-5.129281,12,12.754524
-8.468474,5,13.005347
2.527384,8,13.439797
0.82262,4,13.640329
0.384718,2,13.750943
0.380702,2,13.859555
0.327474,2,13.962287
0.719929,3,14.136489
0.321688,2,14.249717
-8.148165,5,14.532876
0.349049,2,14.633063
3.037881,9,15.12824
-8.337108,5,15.39081
1.085041,4,15.60296
-8.20474,5,15.877443
-4.900505,11,16.480651
3.331033,9,16.944989
0.37224,2,17.046917
-8.382785,4,17.272622
-8.048901,6,17.593153
0.316947,2,17.710009
3.132914,9,18.200259
5.875664,16,19.077826
0.730682,3,19.254714
-7.113122,7,19.648029
0.361822,2,19.758334
0.353137,2,19.857732
1.746426,6,20.178613
2.416479,7,20.581702
-7.663692,7,20.948774
1.424594,5,21.201652
0.764073,3,21.353969
0.697464,3,21.507156
0.355647,2,21.6087
0.356122,2,21.713012
-8.065617,5,21.983201
1.587021,5,22.223956
1.147926,4,22.422727
0.316897,2,22.532932
1.773424,6,22.849543
0.33109,2,22.955381
0.332029,2,23.047963
0.350099,2,23.155112
-4.553893,12,23.778553
1.103848,4,23.996522
-7.850265,6,24.31749
-7.281866,7,24.688617
0.374903,2,24.793381
-8.069778,5,25.04825
0.358802,2,25.153911
-7.110134,7,25.503929
-7.249444,8,25.928503
1.952473,6,26.217665
-8.261597,5,26.469022
-8.495,4,26.683733
1.137761,5,26.921099
0.332671,2,27.028242
-8.191513,5,27.276854
1.051217,4,27.47961
0.326929,2,27.588396
0.704295,3,27.746197
0.311285,2,27.854089
0.324493,2,27.957993
0.314811,2,28.060039
0.324691,2,28.15816
0.364473,2,28.268343
1.039685,4,28.489536
2.017246,7,28.825363
-4.461136,12,29.41485
-8.173371,5,29.671164
-6.171175,9,30.108978
3.900735,9,30.564036
-8.627414,4,30.774439
