#{"t_start": 1773756407.7817307, "env_id": "continuous-highway-v0"}
r,l,t
1.937021,16,5.670587
6.710823,15,6.088929
6.632328,15,6.503806
4.469021,12,6.825934
1.347579,14,7.2063
4.956309,14,7.591063
5.482925,13,7.948159
5.306643,14,8.326736
6.52933,15,8.804891
5.4314,13,9.280788
5.111434,14,9.674955
5.113448,13,10.048276
1.868905,16,10.482589
5.282134,13,10.857399
5.688759,15,11.258641
5.947493,15,11.658749
5.850426,15,12.058866
5.215425,13,12.413437
2.640757,19,12.930388
6.034421,14,13.29626
5.246409,14,13.660292
6.348758,16,14.081321
5.469374,13,14.434901
5.879991,14,14.798947
6.72614,15,15.185849
5.54544,14,15.561769
0.492551,13,15.916043
6.224546,14,16.281128
5.154624,13,16.608069
4.808177,12,16.925335
5.693147,14,17.301875
6.155031,15,17.700319
5.952261,14,18.077824
6.770308,16,18.500957
6.701056,15,18.900261
5.608039,15,19.400367
5.157442,13,19.847077
0.456678,14,20.23636
5.078879,13,20.600919
0.772529,14,20.991098
6.250299,15,21.399163
6.187398,14,21.767107
5.883907,14,22.144737
6.471007,14,22.52219
1.091017,15,22.910195
5.203985,13,23.250996
5.428849,13,23.604478
4.891104,12,23.909025
1.916964,14,24.272995
4.43164,12,24.638544
5.746679,14,25.059515
2.2434,16,25.494458
1.41079,15,25.910346
6.029659,15,26.319267
5.94825,14,26.714788
4.62742,12,27.03328
5.976923,15,27.433681
6.010304,14,27.797253
3.458858,11,28.077823
5.328009,13,28.431624
1.199801,15,28.831721
5.543891,13,29.18505
5.335394,14,29.558877
4.208126,12,29.873128
4.364556,12,30.187483
4.823255,13,30.52418
5.305508,14,30.883368
6.075949,15,31.266183
5.52341,13,31.617579
5.87317,14,31.990884
5.256984,13,32.341891
5.236199,13,32.696223
2.170432,15,33.095919
4.671432,13,33.449396
5.819368,15,33.845773
5.92536,14,34.221366
5.223919,14,34.596326
4.953597,12,34.926324
5.130252,13,35.265464
1.121276,14,35.64024
0.385788,13,35.995614
4.958113,13,36.451845
6.392522,15,36.991701
5.216535,14,37.405307
5.235451,13,37.771185
4.935378,12,38.088031
6.254335,15,38.496561
4.798461,13,38.854922
5.216989,13,39.209885
5.158589,13,39.55159
6.962462,16,39.97384
5.360745,13,40.314175
5.326128,14,40.691283
5.301614,13,41.045963
1.10447,14,41.409703
5.665786,14,41.788985
5.387401,14,42.166603
5.775491,14,42.545104
4.653664,12,42.849674
1.025753,15,43.240208
4.903857,13,43.569826
1.189796,14,43.947172
6.174387,15,44.347902
5.54176,14,44.714862
6.562986,15,45.115788
5.677751,14,45.494374
5.269532,14,45.87185
1.899806,17,46.320416
5.97717,16,46.731064
6.514257,15,47.132217
5.777134,14,47.495353
5.239525,13,47.833661
0.927602,14,48.208809
0.816583,14,48.597636
5.262701,13,48.936825
4.613355,12,49.25196
0.950027,14,49.628531
5.526285,13,49.982619
3.554785,10,50.25336
5.871854,14,50.630721
5.4492,14,51.010499
4.782891,13,51.364035
4.804409,12,51.742764
6.986714,15,52.265899
1.31951,14,52.665283
5.575045,14,53.062344
2.485864,16,53.505735
6.045355,16,53.948199
0.21515,13,54.278608
6.420108,16,54.70434
5.967669,15,55.104988
5.647197,14,55.483212
6.377922,15,55.86973
5.962656,14,56.247743
5.367168,13,56.602406
5.715141,14,56.982822
5.793842,15,57.37368
4.586015,13,57.716095
4.307897,12,58.047915
6.199047,15,58.449042
4.90084,13,58.791026
5.033775,13,59.145499
4.244569,12,59.449805
1.453582,14,59.828113
1.362392,15,60.229063
1.337077,14,60.595413
5.117952,13,60.936454
2.641923,18,70.059493
5.197766,13,70.40282
5.951491,14,70.769205
