#{"t_start": 1773998439.7184088, "env_id": "continuous-highway-v0"}
r,l,t
5.056879,13,8.126551
5.978948,14,8.547941
1.710133,15,9.012191
5.079405,13,9.390723
5.394486,14,9.812544
4.990101,13,10.179849
4.546443,12,10.534354
4.991306,13,10.933535
5.994776,15,11.376464
5.017196,14,11.798647
1.344576,15,12.249538
0.111014,13,12.653971
7.696947,16,13.117891
2.179229,16,13.576877
2.613529,18,14.082716
6.902489,15,14.530213
5.778972,15,14.955017
4.680318,12,15.309403
5.3156,12,15.6554
5.265635,13,16.011238
2.626969,17,16.513775
4.581741,12,16.856049
6.04905,14,17.247283
6.91285,16,17.721991
6.392268,14,18.137436
5.718337,14,18.553445
5.818073,14,18.950569
4.816198,13,19.320705
3.723418,11,19.634943
3.970127,12,19.987731
4.36985,12,20.336046
0.274013,13,20.672216
4.844981,13,21.030833
5.526887,14,21.415715
6.52343,14,21.796793
1.612213,14,22.171964
6.897858,16,22.608706
5.169526,14,23.015591
6.147987,14,23.408383
1.237911,14,23.791048
0.308526,13,24.163651
5.841909,15,24.610585
7.215508,17,25.115375
5.72569,14,25.489572
5.75853,14,25.84914
6.116051,15,26.255807
5.367778,14,26.614567
5.71592,13,26.980281
6.994909,16,27.414214
5.885594,15,27.830059
5.245125,13,28.163486
5.837214,14,28.535634
2.875196,19,29.056786
5.569974,14,29.431034
6.562933,16,29.894453
2.97649,17,30.348568
4.860934,13,30.710553
4.656771,12,31.048105
5.240228,13,31.411076
0.443849,14,31.80132
5.554688,13,32.151367
4.906749,13,32.501708
1.667085,16,32.939694
4.709045,13,33.300639
6.177104,14,33.682081
5.824039,14,34.06527
4.855584,13,34.399856
1.544376,15,34.796258
6.653534,16,35.231969
1.372679,14,35.630327
6.233593,15,36.038247
4.686832,12,36.362977
4.605028,13,36.710071
6.745125,17,37.180722
4.477183,12,37.517942
5.513849,14,37.894088
2.634152,18,38.362427
6.172188,14,38.750444
5.353082,14,39.136047
6.230615,16,39.583538
5.955446,14,39.954411
6.007944,14,40.341773
5.361791,14,40.727178
5.346834,14,41.127066
5.320901,13,41.474854
6.021316,15,41.886349
3.71691,12,42.197873
5.448983,14,42.585351
1.550035,15,43.011467
6.362864,14,43.383013
5.273225,13,43.746728
1.702974,16,44.168894
5.151563,13,44.532853
7.540989,16,44.982106
5.081888,13,45.34678
0.50871,13,45.710686
4.805937,12,46.035963
1.413814,14,46.423976
6.728452,15,46.835111
5.670647,14,47.222449
0.84296,14,47.609356
4.781206,13,47.974003
5.857238,14,48.361778
4.50575,12,48.673305
5.684515,14,49.044638
6.040519,14,49.429086
1.304696,15,49.842806
4.906197,12,50.168473
5.22302,13,50.518463
4.410555,13,50.883926
7.406281,17,51.356418
6.124979,13,51.703732
6.450866,16,52.151724
1.938753,15,52.532527
6.567904,15,52.929427
1.607005,15,53.325291
4.948497,13,53.674734
7.696802,17,54.131296
5.632757,14,54.504089
5.180467,13,54.865303
2.944542,17,55.32056
6.296443,15,55.727356
6.049222,15,56.137434
3.847757,11,56.454008
5.525683,14,56.8296
5.354681,13,57.166854
0.684095,13,57.518008
4.777288,13,57.883567
2.257025,16,58.322131
1.293952,15,58.730281
4.454686,12,59.080525
4.99594,12,59.41649
6.204715,14,59.805068
5.308337,14,60.195889
-0.061523,13,60.549506
5.59744,14,60.939165
6.266791,14,61.329216
6.618311,15,61.738252
5.85018,15,62.137911
1.657975,15,62.542196
6.474233,15,62.983469
5.291244,13,63.319262
7.905276,18,63.823409
4.15952,12,64.151306
6.77527,15,64.584733
4.498449,12,73.414664
5.351717,13,73.794148
2.165062,17,74.274918
4.595328,12,74.61272
4.93949,12,74.950517
1.4853,15,75.364874
4.426796,12,75.708202
5.302757,14,76.097418
6.241252,14,76.474002
6.801939,16,76.925376
4.263996,12,77.238746
6.135703,14,77.632269
4.834987,13,77.974957
1.071348,14,78.33451
6.463905,16,78.790009
5.966835,14,79.178679
5.918616,15,79.604426
1.18973,16,80.024126
6.382459,15,80.454475
5.549437,13,80.806603
6.180964,15,81.209717
5.661506,13,81.558201
1.340645,15,81.996878
5.338299,13,82.332775
6.182426,14,82.736343
5.377905,14,83.132052
5.083523,13,83.485657
5.799369,14,83.86079
6.074201,14,84.253109
4.819511,12,84.581906
6.266025,14,84.956708
4.859762,12,85.28423
1.552172,15,85.697504
5.760958,14,86.076817
5.483946,14,86.453287
7.70467,17,86.912668
5.20276,13,87.277694
4.159839,12,87.605173
5.605227,15,88.010281
6.294619,15,88.420869
-0.07486,13,88.786225
5.057307,13,89.150841
5.918064,14,89.540872
5.390201,14,89.927337
