#{"t_start": 1773733749.7998214, "env_id": "continuous-highway-v0"}
r,l,t
1.673227,15,4.981524
6.036527,15,5.410604
4.763819,12,5.730941
4.68626,13,6.191063
4.676032,13,6.634783
6.057227,14,7.066564
6.344525,16,7.537091
5.864266,13,7.923485
6.487453,15,8.47625
4.577732,12,8.839308
5.629116,14,9.245401
5.634654,15,9.689824
1.426967,15,10.110531
6.460718,14,10.511329
5.951,14,10.918457
6.293773,14,11.450408
4.331123,12,11.973118
7.540162,17,12.465831
5.448297,13,12.847949
6.475022,15,13.29004
5.976192,15,13.684434
7.094144,15,14.080466
0.825134,14,14.462564
4.676397,12,14.803108
5.687389,14,15.174472
4.518266,12,15.513646
5.640463,14,15.893154
0.880348,13,16.246619
5.373355,14,16.614258
0.839657,15,17.014824
5.850465,14,17.487804
5.625943,14,18.00635
5.326043,13,18.372895
6.475302,14,18.774322
5.860993,15,19.175355
5.431238,15,19.594917
4.728584,13,20.027869
0.497532,14,20.497109
1.765792,14,21.000723
5.490812,14,21.691746
1.125211,14,22.093353
0.17686,13,22.470903
6.023923,14,22.855209
5.45707,14,23.24857
5.216196,13,23.612205
1.637367,16,24.027048
1.075487,15,24.429562
0.88556,14,24.79749
6.932207,15,25.169767
6.102454,14,25.54551
6.424291,15,25.934062
5.340996,13,26.276452
5.531811,14,26.656445
5.233392,13,27.011995
6.100821,14,27.392118
6.133624,14,27.768509
6.488434,15,28.166487
6.049034,15,28.553506
0.794315,14,28.91819
4.865858,13,29.273764
5.162095,12,29.608498
6.209119,15,30.010734
5.422384,13,30.365268
5.198738,13,30.704806
5.04384,14,31.067311
4.965528,13,31.40332
-0.3583,12,31.718313
1.465734,15,32.104081
6.75958,15,32.488677
4.609686,12,32.86602
5.579704,14,33.328065
0.834272,13,33.692179
5.876192,15,34.11229
0.628414,14,34.497559
5.552889,14,34.881592
5.705406,13,35.239418
5.739632,14,35.615721
5.216002,13,35.970276
4.507508,12,36.288586
4.797581,13,36.629092
5.873312,15,37.029032
5.816922,13,37.382068
5.450782,15,37.769179
1.506887,14,38.145325
4.963961,14,38.521219
6.232582,14,38.898131
1.341532,14,39.260429
4.340471,12,39.59087
5.108209,13,39.943705
6.24082,15,40.344074
5.694087,14,40.708991
5.501279,13,41.05112
5.56865,14,41.428237
4.647945,12,41.759778
0.372773,13,42.102257
1.591433,15,42.494507
6.388659,16,42.931276
5.336247,14,43.365896
1.183405,14,43.865884
5.713174,14,44.227168
6.370132,14,44.601307
4.487156,12,44.914294
5.699084,13,45.263273
5.980822,15,45.667953
5.558843,13,46.009402
5.843636,14,46.388296
5.190206,13,46.74325
0.840336,14,47.122836
6.402058,14,47.486589
5.028215,13,47.829387
5.152424,13,48.183942
0.882964,13,48.513182
5.63364,14,48.89165
6.86427,16,49.361169
5.557608,13,49.806779
6.07875,15,50.261748
6.231785,15,50.678885
4.921854,13,51.043743
7.093715,17,51.513046
4.949937,13,51.856004
5.224239,13,52.208899
5.939419,14,52.585577
6.023857,14,52.963157
6.412614,15,53.360803
6.685103,16,53.784082
5.016103,13,54.137326
6.315375,14,54.500304
5.038841,13,54.839693
6.79898,16,55.249287
4.805866,13,55.590678
4.979538,13,55.931684
5.99623,14,56.308901
6.249413,14,56.672202
0.367429,13,57.013933
4.65759,12,57.345519
6.468356,15,57.744805
5.072936,13,58.099078
2.233792,15,58.485186
6.725461,15,58.872424
4.30021,12,59.205277
5.424566,14,59.584602
1.977879,14,59.949095
4.948513,13,60.301901
4.971398,13,60.642695
4.529232,12,60.974765
5.471111,14,61.338219
5.992799,14,61.70212
5.904379,15,70.760312
6.438358,16,71.18474
5.774813,14,71.549926
5.98906,15,71.93804
5.297667,13,72.292794
5.200653,13,72.647189
1.575804,15,73.047485
4.730085,13,73.402333
5.430357,14,73.781293
0.220634,13,74.123697
6.467381,15,74.511973
5.132636,13,74.865999
5.705825,14,75.215273
7.735089,18,75.658256
6.910838,16,76.10326
6.59696,17,76.756849
5.516916,14,77.14486
5.471187,13,77.494659
6.187064,15,77.893069
6.42637,16,78.324565
6.25086,15,78.709652
6.575678,15,79.136434
1.237717,15,79.5346
-0.400694,12,80.095379
6.52804,15,80.581115
6.541204,15,80.979385
5.531565,14,81.348846
1.62314,15,81.764852
6.599128,15,82.162785
6.193327,16,82.591277
6.840077,16,83.015007
6.065263,14,83.392887
6.514188,16,83.817513
5.260523,14,84.192513
5.782898,15,84.592695
5.211296,13,84.986188
7.241772,17,85.536902
6.655073,16,85.982795
4.695154,13,86.355104
6.054511,14,86.752549
5.947429,15,87.154267
5.855841,14,87.516844
2.494276,17,87.963424
5.442594,14,88.34983
7.799083,17,89.191009
5.810239,14,89.618806
5.212528,13,89.979079
5.834108,14,90.378211
0.962591,14,90.77628
5.520668,14,91.169499
6.293731,16,91.594054
5.151686,13,91.935408
6.802458,15,92.334832
4.906369,13,92.675529
5.68239,15,93.076072
5.059503,13,93.430137
1.408393,15,93.819251
5.838589,15,94.220316
6.618869,15,94.621016
5.880549,14,94.98395
1.567091,15,95.360396
5.39678,14,95.737182
4.557908,12,96.067213
6.404394,15,96.466085
6.564042,16,96.90053
5.010322,13,97.238536
5.690574,14,97.600055
6.179657,14,97.974562
5.823059,14,98.413821
5.48936,14,98.815823
5.289549,14,99.210157
1.227988,15,99.644986
6.220693,14,100.027238
4.723329,12,100.348164
6.805496,15,100.849168
6.519542,14,101.334084
5.392095,14,101.726555
5.589919,13,102.104989
1.473763,15,102.535086
6.713312,15,102.963905
4.608159,13,103.317592
4.513971,12,103.634711
5.819482,14,104.010572
7.586802,17,104.443653
6.18015,16,104.868297
5.376279,14,105.236305
6.06348,14,105.614464
7.008312,17,106.122618
6.084232,14,106.629441
3.950204,11,106.927181
4.052451,12,107.262265
5.492334,13,107.60902
6.410797,15,108.032121
5.297788,14,108.406142
5.01273,13,108.761012
6.276197,15,109.163917
5.734863,14,109.528258
5.169093,13,109.8834
4.027015,13,110.23912
5.715911,14,110.616908
4.962226,13,110.958975
4.467331,12,111.335862
4.988992,13,111.805109
5.787786,14,112.264856
4.835901,13,112.625075
5.871946,16,113.073689
2.471574,16,113.521672
5.096497,13,113.864677
5.208569,13,114.306518
6.267924,15,114.815591
6.605462,15,115.339537
4.982631,13,115.791732
7.016677,16,116.249525
5.310091,13,116.626723
4.252622,12,116.968558
5.886289,14,117.35164
5.624604,14,117.700472
4.960878,13,118.040903
3.852684,12,118.357157
1.773322,16,118.793466
5.331359,14,119.157621
4.889728,13,119.497013
5.781702,14,119.86048
3.961096,12,120.177574
5.181214,14,120.553452
5.18266,14,120.930092
6.698685,17,121.376982
4.782093,14,121.755381
5.865726,15,122.204003
5.469088,14,122.744376
7.290274,16,123.225911
6.398829,15,123.646024
5.86813,14,124.045625
5.037082,14,124.441604
4.943191,13,124.794512
6.116339,15,125.265795
7.262075,16,125.755929
2.446698,17,126.223567
0.666941,14,126.622728
5.668413,14,127.005646
4.00585,11,127.295502
5.161968,14,127.660539
5.629217,14,128.039848
0.31306,13,128.396367
5.00911,13,137.63539
5.877197,15,138.035971
4.536642,13,138.39076
6.315854,15,138.793574
6.056749,15,139.183372
5.427282,14,139.550696
4.786177,13,139.918205
6.148404,16,140.343707
6.703144,15,140.74373
4.833661,13,141.098639
7.405149,19,141.592314
1.832518,15,141.995732
2.108222,17,142.44404
5.303317,13,142.798454
7.009816,16,143.222297
5.86058,15,143.640787
6.392619,16,144.182594
1.19926,16,144.7564
5.423543,13,145.129003
5.820325,15,145.53709
5.623691,15,145.943088
6.180834,16,146.385497
4.844953,13,146.745768
6.149303,15,147.144577
6.283564,16,147.580581
5.499601,14,147.957396
5.398099,13,148.302687
6.078921,14,148.665962
7.760642,18,149.134604
5.590071,15,149.521274
6.661254,16,149.957718
5.781903,15,150.359238
7.285668,17,150.806384
2.022597,16,151.276601
5.493264,13,151.731271
5.038602,15,152.215428
5.314301,14,152.602819
1.352418,15,153.035362
6.126743,16,153.486866
5.008958,14,153.883031
4.922222,13,154.226958
6.079716,15,154.614572
1.683886,15,155.031554
6.166258,16,155.458241
0.227804,13,155.799102
6.350895,16,156.236044
1.625141,14,156.600923
1.504461,16,157.123562
5.676021,15,157.596053
5.687901,15,158.009198
1.102295,16,158.446186
5.791035,14,158.834081
7.499986,18,159.324606
2.155188,16,159.75316
6.912876,16,160.189959
5.517295,14,160.668442
6.061792,15,161.15886
5.274085,13,161.511731
7.194967,17,161.993958
5.109905,13,162.343925
5.442251,14,162.731734
5.267461,14,163.110908
6.186316,15,163.510174
6.438187,17,163.957132
6.60179,16,164.366055
6.109626,15,164.765954
0.62508,14,165.142049
6.214847,15,165.5429
5.376398,13,165.883686
1.522891,15,166.284255
1.473571,16,166.707221
1.616951,15,167.108687
5.525391,14,167.48639
6.107589,14,167.862965
