#{"t_start": 1773954877.6063783, "env_id": "continuous-highway-v0"}
r,l,t
5.844295,14,6.254644
1.725841,15,6.777469
1.066156,14,7.276461
6.303614,14,7.770132
5.987092,14,8.263955
0.793324,13,8.700221
5.856489,14,9.176478
2.291489,18,9.772386
4.439244,12,10.191292
1.2467,15,10.703288
6.083097,14,11.1793
1.307451,14,11.657829
5.55695,14,12.13759
0.886071,14,12.601209
1.609069,15,13.117536
5.944454,14,13.598774
3.956116,11,13.975421
0.013226,13,14.433433
4.574371,13,14.873019
0.420475,13,15.30855
5.562108,14,15.786816
1.361575,14,16.258095
6.624914,16,16.781269
6.177982,15,17.263267
4.588889,12,17.67023
6.361648,16,18.210742
6.497822,15,18.721997
5.748458,14,19.191605
6.37065,14,19.67569
4.983707,13,20.144479
4.897353,13,20.605195
6.458324,15,21.11888
7.468121,15,21.631245
6.476089,14,22.110003
6.1028,14,22.584624
5.843061,14,23.066416
6.46692,16,23.609114
5.83379,14,24.080353
7.289669,16,24.622803
5.10154,14,25.103771
4.888755,13,25.555927
5.787711,14,26.035159
5.196994,13,26.476836
6.244637,14,26.947797
4.829208,13,27.393587
2.234959,16,27.940623
6.61452,16,28.489035
2.425789,16,29.02807
5.867757,14,29.497794
1.311306,15,30.0256
4.175248,12,30.432416
1.249758,14,30.916097
6.332385,14,31.399983
1.0373,14,31.868569
5.793608,14,32.352348
2.433396,17,32.932382
6.04937,14,33.413871
4.425657,12,33.814756
5.522847,14,34.292303
6.258161,14,34.750992
0.976232,15,35.242091
6.386718,15,35.747832
5.203345,13,36.168508
6.196939,14,36.662886
6.123074,14,37.142164
4.745226,13,37.586684
1.923974,16,38.124547
4.927041,12,38.544113
6.660353,16,39.075756
0.229204,13,39.523806
5.716123,14,39.994846
1.561046,15,40.502568
5.337734,13,40.936666
6.240469,16,41.471701
5.813126,15,41.970424
1.659814,14,42.450429
4.676601,13,42.918828
0.429595,14,43.404343
6.429132,15,43.908401
5.506979,13,44.35254
2.074414,16,44.901428
5.612,13,45.352092
5.132787,13,45.787865
4.837626,13,46.23474
4.920433,12,46.641268
6.273221,15,47.156915
5.681617,14,47.64328
0.19768,13,48.079171
5.203166,14,48.540016
5.269634,13,48.978459
5.075299,13,49.430345
4.766308,13,49.864591
0.5289,14,50.341023
1.923916,15,50.837715
2.529154,16,51.382995
4.996632,13,51.816373
5.027265,13,52.267803
2.118742,16,52.828658
5.026031,13,53.260999
5.778943,14,53.75242
6.430375,15,54.267633
5.41114,14,54.746061
5.077209,13,55.196792
6.542649,16,55.735482
0.670276,14,56.218124
5.587757,14,56.697752
6.142113,15,57.213249
5.453337,13,57.660131
1.295598,14,58.147848
1.26907,15,58.641754
5.9019,14,59.108393
5.297777,14,59.574245
6.600752,16,60.111402
1.367437,15,60.606248
6.150725,14,61.08693
6.54888,15,61.597771
3.670563,11,61.939595
4.555017,12,62.351275
4.505455,12,62.761212
4.938701,13,63.200054
5.687627,13,63.626322
5.640365,13,64.053165
6.092449,15,64.558275
5.54805,14,65.034657
5.509903,13,65.48455
6.639156,15,65.980465
6.95421,15,66.507266
5.393157,13,66.946762
4.174237,12,67.355592
5.445395,13,67.812025
5.081942,13,68.25036
5.157703,13,68.692808
6.890673,16,69.230527
5.220014,13,69.681659
5.541218,14,70.165448
5.642505,14,70.627457
0.138328,13,71.080496
4.675637,13,71.530488
5.523343,14,72.01488
0.251586,13,72.452083
5.501996,14,72.93523
5.500198,14,73.425805
6.093326,14,73.908019
3.996209,12,74.32765
6.001272,14,74.815223
5.163366,13,75.271031
5.998546,15,87.291008
5.386038,14,87.781595
2.524794,17,88.352199
7.287659,17,88.93093
4.804416,13,89.388352
4.930101,13,89.827414
5.999223,14,90.316672
5.837742,15,90.83262
2.691102,17,91.422646
6.782761,16,91.959456
2.037812,16,92.503093
1.92983,16,93.053461
6.148884,14,93.506826
5.039723,13,93.922596
7.306461,16,94.468613
1.446436,15,94.980198
5.714365,14,95.430393
6.086618,15,95.907958
6.562425,15,96.403241
5.512394,13,96.84288
5.791746,13,97.296515
4.312377,12,97.717528
4.335455,11,98.111621
5.171622,13,98.535935
5.148202,13,98.960574
4.763315,12,99.373868
5.718401,14,99.859279
5.647333,14,100.342483
6.568109,16,100.89842
2.162503,17,101.495921
4.922511,13,101.933366
5.837433,14,102.413091
5.58813,14,102.882871
1.361855,15,103.376327
5.066437,14,103.850727
5.869581,15,104.350853
0.706774,14,104.847023
5.845592,14,105.320143
4.205078,12,105.721877
6.932123,16,106.250094
6.638313,15,106.748261
6.959142,16,107.296492
4.776238,12,107.685293
5.782716,14,108.172826
1.544683,15,108.688984
5.225661,13,109.123693
5.308042,13,109.560286
5.594986,14,110.03588
6.140539,15,110.545781
6.60245,16,111.107269
5.883945,15,111.625803
6.013505,14,112.095281
4.937374,13,112.543537
0.29431,13,112.994818
5.778063,14,113.471316
0.856155,14,113.964362
5.56876,14,114.433476
6.228293,15,114.952456
4.88403,13,115.411385
5.734902,15,115.927235
1.100527,14,116.420956
0.878985,14,116.909626
1.409916,14,117.397916
5.924406,14,117.878224
1.164825,15,118.396005
5.3367,13,118.852438
6.337835,14,119.335177
6.779848,15,119.836056
5.158872,13,120.291047
5.115872,13,120.727264
6.417831,16,121.27155
4.893848,13,121.729032
5.312747,14,122.211791
5.825736,14,122.692245
6.809235,15,123.203345
5.342662,13,123.637176
0.82619,13,124.073529
5.462317,13,124.513563
5.987446,15,125.027434
5.568244,14,125.501209
4.785575,13,125.940168
1.367531,14,126.407255
5.971624,14,126.876406
5.870367,14,127.34344
6.211694,15,127.845832
5.998488,15,128.358243
5.583033,13,128.795638
5.160163,14,129.267385
4.842496,13,129.722111
5.487693,14,130.196923
1.519458,16,130.740665
4.864902,13,131.185828
6.057177,15,131.684488
5.015551,13,132.141168
5.5333,14,132.609669
