#{"t_start": 1773764932.805506, "env_id": "continuous-highway-v0"}
r,l,t
3.570891,11,7.625454
-2.167302,10,7.939071
4.094063,12,8.336604
2.891459,10,8.656835
4.109855,12,9.049158
3.790615,12,9.440643
-1.128336,11,9.775927
4.183722,13,10.179897
3.263841,11,10.514328
0.03739,14,10.963464
4.482586,13,11.370346
-1.125989,11,11.720962
3.275622,11,12.071175
4.365626,12,12.450946
4.399689,12,12.831942
3.072132,10,13.154359
3.852958,11,13.504193
3.638376,12,13.910384
3.373526,11,14.283815
3.131728,10,14.605609
2.381707,10,14.940454
3.335779,11,15.289191
3.042206,10,15.596034
-1.907709,10,15.917493
0.097533,13,16.335511
-0.103543,13,16.769552
2.690271,10,17.091137
-2.477475,9,17.38726
2.717975,10,17.70976
3.981193,12,18.10521
3.75801,11,18.468681
3.371665,11,18.834289
4.742937,13,19.253522
4.983962,13,19.659786
4.094051,12,20.066612
3.558865,11,20.420169
4.092593,12,20.826025
2.580479,10,21.146806
-0.539558,12,21.524362
-0.599151,12,21.917035
3.428151,11,22.280875
3.101817,10,22.603583
-0.392933,12,22.995472
-0.28075,12,23.373926
3.421593,11,23.723603
4.039881,12,24.130477
-0.626355,12,24.523538
2.233215,9,24.841132
4.664301,12,25.263535
2.847806,10,25.584961
3.204841,11,25.936796
3.463371,11,26.299645
3.940578,12,26.690154
-0.321713,13,27.0972
3.428644,11,27.446706
3.824011,11,27.794338
3.537206,12,28.183753
2.807448,10,28.503233
2.991604,10,28.876026
3.235977,11,29.269609
3.421422,11,29.618645
4.31261,13,30.038093
3.510338,11,30.400892
3.442842,11,30.763885
4.102189,12,31.140525
3.311823,12,31.533274
4.73864,13,31.954423
3.675673,11,32.306865
4.33053,13,32.73181
3.752668,12,33.125173
-0.623679,12,33.59004
3.862912,11,34.037505
2.897247,10,34.464475
-1.515894,11,34.941746
3.263688,11,35.399753
-0.699757,12,35.898183
-0.752734,12,36.425593
3.872585,12,36.949072
0.270965,14,37.710966
2.245712,9,38.217936
3.655731,11,38.72358
3.559703,11,39.389447
4.770897,13,39.93635
4.330635,12,40.467598
3.361182,12,40.996082
3.075335,10,41.440135
3.111828,10,41.862394
-0.880377,12,42.388066
4.222688,12,43.934785
3.375178,11,47.942296
2.444091,10,49.287297
3.100992,11,49.730939
3.728902,11,50.247835
4.169169,12,50.778271
-1.038159,12,51.305414
2.33434,9,51.725656
-1.074105,11,52.227694
2.499648,10,52.668438
2.381972,10,53.093377
3.15676,11,53.586771
-0.668547,12,54.1679
2.284568,9,54.584747
4.050294,12,55.11202
3.86347,12,55.610283
-1.066772,12,56.128995
3.471952,11,56.597244
3.313492,11,57.057668
2.987648,10,57.54266
2.5661,10,57.913475
-0.82534,12,58.448988
3.720988,11,58.941532
0.436306,14,59.579013
3.28016,10,60.005458
4.087606,12,60.563543
3.459237,11,61.062037
2.298828,9,61.454383
4.372811,13,62.050603
-0.67416,11,62.51533
-1.52021,11,63.018823
2.101896,9,63.453951
4.763923,12,64.061771
2.824967,10,64.530684
3.341271,11,65.025261
-0.581513,12,65.531461
-1.50226,11,66.057832
4.313067,12,66.622889
3.240432,11,67.164262
2.910996,10,67.672733
3.669928,12,68.235561
2.678755,10,68.69216
2.869669,10,69.132751
3.755493,12,69.681137
4.09507,12,70.252986
3.343492,11,70.792587
3.589454,11,71.263567
-2.148548,10,71.738517
-1.200031,12,72.264374
3.217891,11,72.83677
3.34629,11,74.237945
-0.722125,11,77.319974
-2.078524,11,78.076433
-0.699151,12,78.73893
2.879919,10,79.206324
3.609999,11,79.710277
3.420586,11,80.233541
3.272016,12,80.753781
3.583803,11,81.309796
4.052089,12,81.838334
-0.852684,12,82.388131
3.202423,10,82.895864
4.386158,13,83.425671
-1.039201,11,84.001482
4.091307,12,84.504262
3.127038,11,85.016712
-1.190887,11,85.569646
2.877342,10,86.079368
3.217283,11,86.513992
3.736349,11,87.023098
-0.445067,12,87.630866
3.841874,12,88.188427
-1.34842,11,88.780577
3.208748,10,89.393633
4.13333,12,89.868994
3.387327,11,90.383647
3.695276,11,90.862801
3.617728,11,91.40711
2.780351,10,91.867189
4.260723,13,92.522954
-1.402186,11,92.989918
3.066436,11,93.559756
-1.376931,11,94.044477
-0.195181,12,94.666609
3.401205,11,95.170189
3.36399,11,95.668958
2.587951,10,96.107366
2.853619,10,96.714642
1.841144,9,97.128885
3.563952,11,97.73092
3.404904,11,98.300737
-2.178286,10,98.75097
2.645417,10,99.183063
4.040357,12,99.767274
2.219638,9,111.598324
-0.967313,12,112.191394
4.06472,12,112.750285
4.987395,14,113.388791
4.416191,12,113.948984
2.435855,9,114.37997
3.189122,11,114.902373
3.111532,11,115.435216
3.531237,11,115.931555
4.31054,13,116.543462
3.552788,11,117.060323
4.068517,12,117.590318
3.96969,13,118.192363
2.572708,10,118.647901
3.289548,11,119.163026
-1.194724,12,119.735968
-0.889264,12,120.285665
4.89349,14,120.924151
3.351129,11,121.423815
3.230528,11,121.902243
-1.877781,11,122.396325
3.505067,12,123.745846
3.043434,11,127.769412
4.265042,12,129.228142
4.035884,12,129.751328
0.212262,14,130.343653
2.872886,10,130.773937
4.002258,12,131.315337
-0.455434,12,131.872408
4.535059,13,132.444962
3.859254,12,132.988321
3.30899,11,133.493562
-0.488802,13,134.055114
4.538971,13,134.627076
3.423877,11,135.126039
3.799572,11,135.606723
4.289256,12,136.150933
3.698949,11,136.643402
3.540509,11,137.138781
4.211822,12,137.666336
-1.328169,12,138.188607
3.218552,11,138.603917
3.058532,11,139.069092
2.913493,11,139.519327
-0.802547,12,139.988835
4.112348,13,142.381274
3.016589,11,146.041548
3.227401,11,146.531043
3.345145,11,147.026571
3.857094,12,147.564417
-0.229981,13,148.156077
4.355597,13,148.721202
-1.103827,12,149.263773
4.083482,12,149.804869
3.488856,11,150.301319
3.82428,12,150.830321
3.138782,12,151.322436
4.250811,12,151.847169
3.024222,10,152.304894
3.531622,12,152.808135
2.999376,11,153.280616
-0.703422,12,153.802011
2.532334,10,154.233346
2.895244,11,154.644711
-1.292405,12,155.075766
4.392009,12,159.11228
2.80921,11,161.304203
4.272853,13,161.820936
3.438849,11,162.291605
3.071668,10,162.719398
2.288575,9,163.116303
-0.54323,13,163.680754
3.398099,11,164.153245
4.584012,13,164.712233
-1.011992,12,165.239965
-0.851291,13,165.788055
3.927258,12,166.28919
2.744498,11,166.774788
3.408546,11,167.257776
3.237576,11,167.746849
3.364954,11,168.24158
3.606719,12,168.778593
4.070785,12,169.295532
3.514642,12,169.803212
2.655426,10,170.229655
3.474675,11,170.695336
2.329688,10,172.156519
-1.087033,11,177.207959
-1.394234,12,178.641243
4.000756,12,179.156152
3.689027,11,179.549807
3.695292,12,179.953123
4.313438,12,180.360872
-1.552455,12,180.752472
2.769101,10,181.090998
3.93257,12,181.480114
-1.12456,12,181.900016
3.686905,11,182.256921
4.519553,12,182.672083
3.592475,11,183.052481
3.95177,12,183.468633
-0.973202,12,183.864212
3.809907,11,184.242516
3.441592,11,184.587674
-0.628186,12,184.976316
-0.924274,11,185.350555
4.360427,13,185.782737
3.994027,12,186.181722
3.571247,11,186.549699
4.192944,12,186.947604
-0.199705,13,187.372109
3.546523,11,187.736729
-1.975611,10,188.072992
3.187078,11,188.435979
4.488806,12,188.830344
3.058562,10,189.186767
4.002157,11,189.539804
-0.151703,13,189.951244
4.218002,13,190.373696
4.34639,12,190.770168
-1.843387,11,191.139858
3.224697,11,191.505905
2.753474,11,191.873364
-0.046549,13,192.298559
-1.280882,11,192.655478
-0.504823,12,193.05474
3.641749,11,193.413157
2.973521,10,193.725255
