#{"t_start": 1773764748.467904, "env_id": "continuous-exit-v0"}
r,l,t
2.191577,6,10027.823993
-2.909252,5,10029.238178
0.486539,2,10029.872754
0.715798,3,10030.281894
6.231681,15,10033.568561
-2.037098,8,10035.096673
0.565228,2,10035.559341
2.576139,7,10036.674149
0.490923,2,10037.14871
0.366229,2,10037.685698
0.879314,3,10038.258305
-3.274436,5,10039.233193
1.134517,4,10039.936629
0.53138,2,10040.222639
0.491618,2,10040.479458
1.165748,4,10041.438706
-3.352632,5,10042.459343
0.566208,2,10042.902982
0.948289,3,10043.597904
-1.644179,9,10045.304559
0.493087,2,10045.808518
-3.026543,5,10046.79632
0.542775,2,10047.232741
0.526645,2,10047.68667
0.511856,2,10048.175565
0.532986,2,10048.529063
1.813734,5,10049.09506
0.529779,2,10049.422274
0.580303,2,10049.730538
0.863733,3,10050.463596
0.533251,2,10051.013358
2.322299,6,10052.005321
1.684433,5,10052.889543
0.455808,2,10053.354408
-3.338708,4,10053.745949
0.497907,2,10054.211751
0.464333,2,10054.67899
0.919436,3,10055.181515
0.53662,2,10055.45808
1.876326,6,10056.662811
0.471378,2,10056.92365
2.147406,6,10057.933269
0.49948,2,10058.447745
0.329785,2,10058.966251
1.855337,6,10059.992737
0.52422,2,10060.470921
0.353761,2,10060.731039
0.953294,3,10061.262873
-3.634785,4,10062.296424
1.211606,4,10062.91617
1.498884,5,10064.983773
0.931539,3,10066.154008
0.342297,2,10066.993597
0.723939,3,10067.376124
2.962056,8,10068.880746
0.5251,2,10069.188778
0.33725,2,10069.645194
0.34334,2,10070.117659
0.547592,2,10070.562638
-3.011349,5,10071.551015
0.920633,3,10072.028617
0.539785,2,10072.278803
0.573928,2,10072.651969
3.258965,8,10075.565575
0.525127,2,10076.213661
0.831718,3,10076.69964
0.508021,2,10076.979384
0.326213,2,10077.44263
-3.019058,5,10078.665749
0.864977,3,10079.295238
0.537607,2,10079.994917
0.535473,2,10080.660878
0.334907,2,10080.967144
-2.131724,7,10082.486151
0.895272,3,10083.038456
-2.262506,7,10083.893206
0.916763,3,10084.44036
0.841015,3,10084.930333
0.522421,2,10085.33849
1.514239,5,10086.274343
0.91245,3,10086.92486
0.535326,2,10087.193829
1.438267,5,10088.337938
0.492142,2,10088.747131
0.530056,2,10089.063764
1.633645,5,10090.259365
-3.175917,5,10091.320796
0.337685,2,10091.742789
0.936944,3,10092.405092
1.964523,6,10093.77134
0.806135,3,10094.261393
0.936378,3,10094.773001
0.529286,2,10095.020614
0.499915,2,10095.585977
0.465894,2,10095.934223
0.340358,2,10096.558231
0.328636,2,10097.093487
2.078196,6,10098.314901
0.539448,2,10098.742255
0.525446,2,10099.23452
0.523023,2,10099.557812
1.941427,6,10100.531904
3.903678,10,10102.288469
0.546402,2,10102.940983
0.53713,2,10103.340478
0.354963,2,10103.957897
0.56653,2,10104.538604
0.546527,2,10104.841405
-3.02759,5,10105.77328
0.529966,2,10106.219453
1.41973,5,10106.783895
0.857824,3,10107.460946
0.582783,2,10107.919636
0.453698,2,10108.168766
0.545391,2,10108.613995
0.935043,3,10109.137182
0.325585,2,10109.56592
-3.81076,4,10110.111558
0.57671,2,10110.4403
1.405956,5,10111.262942
-2.936274,6,10112.13985
-3.565189,5,10112.989006
0.916946,3,10113.854699
0.520848,2,10114.748906
0.532318,2,10115.647637
0.545597,2,10116.029653
0.56657,2,10116.674791
1.254557,4,10118.415178
0.936755,3,10118.950405
0.51999,2,10119.470072
1.680118,5,10120.259833
-3.279047,5,10121.338507
2.227846,6,10122.105036
1.594929,5,10123.031482
0.511882,2,10123.579126
0.322724,2,10124.384829
0.517536,2,10124.828171
0.944449,3,10125.402756
4.780983,14,10127.542108
1.2802,4,10128.536356
1.185612,4,10129.564542
0.512702,2,10130.095386
0.365881,2,10130.707496
0.545185,2,10131.034992
2.890159,8,10132.806808
1.891881,6,10133.660768
0.543941,2,10134.149595
0.573564,2,10134.614437
2.198386,6,10135.886843
0.91572,3,10136.442903
-2.863483,6,10137.937421
1.386382,4,10138.613599
0.497451,2,10139.102624
0.562901,2,10139.372396
0.967829,3,10139.866057
0.539427,2,10140.352763
0.932392,3,10141.061914
1.632277,5,10141.873473
2.143392,6,10142.929177
0.933393,3,10143.438261
-3.039002,5,10144.412559
0.35733,2,10144.68873
0.522544,2,10144.941194
0.560273,2,10145.395922
0.887132,3,10145.92464
1.966916,6,10146.973291
0.900933,3,10147.492703
0.493129,2,10147.972577
0.514861,2,10148.262244
0.53682,2,10148.718456
1.87337,6,10149.762754
-3.048306,5,10150.358159
0.338165,2,10150.757443
1.654991,5,10151.558656
1.72094,5,10152.791406
-2.431596,7,10154.811058
0.321031,2,10155.514454
-3.282184,5,10156.469489
0.543541,2,10156.888309
0.521382,2,10157.259018
0.922064,3,10158.448476
0.315857,2,10158.799032
0.542297,2,10159.179465
0.942258,3,10159.841861
-3.067541,5,10160.849387
-3.581813,4,10162.232833
4.467617,12,10164.372024
0.963852,3,10165.113662
1.939541,6,10165.900785
-2.450617,7,10166.983297
0.517311,2,10167.276074
-3.004385,5,10168.45609
0.530958,2,10169.281537
-0.35717,11,10172.287794
0.881846,3,10172.597684
0.53217,2,10173.060605
2.685759,7,10174.229888
0.931458,3,10174.881086
-2.914033,6,10175.599784
0.937243,3,10176.091606
-2.745438,6,10177.051099
0.509835,2,10177.345197
-3.128552,5,10178.681598
0.900024,3,10179.471832
-3.206012,5,10180.255042
1.230295,4,10181.140536
1.711117,6,10182.576854
0.328276,2,10183.106225
0.525693,2,10183.386246
0.530163,2,10183.666397
0.486201,2,10184.179719
0.320723,2,10184.707946
0.539993,2,10185.161989
0.849769,3,10185.658253
-1.302814,9,10187.553747
0.503152,2,10187.861967
0.520319,2,10188.320327
0.556853,2,10188.59541
0.558674,2,10189.061291
0.331984,2,10189.622343
0.534254,2,10189.957605
0.337144,2,10190.303643
0.338212,2,10190.566523
0.551642,2,10190.982417
2.31752,7,10192.471141
0.909409,3,10192.787337
0.547338,2,10193.296517
1.645447,5,10194.531211
0.978643,3,10195.098471
0.560553,2,10195.605364
0.519039,2,10195.891716
0.547203,2,10196.36879
1.967931,6,10197.392659
2.981869,8,10199.189173
0.897011,3,10199.741623
0.715626,3,10200.256845
0.524495,2,10200.541045
