#{"t_start": 1774006873.9986897, "env_id": "continuous-exit-v0"}
r,l,t
0.352307,2,8.137312
1.02043,3,8.294024
3.283109,9,8.762777
2.598716,8,9.180118
0.529837,2,9.298333
0.538,2,9.413851
1.266733,4,9.645468
0.532137,2,9.76038
0.507755,2,9.858214
0.950739,3,10.013487
0.715285,3,10.18787
0.509053,2,10.304796
0.530187,2,10.430434
0.466536,2,10.548056
0.906308,3,10.72082
1.620497,5,10.992177
0.527462,2,11.088668
0.360505,2,11.202725
0.511261,2,11.319084
1.248853,4,11.554569
0.531741,2,11.652695
0.935254,3,11.807219
-2.325044,7,12.195135
0.950153,3,12.368351
0.862037,3,12.522591
0.350491,2,12.63944
-1.471751,10,13.186281
-3.403698,4,13.415792
1.600666,5,13.686677
2.167955,6,13.981991
0.497509,2,14.097614
-1.480281,10,14.667219
-2.916838,6,14.999791
3.007718,8,15.427317
0.517433,2,15.541566
0.51507,2,15.658207
0.555428,2,15.77669
1.751892,6,16.104672
0.541666,2,16.219498
0.528264,2,16.318254
0.928095,3,16.475266
-2.655143,7,16.849949
0.51928,2,16.965247
0.963069,3,17.139302
0.923262,3,17.294474
0.541923,2,17.411627
1.538759,5,17.665708
0.321354,2,17.76304
0.530821,2,17.877486
0.368198,2,17.991926
0.911259,3,18.165369
0.340274,2,18.262092
0.503321,2,18.35935
0.535493,2,18.476511
-2.348918,7,18.848588
-3.058424,5,19.10518
2.346843,7,19.478711
0.537831,2,19.575924
0.560693,2,19.67507
-2.66624,6,20.057188
3.253209,9,20.498523
0.518031,2,20.596491
0.839778,3,20.772204
0.363706,2,20.88674
1.642899,5,21.139555
0.922452,3,21.29656
2.980459,8,21.693497
0.528479,2,21.808281
0.49315,2,21.926075
0.530241,2,22.0411
2.284448,6,22.359754
0.534074,2,22.475846
0.92965,3,22.63241
1.119097,4,22.866236
0.532166,2,22.982492
0.361269,2,23.133258
3.939111,11,23.736371
0.56379,2,23.850162
0.549014,2,23.947713
1.614367,5,24.188888
1.221595,4,24.40077
0.355149,2,24.514346
1.759662,6,24.791588
0.512375,2,24.907159
0.915465,3,25.065306
2.109473,6,25.37473
3.124217,9,25.865619
0.539064,2,25.979508
1.353075,4,26.173533
0.547084,2,26.288002
0.3587,2,26.405421
1.811523,5,26.676908
0.524364,2,26.791761
-2.463942,6,27.122292
1.690171,5,27.394831
0.557272,2,27.508602
0.530843,2,27.606679
-1.665656,8,28.005399
0.525034,2,28.119241
0.522572,2,28.237698
1.700702,6,28.574174
-3.59148,4,28.768994
0.341456,2,28.884114
0.530727,2,28.99956
0.350782,2,29.096416
