#{"t_start": 1773994660.921734, "env_id": "continuous-highway-v0"}
r,l,t
5.761398,14,9.23451
4.273193,12,9.566546
4.56352,13,9.949559
5.552441,14,10.348877
5.134173,14,10.758662
4.655955,12,11.112687
2.206882,16,11.561944
6.927088,16,12.00313
1.980426,15,12.409351
0.830345,16,12.863435
5.412015,13,13.223639
5.920108,15,13.625473
1.074493,14,14.004764
6.504766,16,14.448104
1.928853,16,14.877179
5.803968,14,15.256747
3.563912,11,15.566382
6.798364,15,15.958265
0.408072,13,16.298528
4.994639,13,16.65209
1.630908,15,17.049355
7.55767,18,17.522786
5.307078,13,17.85911
5.061262,13,18.191089
5.435784,13,18.549891
3.869074,11,18.831883
5.694847,14,19.197879
5.205986,12,19.517651
5.425016,14,19.899407
4.823072,13,20.257679
5.564303,14,20.636182
5.428171,13,20.993944
6.038292,14,21.373349
1.851451,15,21.776567
5.218873,13,22.118206
4.949459,13,22.461329
4.507958,12,22.80002
4.597077,12,23.122708
6.941936,16,23.550751
6.220204,15,23.953133
5.514792,14,24.332229
5.034482,13,24.672362
6.091627,14,25.049866
4.303033,12,25.368377
4.335921,12,25.67362
5.775741,13,26.01719
4.996224,12,26.335458
4.899138,12,26.652059
6.62752,14,27.032037
6.112675,15,27.422786
6.53446,15,27.830417
6.149446,15,28.244519
5.206225,12,28.56336
4.62627,13,28.929642
5.977631,14,29.320318
6.89357,16,29.751647
6.342655,15,30.154668
6.014614,15,30.556623
0.883554,14,30.938334
4.5055,12,31.256493
5.798559,14,31.621475
1.285262,15,32.025725
1.0795,15,32.427541
5.537812,14,32.785006
0.585391,14,33.148804
4.741005,13,33.489355
4.174501,12,33.820384
1.254673,14,34.196942
5.94743,14,34.572732
5.019607,13,34.927507
5.464005,14,35.30494
5.499546,13,35.659266
6.693568,15,36.048043
4.569095,12,36.366527
6.288061,15,36.768573
1.663399,16,37.195609
5.905632,15,37.584667
5.118934,13,37.942764
3.904304,11,38.239146
4.566373,13,38.594256
6.151525,15,38.982871
1.08457,14,39.349972
1.131727,14,39.730165
5.7157,14,40.108594
5.469783,13,40.451108
5.967609,14,40.832291
6.313206,15,41.249209
4.301128,13,41.592162
4.967892,13,41.934423
6.130091,15,42.35242
5.748118,14,42.725229
6.060371,15,43.119875
5.439237,13,43.474833
0.967712,14,43.840471
0.59346,14,44.221745
6.18624,14,44.588043
5.883202,14,44.969556
4.843902,13,45.31298
5.379066,14,45.692919
5.624545,13,46.036776
5.85574,14,46.415338
4.972607,13,46.759733
4.933608,13,47.117342
1.115282,14,47.495466
5.117837,14,47.878455
6.197145,15,48.282017
5.97767,14,48.66198
4.543986,13,49.018341
5.728568,13,49.378162
4.676527,12,49.719053
4.208049,12,50.060394
5.966512,15,50.450188
5.89843,14,50.804342
5.863496,14,51.183684
5.388536,13,51.524448
5.722752,13,51.866199
7.191989,16,52.29047
4.24374,11,52.558448
6.695351,15,52.963474
0.48289,13,53.304954
6.264786,14,53.670624
6.400583,16,54.082857
5.414464,14,54.448284
6.025156,14,54.826672
6.464255,15,55.227211
5.103391,13,55.582868
5.13942,13,55.938408
1.296882,14,56.304031
6.450886,15,56.707881
5.704532,14,57.087168
1.358704,15,57.476452
5.257295,13,57.83893
6.049569,14,58.204339
4.779491,13,58.546905
1.17725,15,58.94948
6.459019,14,59.336994
5.166998,14,59.722794
6.548272,16,60.170197
5.964117,14,60.557154
5.280371,14,60.944873
5.015821,13,61.30833
6.556965,15,61.703747
5.291825,13,62.057922
5.261761,13,62.421901
4.749392,12,62.748378
5.654155,13,63.112399
1.446595,15,63.526017
5.374089,15,63.939898
6.242252,14,72.021957
6.006794,15,72.464328
6.477647,16,72.907117
5.816388,15,73.355737
4.868096,13,73.741971
6.212416,15,74.169025
4.57873,12,74.519531
1.336765,14,74.920515
4.722952,13,75.302447
6.578113,15,75.738788
4.985686,14,76.162036
5.908516,14,76.58237
2.567676,17,77.074236
6.962047,16,77.514396
1.280983,15,77.951321
5.4618,13,78.315351
6.189925,14,78.701838
5.039163,13,79.057382
5.295179,13,79.4091
5.769686,14,79.785747
6.464986,14,80.162244
5.368431,14,80.55637
-0.384491,12,80.890719
5.644287,14,81.261682
6.256821,14,81.643486
1.045219,13,81.991001
6.386266,15,82.38318
6.44131,15,82.788842
6.234747,15,83.181777
1.769353,15,83.575101
6.142638,14,83.959022
5.558625,14,84.327415
5.735573,15,84.730105
0.805582,14,85.097048
4.922303,13,85.440758
7.090094,16,85.856043
2.107084,17,86.315337
4.311264,13,86.675061
6.792416,16,87.112119
4.434152,12,87.446526
5.188114,13,87.823039
6.764433,15,88.24262
5.364764,14,88.639526
6.564504,16,89.085886
5.572692,13,89.458704
6.37984,15,89.864613
5.725181,14,90.267818
5.277286,13,90.646024
5.570514,14,91.045508
6.23955,14,91.446441
5.297012,13,91.808171
7.21387,16,92.256828
5.167968,14,92.668369
5.296649,13,93.040245
5.77226,15,93.457944
5.512277,14,93.85824
6.823278,17,94.323359
6.056046,15,94.738733
5.586439,13,95.104313
5.735657,13,95.464398
5.888017,14,95.855517
5.009432,13,96.210697
6.459185,16,96.635883
6.254852,14,97.014496
4.643748,13,97.355112
5.078303,13,97.697126
7.393347,18,98.186283
6.483296,15,98.590909
1.660775,14,98.973403
4.870697,13,99.316034
5.691027,13,99.646014
7.534185,18,100.126555
5.272623,13,100.480804
1.968405,15,100.884826
6.408008,15,101.301201
4.586338,12,101.630365
5.74169,15,102.059734
4.978743,13,102.412941
2.512717,16,102.87513
5.049564,13,103.242662
0.022751,13,103.583396
6.623178,16,104.039158
7.342143,16,104.478012
5.191515,13,104.846029
5.376449,13,105.22001
1.889082,16,105.660762
7.095139,16,106.115561
5.494908,14,106.509039
0.275917,14,106.888179
4.12437,12,107.230933
5.670143,14,107.61207
5.931884,14,108.011903
0.91277,14,108.406519
5.242933,13,108.76377
6.523607,16,109.210252
4.772822,13,109.569874
5.528336,14,109.952801
4.44392,12,110.300545
6.022302,14,110.698741
6.0056,15,111.122327
4.699904,13,111.496103
4.369393,13,111.873288
6.284075,14,112.269141
5.654304,14,112.653172
0.608637,14,113.054516
7.724006,18,113.544061
5.736035,14,113.925606
5.950593,15,114.343189
1.473442,15,114.760548
5.684828,14,115.137696
5.923842,14,115.519263
7.160384,15,115.942798
6.188882,15,116.364126
4.39635,12,116.698921
5.925885,14,117.085002
6.20652,14,117.483767
5.014504,14,117.885884
3.913159,11,118.193379
5.538366,14,118.588197
4.688019,13,118.933694
4.23665,12,119.265146
6.725859,16,119.706669
5.810687,16,120.150028
5.604763,15,120.567922
5.514259,14,120.94929
6.158733,15,121.381094
0.39553,13,121.755938
6.313598,14,122.141108
4.595713,12,122.474102
6.87415,15,122.887422
6.493685,16,123.333367
6.655797,15,123.740203
5.034283,14,124.136712
5.748595,14,124.503918
5.579384,14,124.872826
2.554383,16,125.318101
7.130213,16,125.749346
5.366681,14,126.132712
5.526674,14,126.515174
5.853833,14,126.898166
0.622915,13,127.257104
5.47796,13,127.617848
0.298539,14,128.021744
5.522822,14,128.419121
5.748671,15,136.832267
5.476427,14,137.214147
6.145375,16,137.661028
5.910512,14,138.04708
6.058577,15,138.465658
5.541497,13,138.837703
6.269623,16,139.297514
2.867019,17,139.769712
5.770534,15,140.188964
6.551704,15,140.611966
6.903934,17,141.095059
1.394433,14,141.489912
2.23516,17,141.95323
7.125182,16,142.390232
5.126792,13,142.756966
5.722103,14,143.150557
5.472564,14,143.527814
4.78842,13,143.894045
6.022972,15,144.31012
4.68206,13,144.664541
1.042198,14,145.056679
5.149093,13,145.409567
4.582053,12,145.727625
6.960028,17,146.192207
5.150547,14,146.572004
5.922073,14,146.967014
5.840685,14,147.360042
7.136115,16,147.78736
5.104987,13,148.157407
5.959814,16,148.597224
6.113739,15,149.00117
5.650181,14,149.38114
5.906576,14,149.775581
6.459773,16,150.21725
5.787109,15,150.634361
5.482737,14,151.027187
1.441706,15,151.444441
5.716588,15,151.861157
5.878029,16,152.301955
5.19701,14,152.695847
6.288779,15,153.130993
6.374404,15,153.534153
6.20842,16,153.988169
4.590265,12,154.303378
1.614939,15,154.720169
6.561074,16,155.161989
6.101322,15,155.592188
6.004528,14,155.970053
5.61134,14,156.362678
5.644983,14,156.743317
