#{"t_start": 1774012696.2109058, "env_id": "continuous-highway-v0"}
r,l,t
5.027389,13,187.942791
4.553238,12,188.8717
5.201802,13,189.914651
6.459414,15,191.000146
5.702372,15,192.106449
5.828316,15,193.319809
7.178808,17,194.725289
1.18081,14,195.682996
4.208904,11,196.404594
1.632847,15,197.362455
6.104582,14,198.210866
5.902896,15,199.146621
1.965848,16,200.295736
6.159712,15,201.329465
6.933209,15,202.320876
4.39189,12,203.073502
4.776254,12,203.88542
7.186873,15,204.805869
5.367482,14,205.726053
-0.23304,13,206.423126
4.412161,13,207.190175
1.449204,16,208.178319
5.113694,13,209.032513
0.753892,13,209.827285
4.439046,12,210.630834
5.213095,13,211.635523
5.426601,13,212.538978
5.606292,13,213.562053
4.991205,13,214.287133
6.088458,15,215.192262
6.311992,14,216.324899
0.788337,14,217.182122
1.418725,16,218.290824
6.561324,15,219.360417
5.604027,14,220.386503
4.990308,13,221.241877
5.151626,13,222.225569
5.19028,14,223.256367
7.535797,18,224.501393
4.94455,14,225.412669
4.959548,13,226.324906
4.300591,12,227.055525
5.95226,14,228.001834
6.536238,16,229.003033
1.109581,14,229.751139
5.348091,14,230.769883
6.664132,18,231.989462
6.378047,15,233.106063
5.492731,13,234.130478
5.652971,13,235.094315
5.333597,13,236.135928
7.022723,16,237.129582
7.315599,16,238.263235
7.03726,17,239.670078
5.640603,13,240.631489
5.081163,13,241.547762
5.288757,14,242.339075
5.56569,13,243.13963
5.438846,13,243.961483
5.928633,14,245.123588
6.070435,16,246.292639
4.074306,12,247.043489
3.774577,11,247.645405
6.123197,14,248.533064
6.63244,15,249.616147
4.756688,13,250.66954
7.472106,18,251.989024
6.287394,16,252.975779
6.491614,16,254.011718
4.658217,12,255.006166
5.87048,14,256.006952
5.165948,13,256.95011
6.063942,15,257.95366
5.363956,14,258.907579
4.686081,13,259.701237
6.784374,15,260.727534
5.418711,13,261.614758
1.458362,15,262.612624
4.894702,13,263.417051
4.231906,12,264.181938
6.024307,15,265.165416
5.304924,13,266.021212
4.652039,13,266.996136
5.476086,13,267.898681
0.513325,14,268.848641
5.352402,13,269.706918
1.374428,16,270.87849
4.787776,12,271.756002
4.791843,13,272.612887
2.367285,17,273.647594
5.241875,14,274.462689
4.063827,12,275.263833
0.654876,13,276.261018
5.217751,13,277.11655
0.220142,13,277.971301
4.154789,12,278.809197
5.249374,13,279.687126
5.088815,13,280.675661
4.848123,13,281.689003
4.522815,13,282.71376
5.973746,15,283.878359
1.273953,15,284.902529
0.776136,14,285.787761
3.395538,11,286.505926
6.667526,15,287.300607
4.594618,12,288.185643
7.028283,16,289.384138
5.20593,14,290.350674
6.453504,15,291.293776
5.81414,14,292.260774
5.928385,15,293.179712
5.005147,13,294.09843
1.354171,15,295.186877
5.028764,14,296.090185
6.444336,16,297.085624
5.640789,13,298.150188
1.676783,16,299.241455
6.321378,15,300.188841
5.898358,14,301.117912
0.914077,14,302.102373
4.0518,12,302.92602
5.422585,14,303.938785
4.820486,12,304.735749
4.676568,13,305.635721
1.064209,14,306.598586
5.385861,13,307.503893
2.330679,16,308.605615
4.814521,13,309.491276
5.563144,14,310.396996
6.351137,15,311.471162
6.777237,15,312.457407
5.529232,13,313.320939
1.254024,14,314.207158
7.058115,16,315.328773
5.595052,14,316.165334
1.162745,15,317.112728
5.779917,14,318.076812
1.836154,16,319.103811
5.89076,14,319.913601
0.812101,13,320.642737
6.711771,14,321.754775
4.657416,12,322.615115
6.363635,15,323.594758
5.706775,13,324.564469
-0.048188,13,325.474277
4.682517,13,326.361706
5.130422,13,338.677783
4.810421,13,339.495958
6.213926,15,340.410539
6.663585,16,341.646884
5.146652,13,342.512967
6.462451,15,343.423778
6.284608,15,344.512053
5.423363,14,345.469929
5.357799,13,346.34079
0.866124,14,347.318289
6.288977,15,348.398142
6.273597,15,349.636773
5.185106,13,350.567698
7.15756,17,351.793904
4.893757,14,352.881918
6.617995,16,353.856777
5.892222,15,354.850805
5.65662,14,355.808716
5.818952,14,356.750631
6.686355,15,357.73364
4.458854,12,358.465771
5.247507,13,359.187129
5.933531,14,360.124219
5.989122,14,361.194951
5.368149,13,362.008831
5.813752,14,363.083631
1.008006,15,364.024454
6.782581,18,365.192926
1.381704,14,366.207457
5.218761,14,367.267472
5.175844,14,368.143759
6.020568,14,369.003656
6.501915,15,370.004673
5.883979,14,371.051455
6.463492,14,372.050824
4.321934,13,372.934769
5.978481,14,373.898426
4.759537,13,374.840103
4.642915,13,375.704027
7.214339,16,376.759006
5.376265,14,377.807686
5.918434,15,378.735875
4.226895,12,379.551162
6.989118,16,380.472671
5.653563,14,381.279544
5.312332,14,382.242078
5.741516,14,383.047123
6.018543,14,383.879108
1.08321,15,384.848428
4.600574,13,385.610302
5.502734,13,386.56864
6.521774,16,387.497617
5.228368,14,388.582296
4.645684,13,389.611135
5.398799,13,390.661153
2.01967,16,391.958416
4.800885,13,392.86911
5.805029,15,393.945817
0.836378,15,395.066395
4.763349,12,396.123781
5.127696,13,396.993235
6.080089,14,398.031141
5.620077,14,399.105979
5.747831,15,400.130735
5.454883,14,401.137007
5.856952,14,402.135829
