#{"t_start": 1773986294.3407454, "env_id": "continuous-highway-v0"}
r,l,t
1.674685,15,85.589678
6.037775,15,86.365543
4.764608,12,87.053916
4.687239,13,87.806981
4.676871,13,88.573038
6.058385,14,89.365157
6.345964,16,90.257664
5.865097,13,91.049329
6.488759,15,92.038501
4.578701,12,92.946524
5.629967,14,93.80238
5.63593,15,94.712839
1.428279,15,95.704587
6.461848,14,96.541883
5.952509,14,97.343704
6.294733,14,98.215045
4.331937,12,98.94065
7.541593,17,99.986574
5.449193,13,100.71133
6.476647,15,101.561879
5.977239,15,102.393758
7.095321,15,103.244853
0.826196,14,104.127951
4.677139,12,104.813044
5.688711,14,105.533174
4.519288,12,106.289332
5.641588,14,107.060207
0.881261,13,107.848135
5.374718,14,108.540331
0.840824,15,109.330271
5.851617,14,110.165334
5.627008,14,110.991171
5.326955,13,111.737947
6.476764,14,112.530622
5.862232,15,113.31884
5.432207,15,114.177205
4.729517,13,115.006934
0.498929,14,115.83673
1.766718,14,116.610264
5.491484,14,117.441108
1.126306,14,118.19919
0.177798,13,118.95059
6.024926,14,119.797195
5.458216,14,120.674225
5.216807,13,121.322202
1.638851,16,122.24011
1.076454,15,123.177861
0.886545,14,123.942452
6.933381,15,124.718851
6.10357,14,125.45812
6.425843,15,126.229011
5.34214,13,126.957887
5.532501,14,127.800086
5.23415,13,128.570052
6.10194,14,129.441163
6.134549,14,130.253526
6.489758,15,131.120627
6.050563,15,131.956065
0.795375,14,132.7607
4.866828,13,133.551838
5.162954,12,134.349169
6.210257,15,135.198482
5.423559,13,136.040231
5.199668,13,136.846123
5.044836,14,137.62952
4.966385,13,138.435585
-0.357474,12,139.116647
1.467012,15,140.041223
6.761021,15,140.947434
4.610658,12,141.61955
5.580665,14,142.476712
0.83522,13,143.261741
5.877352,15,144.180831
0.629391,14,145.14077
5.554109,14,146.01081
5.706271,13,146.753457
5.740749,14,147.530999
5.21708,13,148.328974
4.508355,12,148.959539
4.798562,13,149.791464
5.874648,15,150.631894
5.818159,13,151.371353
5.451992,15,152.22022
1.508011,14,153.003709
4.964954,14,153.81644
6.233814,14,154.678633
1.342637,14,155.533096
4.34129,12,156.310423
5.109004,13,157.07287
6.242181,15,157.95826
5.695219,14,158.73512
5.502153,13,159.557503
5.56981,14,160.477625
4.648563,12,161.200166
0.373767,13,161.998952
1.592794,15,162.905575
6.355819,16,163.90349
5.337262,14,164.780537
1.184381,14,165.558207
5.714226,14,166.390122
6.371142,14,167.251006
4.488083,12,167.938309
5.699931,13,168.760685
5.98207,15,169.715524
5.559821,13,170.43496
5.845047,14,171.301829
5.191325,13,172.088111
0.841303,14,172.917198
6.403099,14,173.663336
5.029183,13,174.337298
5.153404,13,175.531796
0.883749,13,176.419657
5.634862,14,177.232458
6.86567,16,178.075697
5.558672,13,178.848375
6.080204,15,179.681445
6.233223,15,180.652945
4.922507,13,181.404329
7.095473,17,182.568294
4.951165,13,183.326924
5.224877,13,184.100928
5.940409,14,185.002052
6.025008,14,185.806929
6.41384,15,186.685878
6.686796,16,187.565187
5.017139,13,188.361089
6.316481,14,189.184817
5.03992,13,189.916367
6.800572,16,190.924387
4.806652,13,191.683628
4.980499,13,192.420166
5.99718,14,193.314229
6.250632,14,194.044855
0.36822,13,194.865303
4.658334,12,195.55301
6.469688,15,196.419154
5.073897,13,197.219125
2.235283,15,198.065906
6.726677,15,198.890582
4.300851,12,199.631464
5.425653,14,200.47189
1.979146,14,201.294077
4.949191,13,202.044382
4.972388,13,202.942586
4.530053,12,203.744599
5.472258,14,204.525572
5.993868,14,205.32784
5.906059,15,217.597684
6.493763,16,218.5926
5.813455,14,219.324324
6.010238,15,220.299084
5.331676,13,221.098664
5.248665,13,221.934126
1.56973,15,222.756753
4.768947,13,223.488752
5.475524,14,224.28685
0.26102,13,225.102083
6.514989,15,225.98862
5.16887,13,226.727709
5.753581,14,227.525738
7.75799,18,228.607298
6.92742,16,229.498274
6.654785,17,230.494441
5.552994,14,231.29586
5.504815,13,232.040305
6.248816,15,232.872056
6.475775,16,233.947932
6.256769,15,234.94645
6.591224,15,235.949692
1.282119,15,236.800151
-0.366993,12,237.554116
6.579062,15,238.419688
6.588688,15,239.255725
5.574499,14,239.986954
6.01001,14,240.747056
2.052238,16,241.570379
6.233133,16,242.598156
6.272539,15,243.422285
6.079637,14,244.267984
5.960986,15,245.094282
5.995523,15,245.975346
5.542687,15,246.839172
5.674731,14,247.645406
7.256376,17,248.658149
6.69727,16,249.540164
4.695922,13,250.245958
6.106011,14,251.111663
5.962201,15,252.140769
