#{"t_start": 1774011981.296377, "env_id": "continuous-highway-v0"}
r,l,t
5.36504,13,11.255076
6.387124,15,11.651779
4.918263,13,11.989354
5.806871,14,12.371305
5.959892,14,12.743482
5.947087,15,13.139915
6.108866,15,13.535731
4.115838,12,13.824169
6.381376,16,14.242782
5.482302,14,14.60492
5.063224,13,14.955001
5.280987,14,15.3271
6.056172,14,15.702132
1.123693,15,16.099908
5.96309,15,16.498801
5.464917,13,16.848515
6.170653,15,17.260648
7.208492,16,17.685598
1.927365,15,18.086606
5.515145,14,18.459765
5.734161,13,18.796649
6.483491,15,19.170362
1.801887,15,19.553429
1.854563,16,19.959476
5.342053,14,20.335191
4.402426,12,20.65595
0.644719,14,21.01836
4.781689,13,21.369865
2.423643,17,21.826293
6.096263,14,22.204026
0.630555,14,22.580459
6.251432,15,22.98966
1.403564,15,23.387397
6.360511,15,23.786049
6.712322,15,24.183824
5.542882,14,24.558511
5.308674,13,24.896874
5.621937,13,25.251007
6.84701,15,25.64878
6.260823,15,26.04657
5.327571,13,26.407717
5.785034,14,26.799587
5.596711,13,27.177978
6.050389,15,27.60818
7.129754,16,28.037524
2.083173,17,28.504893
5.084269,13,28.893142
6.091387,14,29.267595
6.818693,15,29.673456
0.30703,13,30.021372
5.664362,14,30.424338
5.713472,13,30.782165
4.824233,13,31.129093
6.095433,14,31.494887
5.799805,14,31.882157
5.734536,14,32.298389
5.591398,15,32.729961
2.105323,15,33.145045
6.285828,15,33.559053
6.307159,14,33.92774
1.231294,14,34.297058
6.259899,15,34.703323
1.359678,15,35.124162
6.033503,14,35.487597
1.88137,15,35.886727
6.18935,14,36.272832
5.221061,14,36.653129
5.393672,14,37.047236
6.28174,15,37.457572
6.543507,16,37.888435
6.721159,15,38.297703
5.551511,13,38.645944
3.811602,12,38.970258
2.171828,16,39.415569
4.959428,13,39.761061
3.947894,11,40.074397
5.322449,13,40.435435
5.86145,14,40.872011
5.777102,15,41.311411
1.028881,14,41.689997
6.515751,15,42.095827
5.143079,13,42.443023
6.211886,15,42.85335
6.232803,15,43.254882
2.241354,16,43.687031
5.974221,14,44.060761
5.075256,14,44.446148
0.609218,15,44.844671
5.019223,13,45.18487
5.106854,12,45.499575
7.907247,19,46.108676
5.651673,13,46.464374
1.359476,15,46.866165
5.249032,13,47.206443
6.430508,15,47.617602
5.235226,13,47.968294
6.14408,15,48.371352
6.593206,15,48.761888
0.748405,14,49.149588
4.707458,12,49.48376
6.23401,14,49.864391
6.022134,15,50.26301
2.288577,16,50.686731
1.590172,16,51.108935
5.119989,13,51.460941
5.067877,13,51.813625
5.195927,13,52.165599
